D' L' U' R2 F B
D' L' U' R2 B F
F L' D2 F2 U' B2
F' U R B2 U L
F' U2 R B2 U B2
F' U2 B2 R U B2
U F' U R B2 U
U F' U B2 R U
F D2 L' F2 U' B2
F' L U R B2 U L
D' L U F' B' U2 R2
D' L U B' U2 R2 B
D' L U B' F' U2 R2
D' L U B' F' U2 R2
D' L U' R2 B D2 F2
D' L U' B2 R2 F' B
D' L U' B2 R2 B F'
F' L U2 R B2 U B2
F' L U2 B2 R U B2
U' L D' L' R2 F B
U' L D' L' R2 B F
U' L D' R2 L' F B
U' L D' R2 L' B F
U' L D' R2 B L' F
U L F' U R B2 U
U L F' U B2 R U
F L' R D2 F2 U' B2
D' L' R' U' R' F B
D' L' R' U' R' B F
D' L' R' U' F R' B
F L' R' D2 F2 U' B2
F L' R2 D2 F2 U' B2
F' L' U R B2 U L
D' L' U F' U2 R2 F2
D' L' U F' U2 F2 R2
F L' U F2 U B2 U
F L' U F2 U2 D' R2
F L' U F2 D L2 U2
F L' U F2 D' U2 R2
D' L' U' R' F R' B
D' L' U' R2 D F B
D' L' U' R2 D B F
D' L' U' R2 D' F B
D' L' U' R2 D' B F
D' L' U' R2 D2 F B
D' L' U' R2 D2 B F
D' L' U' R2 F D B
D' L' U' R2 F D' B
D' L' U' R2 F D2 B
D' L' U' R2 F B D
D' L' U' R2 F B D'
D' L' U' R2 F B D2
D' L' U' R2 B D F
D' L' U' R2 B D' F
D' L' U' R2 B D2 F
D' L' U' R2 B F D
D' L' U' R2 B F D'
D' L' U' R2 B F D2
D' L' U' F R2 D2 B2
D' L' U' B R2 F B
F L' U' D' R2 D' B2
D' L' U' B R2 B F
D' L' U' B' R2 F B
D' L' U' B' R2 B F
F L' U' D2 B2 D R2
D' L' U' B2 R2 F B
D' L' U' B2 R2 B F
F' L' U2 R B2 U B2
F L' U2 D' L2 U R2
F' L' U2 B2 R U B2
F L' U2 B2 U D2 B2
F L' U2 B2 U' F2 U2
F L' U2 B2 D' L2 U
F L' U2 B2 D2 U B2
F L' D R2 U L2 U2
F L' D R2 U' D2 R2
F L' D R2 D F2 U'
F L' D R2 D2 U' R2
F L' D' U' R2 D' B2
F L' D' U2 L2 U R2
F L' D2 R F2 U' B2
F L' D2 R' F2 U' B2
F L' D2 R2 F2 U' B2
F L' D2 U' B2 D R2
F L' D2 F2 R U' B2
F L' D2 F2 R' U' B2
F L' D2 F2 R2 U' B2
F L' D2 F2 U' B2 D
F L' D2 F2 U' B2 D'
F L' D2 F2 U' B2 D2
F L' D2 F2 D' R2 U'
F L' F' U' D' R2 B
U L' F' U R B2 U
U L' F' U B2 R U
F L' F' D' U' R2 B
F L' F2 U2 B2 U B2
F' L2 U R B2 U L
F' L2 U2 R B2 U B2
F' L2 U2 B2 R U B2
F L2 D2 L F2 U' B2
F L2 D2 F2 L U' B2
U L2 F' U R B2 U
U L2 F' U B2 R U
F R L' D2 F2 U' B2
L' U F' U R B2 U
L' U F' U B2 R U
L2 U F' U R B2 U
L2 U F' U B2 R U
L U F' U R B2 U
L U F' U B2 R U
F R D2 L' F2 U' B2
F' R B2 U2 B2 U' B2
D' R' L' U' R' F B
D' R' L' U' R' B F
D' R' L' U' F R' B
F R' L' D2 F2 U' B2
F' R' U2 R2 B2 U B2
F' R' U2 B2 R2 U B2
F R' D2 L' F2 U' B2
F R2 L' D2 F2 U' B2
F' R2 U2 R' B2 U B2
F R2 D2 L' F2 U' B2
B' R2 F' B' R U B2
D' R2 B L' D F L'
B' R2 B' F' R U B2
D' U L F' B' U2 R2
D' U L B' U2 R2 B
D' U L B' F' U2 R2
D' U L' U2 R2 F B
D' U L' U2 R2 B F
D' U L' F' U2 R2 F2
D' U L' F' U2 F2 R2
F' U R F B2 U L
F' U R F' B2 U L
F' U R F2 B2 U L
F' U R B2 U L D
F' U R B2 U L D'
F' U R B2 U L D2
F' U R B2 U D L
F' U R B2 U D' L
F' U R B2 U D2 L
F' U R B2 D U L
F' U R B2 D' U L
F' U R B2 D2 U L
F' U R B2 F U L
F' U R B2 F' U L
F' U R B2 F2 U L
D' U F' L B' U2 R2
D' U F' L' U2 R2 F
D' U F' L' U2 F R2
L' D' L' U' R2 F B
L' D' L' U' R2 B F
L2 D' L' U' R2 F B
L2 D' L' U' R2 B F
R2 D' L' U' F B R2
R2 D' L' U' B R2 F
R2 D' L' U' B F R2
L D' L' U' R2 F B
L D' L' U' R2 B F
F U F2 U R B2 U
F U F2 U B2 R U
U' D' L' R2 F L B
D' U' L' R2 F L B
U2 D' L' U R2 F B
U2 D' L' U R2 B F
F' U B2 R U' R' U2
U D' L F' B' U2 R2
U D' L B' U2 R2 B
U D' L B' F' U2 R2
U D' L' U2 R2 F B
U D' L' U2 R2 B F
U D' L' F' U2 R2 F2
U D' L' F' U2 F2 R2
D' U' R D2 R F' B
D' U' R D2 R B F'
U' D' R D2 R F' B
U' D' R D2 R B F'
U' D' R2 L' F L B
D' U' R2 L' F L B
D' U' R2 B L' F L
U' D' R2 B L' F L
F' U' R B2 L U L'
U D' F' L B' U2 R2
U D' F' L' U2 R2 F
U D' F' L' U2 F R2
F' U' D2 F2 L' U' L
D' U2 L' U R2 F B
D' U2 L' U R2 B F
F' U2 L R B2 U B2
F' U2 L B2 R U B2
F' U2 L' R B2 U B2
F' U2 L' B2 R U B2
F' U2 L2 R B2 U B2
F' U2 L2 B2 R U B2
F' U2 R L B2 U B2
F' U2 R L' B2 U B2
F' U2 R L2 B2 U B2
F' U2 R B2 L U B2
F' U2 R B2 L' U B2
F' U2 R B2 L2 U B2
F' U2 R B2 U B2 D
F' U2 R B2 U B2 D'
F' U2 R B2 U B2 D2
F' U2 R B2 D L2 U
F' U2 R' B2 R2 U B2
L' F L' D2 F2 U' B2
L2 F L' D2 F2 U' B2
R2 F L' U' D' B R2
R2 F L' U2 B2 U B'
R2 F L' D' U' B R2
R2 F L' D2 F2 U' B
L F L' D2 F2 U' B2
F' U2 B2 L R U B2
F' U2 B2 L' R U B2
F' U2 B2 L2 R U B2
F' U2 B2 R L U B2
F' U2 B2 R L' U B2
F' U2 B2 R L2 U B2
F' U2 B2 R U B2 D
F' U2 B2 R U B2 D'
F' U2 B2 R U B2 D2
F' U2 B2 R D L2 U
F' U2 B2 D L2 R U
F' U2 B2 D R L2 U
F D L' R2 U L' U2
F D L' R2 F2 U' R
F D L' F2 R2 U' R'
R2 F D' L' U' B R2
L' F D2 L' F2 U' B2
D2 F D2 F L' U' B2
L2 F D2 L' F2 U' B2
R2 F D2 L' F2 U' B
L F D2 L' F2 U' B2
F D R2 L' U L' U2
F D R2 L' F2 U' R
F D R2 D L' F2 U'
F D R2 D2 L' U' R2
U F' L U R B2 U
U F' L U B2 R U
U F' L' U R B2 U
U F' L' U B2 R U
U F' L2 U R B2 U
U F' L2 U B2 R U
L' F' U R B2 U L
U2 F' U R F B2 U
U' F' U' R B2 L U
U2 F' U R B2 F U
L2 F' U R B2 U L
U2 F' U B2 R F U
U F' U R U D' R2
U F' U R D' U R2
U F' U R B2 U D
U F' U R B2 U D'
U F' U R B2 U D2
U F' U R B2 D U
U F' U R B2 D' U
U F' U R B2 D2 U
U F' U R' B2 R2 U
L F' U R B2 U L
U F' U D' R U R
L' F' U2 R B2 U B2
U F' U B' R B' U
U F' U B2 R U D
U F' U B2 R U D'
U F' U B2 R U D2
U F' U B2 R D U
U F' U B2 R D' U
U F' U B2 R D2 U
U F' U B2 D R U
U F' U B2 D' R U
U F' U B2 D2 R U
L2 F' U2 R B2 U B2
L' F' U2 B2 R U B2
U F' U' D2 F2 L' U'
L2 F' U2 B2 R U B2
R2 F' U2 B2 R U B'
U F' U2 R' D' R2 F2
U F' U2 R' D' F2 R2
L F' U2 R B2 U B2
F D' L' U2 L' U R2
F D' L' D' F2 R U'
L F' U2 B2 R U B2
U F' D L2 U R U
F D' L' F2 R U' R
U F' D' U R U R
R2 F' D2 F2 L' U' B
U F' D2 U' F2 L' U'
U F' B U B R U
U F' B' U R B' U
U F' B' U B' R U
U F' B2 U R U R'
F D2 L F2 L2 U' B2
F D2 L' R F2 U' B2
F D2 L' R' F2 U' B2
F D2 L' R2 F2 U' B2
F D2 L' U' B2 D R2
F D2 L' F2 R U' B2
F D2 L' F2 R' U' B2
F D2 L' F2 R2 U' B2
F D2 L' F2 U' B2 D
F D2 L' F2 U' B2 D'
F D2 L' F2 U' B2 D2
F D2 L' F2 D' R2 U'
F D2 L2 F2 L U' B2
F D2 R L' F2 U' B2
F D2 R' L' F2 U' B2
F D2 R2 L' F2 U' B2
F' D2 U' F2 L' U' L
F' D2 F2 L' U F2 U2
F' D2 F2 L' U' D2 B2
F' D2 F2 L' D R2 U'
F' D2 F2 L' D2 U' B2
F' D2 F2 D L' R2 U'
F' D2 F2 D R2 L' U'
F' D2 F2 D2 L' U' B2
F D2 F2 U2 R U B2
U B F' U B R U
B2 F D2 F2 R U B2
B2 F' R U2 B2 U' B2
U B' F' U R B' U
U B' F' U B' R U
F' B2 R U2 B2 U' B2
U2 B2 U' F' U R U
U B2 F' U R U R'
F B2 D2 F2 R U B2
