D L' D R2 F B'
D L' D R2 B' F
D L' D F R2 B'
D L' D F B' R2
B' L' D F2 R B'
B' L' D F2 B' R
D L' D B' R2 F
D L' D B' F R2
B' L' D B' F2 R
B' L' B' D F2 R
D L' B' D R2 F
D L' B' D F R2
D2 R2 D' L' F B'
D2 R2 D' L' B' F
L' D' F2 R F' B'
L' D' F2 R B' F'
L' D' F2 B' R F'
L' D' B' F2 R F'
L' F2 D' R F' B'
L' F2 D' R B' F'
L' F2 D' B' R F'
B' L U L U2 L B'
B' L U F L U2 L
B' L U' B' L2 B' R'
B' L U' B2 L2 R' B'
B' L U' B2 R' L2 B'
L' R D' F2 R F' B'
L' R D' F2 R B' F'
L' R D' F2 B' R F'
L' R D' B' F2 R F'
L' R F2 D' R F' B'
L' R F2 D' R B' F'
L' R F2 D' B' R F'
B' L B2 U' L2 R' B'
B' L B2 U' R' L2 B'
D2 L' R D R F' B'
D2 L' R D R B' F'
D2 L' R D B' R F'
D' L' R D' F' R2 B'
D' L' R D' F' B' R2
D' L' R D' B' F' R2
B' L' R D F2 R B'
B' L' R D F2 B' R
B' L' R D B' F2 R
D L' R D R2 F B'
D L' R D R2 B' F
D L' R D F R2 B'
D L' R D F B' R2
D L' R D B' R2 F
D L' R D B' F R2
D' L' R F' D' R2 B'
D' L' R F' D' B' R2
B L' R D' F2 R B'
B L' R D' F2 B' R
B L' R D' B' F2 R
D2 L' R B' D R F'
B' L' R B' D F2 R
D L' R B' D R2 F
D L' R B' D F R2
B L' R B' D' F2 R
D' L' R' D' R2 F' B'
D' L' R' D' R2 B' F'
B' L' R' D F2 R B'
B' L' R' D F2 B' R
B' L' R' D B' F2 R
D L' R' D R2 F B'
D L' R' D R2 B' F
D L' R' D F R2 B'
D L' R' D F B' R2
D L' R' D B' R2 F
D L' R' D B' F R2
B' L' R' B' D F2 R
D L' R' B' D R2 F
D L' R' B' D F R2
B' L' R2 D F2 R B'
B' L' R2 D F2 B' R
B' L' R2 D B' F2 R
R' L' D' F2 R F' B'
R' L' D' F2 R B' F'
D L' R2 D R2 F B'
D L' R2 D R2 B' F
D L' R2 D F R2 B'
D L' R2 D F B' R2
R' L' D' F2 B' R F'
D L' R2 D B' R2 F
L' R' D' F2 R F' B'
L' R' D' F2 R B' F'
D L' R2 D B' F R2
L' R' D' F2 B' R F'
R' L' D' B' F2 R F'
L' R' D' B' F2 R F'
R2 L' D' F2 R F' B'
R2 L' D' F2 R B' F'
R2 L' D' F2 B' R F'
R L' D' F2 R F' B'
R L' D' F2 R B' F'
B' L' R2 B' D F2 R
R L' D' F2 B' R F'
R2 L' D' B' F2 R F'
D L' R2 B' D R2 F
D L' R2 B' D F R2
R L' D' B' F2 R F'
D L' U F2 U' F' B'
D L' U F2 U' B' F'
B' L' D R F2 R B'
B' L' D R F2 B' R
B' L' D R B' F2 R
B' L' D R' F2 R B'
B' L' D R' F2 B' R
B' L' D R' B' F2 R
B' L' D R2 F2 R B'
D L' D R B' R F
B' L' D R2 F2 B' R
B' L' D R2 B' F2 R
R' L' F2 D' R F' B'
R' L' F2 D' R B' F'
D L' D R' F R' B'
R' L' F2 D' B' R F'
L' R' F2 D' R F' B'
L' R' F2 D' R B' F'
D L' D R2 D F B'
D L' D R2 D B' F
D L' D R2 D' F B'
D L' D R2 D' B' F
D L' D R2 D2 F B'
D L' D R2 D2 B' F
D L' D R2 F D B'
D L' D R2 F D' B'
D L' D R2 F D2 B'
D L' D R2 F B' D
D L' D R2 F B' D'
D L' D R2 F B' D2
L' R' F2 D' B' R F'
D L' D R2 B' D F
D L' D R2 B' D' F
D L' D R2 B' D2 F
D L' D R2 B' F D
D L' D R2 B' F D'
D L' D R2 B' F D2
B' L' D F2 R D B'
B' L' D F2 R D' B'
B' L' D F2 R D2 B'
B' L' D F2 R B' D
B' L' D F2 R B' D'
B' L' D F2 R B' D2
B' L' D F2 R' B' R2
D L' D F R B' R
D L' D F R2 D B'
D L' D F R2 D' B'
D L' D F R2 D2 B'
D L' D F R2 B' D
D L' D F R2 B' D'
D L' D F R2 B' D2
R2 L' F2 D' R F' B'
R2 L' F2 D' R B' F'
B' L' D F2 D R B'
B' L' D F2 D B' R
B' L' D F2 D' R B'
B' L' D F2 D' B' R
B' L' D F2 D2 R B'
B' L' D F2 D2 B' R
B' L' D F2 B R B2
B' L' D F2 B' R D
B' L' D F2 B' R D'
B' L' D F2 B' R D2
D L' D F B R2 B2
B' L' D F2 B' D R
B' L' D F2 B' D' R
B' L' D F2 B' D2 R
D L' D F B' R2 D
D L' D F B' R2 D'
D L' D F B' R2 D2
R2 L' F2 D' B' R F'
D L' D F' R2 F2 B'
D L' D F' R2 B' F2
B' L' D B F2 R B2
D L' D F' B' R2 F2
B' L' D B' R F2 R
B' L' D B' R' F2 R
B' L' D B' R2 F2 R
R L' F2 D' R F' B'
R L' F2 D' R B' F'
B' L' D B' F2 R D
B' L' D B' F2 R D'
B' L' D B' F2 R D2
B' L' D B' F2 D R
B' L' D B' F2 D' R
B' L' D B' F2 D2 R
R L' F2 D' B' R F'
D L' D B R2 F B2
D L' D B R2 B2 F
D L' D B F R2 B2
D L' D B' R' F R'
D L' D B' R2 D F
D L' D B' R2 D' F
D L' D B' R2 D2 F
D L' D B' R2 F D
D L' D B' R2 F D'
D L' D B' R2 F D2
D L' D B' F R2 D
D L' D B' F R2 D'
D L' D B' F R2 D2
D L' D B' F' R2 F2
D L' D' F D2 R2 B'
D L' D' F D2 B' R2
D L' D' F B' D2 R2
U2 L' D' F2 R F' B
U2 L' D' F2 R B F'
D L' D' B' D2 R2 F
D L' D' B' D2 F R2
D L' D' B' F D2 R2
D L' D2 F D' R2 B'
D L' D2 F D' B' R2
B' L' D2 B' D' F2 R
D L' F U F U' B'
D L' F B' U F U'
B' L' F2 R D F2 B'
B' L' F2 R D B' F2
B' L' F2 R B' D F2
B L' F2 R D' F2 B'
B L' F2 R D' B' F2
B L' F2 R B' D' F2
B' L' F2 D R F2 B'
B' L' F2 D R B' F2
B' L' F2 D B' R F2
U2 L' F2 D' R F' B
U2 L' F2 D' R B F'
B' L' F2 B' R D F2
B' L' F2 B' D R F2
B2 L' F2 B' R D' F2
B L' F2 B' D' R F'
D2 L' B' R D R F'
B' L' B' R D F2 R
B' L' B' R' D F2 R
B' L' B' R2 D F2 R
B2 L' B' R D' F2 R
D L' B' R D R2 F
D L' B' R D F R2
D L' B' R' D R2 F
D L' B' R' D F R2
B' L' B' D R F2 R
B' L' B' D R' F2 R
B' L' B' D R2 F2 R
B' L' B' D F2 R D
B' L' B' D F2 R D'
B' L' B' D F2 R D2
B' L' B' D F2 D R
B' L' B' D F2 D' R
B' L' B' D F2 D2 R
D L' B' R2 D R2 F
D L' B' R2 D F R2
D L' B' U F2 U' F'
D L' B' D R' F R'
D L' B' D R2 D F
D L' B' D R2 D' F
D L' B' D R2 D2 F
D L' B' D R2 F D
D L' B' D R2 F D'
D L' B' D R2 F D2
B' L' B' F2 R D F2
D L' B' D F R2 D
D L' B' D F R2 D'
D L' B' D F R2 D2
D L' B' D F' R2 F2
B' L' B' F2 D R F2
D L' B' D' F D2 R2
B L' B' D' F2 R F'
D L' B' D2 F D' R2
B2 L' B' F2 R D' F2
D L' B' F U F U'
B L' B' F2 D' R F'
L' R2 D' F2 R F' B'
L' R2 D' F2 R B' F'
L' R2 D' F2 B' R F'
B' L' B2 D F2 B R
B' L' B2 D B F2 R
L' R2 D' B' F2 R F'
D L' B2 D F B R2
D L' B2 D B R2 F
D L' B2 D B F R2
B L2 U R' U L B'
B' L2 U' L' U' L2 B'
L' R2 F2 D' R F' B'
L' R2 F2 D' R B' F'
L' R2 F2 D' B' R F'
B' L2 U2 L D F2 B'
B' L2 U2 L D B' F2
B' L2 U2 L B' D F2
D2 R L' D R F' B'
D2 R L' D R B' F'
D2 R L' D B' R F'
B' R L' D F2 R B'
B' R L' D F2 B' R
B' R L' D B' F2 R
D' R L' D' F' R2 B'
D' R L' D' F' B' R2
D' R L' D' B' F' R2
D' R L' F' D' R2 B'
D' R L' F' D' B' R2
D2 R L' B' D R F'
D R L' D R2 F B'
D R L' D R2 B' F
D R L' D F R2 B'
D R L' D F B' R2
D R L' D B' R2 F
D R L' D B' F R2
B' R L' B' D F2 R
B R L' D' F2 R B'
B R L' D' F2 B' R
B R L' D' B' F2 R
D R L' B' D R2 F
D R L' B' D F R2
B R L' B' D' F2 R
D2 R D L' R F' B'
D2 R D L' R B' F'
D2 R D L' B' R F'
D2 R D R L' F' B'
D2 R D R L' B' F'
D2 R D' L' R F B'
D2 R D' L' R B' F
D2 R D' L' B' R F
D' R D' L' F' R2 B'
D' R D' L' F' B' R2
D' R D' L' B' F' R2
D2 R D' R L' F B'
D2 R D' R L' B' F
D' R' L' D' R2 F' B'
D' R' L' D' R2 B' F'
B' R' L' D F2 R B'
B' R' L' D F2 B' R
B' R' L' D B' F2 R
D R' L' D R2 F B'
D R' L' D R2 B' F
D R' L' D F R2 B'
D R' L' D F B' R2
B' R' L' B' D F2 R
D R' L' D B' R2 F
D R' L' D B' F R2
D R' L' B' D R2 F
D R' L' B' D F R2
D2 R' D' L' R' F B'
D2 R' D' L' R' B' F
D' R' D' L' R2 F' B'
D' R' D' L' R2 B' F'
D2 R' D' L' F R' B'
D2 R' D' R' L' F B'
D2 R' D' R' L' B' F
D' R' D' R2 L' F' B'
D' R' D' R2 L' B' F'
L2 U2 L B' U L U'
L2 U2 L2 D L' F B'
L2 U2 L2 D L' B' F
B' R2 L' D F2 R B'
B' R2 L' D F2 B' R
B' R2 L' D B' F2 R
B' R2 L' B' D F2 R
D R2 L' D R2 F B'
D R2 L' D R2 B' F
D R2 L' D F R2 B'
D R2 L' D F B' R2
D R2 L' D B' R2 F
D R2 L' D B' F R2
D R2 L' B' D R2 F
D R2 L' B' D F R2
D2 R2 D' L' D F B'
D2 R2 D' L' D B' F
D2 R2 D' L' D' F B'
D2 R2 D' L' D' B' F
D2 R2 D' L' D2 F B'
D2 R2 D' L' D2 B' F
D2 R2 D' L' F D B'
D2 R2 D' L' F D' B'
D2 R2 D' L' F D2 B'
D2 R2 D' L' F B' D
D2 R2 D' L' F B' D'
D2 R2 D' L' F B' D2
D2 R2 D' L' B' D F
D2 R2 D' L' B' D' F
D2 R2 D' L' B' D2 F
D2 R2 D' L' B' F D
D2 R2 D' L' B' F D'
D2 R2 D' L' B' F D2
D2 R2 D' B L' F B'
D2 R2 D' B L' B' F
D2 R2 D' B' L' F B'
D2 R2 D' B' L' B' F
D2 R2 D' B2 L' F B'
D2 R2 D' B2 L' B' F
R' D L' D R2 F B'
R' D L' D R2 B' F
R' D L' D F R2 B'
R' D L' D F B' R2
R' D L' D B' R2 F
R' D L' D B' F R2
L' D L' U2 F L B'
R' D L' B' D R2 F
R' D L' B' D F R2
R2 D L' D R2 F B'
R2 D L' D R2 B' F
R2 D L' D F R2 B'
R2 D L' D F B' R2
R2 D L' D B' R2 F
R2 D L' D B' F R2
R2 D L' B' D R2 F
R2 D L' B' D F R2
R D L' D R2 F B'
R D L' D R2 B' F
R D L' D F R2 B'
R D L' D F B' R2
R D L' D B' R2 F
R D L' D B' F R2
R D L' B' D R2 F
R D L' B' D F R2
D2 R2 B D' L' F B'
D2 R2 B D' L' B' F
D2 R2 B' D' L' F B'
D2 R2 B' D' L' B' F
D2 R2 B2 D' L' F B'
D2 R2 B2 D' L' B' F
L' D F2 D2 R F' B'
L' D F2 D2 R B' F'
L' D F2 D2 B' R F'
L' D F2 B' D2 R F'
L' D B' U2 L' U2 F
L' D B' D2 F2 R F'
L' D B' F2 D2 R F'
L' D' R F2 R F B'
L' D' R F2 R B' F
L' D' R F2 B' R F
L' D' R B' F2 R F
L' D' R' B' D2 F2 R
L' D' F' R F' R B'
L' D' F' R F' B' R
L' D' F' R B' F' R
L' D' F' B' R F' R
L' D' F2 R D F' B'
L' D' F2 R D B' F'
L' D' F2 R D' F' B'
L' D' F2 R D' B' F'
L' D' F2 R D2 F' B'
L' D' F2 R D2 B' F'
L' D' F2 R F' D B'
L' D' F2 R F' D' B'
L' D' F2 R F' D2 B'
