R B2 U' R' F' U'
D2 L F U R F L'
L2 R B2 U L' B' U
R L2 B2 U L' B' U
R U L' B' L2 U F
B2 R U' R' F' R' U'
B2 R U2 D B' R' B'
B2 R U2 B D B2 R'
B2 R U2 B' D R' B2
B2 R D U2 B' R' B'
B2 R D F U2 R B2
B2 R D F U2 B2 R
B2 R D F' L' U2 B2
B2 R D' F' L' F' U2
B2 R F U' R2 U' R'
B2 R F U2 D R B2
B2 R F U2 D B2 R
B2 R F D U2 R B2
B2 R F D U2 B2 R
B2 R F D' F2 L' U2
B2 R F' L' U' R2 U'
B2 R F' L' U2 D B2
B2 R F' L' D U2 B2
B2 R F' L' D' F2 U2
B2 R F' D L' U2 B2
B2 R F' D' L' F2 U2
B2 R F' D' F2 U2 R
L U' R B2 U B' U
B' R B' U' R' F' U'
L U' B2 R U B U
B2 U' R' D F' B2 U'
B2 U' R' D B2 F' U'
B2 U' R' D2 F' U' L2
B2 U' R' F' U R2 U2
B2 U' R' F' U' D2 L2
B2 U' R' F' D B2 U'
B2 U' R' F' D2 U' L2
B2 U' F' R' F' U' L'
L D2 F U R F L'
D2 F R F L' D' B2
R F B2 U' R' U' R2
R F B2 U2 R D B2
R F' L' B2 U L2 U
R F' L' B2 U2 D' B2
R F' L' B2 D F2 U2
R F' L' B2 D' U2 B2
F2 D' L R2 B' U L2
F2 D' L B' R2 U L2
F2 D' R2 L B' U L2
R F' B2 L' U' R' U'
B D' B R F' L' U2
U' B2 R U' R2 F' U'
R B2 L U' R' F' U'
L2 B2 R U L' B' U
R B2 L' U' R' F' U'
R B2 L2 U' R' F' U'
R2 B2 U' R' F' U' L
R B2 U' R' D F' U'
R B2 U' R' D' F' U'
R B2 U' R' D2 F' U'
R B2 U' R' F' U' D
R B2 U' R' F' U' D'
R B2 U' R' F' U' D2
R B2 U' R' F' D U'
R B2 U' R' F' D' U'
R B2 U' R' F' D2 U'
R B2 U' D R' F' U'
R B2 U' D' R' F' U'
R B2 U' D2 R' F' U'
R B2 U' F R' F' U'
R B2 U' F' R' F' U'
R B2 U' F2 R' F' U'
R B2 U2 B' D' R' B
R B2 D U' R' F' U'
R B2 D' U' R' F' U'
R B2 D2 U' R' F' U'
R B2 F U' R' U' R2
R B2 F U2 R D B2
R B2 F' L' U' R' U'
