L2 B' R' U L2
L2 R B' R' U L2
L2 R' B' R' U L2
B' L2 R' B' U L2
R' L2 B' R' U L2
L2 R2 B' R' U L2
R2 L2 B' R' U L2
R L2 B' R' U L2
B' R' L2 B' U L2
B' R' L2 B' U L2
L2 D F2 B' R' U
L2 D B' R' F2 U
L2 D B' F2 R' U
B' U' L2 R' B' U
B' U' R' L2 B' U
L2 F B' R' U L2
L2 F' B' R' U L2
L2 F2 B' R' U L2
L2 B' R' U L2 D
L2 B' R' U L2 D'
L2 B' R' U L2 D2
L2 B' R' D F2 U
L2 B' R' F U L2
L2 B' R' F' U L2
L2 B' R' F2 U L2
L2 B' D R' F2 U
L2 B' D F2 R' U
L2 B' F R' U L2
L2 B' F' R' U L2
L2 B' F2 R' U L2
U2 L U L B' U F
L2 R D F2 B' R' U
L2 R D B' R' F2 U
L2 R D B' F2 R' U
B L U2 L B' U L2
U L U2 L B' U F
L2 R F B' R' U L2
L2 R F' B' R' U L2
L2 R F2 B' R' U L2
L2 R B' R' U L2 D
L2 R B' R' U L2 D'
L2 R B' R' U L2 D2
L2 R B' R' D F2 U
L2 R B' R' F U L2
L2 R B' R' F' U L2
L2 R B' R' F2 U L2
L2 R B' D R' F2 U
L2 R B' D F2 R' U
L2 R B' F R' U L2
L2 R B' F' R' U L2
L2 R B' F2 R' U L2
L2 R' D F2 B' R' U
L2 R' D B' R' F2 U
L2 R' D B' F2 R' U
D2 L' R2 U' L F R
D' L' U' L F R B2
D' L' U' L F B2 R
D' L' U' L B2 F R
F L' U' L D' F B2
F L' U' L D' B2 F
F L' U' L F D' B2
L2 R' F B' R' U L2
L2 R' F' B' R' U L2
L2 R' F2 B' R' U L2
L2 R' B' R' U L2 D
L2 R' B' R' U L2 D'
L2 R' B' R' U L2 D2
L2 R' B' R' D F2 U
L2 R' B' R' F U L2
L2 R' B' R' F' U L2
L2 R' B' R' F2 U L2
L2 R' B' D R' F2 U
L2 R' B' D F2 R' U
L2 R' B' F R' U L2
L2 R' B' F' R' U L2
L2 R' B' F2 R' U L2
F' L' F2 R U' L F
R' L2 D F2 B' R' U
R' L2 D B' R' F2 U
R' L2 D B' F2 R' U
L2 R2 D F2 B' R' U
R2 L2 D F2 B' R' U
L2 R2 D B' R' F2 U
R2 L2 D B' R' F2 U
L2 R2 D B' F2 R' U
R2 L2 D B' F2 R' U
R L2 D F2 B' R' U
R L2 D B' R' F2 U
R L2 D B' F2 R' U
B' L2 R B' R2 U L2
B' L2 R' D F2 B' U
B' L2 R' D B' F2 U
B' L2 R' F B' U L2
B' L2 R' F' B' U L2
B' L2 R' F2 B' U L2
B' L2 R' B' U L2 D
B' L2 R' B' U L2 D'
B' L2 R' B' U L2 D2
B' L2 R' B' D F2 U
B' L2 R' B' F U L2
B' L2 R' B' F' U L2
B' L2 R' B' F2 U L2
R' L2 F B' R' U L2
L2 R2 F B' R' U L2
R2 L2 F B' R' U L2
B' L2 R2 B' R U L2
R L2 F B' R' U L2
R' L2 F' B' R' U L2
L2 R2 F' B' R' U L2
R2 L2 F' B' R' U L2
R L2 F' B' R' U L2
R' L2 F2 B' R' U L2
L2 R2 F2 B' R' U L2
R2 L2 F2 B' R' U L2
R L2 F2 B' R' U L2
R' L2 B' R' U L2 D
R' L2 B' R' U L2 D'
R' L2 B' R' U L2 D2
R' L2 B' R' D F2 U
R' L2 B' R' F U L2
R' L2 B' R' F' U L2
R' L2 B' R' F2 U L2
F2 L2 U2 F' L' U' L'
R' L2 B' D R' F2 U
R' L2 B' D F2 R' U
L2 R2 B' R' U L2 D
L2 R2 B' R' U L2 D'
L2 R2 B' R' U L2 D2
L2 R2 B' R' D F2 U
L2 R2 B' R' F U L2
L2 R2 B' R' F' U L2
L2 R2 B' R' F2 U L2
R2 L2 B' R' U L2 D
R2 L2 B' R' U L2 D'
R2 L2 B' R' U L2 D2
R2 L2 B' R' D F2 U
R2 L2 B' R' F U L2
R2 L2 B' R' F' U L2
R2 L2 B' R' F2 U L2
R' L2 B' F R' U L2
R' L2 B' F' R' U L2
R' L2 B' F2 R' U L2
B' L2 D R' F2 B' U
B' L2 D R' B' F2 U
R L2 B' R' U L2 D
R L2 B' R' U L2 D'
R L2 B' R' U L2 D2
R L2 B' R' D F2 U
R L2 B' R' F U L2
R L2 B' R' F' U L2
R L2 B' R' F2 U L2
L2 R2 B' D R' F2 U
L2 R2 B' D F2 R' U
R2 L2 B' D R' F2 U
R2 L2 B' D F2 R' U
L2 R2 B' F R' U L2
L2 R2 B' F' R' U L2
R2 L2 B' F R' U L2
L2 R2 B' F2 R' U L2
R L2 B' D R' F2 U
R2 L2 B' F' R' U L2
B' L2 D F2 R' B' U
R L2 B' D F2 R' U
R2 L2 B' F2 R' U L2
R L2 B' F R' U L2
R L2 B' F' R' U L2
R L2 B' F2 R' U L2
B L2 D F2 R B' U
B L2 D F2 B' R U
B L2 D B' F2 R U
U' L2 D' B R' B2 U
U' L2 D' B' U2 L U'
U' L2 D2 R B' U F'
U' L2 D2 B' R U F'
B' L2 F R' B' U L2
L2 U L2 R' F' D R2
B' L2 F' R' B' U L2
B' L2 F2 R' B' U L2
B L2 F2 R B' U L2
L2 U R' L2 F' D R2
B L2 F2 B' R U L2
B2 L2 B R' B2 U L2
D' L2 B' R' U B' L2
U' L2 B' U L' F L
U' L2 B' U2 L' U' F
B2 L2 B' U2 L U' L
U' L2 B' D2 R U F'
B L2 B' U2 L' U' L'
U L2 B' R' U F' L'
B L2 B' D F2 R U
B L2 B' F2 R U L2
U' L2 B2 D' B R' U
B' R L2 B' R2 U L2
B' R U' L2 R2 B' U
B' R U' L2 B' R2 U
B' R U' R2 L2 B' U
L' U' L D' F R B2
L' U' L D' F B2 R
L' U' L D' B2 F R
L' U' L F R D' B2
L' U' L F D' R B2
L' U' L F D' B2 R
L U' L B' U F L2
U R D2 R2 F U' F2
U R D2 F R2 U' F'
U R F D2 R2 U' F'
B' R' L2 D F2 B' U
B' R' L2 D B' F2 U
B' R' L2 F B' U L2
B' R' L2 F' B' U L2
B' R' L2 F2 B' U L2
B' R' L2 B' U L2 D
B' R' L2 B' U L2 D'
B' R' L2 B' U L2 D2
B' R' L2 B' D F2 U
B' R' L2 B' F U L2
B' R' L2 B' F' U L2
B' R' L2 B' F2 U L2
D2 R' U R' F U' F2
D2 R' U F R' U' F'
U R' U2 L2 B' U F'
U R' D' F U' F2 B2
U R' D' F U' B2 F2
U R' D2 F R2 U' F2
U R' F U' F2 D' B2
U R' F U2 L2 U F2
U R' F D' L2 U' B2
B' R' B L2 B' U L2
B' R' B' L2 B' U L2
B' R' B2 L2 B' U L2
D2 R2 L' U' L F R
B' R2 L2 B' R U L2
B' R2 U' L2 R B' U
B' R2 U' L2 B' R U
B' R2 U' R L2 B' U
U R2 D' F L' U' B2
D2 R2 F L' U' L F
L' D L' B' R' U L2
D2 R2 F B L U' L'
L2 D R F2 B' R' U
L2 D R B' R' F2 U
L2 D R B' F2 R' U
D2 R2 B F L U' L'
L2 D R' F2 B' R' U
L2 D R' B' R' F2 U
L2 D R' B' F2 R' U
L2 D R2 F2 B' R' U
L2 D R2 B' R' F2 U
L2 D R2 B' F2 R' U
B U L U2 L B' U
L2 D F B' R' F U
L2 D F2 R B' R' U
L2 D F2 R' B' R' U
L2 D F2 R2 B' R' U
L2 D F2 D B' R' U
L2 D F2 D' B' R' U
L2 D F2 D2 B' R' U
L2 D F2 B' R' U D
L2 D F2 B' R' U D'
L2 D F2 B' R' U D2
L2 D F2 B' R' D U
L2 D F2 B' R' D' U
L2 D F2 B' R' D2 U
D' U R' F U' F2 B2
D' U R' F U' B2 F2
L2 D F2 B' D R' U
L2 D F2 B' D' R' U
L2 D F2 B' D2 R' U
D2 U R' F R' U' F2
D2 U R2 D' F L' U'
L2 D B' R F2 R2 U
L2 D B' R' U D' L2
L2 D B' R' D' U L2
L2 D B' R' F2 U D
L2 D B' R' F2 U D'
L2 D B' R' F2 U D2
L2 D B' R' F2 D U
L2 D B' R' F2 D' U
L2 D B' R' F2 D2 U
D' U F R' U' F' B2
D' U F R' U' B2 F'
L2 D B' D' R' U L2
L2 D B' F R' F U
L2 D B' F2 R' U D
L2 D B' F2 R' U D'
L2 D B' F2 R' U D2
L2 D B' F2 R' D U
L2 D B' F2 R' D' U
L2 D B' F2 R' D2 U
L2 D B' F2 D R' U
L2 D B' F2 D' R' U
L2 D B' F2 D2 R' U
B U D' F L U' B2
B2 U D2 R2 F L' U'
B2 U D2 F L' R2 U'
B2 U D2 F R2 L' U'
L' D' L' B' R' U L2
B U D2 R2 F L U'
B U D2 F L R2 U'
B U D2 F R2 L U'
B' U F U2 L2 R' U
B' U F U2 R' L2 U
B U F L U2 L U
B U F D' L U' B2
B U F D2 L R2 U'
B U F D2 R2 L U'
B' U' L2 R B' R2 U
B' U' L2 R' D B' U
B' U' L2 R' D' B' U
B' U' L2 R' D2 B' U
B' U' L2 R' B' U D
B' U' L2 R' B' U D'
B' U' L2 R' B' U D2
B' U' L2 R' B' D U
B' U' L2 R' B' D' U
B' U' L2 R' B' D2 U
B' U' L2 R2 B' R U
B' U' L2 D R' B' U
