U' L' U L F U'
B' U B L U2 L2
B U B' U2 L' R'
B U B' U2 R' L'
B U' L2 F L R
B U' L2 F R L
L F U' L2 D F2
L F B U' L2 F
U2 F' U F L' R
U2 F' U F R L'
L B F U' L2 F
F2 L R U' R' F U'
F2 L R U' F R' U'
R' L U' R F U' L2
L R U' R' F U' L2
R2 L U' R2 F U' L2
R L U' R' F U' L2
R2 L U' F R2 U' L2
L R U' F R' U' L2
R L U' F R' U' L2
B2 L D F L2 B' U'
B L F L U' F L
D' L F U' L2 D F2
D2 L F U' L2 D F2
B' L F U B U2 L2
D L F U' L2 D F2
B2 L F U B2 U2 L2
B2 L F U' L2 D2 F2
D2 L F B U' L2 F
D' L F B U' L2 F
D L F B U' L2 F
B2 L F B' U' L2 F
B' L F B2 U' L2 F
D2 L B F U' L2 F
D' L B F U' L2 F
D L B F U' L2 F
L R' U' R F U' L2
B2 L B' F U' L2 F
B' L B2 F U' L2 F
U' L' R U L F U'
U2 L' R U' L B U
U' L' R' U L F U'
U' L' R2 U L F U'
U' L' U L D F U'
U' L' U L D' F U'
U' L' U L D2 F U'
U' L' U L F U' D
U' L' U L F U' D'
U' L' U L F U' D2
U' L' U L F D U'
U' L' U L F D' U'
U' L' U L F D2 U'
U' L' U D L F U'
U' L' U D' L F U'
U' L' U D2 L F U'
U' L' U F L F U'
U' L' U F' L F U'
U' L' U F2 L F U'
U2 L' U' L B' U R'
B2 L' D L2 F U' L2
U' L' D U L F U'
U' L' D' U L F U'
U' L' D2 U L F U'
U' L' F R U L U'
U' L' F U L U' R
L R2 U' R2 F U' L2
L R2 U' F R2 U' L2
U' L2 D L F R F
U' L2 D F R F L
U' L2 F R D L F2
U' L2 F R D F2 L
U' L2 F D L R F2
U' L2 F D R L F2
U' L2 F D R F2 L
U' L2 F' D F2 L R
U' L2 F' D F2 R L
F2 R L U' R' F U'
F2 R L U' F R' U'
U' R L' U L F U'
U2 R L' U' L B U
F2 R U' R' F U' R
F2 R U' F R' U' R2
L' U B' U2 B U' B'
L U' L2 U L2 F U'
U2 R F' B U F L'
U2 R F2 B U F2 L'
U2 R B F' U F L'
U2 R B F2 U F2 L'
L U' D' F B2 U' B2
L U' D' B2 F U' B2
U' R' L' U L F U'
L U' F U' L2 D' B2
L U' F D' B2 U' B2
L U' F B U' B' L2
L U' F B' U' L2 B
L U' F B' U' B L2
L U' F B2 U' L2 B2
L U' F B2 U' B2 L2
L U' F' L2 D R2 F2
L U' F' L2 D F2 R2
U R' U R B U L'
L U' B F U' B' L2
L U' B' F U' L2 B
L U' B' F U' B L2
L2 U2 L U' B' L' U
L U' B2 F U' L2 B2
L U' B2 F U' B2 L2
L U2 L2 U' B' L2 U
L U2 L2 B D' R2 B2
L U2 L2 B D' B2 R2
R U2 R' F' U' F L'
U' R2 L' U L F U'
L U2 F U' F' L2 B'
B' U L B L U2 L
U' D L' U L F U'
B' U L' B L U2 L'
L D F U2 F U F'
B U L2 U2 F L R
B U L2 U2 F R L
B U R B' U2 L' R'
B U R B' U2 R' L'
B U R' B' U2 L' R'
B U R' B' U2 R' L'
B' U D B L U2 L2
B U R2 B' U2 L' R'
B U R2 B' U2 R' L'
B' U D' B L U2 L2
B U D B' U2 L' R'
B U D B' U2 R' L'
U2 D F' U F L' R
U2 D F' U F R L'
B' U D2 B L U2 L2
B U D' B' U2 L' R'
B U D' B' U2 R' L'
B U D2 B' U2 L' R'
B U D2 B' U2 R' L'
B' U B L R U2 L2
B' U B L R' U2 L2
B' U B L R2 U2 L2
B' U B L U2 L2 D
B' U B L U2 L2 D'
B' U B L U2 L2 D2
B' U B L D2 R2 U2
B' U B R L U2 L2
B' U B R' L U2 L2
B2 U B L B U2 L2
B' U B R2 L U2 L2
B' U B U2 L' D2 R2
B' U B D L U2 L2
B' U B D' L U2 L2
B' U B D2 L U2 L2
B U B L B2 U2 L2
U' D' L' U L F U'
D' U' L' U L F U'
D2 U' L' U L F U'
B U B' L U2 L2 R'
B U B' L U2 R' L2
B U B' L2 U2 L R'
B U B' L2 U2 R' L
B U B' R U2 L' R2
B U B' R U2 R2 L'
B U B' R2 U2 L' R
B U B' R2 U2 R L'
B U B' U2 L' R' D
B U B' U2 L' R' D'
B U B' U2 L' R' D2
B U B' U2 L' D R'
B U B' U2 L' D' R'
B U B' U2 L' D2 R'
B U B' U2 R' L' D
B U B' U2 R' L' D'
B U B' U2 R' L' D2
B U B' U2 R' D L'
B U B' U2 R' D' L'
B U B' U2 R' D2 L'
B U B' U2 D L' R'
B U B' U2 D R' L'
B U B' U2 D' L' R'
B U B' U2 D' R' L'
B U B' U2 D2 L' R'
B U B' U2 D2 R' L'
B U B' D U2 L' R'
B U B' D U2 R' L'
D U' L' U L F U'
B U B' D' U2 L' R'
B U B' D' U2 R' L'
B U B' D2 U2 L' R'
B U B' D2 U2 R' L'
B' U' L' R F R F'
B' U' L' R2 F R F2
L D' U' F B2 U' B2
B' U' L' U2 B L U2
L D' U' B2 F U' B2
B' U' L' F R2 F' R'
B' U' L' F2 R2 F' R
B2 U' L' D2 F R F
B2 U' L' F R D2 F2
B2 U' L' F D2 R F2
B2 U' L' F' D2 F2 R
B U' L' D2 F R F'
B U' L' F D2 R F'
B' U' R L' F R F'
B U' L2 R F L R
B U' L2 R F R L
B U' L2 R' F L R
B U' L2 R' F R L
B U' L2 R2 F L R
B U' L2 R2 F R L
L D' F B2 U B2 U2
L D' F B2 U' D2 F2
L D' F B2 D L2 U'
L D' F B2 D2 U' F2
B U' L2 D F L R
B U' L2 D F R L
B' U' R D2 L' F R
B U' L2 D' F L R
B U' L2 D' F R L
B' U' R F R F' L'
B U' L2 D2 F L R
B U' L2 D2 F R L
B U' L2 F L R D
B U' L2 F L R D'
B U' L2 F L R D2
B U' L2 F L D R
B U' L2 F L D' R
B U' L2 F L D2 R
B U' L2 F R L D
B U' L2 F R L D'
B U' L2 F R L D2
B U' L2 F R D L
B U' L2 F R D' L
B U' L2 F R D2 L
B U' L2 F D L R
B U' L2 F D R L
B U' L2 F D' L R
B U' L2 F D' R L
B U' L2 F D2 L R
B U' L2 F D2 R L
B U' L2 F2 L F' R
B U' R L2 F L R
B U' R L2 F R L
B' U' R2 L' F R F2
B U' R' L2 F L R
B U' R' L2 F R L
U2 D' F' U F L' R
U2 D' F' U F R L'
B U' R2 L2 F L R
B U' R2 L2 F R L
B U' D L2 F L R
B U' D L2 F R L
B2 U' D2 L' F R F
B U' D' L2 F L R
B U' D' L2 F R L
L D' B2 D F L2 U'
L D' B2 D2 F U' F
L D' B2 F U B2 U2
L D' B2 F U' D2 F2
L D' B2 F D L2 U'
L D' B2 F D2 U' F2
B' U' F R2 F' L' R'
B' U' F R2 F' R' L'
B U' D2 L2 F L R
B U' D2 L2 F R L
U' D2 L' U L F U'
B' U' B U2 B' L' R'
B' U' B U2 B' R' L'
L D2 R2 U' R2 F U'
L D2 R2 U' F R2 U'
D' U2 F' U F L' R
D' U2 F' U F R L'
D2 U2 F' U F L' R
D2 U2 F' U F R L'
U2 D2 F' U F L' R
U2 D2 F' U F R L'
D U2 F' U F L' R
D U2 F' U F R L'
B2 D L F L U' L
L F U' L2 U L2 U'
L F U' L2 D F2 D
L F U' L2 D F2 D'
L F U' L2 D F2 D2
L F U' L2 F D F2
L F U' L2 F' D F2
L F U' L2 F2 D F2
L F U' F L2 D F2
L F U' F' L2 D F2
L F U' F2 L2 D F2
L F U2 D F2 U F2
L F U2 F U L2 F'
L F U2 F U F' L2
L F U2 F' U F L2
L F U2 F2 U L2 F2
L F U2 F2 U F2 L2
L F D U2 F2 U F2
L F D' B2 U B2 U2
L F D' B2 U' D2 F2
