L' R B U L2 B
L' R B U B L2
L2 R B U L' B
L2 R B U B L'
R L' B U L2 B
R L' B U B L2
D L2 R B U L'
R L2 B U L' B
R L2 B U B L'
D R L2 B U L'
B' R B U L B2
R D L2 B U L'
F' U L F R B2
F' U L F B2 R
F' U L B2 F R
R B U B' L B2
R' L U' R2 B U B
R2 L U' R' B U B
L' R D L2 F2 B U
L' R D L2 B F2 U
L R D L2 B U L2
R L D L2 B U L2
L' R D F2 L2 B U
L' R D F2 B L2 U
L' R D B L2 F2 U
L' R D B F2 L2 U
L2 R D B L2 U L
L R D B L2 U L2
U L U' R B U B
R L D B L2 U L2
L' R F B U L2 B
L' R F B U B L2
L' R F' B U L2 B
L' R F' B U B L2
L' R F2 B U L2 B
L' R F2 B U B L2
L' R B L U L B
L' R B L' U L' B
L' R B L' U B L'
L R B L U L' B
L R B L U B L'
L2 R B L U L2 B
L2 R B L U B L2
L R B L' U L B
R L B L U L' B
R L B L U B L'
L R B L2 U L2 B
L R B L2 U B L2
R L B L' U L B
L2 R B L2 U L B
R L B L2 U L2 B
R L B L2 U B L2
L' R B U L' B L'
L' R B U L2 D B
L' R B U L2 D' B
L' R B U L2 D2 B
L' R B U L2 B D
L' R B U L2 B D'
L' R B U L2 B D2
L' R B U B L2 D
L' R B U B L2 D'
L' R B U B L2 D2
L' R B U B' L2 B2
L2 R B U L B L2
L2 R B U L' D B
L2 R B U L' D' B
L2 R B U L' D2 B
L2 R B U L' B D
L2 R B U L' B D'
L2 R B U L' B D2
L2 R B U D L' B
L2 R B U D B L'
L2 R B U D' L' B
L2 R B U D' B L'
L2 R B U D2 L' B
L2 R B U D2 B L'
L' R B D F2 U B
L2 R B U B L' D
L2 R B U B L' D'
L2 R B U B L' D2
L2 R B U B D L'
L2 R B U B D' L'
L2 R B U B D2 L'
L2 R B U B' L' B2
L2 R B D U L' B
L2 R B D U B L'
L' R B F U L2 B
L' R B F U B L2
L' R B F' U L2 B
L' R B F' U B L2
L2 R B D' U L' B
L2 R B D' U B L'
U L F B2 D R F'
L' R B F2 U L2 B
L' R B F2 U B L2
L2 R B D2 U L' B
L2 R B D2 U B L'
R' L B2 U' R2 B U
U' L B' R' D' F2 B'
U' L B' R' D' B' F2
U' L B' R' B' D' F2
L R' U' R2 B U B
U L B2 U' R B U
U L B2 F D R F'
B' L' R B U L B'
D L' R B L' U L'
U2 L' R B' U B' L2
R L' D L2 F2 B U
R L' D L2 B F2 U
R L' D F2 L2 B U
F2 L' R' F' U' L2 B2
F2 L' R' F' U' B2 L2
R L' D F2 B L2 U
R L' D B L2 F2 U
R L' D B F2 L2 U
F2 L' U' L2 B' R' B'
