B2 D' L2 F R B
D' B2 L2 F R B
F' L' B U F' L' U
D' L' B U2 L' B' R'
D' L2 R F B R F'
D' L2 R B F R F'
D' L2 U2 B L F U2
B2 L2 D' F L2 R B
B2 L2 D' F R L2 B
B2 L2 D' F R B L2
D' L2 F R2 F' R' B
D' R L2 F B R F'
D' R L2 B F R F'
F2 R U F' B R F'
F2 R U B R F' R
F2 R U B F' R F'
B R D R2 F' L' U2
B2 R D' L2 F B R
B2 R D' L2 B F R
B R D' B L2 F R
D' R F L2 B R F'
D' R F B L2 R F'
D' R F B R L2 F'
D' R F B R F' L2
D' R B L2 F R F'
D' R B F L2 R F'
D' R B F R L2 F'
D' R B F R F' L2
B R B D' L2 F R
B R' D F' L' R2 U2
B R' D F' R2 L' U2
B R' D' F' L' U2 L'
D R' F' L' R' U2 F'
B R' F' L' U F' U
D R' F' R' L' U2 F'
F2 R2 U F' R' B R2
D R2 U2 F' B' R' B
D R2 U2 B' F' R' B
D' R2 F R F2 L2 B'
D' R2 F' L2 B2 R' B
F R2 F U R' F2 B
F R2 F U R' B F2
F R2 F U F2 R' B
F R2 F' R' D' L2 B
F R2 F' R' D' B L2
F R2 F' R' B D' L2
U2 D B L R2 F U2
U2 D B L F R2 U2
U2 D B R2 L F U2
B U F' L' F' B' U
B U F' L' B' F' U
L' D' B2 L2 F R B
L2 D' B2 L2 F R B
U2 D' B L F U2 L
L D' B2 L2 F R B
B U2 L D' L2 B' R'
B U2 L' D' B' L2 R'
B U2 L' D' B' R' L2
B U2 L' B' R' D' L2
B U2 L' B' D' L2 R'
B U2 L' B' D' R' L2
D' U2 B L F U2 L
D U2 B L R2 F U2
D U2 B L F R2 U2
D U2 B R2 L F U2
B U2 D' L' B' L' R'
B U2 D' L' B' R' L'
D' F L2 R2 F' R' B
D' F R2 L2 F' R' B
D' F R2 F' L2 R' B
D' F R2 F' R' L2 B
D' F R2 F' R' B L2
D F R2 U2 F' R' B
D' F B R B L2 F
B D R' F' L' R' U2
B D R' F' R' L' U2
D F B R2 U2 R' B
D' F B2 L2 R F B
D' F B2 L2 R B F
D' F B2 R L2 F B
D' F B2 R L2 B F
B D R2 U2 B' R' B
R F B R F' D' L2
D' F' L' B U2 L' B'
B D F R2 U2 R' B
B2 D' L2 R F B R
B2 D' L2 R B F R
B D' L' U2 L' B' R'
B2 D' L2 D F R B
B2 D' L2 D' F R B
B2 D' L2 D2 F R B
B2 D' L2 F R D B
B2 D' L2 F R D' B
B2 D' L2 F R D2 B
B2 D' L2 F R B D
B2 D' L2 F R B D'
B2 D' L2 F R B D2
B2 D' L2 F D R B
B2 D' L2 F D' R B
B2 D' L2 F D2 R B
B2 D' L2 F B R B
B2 D' L2 F B' R B
B2 D' L2 F B2 R B
B2 D' L2 B F R B
B2 D' L2 B' F R B
B2 D' L2 B2 F R B
B2 D' R L2 F B R
B2 D' R L2 B F R
D' F' B L' U2 L' B'
B D' R B L2 F R
B D' R' F' L' U2 L'
B2 D' F L2 R F B
B2 D' F L2 R B F
B2 D' F R L2 F B
B2 D' F R L2 B F
B D' U2 L' B' L' R'
B D' U2 L' B' R' L'
B D' F R B L2 F
B D' F' L' U2 L' B'
B D' B L2 F R B
U' F2 U' B L F U2
R F2 U F' B R F'
R F2 U B R F' R
R F2 U B F' R F'
U2 B L U2 D' L2 B'
U2 B L D R2 F U2
U2 B L D F R2 U2
U2 B L D' U2 L2 B'
U2 B L D' F U2 L2
D' B L' U2 L' B' R'
U2 B L F U F U
D' B R B L2 F R
D' B R' F' L' U2 L'
D B R' F' L' R' U2
D B R' F' R' L' U2
D B R2 U2 B' R' B
D' B U2 L' B' L' R'
D' B U2 L' B' R' L'
F' B L' U F' L' U
U2 B D L R2 F U2
U2 B D L F R2 U2
U2 B D R2 L F U2
U2 B D' L F U2 L
D' B F R B L2 F
D' B F' L' U2 L' B'
D B F R2 U2 R' B
R B F R F' D' L2
B F' L' U F' L' U
D' B2 L2 R F B R
D' B2 L2 R B F R
D' B2 L2 D F R B
D' B2 L2 D' F R B
D' B2 L2 D2 F R B
D' B2 L2 F R D B
D' B2 L2 F R D' B
D' B2 L2 F R D2 B
D' B2 L2 F R B D
D' B2 L2 F R B D'
D' B2 L2 F R B D2
D' B2 L2 F D R B
D' B2 L2 F D' R B
D' B2 L2 F D2 R B
D' B2 L2 F B R B
D' B2 L2 F B' R B
D' B2 L2 F B2 R B
D' B2 L2 B F R B
D' B2 L2 B' F R B
D' B2 L2 B2 F R B
D' B2 R L2 F B R
D' B2 R L2 B F R
L' B2 D' L2 F R B
L2 B2 D' L2 F R B
D' B2 F L2 R F B
D' B2 F L2 R B F
D' B2 F R L2 F B
D' B2 F R L2 B F
L B2 D' L2 F R B
D B2 D2 L2 F R B
