F' L2 U F' B2 R'
F' L2 U B2 F' R'
F R B2 D' F L2
F' U F2 R F B2
F' U F2 R B2 F
F' U F2 B2 R F
F' U B2 F2 R F
F' U' L' U2 F' B2
F' U' L' U2 B2 F'
B2 F R D' F L2
B2 F D' R F L2
F B2 R D' F L2
F B2 D' R F L2
F' L U D2 F' R2 B
F' L U F' B2 D2 R2
F' L U B2 D2 F' R2
F' L U B2 F' D2 R2
F' L U' L2 U2 F' B2
F' L U' L2 U2 B2 F'
F' L D2 U F' R2 B
B2 L F R D' F L2
B2 L F D' R F L2
F' L' U F' B2 D' R2
F' L' U B2 D' F' R2
F' L' U B2 F' D' R2
F' L' U2 F' B2 D L2
F' L' U2 B2 D L2 F'
F' L' U2 B2 D F' L2
F' L' U2 B2 F' D L2
B2 L' F R D' F L2
B2 L' F D' R F L2
U L' F' B' U F' B'
U L' F' B' U B' F'
U L' B' F' U F' B'
U L' B' F' U B' F'
D' L2 R2 F B U' R
D' L2 R2 B F U' R
F' L2 U R B2 R' F'
F' L2 U F B2 R' F2
F' L2 U F' R B2 R'
F' L2 U F' R' B2 R'
F' L2 U F' R2 B2 R'
F' L2 U F' B2 R' D
F' L2 U F' B2 R' D'
F' L2 U F' B2 R' D2
F' L2 U F' B2 D R'
F' L2 U F' B2 D' R'
F' L2 U F' B2 D2 R'
F' L2 U F2 B2 R' F
F' L2 U B2 D F' R'
F' L2 U B2 D' F' R'
F' L2 U B2 D2 F' R'
F' L2 U B2 F R' F2
F' L2 U B2 F' R' D
F' L2 U B2 F' R' D'
F' L2 U B2 F' R' D2
F' L2 U B2 F' D R'
F' L2 U B2 F' D' R'
F' L2 U B2 F' D2 R'
F' L2 U B2 F2 R' F
F' L2 U' L U2 F' B2
F' L2 U' L U2 B2 F'
B2 L2 F R D' F L2
D L2 F R2 F2 U R'
B2 L2 F D' R F L2
D L2 F' R2 U' L' U2
D L2 F' U D' F2 R
D L2 F' D' U F2 R
F' L2 B U F' B R'
F' L2 B U B F' R'
F R U' F2 U F' B2
F R U' F2 U B2 F'
F R D' F L2 D B2
F R D2 F D L2 B'
F R F U' F U B2
F R F B2 U' F U
F R B D' F L2 B
F R B D' F B L2
F R B D' B F L2
F R B' D' F B' L2
F R B' D' B' F L2
F R B2 L2 D' L2 F
F R B2 U' F2 U F'
F R B2 D F D2 L2
F R B2 D' F L2 D
F R B2 D' F L2 D'
F R B2 D' F L2 D2
F R B2 D' F' L2 F2
F R B2 D' F2 L2 F'
F R B2 D2 F D L2
F R B2 F U' F U
F' R' U F2 R F' B2
F' R' U F2 R B2 F'
F' R' U F2 B2 R F'
F' R' U B2 F2 R F'
B2 R' F R F D' L2
B2 R' F D' R F L'
F R' F2 U F' R2 B2
F R' F2 U F' B2 R2
F R' F2 U B2 F' R2
F R' B2 R2 D' F L2
D' R2 L2 F B U' R
D' R2 L2 B F U' R
F' R2 U' L' B U2 B
F' R2 U' B L' U2 B
D' R2 F L2 B U' R
B2 R2 F R D' F L'
D' R2 F B L2 U' R
D' R2 B L2 F U' R
F R2 F2 U F' R' B2
D' R2 B F L2 U' R
D R2 B2 L2 F U R
F' U L' U2 L F' B2
F' U L' U2 L B2 F'
F' U L' U2 F' L B2
F' U L2 F' B2 L2 R'
F' U L2 F' B2 R' L2
F' U L2 B2 L2 F' R'
F' U L2 B2 F' L2 R'
F' U L2 B2 F' R' L2
F' U R' F2 R F' B2
F' U R' F2 R B2 F'
F' U R' F2 B2 R F'
F' U R' B2 F2 R F'
F U R B2 D' F L2
B' U F' U F' B' R'
B' U F' U B' F' R'
F' U F' B D2 B R'
F' U F2 R F B2 D
F' U F2 R F B2 D'
F' U F2 R F B2 D2
F' U F2 R B2 D F
F' U F2 R B2 D' F
F' U F2 R B2 D2 F
F' U F2 R B2 F D
F' U F2 R B2 F D'
F' U F2 R B2 F D2
F' U F2 R' F R2 B2
F' U F2 R' F B2 R2
F' U F2 R' B2 R2 F
F' U F2 R' B2 F R2
F' U F2 R2 F R' B2
F' U F2 B' R F B'
F' U F2 B' R B' F
F' U F2 B2 R D F
F' U F2 B2 R D' F
F' U F2 B2 R D2 F
F' U F2 B2 R F D
F' U F2 B2 R F D'
F' U F2 B2 R F D2
F' U F2 B2 R' F R2
F' U F2 B2 R2 F R'
F' U F2 B2 D R F
F' U F2 B2 D' R F
F' U F2 B2 D2 R F
F' U B F' D2 B R'
F' U B' F2 R F B'
F' U B' F2 R B' F
F' U B2 R' F2 R F'
F' U B2 U2 L' U2 F'
F' U B2 D F2 R F
F' U B2 D' F2 R F
F' U B2 D2 F2 R F
F' U B2 F2 R D F
F' U B2 F2 R D' F
F' U B2 F2 R D2 F
F' U B2 F2 R F D
F' U B2 F2 R F D'
F' U B2 F2 R F D2
F' U B2 F2 R' F R2
F' U B2 F2 R2 F R'
F' U B2 F2 D R F
F' U B2 F2 D' R F
F' U B2 F2 D2 R F
F U B2 R D' F L2
F U B2 D' R F L2
F' U' L' U2 F' B2 D
F' U' L' U2 F' B2 D'
F' U' L' U2 F' B2 D2
F' U' L' U2 B2 D F'
F' U' L' U2 B2 D' F'
F' U' L' U2 B2 D2 F'
F' U' L' U2 B2 F' D
F' U' L' U2 B2 F' D'
F' U' L' U2 B2 F' D2
F' U' L' D2 F2 U2 F
F' U' L' F U2 F2 B2
F' U' L' F U2 B2 F2
F' U' L' F2 U2 F B2
F' U' L' F2 U2 B2 F
F' U' L' B U2 F' B
F' U' L' B U2 B F'
F' U' L' B' U2 F' B'
F' U' L' B' U2 B' F'
F' U' L2 U2 F' B2 R'
F' U' L2 U2 B2 F' R'
F U' R B2 D' F L2
F' U' D2 L' F2 U2 F
F' U' D2 F2 U2 R F
F2 U' F L2 U B2 R'
F2 U' F U' L' U2 B2
B2 U' F' U F R F2
F' U' F2 R F B2 L
F' U' F2 R B2 F L
F' U' F2 U2 R F B2
F' U' F2 U2 R B2 F
F' U' F2 U2 B2 R F
F' U' B L' U2 F' B
F' U' B L' U2 B F'
F U' B2 R D' F L2
F U' B2 D' R F L2
F' U2 L2 U' F' B2 R'
F' U2 L2 U' B2 F' R'
F U2 R B2 D' F L2
D F L2 R2 F2 U R'
R' F R F B2 D' L2
R' F R B2 F D' L2
L' F R B2 D' F L2
F' U2 F2 U' R F B2
F' U2 F2 U' R B2 F
F' U2 F2 U' B2 R F
L2 F R B2 D' F L2
R2 F R B2 D' F L'
L F R B2 D' F L2
D F R2 L2 F2 U R'
D F R2 F2 L2 U R'
F U2 B2 R D' F L2
F U2 B2 D' R F L2
D' F D R F2 L' B2
D' F D R F2 B2 L'
D' F D R B2 F2 L'
D' F D B2 R F2 L'
F' D L2 U' L U2 F'
F' D L2 B2 U F' R'
D F D' L2 R F2 B2
D F D' L2 R B2 F2
D F D' L2 B2 R F2
D F D' R L2 F2 B2
D F D' R L2 B2 F2
D F D' R F2 L2 B2
D F D' R F2 B2 L2
D F D' R B2 L2 F2
D F D' R B2 F2 L2
D F D' F2 L2 B2 R'
D F D' B2 L2 R F2
D F D' B2 R L2 F2
D F D' B2 R F2 L2
R2 F B U' B R F
R' F B2 R F D' L2
L' F B2 R D' F L2
R' F B2 D' R F L'
L' F B2 D' R F L2
L2 F B2 R D' F L2
L2 F B2 D' R F L2
L F B2 R D' F L2
L F B2 D' R F L2
L' F' L2 U F' B2 R'
L' F' L2 U B2 F' R'
B2 D F D' L2 R F2
B2 D F D' R L2 F2
B2 D F D' R F2 L2
L2 F' L2 U F' B2 R'
L2 F' L2 U B2 F' R'
D F' L2 R2 U' L U2
D F' L2 R2 B2 U R'
U F' L' B' U F' B'
U F' L' B' U B' F'
L F' L2 U F' B2 R'
L F' L2 U B2 F' R'
D F' L2 B2 R2 U R
U' F' U F R F2 B2
U' F' U F R B2 F2
U' F' U F B2 R F2
D' F' U D F2 R B2
D' F' U D F2 B2 R
D' F' U D B2 F2 R
D F' R2 L2 U' L U2
D F' R2 L2 B2 U R'
U' F' U B2 F R F2
L' F' U F2 R F B2
L' F' U F2 R B2 F
L' F' U F2 B2 R F
D2 F' U' L' F' B2 U2
D2 F' U' L' B2 F' U2
L' F' U B2 F2 R F
L' F' U' L' U2 F' B2
L' F' U' L' U2 B2 F'
L2 F' U F2 R F B2
L2 F' U F2 R B2 F
L2 F' U F2 B2 R F
L2 F' U B2 F2 R F
L2 F' U' L' U2 F' B2
L2 F' U' L' U2 B2 F'
D F' U D' F2 R B2
D F' U D' F2 B2 R
D F' U D' B2 F2 R
D2 F' U' B2 L' F' U2
U F' U F' B' R' B'
L F' U F2 R F B2
L F' U F2 R B2 F
L F' U F2 B2 R F
U F' U B' F' R' B'
U F' U B2 D2 F' R
L F' U B2 F2 R F
L F' U' L' U2 F' B2
L F' U' L' U2 B2 F'
D' F' D U F2 R B2
D' F' D U F2 B2 R
D' F' D U B2 F2 R
D F' D' U F2 R B2
D F' D' U F2 B2 R
D F' D' U B2 F2 R
U2 F' B' U F' R' B'
F D' R2 U' R' F L2
F D' R2 U' F L2 R'
F D' R2 U' F R' L2
U F' B' U F' B' R'
U F' B' U B' F' R'
B2 D' F D R F2 L'
U F2 U' F U R B2
U F2 U' F U B2 R
F D2 R F D L2 B'
F' D2 U' L' F2 U2 F
F' D2 U' F2 U2 R F
U F2 B2 U' F U R
B2 F L2 R D' L2 F
B2 F L2 D' L2 R F
B2 F L2 D' R L2 F
B' F R D' F B' L2
B' F R D' B' F L2
B2 F R L2 D' L2 F
B2 F R U' F2 U F'
B' F R B' D' F L2
B2 F R D F D2 L2
B2 F R D' F L2 D
B2 F R D' F L2 D'
B2 F R D' F L2 D2
B2 F R D' F' L2 F2
B2 F R D' F2 L2 F'
B2 F R D2 F D L2
B2 F R F U' F U
B2 F R2 D' R' F L2
B2 F R2 D' F L2 R'
B2 F R2 D' F R' L2
R2 B F U' B R F
F' B U F' D2 B R'
F' B U F2 B R F
F' B U B F2 R F
F' B U' L' U2 F' B
F' B U' L' U2 B F'
B2 F D R F2 L' F'
B' F D' R F B' L2
B' F D' R B' F L2
B2 F D' R F L2 D
B2 F D' R F L2 D'
B2 F D' R F L2 D2
B2 F D' R F' L2 F2
B2 F D' R F2 L2 F'
B' F D' B' R F L2
B2 F D' R' F L2 R2
B2 F D' R' F R2 L2
B2 F D' R2 F L2 R'
B2 F D' R2 F R' L2
B2 F D2 R D F L2
B2 F D2 R F D L2
B F D' B R F L2
U2 B' R' F2 D B' L
F B D' B R F L2
F B' R D' F B' L2
F B' R D' B' F L2
F B' R B' D' F L2
B' F' U F2 R F B'
B' F' U F2 R B' F
B' F' U F2 B' R F
B' F' U B' F2 R F
F' B' U F2 R F B'
F' B' U F2 R B' F
F' B' U F2 B' R F
F' B' U B' F2 R F
B F' U F' D2 B R'
B F' U F2 B R F
B F' U B F2 R F
B F' U' L' U2 F' B
B F' U' L' U2 B F'
U2 B' F' U F' R' B'
U B' F' U F' B' R'
U B' F' U B' F' R'
F B' D' R F B' L2
F B' D' R B' F L2
F B' D' B' R F L2
F B2 L2 R D' L2 F
F B2 L2 D' L2 R F
F B2 L2 D' R L2 F
F B2 R L2 D' L2 F
F B2 R U' F2 U F'
F B2 R D F D2 L2
F B2 R D' F L2 D
F B2 R D' F L2 D'
F B2 R D' F L2 D2
F B2 R D' F' L2 F2
F B2 R D' F2 L2 F'
F B2 R D2 F D L2
F B2 R F U' F U
F B2 R2 D' R' F L2
F B2 R2 D' F L2 R'
F B2 R2 D' F R' L2
B2 F2 U' F U' L' U2
F2 B2 U' F U' L' U2
R' B2 F R F D' L2
L' B2 F R D' F L2
R' B2 F D' R F L'
L' B2 F D' R F L2
L2 B2 F R D' F L2
L2 B2 F D' R F L2
F B2 D R F2 L' F'
L B2 F R D' F L2
F B2 D' R F L2 D
F B2 D' R F L2 D'
F B2 D' R F L2 D2
F B2 D' R F' L2 F2
F B2 D' R F2 L2 F'
F B2 D' R' F L2 R2
F B2 D' R' F R2 L2
L B2 F D' R F L2
F B2 D' R2 F L2 R'
F B2 D' R2 F R' L2
F B2 D2 R D F L2
F B2 D2 R F D L2
U B2 F2 U' F U R
