R2 L U' F B R
R2 L U' B F R
L R2 U' F B R
L R2 U' B F R
L U' R F R B
L U' R2 F B R
L U' R2 B F R
L U' F R D2 B2
L U' F D2 R B2
L U' F D2 B2 R
R' L U' R' F B R
R' L U' R' B F R
R' L U' R2 F R B
R2 L U' R' F R B
R2 L U' D F B R
R2 L U' D B F R
R' L U' F R' B R2
R2 L U' D' F B R
R2 L U' D' B F R
R2 L U' D2 F B R
R2 L U' D2 B F R
R2 L U' F D B R
R2 L U' F D' B R
R2 L U' F D2 B R
R2 L U' F B R D
R2 L U' F B R D'
R2 L U' F B R D2
R2 L U' F B D R
R2 L U' F B D' R
R2 L U' F B D2 R
R2 L U' F B' R B2
R2 L U' F B2 R B'
D' L R2 U' F B R
D2 L R2 U' F B R
D' L R2 U' B F R
D2 L R2 U' B F R
R2 L U' B R F R
R2 L U' B R' F R
R2 L U' B R2 F R
R2 L U' B D F R
R2 L U' B D' F R
R2 L U' B D2 F R
D L R2 U' F B R
R2 L U' B F R D
R2 L U' B F R D'
R2 L U' B F R D2
R2 L U' B F D R
R2 L U' B F D' R
R2 L U' B F D2 R
D L R2 U' B F R
R2 L U' B' F R B2
R2 L U' B2 F R B'
B' L R2 F' U F2 B
B' L R2 F' U B F2
R2 L D U' F B R
R2 L D U' B F R
D2 L U' R F R B
D' L U' R F R B
D L U' R F R B
D2 L U' R2 F B R
D' L U' R2 F B R
D2 L U' R2 B F R
D' L U' R2 B F R
D L U' R2 F B R
D L U' R2 B F R
D' L U' F R D2 B2
D2 L U' F R D2 B2
D' L U' F D2 R B2
D2 L U' F D2 R B2
D' L U' F D2 B2 R
D2 L U' F D2 B2 R
F L U' D2 F R B2
F L U' D2 F B2 R
D L U' F R D2 B2
F L U' D2 B2 F R
D L U' F D2 R B2
D L U' F D2 B2 R
R2 L D' U' F B R
R2 L D' U' B F R
R2 L D2 U' F B R
R2 L D2 U' B F R
F L D R2 U' F R
F L D2 U' F R B2
F L D2 U' F B2 R
F L D2 U' B2 F R
L R' U' R' F B R
L R' U' R' B F R
L R' U' R2 F R B
L R' U' F R' B R2
L R2 U' R' F R B
L R2 U' D F B R
L R2 U' D B F R
L R2 U' D' F B R
L R2 U' D' B F R
L R2 U' D2 F B R
L R2 U' D2 B F R
L R2 U' F D B R
L R2 U' F D' B R
L R2 U' F D2 B R
L R2 U' F B R D
L R2 U' F B R D'
L R2 U' F B R D2
L R2 U' F B D R
L R2 U' F B D' R
L R2 U' F B D2 R
L R2 U' F B' R B2
L R2 U' F B2 R B'
L R2 U' B R F R
L R2 U' B R' F R
L R2 U' B R2 F R
L R2 U' B D F R
L R2 U' B D' F R
L R2 U' B D2 F R
L R2 U' B F R D
L R2 U' B F R D'
L R2 U' B F R D2
L R2 U' B F D R
L R2 U' B F D' R
L R2 U' B F D2 R
L R2 U' B' F R B2
L R2 U' B2 F R B'
L R2 D U' F B R
L2 R2 D F L' U' B
L R2 D U' B F R
R2 L2 D F L' U' B
L R2 D' U' F B R
L R2 D' U' B F R
L R2 D2 U' F B R
L R2 D2 U' B F R
L2 R2 F L' U' F B
L2 R2 F L' U' B F
R2 L2 F L' U' F B
R2 L2 F L' U' B F
F L2 D R2 F L' U'
F L2 D F L' R2 U'
F L2 D F R2 L' U'
L U L2 F' B' U2 R'
L U L2 B' F' U2 R'
L' U D F' B' U2 R
L' U D B' F' U2 R
L' U D' F' B' L U2
L' U D' B' L F' U2
L' U D' B' F' L U2
L' U F' D' B' L U2
L U F' U2 F R F
L U F' B L U2 F2
L U F' B' U2 R' F2
L U F' B' U2 F2 R'
L U B F' L U2 F2
L' U B' D F' U2 R
L U B' F' U2 R' F2
L U B' F' U2 F2 R'
L U' R D F R B
L U' R D' F R B
L U' R D2 F R B
L U' R F R D B
L U' R F R D' B
L U' R F R D2 B
L U' R F R B D
L U' R F R B D'
L U' R F R B D2
L U' R F D R B
L U' R F D' R B
L U' R F D2 R B
L U' R F B R B
L U' R F B' R B
L U' R F B2 R B
L U' R B F R B
L U' R B' F R B
L U' R B2 F R B
L U' R' F R' B R2
L U' R2 D F B R
L U' R2 D B F R
L U' R2 D' F B R
L U' R2 D' B F R
L U' R2 D2 F B R
L U' R2 D2 B F R
L U' R2 F D B R
L U' R2 F D' B R
L U' R2 F D2 B R
L U' R2 F B R D
L U' R2 F B R D'
L U' R2 F B R D2
L U' R2 F B D R
L U' R2 F B D' R
L U' R2 F B D2 R
L U' R2 F B' R B2
L U' R2 F B2 R B'
L U' R2 B R F R
L U' R2 B R' F R
L U' R2 B R2 F R
L U' R2 B D F R
L U' R2 B D' F R
L U' R2 B D2 F R
L U' R2 B F R D
L U' R2 B F R D'
L U' R2 B F R D2
L U' R2 B F D R
L U' R2 B F D' R
L U' R2 B F D2 R
L U' R2 B' F R B2
L U' R2 B2 F R B'
L U' D R F R B
L U' D R2 F B R
L U' D R2 B F R
L U' D F R D2 B2
L U' D F D2 R B2
L U' D F D2 B2 R
L U' D' R F R B
L U' D' R2 F B R
L U' D' R2 B F R
L U' D' F R D2 B2
L U' D' F D2 R B2
L U' D' F D2 B2 R
L U' D2 R F R B
L U' D2 R2 F B R
L U' D2 R2 B F R
L U' D2 F R D2 B2
L U' D2 F D2 R B2
L U' D2 F D2 B2 R
L U' F R U2 F2 U2
L U' F R D2 B2 D
L U' F R D2 B2 D'
L U' F R D2 B2 D2
L U' F R B D2 B2
L U' F R B' D2 B2
L U' F R B2 D2 B2
L U' F R2 D2 R' B2
L U' F U2 F2 L' U2
L U' F D' R D' B2
L U' F D2 R B2 D
L U' F D2 R B2 D'
L U' F D2 R B2 D2
L U' F D2 R' B2 R2
L U' F D2 B' R B'
L U' F D2 B2 R D
L U' F D2 B2 R D'
L U' F D2 B2 R D2
L U' F D2 B2 D R
L U' F D2 B2 D' R
L U' F D2 B2 D2 R
L U' F B R D2 B2
L U' F B D2 R B2
L U' F B D2 B2 R
L U' F B' R D2 B2
L U' F B' D2 R B2
