R2 L U R' U2 F
R2 L B2 U' F L
R2 L' U R' B' U2
F2 L' D B2 R2 F'
L' R2 U R' B' U2
L R2 U R' U2 F
L R2 B2 U' F L
R U' R U' R' F'
F2 D L' B2 R2 F'
R2 B2 L' U' L2 F
R2 B2 L2 U' L' F
R2 L U R' U2 D F
R2 L U R' U2 D' F
R2 L U R' U2 D2 F
R2 L U R' U2 F D
R2 L U R' U2 F D'
R2 L U R' U2 F D2
R2 L U R' D U2 F
R2 L U R' D' U2 F
R2 L U R' D2 U2 F
R2 L U R' B U2 F
R2 L U R' B' U2 F
R2 L U R' B2 U2 F
R2 L U D R' U2 F
R2 L U D' R' U2 F
R2 L U D2 R' U2 F
R2 L U B2 U2 F L
L R U' R U' R' F
L R U' R U' F R'
R L U' R U' R' F
R L U' R U' F R'
B' L R2 U R' U2 F
R2 L U' F U2 R' U2
R2 L U' F B2 L B2
B2 L R2 U R' U2 F
B L R2 U R' U2 F
D L R2 U' F B2 L
D L R2 U' B2 F L
R2 L U' B2 F L B2
F2 L R2 F2 U' L2 F'
F2 L R2 F2 U' F' L2
B' L R2 B2 U' F L
B2 L R2 B2 U' F L
B L R2 B2 U' F L
D' L U R F2 U2 F'
D L U R U2 F B2
D L U R U2 B2 F
R' L D R' B2 U' F
D' L U F2 U2 L' F'
R2 L D U R' U2 F
R2 L D B2 U' F L
D L U' F2 L' F' B2
D L U' F2 L' B2 F'
D L U' F2 B2 L' F'
R2 L D' U R' U2 F
D L U' B2 F2 L' F'
R2 L D' B2 U' F L
R' L D2 R' U' F L2
R2 L D2 U R' U2 F
R2 L D2 B2 U' F L
F L F L' D R2 B2
F L F L' D B2 R2
F L F D L' R2 B2
F L F D L' B2 R2
F L F D R2 L' B2
F L F D R2 B2 L'
F L F D B2 L' R2
F L F D B2 R2 L'
L' R B' U' R U' R'
R2 L B' U' D2 F L'
R2 L B' D2 U' F L'
R2 L B2 U' D F L
R2 L B2 U' D' F L
R2 L B2 U' D2 F L
R2 L B2 U' F L D
R2 L B2 U' F L D'
R2 L B2 U' F L D2
R2 L B2 U' F D L
R2 L B2 U' F D' L
R2 L B2 U' F D2 L
R2 L B2 U' F' L F2
R2 L B2 U' F2 L F'
R2 L B2 D U' F L
R2 L B2 D' U' F L
R2 L B2 D2 U' F L
R2 L' U R B' R2 U2
R2 L' U R' D B' U2
R2 L' U R' D' B' U2
R2 L' U R' D2 B' U2
R2 L' U R' B' U2 D
R2 L' U R' B' U2 D'
R2 L' U R' B' U2 D2
R2 L' U R' B' D U2
R2 L' U R' B' D' U2
R2 L' U R' B' D2 U2
R2 L' U R2 B' R U2
R2 L' U D R' B' U2
R2 L' U D' R' B' U2
R2 L' U D2 R' B' U2
L R' D R' B2 U' F
R2 L' D U R' B' U2
B' L' R2 U R' B' U2
B2 L' R2 U R' B' U2
B L' R2 U R' B' U2
R2 L' D' U R' B' U2
R' L' D2 R' U' L2 F
L' R' D2 R' U' L2 F
D' L' U R F2 B' U2
D' L' U R B' F2 U2
L R' D2 R' U' F L2
D L' U R B' U2 B'
R2 L' D2 U R' B' U2
D' L' U F2 B' U2 L'
D' L' U B' R F2 U2
D' L' U B' F2 U2 L'
D L' U B' R U2 B'
F2 L' D F B2 R2 F'
F2 L' D F' B2 R2 F'
F2 L' D F2 B2 R2 F'
F2 L' D B2 R2 D F'
F2 L' D B2 R2 D' F'
F2 L' D B2 R2 D2 F'
F2 L' D B2 R2 F' D
F2 L' D B2 R2 F' D'
F2 L' D B2 R2 F' D2
F2 L' D B2 F R2 F'
F2 L' D B2 F' R2 F'
F2 L' D B2 F2 R2 F'
R L' B' U' R U' R'
L' R2 U R B' R2 U2
L' R2 U R' D B' U2
L' R2 U R' D' B' U2
L' R2 U R' D2 B' U2
L' R2 U R' B' U2 D
L' R2 U R' B' U2 D'
L' R2 U R' B' U2 D2
L' R2 U R' B' D U2
L' R2 U R' B' D' U2
L' R2 U R' B' D2 U2
L' R2 U R2 B' R U2
L' R2 U D R' B' U2
L' R2 U D' R' B' U2
L' R2 U D2 R' B' U2
L R2 U R' U2 D F
L R2 U R' U2 D' F
L R2 U R' U2 D2 F
L R2 U R' U2 F D
L R2 U R' U2 F D'
L R2 U R' U2 F D2
L R2 U R' D U2 F
L R2 U R' D' U2 F
L R2 U R' D2 U2 F
L R2 U R' B U2 F
L R2 U R' B' U2 F
L R2 U R' B2 U2 F
L R2 U D R' U2 F
L R2 U D' R' U2 F
L2 R2 U D2 R' B U2
R2 L2 U D2 R' B U2
L R2 U D2 R' U2 F
L R2 U B2 U2 F L
L R2 U' F U2 R' U2
L R2 U' F B2 L B2
L R2 U' B2 F L B2
L' R2 D U R' B' U2
L R2 D U R' U2 F
L R2 D B2 U' F L
L' R2 D' U R' B' U2
L R2 D' U R' U2 F
F2 L' B2 D R2 F' B2
F2 L' B2 D R2 B2 F'
L2 R2 D' B2 U' L F
R2 L2 D' B2 U' L F
L R2 D' B2 U' F L
L' R2 D2 U R' B' U2
L2 R2 D2 U R' B U2
R2 L2 D2 U R' B U2
L R2 D2 U R' U2 F
L R2 D2 B2 U' F L
D' L2 U F2 U2 L' F
D L2 U' F2 L' F B2
D L2 U' F2 L' B2 F
D L2 U' F2 B2 L' F
D L2 U' B2 F2 L' F
L R2 B' U' D2 F L'
L R2 B' D2 U' F L'
L2 R2 B2 L' U' F L2
R2 L2 B2 L' U' F L2
L2 R2 B2 U' L' F L2
R2 L2 B2 U' L' F L2
L R2 B2 U' D F L
L R2 B2 U' D' F L
L R2 B2 U' D2 F L
L R2 B2 U' F L D
L R2 B2 U' F L D'
L R2 B2 U' F L D2
L R2 B2 U' F D L
L R2 B2 U' F D' L
L R2 B2 U' F D2 L
L R2 B2 U' F' L F2
L R2 B2 U' F2 L F'
L R2 B2 D U' F L
L R2 B2 D' U' F L
L R2 B2 D2 U' F L
L U R U' R U' F
L' U R B' U' R U'
R2 U R' U R' U F'
R2 U R' U' L U' F
R2 U R' B U' L U'
R2 U R' B' U R' U
L' U D R B' U2 B'
L' U D B' R U2 B'
L U D R U2 F B2
L U D R U2 B2 F
L' U D' R F2 B' U2
L' U D' R B' F2 U2
L' U D' F2 B' U2 L'
L' U D' B' R F2 U2
L' U D' B' F2 U2 L'
L U D' R F2 U2 F'
L U D' F2 U2 L' F'
B' R U' R U' R' F'
U' R U' R U' R2 F'
B2 R U' R U' R' F'
B R U' R U' R' F'
U R U' L R U' F
U R U' R L U' F
L' U B' R U' R U'
L' U B' D R U2 B2
L' U B' D' R F2 U2
L' U B' D' F2 U2 L'
R U' L R U' R' F'
R U' L' R U' R' F'
R U' L2 R U' R' F'
R U' R L U' R' F'
R U' R L' U' R' F'
R U' R L2 U' R' F'
R U' R U' R' D F'
R U' R U' R' D' F'
R U' R U' R' D2 F'
R U' R U' R' F' D
R U' R U' R' F' D'
R U' R U' R' F' D2
R U' R U' D R' F'
R U' R U' D' R' F'
R U' R U' D2 R' F'
R U' R U' F R' F'
R U' R U' F' R' F'
R U' R U' F2 R' F'
R U' R D U' R' F'
R U' R D' U' R' F'
R U' R D2 U' R' F'
R U' R F' L' U' R'
U R B U' L R U'
U R B U' R L U'
R U' D R U' R' F'
L U' D F2 L' F' B2
L U' D F2 L' B2 F'
L U' D F2 B2 L' F'
L U' D B2 F2 L' F'
R U' D' R U' R' F'
R U' D2 R U' R' F'
L2 U' F2 L' D F B2
L2 U' F2 L' D B2 F
L2 U' F2 L' F D B2
L U' F2 L' D F' B2
L U' F2 L' D B2 F'
L U' F2 L' F' D B2
L U' F2 D L' F' B2
L U' F2 D L' B2 F'
L U' F2 D B2 L' F'
R2 U2 R U' R2 U2 F'
R2 U2 R U' B R2 U2
R2 U2 R2 U' R U2 F'
B' R2 L U R' U2 F
B2 R2 L U R' U2 F
B R2 L U R' U2 F
D R2 L U' F B2 L
D R2 L U' B2 F L
B' R2 L B2 U' F L
B' R2 L' U R' B' U2
F2 R2 L F2 U' L2 F'
F2 R2 L F2 U' F' L2
B2 R2 L B2 U' F L
B2 R2 L' U R' B' U2
B R2 L B2 U' F L
B R2 L' U R' B' U2
U' R2 U R' U2 R' F'
U2 R2 U R' B U2 R
U2 R2 U' R' B U2 B'
R' D L R' B2 U' F
R2 D L U R' U2 F
R2 D L B2 U' F L
R2 D L' U R' B' U2
R' D R' L B2 U' F
R' D R' B2 L U' F
L' D U R B' U2 B'
L D R2 U' F B2 L
L D R2 U' B2 F L
B' R2 B2 L' U' L2 F
B' R2 B2 L2 U' L' F
L' D U B' R U2 B'
B2 R2 B2 L' U' L2 F
B2 R2 B2 L2 U' L' F
B R2 B2 L' U' L2 F
B R2 B2 L2 U' L' F
L D U R U2 F B2
L D U R U2 B2 F
R D U' R U' R' F'
L D U' F2 L' F' B2
L D U' F2 L' B2 F'
L D U' F2 B2 L' F'
L D U' B2 F2 L' F'
R2 D B2 L' U' L2 F
R2 D B2 L2 U' L' F
R2 D' L U R' U2 F
R2 D' L B2 U' F L
U' D F2 B2 D' L' F
R2 D' L' U R' B' U2
U' D B2 F2 D' L' F
L' D' U R F2 B' U2
L' D' U R B' F2 U2
L' D' U F2 B' U2 L'
L' D' U B' R F2 U2
L' D' U B' F2 U2 L'
L D' U R F2 U2 F'
L D' U F2 U2 L' F'
R D' U' R U' R' F'
D2 U' F2 D' L' F B2
D2 U' F2 D' L' B2 F
D2 U' F2 D' B2 L' F
R' D2 L R' U' F L
R2 D' B2 L' U' L2 F
R2 D' B2 L2 U' L' F
D U' F2 B2 D' L' F
R2 D2 L U R' U2 F
R2 D2 L B2 U' F L
R2 D2 L' U R' B' U2
D U' B2 F2 D' L' F
R' D2 R' L U' F L
R D2 U' R U' R' F'
U' D2 F2 D' L' F B2
U' D2 F2 D' L' B2 F
U' D2 F2 D' B2 L' F
R2 D2 B2 L' U' L2 F
R2 D2 B2 L2 U' L' F
F2 D L R2 F L2 B2
F2 D L R2 F B2 L2
F2 D L R2 B2 F L2
F2 D L F L2 R2 B2
F2 D L F L2 B2 R2
F2 D L F R2 L2 B2
F2 D L F R2 B2 L2
F2 D L F B2 L2 R2
F2 D L F B2 R2 L2
F2 D L B2 R2 F L2
F2 D L B2 F L2 R2
F2 D L B2 F R2 L2
F2 D L' F B2 R2 F'
R F U' F' L' R U'
R F U' F' R L' U'
F2 D L' F' B2 R2 F'
F2 D L' F2 B2 R2 F'
F2 D L' B2 R2 D F'
F2 D L' B2 R2 D' F'
F2 D L' B2 R2 D2 F'
F2 D L' B2 R2 F' D
F2 D L' B2 R2 F' D'
F2 D L' B2 R2 F' D2
F2 D L' B2 F R2 F'
F2 D L' B2 F' R2 F'
F2 D L' B2 F2 R2 F'
F2 D R2 L F L2 B2
F2 D R2 L F B2 L2
F2 D R2 L B2 F L2
F2 D R2 B2 L F L2
F2 D F2 R2 B2 L F
U' F' U L' R2 B' U'
U' F' U L' B' R2 U'
U' F' U R2 L' B' U'
F2 D B2 L R2 F L2
F2 D B2 L F L2 R2
F2 D B2 L F R2 L2
F2 D B2 R2 L F L2
L2 F2 L' D R2 F B2
L2 F2 L' D R2 B2 F
L2 F2 L' D F R2 B2
L2 F2 L' D F B2 R2
L2 F2 L' D B2 R2 F
L2 F2 L' D B2 F R2
D F2 L' B2 D R2 F'
L F2 L' D F' R2 B2
L F2 L' D F' B2 R2
L F2 L' D B2 F' R2
U' F2 D B2 D2 L' F
U' F2 D' L' D2 F B2
U' F2 D' L' D2 B2 F
L' F2 D B2 L' R2 F'
L' F2 D B2 R2 L' F'
L F2 D L' F' R2 B2
L F2 D L' F' B2 R2
L F2 D L' B2 F' R2
L F2 D B2 L' F' R2
R2 B L B U' F L
U B R U' L R U'
U B R U' R L U'
L' B R2 U R' B2 U2
L' B R2 U B2 U2 L
L B R2 U R' U2 F
L B R2 B2 U' F L
F2 B L' D B2 R2 F'
R B U' R U' R' F'
R2 B' L U' D2 F L'
R2 B' L D2 U' F L'
R2 B' L B' U' F L
R2 B' L' U B' U2 L
F2 B D L' B2 R2 F'
L' B' R U' R U' R'
F2 B' L' D B2 R2 F'
L B' R2 U R' U2 F
L B' R2 B2 U' F L
R B' U' R U' R' F'
R2 B' D L B' U' F
R2 B' D2 L U' F L'
F2 B' D L' B2 R2 F'
R2 B2 L' U B' U2 L2
R2 B2 L' U' L2 D F
R2 B2 L' U' L2 D' F
R2 B2 L' U' L2 D2 F
R2 B2 L' U' L2 F D
R2 B2 L' U' L2 F D'
R2 B2 L' U' L2 F D2
R2 B2 L' U' F L2 F
R2 B2 L' U' F' L2 F
R2 B2 L' U' F2 L2 F
R2 B2 L2 U' L' D F
R2 B2 L2 U' L' D' F
R2 B2 L2 U' L' D2 F
R2 B2 L2 U' L' F D
R2 B2 L2 U' L' F D'
R2 B2 L2 U' L' F D2
B' F2 L' D B2 R2 F'
R2 B2 L2 B U' L' F
R2 B2 L2 B' U' L' F
R2 B2 L2 B2 U' L' F
B2 F2 L' D B2 R2 F'
F2 B2 L' D B2 R2 F'
B F2 L' D B2 R2 F'
L' B2 R2 B2 U' L F'
L' B2 R2 B2 U' F' L
L B2 R2 U R' U2 F
L B2 R2 B2 U' F L
R2 B2 U' F' L D F2
R2 B2 U2 R' U L F'
R2 B2 U2 R' U F' L
R B2 U' R U' R' F'
R2 B2 D L' U' L2 F
R2 B2 D L2 U' L' F
B' F2 D L' B2 R2 F'
R2 B2 D' L' U' L2 F
R2 B2 D' L2 U' L' F
B2 F2 D L' B2 R2 F'
F2 B2 D L' B2 R2 F'
R2 B2 D2 L' U' L2 F
R2 B2 D2 L2 U' L' F
U B2 D' R F2 U2 F
B F2 D L' B2 R2 F'
