F' R2 B2 U B' L
F' D' R2 F2 B L
F' D' R2 B L F2
F' D' R2 B F2 L
F D' F2 R2 B L
F' L R2 B2 U B' L
F' L D' R2 F2 B L
F' L D' R2 B L F2
F' L D' R2 B F2 L
F' L' R2 B2 U B' L
F' L' D' R2 F2 B L
F' L' D' R2 B L F2
F' L' D' R2 B F2 L
F' L2 R2 B2 U B' L
F' L2 D' R2 F2 B L
F' L2 D' R2 B L F2
F' L2 D' R2 B F2 L
F L2 D' B' R2 F2 L'
D2 L2 F2 B U' L B
D' L2 B U L R2 F2
D' L2 B U L F2 R2
D' L2 B U R2 L F2
D' L2 B U R2 F2 L
D' L2 B U F2 L R2
D' L2 B U F2 R2 L
D2 L2 B F2 U' L B
D' L2 B' U R2 F2 L'
B2 R D' L2 R F' U
B2 R D' R L2 F' U
B2 R D' R F' L2 U
F2 R' U R' F' B2 U
F2 R' U R' B2 F' U
B' R' F2 U R' B' U
F' R2 L B2 U B' L
F' R2 L' B2 U B' L
F' R2 L2 B2 U B' L
B2 R2 U B D2 B2 L
B2 R2 U B' L D2 B2
B2 R2 U B' D2 L B2
B2 R2 D2 F U L' B2
B2 R2 D2 F U B2 L'
B2 R2 F L2 U B' L
B2 R2 F U L2 B' L
F' R2 F B2 U B' L
F' R2 F' B2 U B' L
D' R2 F2 D' B L B
D' R2 F2 B D' L B2
D' R2 F2 B' D' B2 L
F' R2 F2 B2 U B' L
D' R2 B F2 D' L B2
B' R2 B' U' R F2 U2
B' R2 B' U' F2 U2 L'
D' R2 B' F2 D' B2 L
F' R2 B2 U B' L D
F' R2 B2 U B' L D'
F' R2 B2 U B' L D2
F' R2 B2 U B' D L
F' R2 B2 U B' D' L
F' R2 B2 U B' D2 L
F' R2 B2 F U B' L
F' R2 B2 F' U B' L
F' R2 B2 F2 U B' L
F R2 B2 L2 U B' L
F R2 B2 U L2 B' L
F2 U R' F' R' B2 U
R2 D' L2 B U L R2
R2 D' L2 B U R2 L
F2 U B2 R' F' R' U
R2 D' B L2 U L' R2
R2 D' B L2 U R2 L'
F' U' B2 R2 U B L
F2 U2 D' R2 F' L' F'
F2 U2 D' F' L' F' R2
F2 U2 F D' F2 L' R2
F2 U2 F D' F2 R2 L'
F2 U2 F' L' D' R2 F2
F2 U2 F' L' D' F2 R2
F2 U2 F' D' L' R2 F2
F2 U2 F' D' L' F2 R2
F2 U2 F' D' R2 L' F2
F2 D L2 B' R' B' U2
L' F D' F2 R2 B L
U2 F D' F2 L' R2 B
U2 F D' F2 R2 L' B
U2 F D' F2 R2 B L'
L2 F D' F2 R2 B L
L F D' F2 R2 B L
R2 F B2 L2 U B' L
R2 F B2 U L2 B' L
U2 F' L' D' R2 F2 B
U2 F' L' D' R2 B F2
F2 D B L2 B U2 L'
L' F' R2 B2 U B' L
F2 D B' L2 R' U2 F
F2 D B' R' L2 U2 F
F2 D B' R' B' L2 U2
U2 F' R2 B2 U B' L'
L2 F' R2 B2 U B' L
F' D' L R2 F2 B L
F' D' L R2 B L F2
F' D' L R2 B F2 L
L F' R2 B2 U B' L
F D B2 L2 U2 B' L
F' D' L' R2 F2 B L
F' D' L' R2 B L F2
F' D' L' R2 B F2 L
F' D' L2 R2 F2 B L
F' D' L2 R2 B L F2
F' D' L2 R2 B F2 L
B2 D' L2 R F' U F'
L' F' D' R2 F2 B L
L' F' D' R2 B L F2
L' F' D' R2 B F2 L
U2 F' D' L' R2 F2 B
U2 F' D' L' R2 B F2
B2 D' R L2 F' U F'
U2 F' D' R2 L' F2 B
U2 F' D' R2 L' B F2
U2 F' D' R2 B L' F2
L2 F' D' R2 F2 B L
L2 F' D' R2 B L F2
L2 F' D' R2 B F2 L
B2 D' R F' L2 U F'
B D' L2 B U L' F2
F D' L2 B' R2 F2 L'
L F' D' R2 F2 B L
L F' D' R2 B L F2
L F' D' R2 B F2 L
F' D' R' F2 R' B L
F' D' R2 L F2 B L
F' D' R2 L B L F2
F' D' R2 L B F2 L
F' D' R2 L' F2 B L
F' D' R2 L' B L F2
F' D' R2 L' B F2 L
F' D' R2 L2 F2 B L
F' D' R2 L2 B L F2
F' D' R2 L2 B F2 L
F' D' R2 F' B L F'
F' D' R2 F2 L B L
F' D' R2 F2 L' B L
F' D' R2 F2 L2 B L
F' D' R2 F2 D B L
F' D' R2 F2 D' B L
F' D' R2 F2 D2 B L
F' D' R2 F2 B L D
F' D' R2 F2 B L D'
F' D' R2 F2 B L D2
F' D' R2 F2 B D L
F' D' R2 F2 B D' L
F' D' R2 F2 B D2 L
F' D' R2 B L F2 D
F' D' R2 B L F2 D'
F' D' R2 B L F2 D2
F' D' R2 B L' F2 L2
F' D' R2 B F' L F'
F' D' R2 B F2 L D
F' D' R2 B F2 L D'
F' D' R2 B F2 L D2
F' D' R2 B F2 D L
F' D' R2 B F2 D' L
F' D' R2 B F2 D2 L
U' F' B2 R2 U B L
U2 F' B2 R2 U L' B
U2 F' B2 R2 U B L'
F2 D' U2 R2 F' L' F'
F2 D' U2 F' L' F' R2
F2 D' F R2 F B L
F2 D' F R2 B F L
D2 F2 L2 B U' L B
F' D' F' U2 F' L' R2
F' D' F' U2 F' R2 L'
F' D' B L R2 F2 B
F' D' B L R2 B F2
F' D' B R2 L F2 B
F' D' B R2 L B F2
F' D' B R2 F2 L B
F D' F2 L R2 B L
F D' F2 L' R2 B L
F D' F2 L2 R2 B L
D' F2 R2 D' B L B
F2 D' B U2 L R2 F2
F2 D' B U2 L F2 R2
F2 D' B U2 R2 L F2
F2 D' B U2 R2 F2 L
F2 D' B U2 F2 L R2
F2 D' B U2 F2 R2 L
F D' F2 R2 L B L
F D' F2 R2 L' B L
F D' F2 R2 L2 B L
F D' F2 R2 D B L
F D' F2 R2 D' B L
F D' F2 R2 D2 B L
F D' F2 R2 B L D
F D' F2 R2 B L D'
F D' F2 R2 B L D2
F D' F2 R2 B D L
F D' F2 R2 B D' L
F D' F2 R2 B D2 L
D' F2 R2 B D' L B2
D' F2 R2 B' D' B2 L
F' D' B' R2 F2 L' B
F' D' B' R2 F2 B L'
F' D' B' R2 B F2 L'
F D' F2 B L R2 B
F D' F2 B R2 L B
R' F2 U R' F' B2 U
R' F2 U R' B2 F' U
F2 D' B' R' U2 R' F2
F2 D' B' R' U2 F2 R'
F2 D' B' U2 R2 F2 L'
F D' B F2 L R2 B
F D' B F2 R2 L B
B' D2 L2 F U' B2 L
D2 F2 B L2 U' L' B
D2 F2 B L2 U' B L'
D' F2 B R2 D' L B2
D' B L2 U L' R2 F2
D' B L2 U L' F2 R2
D' B L2 U R2 L' F2
D' B R2 F2 D' L B2
D2 B D L F2 B R2
D2 B D L B R2 F2
D2 B D L B F2 R2
D2 B D F2 L B R2
B2 F L2 R2 U B' L
R2 B D' L2 B U L'
B2 F R2 L2 U B' L
B2 F R2 U L2 B' L
D2 B F2 L2 U' L' B
D2 B F2 L2 U' B L'
D' B F2 R2 D' L B2
D' B' L2 U R2 F2 L'
D' B' R2 F2 D' L' B2
D' B' R2 F2 D' B2 L'
D2 B' D R2 F2 B' L'
D2 B' D R2 B' F2 L'
F2 B' R' U R' B' U
B2 F' R2 U B' L B2
R2 B' D2 B' U B' L
B' F2 R' U R' B' U
F B2 L2 R2 U B' L
F' B2 R2 U B' L B2
R2 B2 U B D2 B2 L
R2 B2 U B' L D2 B2
R2 B2 U B' D2 L B2
F B2 R2 L2 U B' L
F B2 R2 U L2 B' L
U' B2 F' R2 U B L
R B2 D' L2 R F' U
R2 B2 D2 F U L' B2
R2 B2 D2 F U B2 L'
R B2 D' R L2 F' U
R B2 D' R F' L2 U
R2 B2 F L2 U B' L
R2 B2 F U L2 B' L
U2 B2 F' R2 U L' B
U2 B2 F' R2 U B L'
