D' R2 F D' B' L2
D' R2 F B' D' L2
B R2 F' U' F2 B2
B R2 F' U' B2 F2
D' R2 B' F D' L2
B2 U F B D L2
B2 U B D F L2
B2 U B F D L2
R D' R2 F B' L'
R D' R2 B' F L'
R D' F R2 B' L'
R D' F B' L' R2
R D' F B' R2 L'
R D' B' R2 F L'
R D' B' F L' R2
R D' B' F R2 L'
B2 U2 B' U' F B2
B2 U2 B' U' B2 F
B U2 B U F B
B U2 B U B F
R2 F D' R2 B' L2
R2 F D' B' L2 R2
R2 F D' B' R2 L2
D' F B' R2 D L2
R2 F' B2 U F2 B
R2 F' B2 U B F2
B D' R2 F' U' F2
F D' B' R2 D L2
D2 F2 B U' F' B2
D2 F2 B U' B2 F'
D' B U' R2 F B2
D' B U' R2 B2 F
D' B U' F R2 B2
D' B U' F B2 R2
F D2 B' D L2 R2
F D2 B' D R2 L2
D' B U' B2 R2 F
D' B U' B2 F R2
D2 B F2 U' F' B2
D2 B F2 U' B2 F'
D' B' R2 D F L2
D' B' R2 F D L2
D2 B' D R2 F L2
D2 B' D F L2 R2
D2 B' D F R2 L2
D' B' F R2 D L2
R2 B2 F' U F2 B
R2 B2 F' U B F2
B2 L U L' F B L
B2 L U L' B F L
B2 L U L2 B L F
B2 L U B L' F L2
B2 L2 F L2 U F B
B2 L2 F L2 U B F
B2 L2 F U B D2 F2
B2 L2 F U' B' U2 B2
D L2 F B' U' B2 U'
D L2 F B' U2 D L2
D L2 F B' D U2 L2
D L2 F B' D' R2 U2
B' L2 F' D L2 R2 F
B' L2 F' D L2 F R2
B' L2 F' D R2 L2 F
D L2 B' U2 D L2 B'
D L2 B' D U2 L2 B'
D L2 B' D F U2 L2
D L2 B' D' R2 F U2
D L2 B' D' F R2 U2
D L2 B' F U' B2 U'
D L2 B' F U2 D L2
D L2 B' F D U2 L2
D L2 B' F D' R2 U2
R U D' R2 F B' L'
R U D' R2 B' F L'
R U D' F R2 B' L'
R U D' F B' L' R2
R U D' F B' R2 L'
R U D' B' R2 F L'
R U D' B' F L' R2
R U D' B' F R2 L'
R2 U F D' R2 B' L2
R2 U F D' B' L2 R2
R2 U F D' B' R2 L2
R2 U F' B2 U F2 B
R2 U F' B2 U B F2
D' R D R F B' L
D' R D R B' F L
D2 R D R2 F B' L
D2 R D R2 B' F L
D2 R D F R2 B' L
D2 R D F B' L R2
D2 R D F B' R2 L
D2 R D B' R2 F L
D' R D B' R F L
D2 R D B' F L R2
D2 R D B' F R2 L
D' R D' R F B' L'
D' R D' R B' F L'
U' R D' R2 F B' L'
U' R D' R2 B' F L'
F R D B' D2 L R2
F R D B' D2 R2 L
U' R D' F R2 B' L'
U2 R D' R2 F B' L'
U' R D' F B' L' R2
U' R D' F B' R2 L'
U2 R D' R2 B' F L'
D' R D' B' R F L'
U2 R D' F R2 B' L'
U2 R D' F B' L' R2
U' R D' B' R2 F L'
U2 R D' F B' R2 L'
R2 U B2 F' U F2 B
R2 U B2 F' U B F2
U' R D' B' F L' R2
U' R D' B' F R2 L'
F R D' R2 D2 B' L
U2 R D' B' R2 F L'
U R D' R2 F B' L'
U2 R D' B' F L' R2
U2 R D' B' F R2 L'
U R D' R2 B' F L'
U R D' F R2 B' L'
U R D' F B' L' R2
U R D' F B' R2 L'
U R D' B' R2 F L'
U R D' B' F L' R2
U R D' B' F R2 L'
D' R B' R F D' L2
D' R B' D' R F L'
R U' D' R2 F B' L'
R U' D' R2 B' F L'
R U' D' F R2 B' L'
R U' D' F B' L' R2
R U' D' F B' R2 L'
R U' D' B' R2 F L'
R U' D' B' F L' R2
R U' D' B' F R2 L'
R2 U' F D' R2 B' L2
R2 U' F D' B' L2 R2
R2 U' F D' B' R2 L2
R2 U' F' B2 U F2 B
R2 U' F' B2 U B F2
B R' U F R B2 L
B R' U' F B' R' B'
B R' U' B' R' F B'
B R' U' B' R' B' F
B R' U' B' F R' B'
R2 U' B2 F' U F2 B
R2 U' B2 F' U B F2
F R' D' R2 D B' L
R U2 D' R2 F B' L'
R U2 D' R2 B' F L'
R U2 D' F R2 B' L'
R U2 D' F B' L' R2
R U2 D' F B' R2 L'
R U2 D' B' R2 F L'
R U2 D' B' F L' R2
R U2 D' B' F R2 L'
R2 U2 F D' R2 B' L2
R2 U2 F D' B' L2 R2
R2 U2 F D' B' R2 L2
R2 U2 F' B2 U F2 B
R2 U2 F' B2 U B F2
D' R2 U' F' U F2 B'
D' R2 U' F' U B' F2
B R2 U' F B2 D R2
B R2 U' B2 F D R2
F R2 U' F' B2 U B
F R2 U' B2 F' U B
D' R2 D F D' B' L2
D' R2 D F B' D' L2
R' U2 B2 U F B L
R' U2 B2 U B F L
D' R2 D B' F D' L2
D' R2 D' F D' B' L2
D' R2 D' F B' D' L2
D' R2 D' B' F D' L2
R2 U2 B2 F' U F2 B
R2 U2 B2 F' U B F2
B R2 D' F' R2 U' F2
F R2 D' R2 B' D L2
D' R2 D2 F D' B' L2
D' R2 D2 F B' D' L2
D' R2 D2 B' F D' L2
D' R2 F L2 D' L2 B'
D' R2 F U' F2 U B'
D' R2 F D B' D2 L2
D' R2 F D' B L2 B2
D' R2 F D' B' L2 D
D' R2 F D' B' L2 D'
D' R2 F D' B' L2 D2
D' R2 F D' B2 L2 B
U' R2 F D' R2 B' L2
U' R2 F D' B' L2 R2
U' R2 F D' B' R2 L2
D' R2 F B' L D' L2
D' R2 F B' L' D' L2
D' R2 F B' L2 D' L2
D' R2 F B' U' F2 U
D' R2 F B' D' L2 D
D' R2 F B' D' L2 D'
D' R2 F B' D' L2 D2
D' R2 F B2 D' L2 B
D' R2 F B2 D' B L2
U2 R2 F D' R2 B' L2
U2 R2 F D' B' L2 R2
U2 R2 F D' B' R2 L2
B R2 F B2 D L2 R2
B R2 F B2 D R2 L2
B R2 F' L U' F2 B2
B R2 F' L U' B2 F2
B R2 F' L' U' F2 B2
B R2 F' L' U' B2 F2
U R2 F D' R2 B' L2
B R2 F' L2 U' F2 B2
B R2 F' L2 U' B2 F2
U R2 F D' B' L2 R2
U R2 F D' B' R2 L2
U' R2 F' B2 U F2 B
U' R2 F' B2 U B F2
B R2 F' R U' F2 B2
B R2 F' R U' B2 F2
F' R2 F' B2 U F' B
F' R2 F' B2 U B F'
B R2 F' R' U' F2 B2
B R2 F' R' U' B2 F2
B R2 F' R2 U' F2 B2
B R2 F' R2 U' B2 F2
B R2 F' U' F2 B2 D
B R2 F' U' F2 B2 D'
B R2 F' U' F2 B2 D2
B R2 F' U' B2 F2 D
B R2 F' U' B2 F2 D'
B R2 F' U' B2 F2 D2
R D L2 F B' U2 L
U2 R2 F' B2 U F2 B
U2 R2 F' B2 U B F2
B R2 F' D' L2 R2 U'
B R2 F' D' R2 L2 U'
R D L2 B' F U2 L
F R2 F' B2 U F B
F R2 F' B2 U B F
U R2 F' B2 U F2 B
U R2 F' B2 U B F2
D' R2 B' U' F' U F2
D' R2 B' D F D' L2
D' R2 B' D' F D' L2
D' R2 B' D2 F D' L2
D' R2 B' F L D' L2
D' R2 B' F L' D' L2
D' R2 B' F L2 D' L2
D' R2 B' F U' F2 U
D' R2 B' F D' L2 D
D' R2 B' F D' L2 D'
D' R2 B' F D' L2 D2
F R2 B' U' F' B' U
F R2 B' U' B' F' U
D' R2 B2 F D' L2 B
D' R2 B2 F D' B L2
U' R2 B2 F' U F2 B
U' R2 B2 F' U B F2
F' R2 B2 F' U F' B
F' R2 B2 F' U B F'
U2 R2 B2 F' U F2 B
U2 R2 B2 F' U B F2
B R2 B2 F D L2 R2
B R2 B2 F D R2 L2
F R2 B2 F' U F B
F R2 B2 F' U B F
U R2 B2 F' U F2 B
U R2 B2 F' U B F2
R D F B' D2 L R2
R D F B' D2 R2 L
D' U R2 F D' B' L2
D' U R2 F B' D' L2
D' U R2 B' F D' L2
B2 U D F B D L2
D' U F B' R2 D L2
B2 U D B D F L2
B2 U D B F D L2
R D B' D2 R2 F L
R D B' D2 F L R2
R D B' D2 F R2 L
R D B' F D2 L R2
R D B' F D2 R2 L
B2 U D' F B D L2
B2 U D' B D F L2
B2 U D' B F D L2
B2 U D2 F B D L2
B2 U D2 B D F L2
B2 U D2 B F D L2
F U D' B U' R2 B2
F U D' B U' B2 R2
D2 U F2 B U' F' B2
D2 U F2 B U' B2 F'
B2 U F U B' U' B2
D' U B U' R2 F B2
D' U B U' R2 B2 F
B2 U F D B D L2
D' U B U' F R2 B2
D' U B U' F B2 R2
D' U B U' B2 R2 F
D' U B U' B2 F R2
B2 U F D' B D L2
F U D2 F2 B U' B2
B2 U F D2 B D L2
B2 U F B L D L2
B2 U F B L' D L2
B2 U F B L2 D L2
B2 U F B U B2 U'
B2 U F B D L2 D
B2 U F B D L2 D'
B2 U F B D L2 D2
F U D2 B F2 U' B2
D2 U B F2 U' F' B2
D2 U B F2 U' B2 F'
D' U B' R2 D F L2
D' U B' R2 F D L2
D2 U B' D R2 F L2
D2 U B' D F L2 R2
D2 U B' D F R2 L2
D' U B' F R2 D L2
B2 U F2 B D L2 F'
B2 U F2 B D F' L2
B2 U B L2 D L2 F
R' D' R2 D F B' L
R' D' R2 D B' F L
B2 U B U B2 U' F
R' D' R2 D' F B' L'
R' D' R2 D' B' F L'
R' D' R2 F D B' L
B2 U B D F L2 D
B2 U B D F L2 D'
B2 U B D F L2 D2
B2 U B D F' L2 F2
B2 U B D F2 L2 F'
R D' R B' R F L'
B2 U B D' F D2 L2
B2 U B F L D L2
B2 U B F L' D L2
B2 U B F L2 D L2
B2 U B F U B2 U'
B2 U B F D L2 D
B2 U B F D L2 D'
B2 U B F D L2 D2
R' D' R2 B' D' F L'
B2 U B F2 D L2 F'
B2 U B F2 D F' L2
R D' R' F R' B' L'
F U B R2 F' U' B2
R2 D' R2 F B' D L2
F U B U2 B U B
F U B D' R2 F' U'
R2 D' R2 B' D F L2
R2 D' R2 B' F D L2
B' U B2 U2 B U F
R D' R2 D2 F B' L
R D' R2 D2 B' F L
R D' R2 F D B' L'
R D' R2 F D' B' L'
R D' R2 F D2 B' L'
R D' R2 F B L' B2
R D' R2 F B' L' D
R D' R2 F B' L' D'
R D' R2 F B' L' D2
R D' R2 F B' D L'
R D' R2 F B' D' L'
R D' R2 F B' D2 L'
R D' R2 F B2 L' B
R D' R2 B F L' B2
R D' R2 B' F L' D
R D' R2 B' F L' D'
R D' R2 B' F L' D2
R D' R2 B' F D L'
R D' R2 B' F D' L'
R D' R2 B' F D2 L'
R D' R2 B2 F L' B
R D' U R2 F B' L'
R D' U R2 B' F L'
R D' U F R2 B' L'
R D' U F B' L' R2
R D' U F B' R2 L'
R D' U B' R2 F L'
R D' U B' F L' R2
R D' U B' F R2 L'
R' D' F R2 D B' L
R D' U' R2 F B' L'
R D' U' R2 B' F L'
R D' U' F R2 B' L'
R D' U' F B' L' R2
R D' U' F B' R2 L'
R D' U' B' R2 F L'
R D' U' B' F L' R2
R D' U' B' F R2 L'
R D' U2 R2 F B' L'
R D' U2 R2 B' F L'
R2 D' F R2 D' B' L2
R2 D' F R2 B' D' L2
R D' U2 F R2 B' L'
R D' U2 F B' L' R2
R D' U2 F B' R2 L'
R D' U2 B' R2 F L'
R D' U2 B' F L' R2
R D' U2 B' F R2 L'
R2 D' F B' R2 D' L2
R D' F R B' L' R
R D' F R B' R L'
D' U' R2 F D' B' L2
U' D' R2 F D' B' L2
D' U' R2 F B' D' L2
U' D' R2 F B' D' L2
R D' F R2 D B' L'
R D' F R2 D' B' L'
R D' F R2 D2 B' L'
R D' F R2 B L' B2
R D' F R2 B' L' D
R D' F R2 B' L' D'
R D' F R2 B' L' D2
R D' F R2 B' D L'
R D' F R2 B' D' L'
R D' F R2 B' D2 L'
R D' F R2 B2 L' B
U' D' R2 B' F D' L2
D' U' R2 B' F D' L2
R2 D' F' U R2 F2 B'
R2 D' F' U R2 B' F2
R2 D' F' U F2 R2 B'
R2 D' F' U F2 B' R2
R2 D' F' U B' R2 F2
R2 D' F' U B' F2 R2
R D' F B L' R2 B2
R D' F B L' B2 R2
R D' F B R2 L' B2
R D' F B R2 B2 L'
R D' F B' L' R2 D
R D' F B' L' R2 D'
R D' F B' L' R2 D2
R D' F B' R2 L' D
R D' F B' R2 L' D'
R D' F B' R2 L' D2
R D' F B' R2 D L'
R D' F B' R2 D' L'
R D' F B' R2 D2 L'
R D' F B2 L' B R2
U2 D' R2 F D' B' L2
U2 D' R2 F B' D' L2
U2 D' R2 B' F D' L2
D' U' F B' R2 D L2
U' D' F B' R2 D L2
