F L2 U R B' U'
F L2 U B' R U'
U' R F2 U F' B
U' R F2 U B F'
F U R U2 F U
F' U' L' F' U F'
F U' F2 L' F' U
D' F L2 U R U'
D' F U R U' L2
D2 F U R B2 U'
D2 F U B2 R U'
F' L U' L2 F' U F'
F' L U' F' L2 U F'
F L U' F2 L' F U
F' L F D' F L2 B2
F' L F D' F B2 L2
F' L F D' B2 F L2
F' L F2 U' F L2 U
F L' U R B U' L
F L' U B R U' L
F L' U' F' U L' B'
F' L' D F' R2 U R2
F' L' F' R' U R F'
F' L' F' R2 U R2 F'
F L2 U R D B' U'
F L2 U R D' B' U'
F L2 U R D2 B' U'
F L2 U R B' U' D
F L2 U R B' U' D'
F L2 U R B' U' D2
F L2 U R B' D U'
F L2 U R B' D' U'
F L2 U R B' D2 U'
F L2 U R' B' R2 U'
F L2 U D R B' U'
F L2 U D B' R U'
F L2 U D' R B' U'
F L2 U D' B' R U'
F L2 U D2 R B' U'
F L2 U D2 B' R U'
F' L2 U' L F' U F'
F L2 U B R B2 U'
F L2 U B' R U' D
F L2 U B' R U' D'
F L2 U B' R U' D2
F L2 U B' R D U'
F L2 U B' R D' U'
F L2 U B' R D2 U'
F L2 U B' D R U'
F L2 U B' D' R U'
F L2 U B' D2 R U'
F' L2 U' F' L U F'
D' L2 U2 B' U' R' U'
F L2 D U R B' U'
F L2 D U B' R U'
F L2 D' U R B' U'
F L2 D' U B' R U'
F L2 D2 U R B' U'
F L2 D2 U B' R U'
F' L2 F2 U' F L U
F L2 B U R B2 U'
F L2 B U B2 R U'
F L2 B2 U B R U'
U' R U D' F L2 B
U' R U D' F B L2
U' R U D' B F L2
U' R U B D' F L2
U' R D' U F L2 B
U' R D' U F B L2
U' R D' U B F L2
D' R F L2 R' D B2
D2 R F R' D L2 B2
D2 R F R' D B2 L2
D' R F R' L2 D B2
R' U' R D' F L2 B
R' U' R D' F B L2
R' U' R D' B F L2
U' R F2 L U F' B
U' R F2 L U B F'
U' R F2 L' U F' B
U' R F2 L' U B F'
U' R F2 L2 U F' B
U' R F2 L2 U B F'
R' U' R B D' F L2
U' R F2 U D F' B
U' R F2 U D B F'
U' R F2 U D' F' B
U' R F2 U D' B F'
U' R F2 U D2 F' B
U' R F2 U D2 B F'
U' R F2 U F' D B
U' R F2 U F' D' B
U' R F2 U F' D2 B
U' R F2 U F' B D
U' R F2 U F' B D'
U' R F2 U F' B D2
U' R F2 U B D F'
U' R F2 U B D' F'
U' R F2 U B D2 F'
U' R F2 U B F' D
U' R F2 U B F' D'
U' R F2 U B F' D2
U' R F2 D U F' B
U' R F2 D U B F'
U' R F2 D' U F' B
U' R F2 D' U B F'
U' R F2 D2 U F' B
U' R F2 D2 U B F'
R' U' D' R F L2 B
R' U' D' R F B L2
R' U' D' R B F L2
L' U' F R F U B
D' R' U' R F L2 B
D' R' U' R F B L2
D' R' U' R B F L2
U' R' F2 L2 U F' B'
U' R' F2 L2 U B' F'
U' R' F2 U F' D2 B2
U' R' F2 U' F U2 F2
D2 R' B2 U' R F B
D2 R' B2 U' R B F
R D F R' D B2 L
F U L2 R B' L2 U'
F U L2 B' L2 R U'
F U L2 B' R L2 U'
F U R L2 B' L2 U'
F U R U2 D F U
F U R U2 D' F U
F U R U2 D2 F U
F U R U2 F U D
F U R U2 F U D'
F U R U2 F U D2
F U R U2 F D U
F U R U2 F D' U
F U R U2 F D2 U
F U R D U2 F U
F U R D' U2 F U
F U R D2 U2 F U
F U R B U2 F U
F U R B' U2 F U
F U R B2 U2 F U
F U D R U2 F U
F U D' R U2 F U
F U D2 R U2 F U
L2 D' L2 F U R U'
F2 U F' U R F U'
F U B R U2 F U
R' D' U' R F L2 B
R' D' U' R F B L2
R' D' U' R B F L2
F U B' R U2 F U
U' D' R U F L2 B
D' U' R U F L2 B
D' U' R U F B L2
