L2 R' F U R
R' L2 F U R
L2 F R' U R2
L2 R F R2 U R'
L2 R' D F U R
L2 R' D' F U R
L2 R' D2 F U R
L2 R' F U R D
L2 R' F U R D'
L2 R' F U R D2
L2 R' F U D R
L2 R' F U D' R
L2 R' F U D2 R
L2 R' F D U R
L2 R' F D' U R
L2 R' F D2 U R
L2 R' F B U R
L2 R' F B' U R
L2 R' F B2 U R
L2 R' B F U R
L2 R' B' F U R
L2 R' B2 F U R
R' L2 D F U R
R' L2 D' F U R
R' L2 D2 F U R
R' L2 F U R D
R' L2 F U R D'
R' L2 F U R D2
R' L2 F U D R
R' L2 F U D' R
R' L2 F U D2 R
R' L2 F D U R
R' L2 F D' U R
R' L2 F D2 U R
R' L2 F B U R
R' L2 F B' U R
R' L2 F B2 U R
R L2 F R2 U R'
F L2 R' F U R2
R' L2 B F U R
R' L2 B' F U R
R' L2 B2 F U R
F R' L2 F U R2
L2 D R' F U R
L2 D F R' U R2
L2 D' R' F U R
L2 D' F R' U R2
L2 D2 R' F U R
L2 D2 F R' U R2
L2 F R' U R2 D
L2 F R' U R2 D'
L2 F R' U R2 D2
L2 F R' D B2 U
L2 F R' B U R2
L2 F R' B' U R2
L2 F R' B2 U R2
L2 F U R D' F2
L2 F D R' U R2
L2 F D' R' U R2
L2 F D2 R' U R2
L2 F' R' F2 U R
R' L D L F U R
R' L D' L F U R
L2 R D' F U R F
R' L D2 L F U R
L2 R F R2 U R' D
L2 R F R2 U R' D'
L2 R F R2 U R' D2
L2 R F R2 U D R'
L2 R F R2 U D' R'
L2 R F R2 U D2 R'
L2 R F R2 D U R'
L2 R F R2 D' U R'
L2 R F R2 D2 U R'
L2 R F U D' R F2
L2 R F D' U R F2
L2 R F B R2 U R'
L2 R F B' R2 U R'
L2 R F B2 R2 U R'
L2 R F' R2 F2 U R
L2 R B R2 F U R
L2 R B F R2 U R'
L2 R B' R2 F U R
L2 R B' F R2 U R'
L2 R B2 R2 F U R
L2 R B2 F R2 U R'
L R' D L F U R
L2 R' D F U R D
L2 R' D F U R D'
L2 R' D F U R D2
L2 R' D F U D R
L2 R' D F U D' R
L2 R' D F U D2 R
L2 R' D F D U R
L2 R' D F D' U R
L2 R' D F D2 U R
L2 R' D F B U R
L2 R' D F B' U R
L2 R' D F B2 U R
L2 R' D B F U R
L2 R' D B' F U R
L2 R' D B2 F U R
L R' D' L F U R
U L' R' B' L' F U
L2 R' D' F U R D
L2 R' D' F U R D'
L2 R' D' F U R D2
L2 R' D' F U D R
L2 R' D' F U D' R
L2 R' D' F U D2 R
L2 R' D' F D U R
L2 R' D' F D' U R
L2 R' D' F D2 U R
L2 R' D' F B U R
L2 R' D' F B' U R
L2 R' D' F B2 U R
L2 R' D' B F U R
L2 R' D' B' F U R
F' L' U L' R' F U
L2 R' D' B2 F U R
F' L' U L' F R' U
L R' D2 L F U R
F' L' U R' L' F U
L2 R' D2 F U R D
L2 R' D2 F U R D'
L2 R' D2 F U R D2
L2 R' D2 F U D R
L2 R' D2 F U D' R
L2 R' D2 F U D2 R
L2 R' D2 F D U R
L2 R' D2 F D' U R
L2 R' D2 F D2 U R
L2 R' D2 F B U R
L2 R' D2 F B' U R
L2 R' D2 F B2 U R
L2 R' D2 B F U R
L2 R' D2 B' F U R
L2 R' D2 B2 F U R
L2 R' F U R2 D R'
L2 R' F U R2 D' R'
L2 R' F U R2 D2 R'
L2 R' F U D R D
L2 R' F U D R D'
L2 R' F U D R D2
L2 R' F U D' R D
L2 R' F U D' R D'
L2 R' F U D' R D2
L2 R' F U D2 R D
L2 R' F U D2 R D'
L2 R' F U D2 R D2
L2 R' F U B R B'
L2 R' F U B2 R B2
L2 R' F U' L U2 R
L2 R' F U' L' U2 R
L2 R' F U' L2 U2 R
L2 R' F D U R D
L2 R' F D U R D'
L2 R' F D U R D2
L2 R' F D B U R
L2 R' F D B' U R
L2 R' F D B2 U R
L2 R' F D' U R D
L2 R' F D' U R D'
L2 R' F D' U R D2
L2 R' F D' B U R
L2 R' F D' B' U R
L2 R' F D' B2 U R
L2 R' F D2 U R D
