F' L2 U L' U2 L2
F' L2 U' L D2 R2
F L2 U L' R U2
F L2 U R L' U2
L2 U L' U' B' U'
B2 L2 F' U' L' R'
B2 L2 F' U' R' L'
F' L2 F2 U' L R
F' L2 F2 U' R L
F L2 F2 U' L' R
F L2 F2 U' R L'
B2 F' L2 U' L R'
B2 F' L2 U' R' L
F' B2 L2 U' L R'
F' B2 L2 U' R' L
F L R U' L R' U'
F L R U' R' L U'
R' L U' L R B U'
R' L U' R L B U'
U L U F U2 L U'
U L U' L2 B' L' U'
B2 L F' L U' L2 R'
B2 L F' L U' R' L2
L R' U' L R B U'
L R' U' R L B U'
U L B2 U R' F U
U L B2 U F R' U
F' L' D L' F2 U' L
F L' D L' F2 U' L'
F' L' D2 L' U' L R2
F' L' D2 L' U' R2 L
F' L2 U L' R U2 L2
F' L2 U L' R' U2 L2
F' L2 U L' R2 U2 L2
F' L2 U L' U2 L2 D
F' L2 U L' U2 L2 D'
F' L2 U L' U2 L2 D2
F' L2 U L' D2 R2 U2
F' L2 U R L' U2 L2
F' L2 U R' L' U2 L2
F' L2 U R2 L' U2 L2
F' L2 U D L' U2 L2
F' L2 U D' L' U2 L2
F L2 U L' R U2 D
F L2 U L' R U2 D'
F L2 U L' R U2 D2
F L2 U L' R D U2
F L2 U L' R D' U2
F L2 U L' R D2 U2
F' L2 U D2 L' U2 L2
F L2 U L' D R U2
F L2 U L' D' R U2
F L2 U L' D2 R U2
F L2 U R L' U2 D
F L2 U R L' U2 D'
F L2 U R L' U2 D2
F L2 U R L' D U2
F L2 U R L' D' U2
F L2 U R L' D2 U2
F L2 U R D L' U2
F L2 U R D' L' U2
F L2 U R D2 L' U2
F L2 U D L' R U2
F L2 U D R L' U2
F L2 U D' L' R U2
F L2 U D' R L' U2
F L2 U D2 L' R U2
F' L2 U' L R D2 R2
F' L2 U' L R' D2 R2
F L2 U D2 R L' U2
F' L2 U' L R2 D2 R2
F' L2 U' L U2 L2 U2
F' L2 U' L D2 R2 D
F' L2 U' L D2 R2 D'
F' L2 U' L D2 R2 D2
F' L2 U' R L D2 R2
F' L2 U' R' L D2 R2
F' L2 U' R2 L D2 R2
F' L2 U' D L D2 R2
F' L2 U' D' L D2 R2
B2 L2 U' R' U' F' U
F' L2 U' D2 L D2 R2
F' L2 U' F2 L R F2
F' L2 U' F2 R L F2
F' L2 U' F2 R F2 L
F L2 U' F2 L' R F2
F L2 U' F2 R L' F2
F' L2 U2 F2 U L R
F' L2 U2 F2 U R L
B L2 U2 B U L R'
B L2 U2 B U R' L
F L2 U2 F2 U L' R
F L2 U2 F2 U R L'
F' L2 D U L' U2 L2
F' L2 D U' L D2 R2
F' L2 D F2 U' L R
F' L2 D F2 U' R L
B2 L2 D F' U' L' R'
B2 L2 D F' U' R' L'
F L2 D U L' R U2
F L2 D U R L' U2
F L2 D F2 U' L' R
F L2 D F2 U' R L'
F' L2 D' U L' U2 L2
F' L2 D' U' L D2 R2
F' L2 D' F2 U' L R
F' L2 D' F2 U' R L
B2 L2 D' F' U' L' R'
B2 L2 D' F' U' R' L'
F L2 D' U L' R U2
F L2 D' U R L' U2
F L2 D' F2 U' L' R
F L2 D' F2 U' R L'
F' L2 D2 U L' U2 L2
F' L2 D2 U' L D2 R2
L2 U L' R U' B' U'
F' L2 D2 F2 U' L R
F' L2 D2 F2 U' R L
L2 U L' R' U' B' U'
B2 L2 D2 F' U' L' R'
B2 L2 D2 F' U' R' L'
L2 U L' R2 U' B' U'
F L2 D2 U L' R U2
F L2 D2 U R L' U2
L2 U L' U' D B' U'
L2 U L' U' D' B' U'
L2 U L' U' D2 B' U'
L2 U L' U' B' U' D
L2 U L' U' B' U' D'
L2 U L' U' B' U' D2
L2 U L' U' B' D U'
L2 U L' U' B' D' U'
L2 U L' U' B' D2 U'
B L2 D2 F' U' L' R
B L2 D2 F' U' R L'
L2 U L' D U' B' U'
L2 U L' D' U' B' U'
F L2 D2 F2 U' L' R
F L2 D2 F2 U' R L'
L2 U L' D2 U' B' U'
L' U L2 U' L B' U'
B2 L2 F U R U2 R2
B2 L2 F U' R' D2 L2
B2 L2 F' U' L' R' D
B2 L2 F' U' L' R' D'
B2 L2 F' U' L' R' D2
B2 L2 F' U' L' D R'
B2 L2 F' U' L' D' R'
B2 L2 F' U' L' D2 R'
B2 L2 F' U' R' L' D
B2 L2 F' U' R' L' D'
B2 L2 F' U' R' L' D2
B2 L2 F' U' R' D L'
B2 L2 F' U' R' D' L'
B2 L2 F' U' R' D2 L'
B2 L2 F' U' D L' R'
B2 L2 F' U' D R' L'
B2 L2 F' U' D' L' R'
B2 L2 F' U' D' R' L'
B2 L2 F' U' D2 L' R'
B2 L2 F' U' D2 R' L'
L2 U R L' U' B' U'
B2 L2 F' D U' L' R'
B2 L2 F' D U' R' L'
D L2 F' U' L' F' R
B2 L2 F' D' U' L' R'
B2 L2 F' D' U' R' L'
B' L2 F' B' U' L' R'
B' L2 F' B' U' R' L'
B2 L2 F' D2 U' L' R'
B2 L2 F' D2 U' R' L'
B L2 F' B U' L' R'
B L2 F' B U' R' L'
F' L2 F2 U' L R D
F' L2 F2 U' L R D'
F' L2 F2 U' L R D2
F' L2 F2 U' L D R
F' L2 F2 U' L D' R
F' L2 F2 U' L D2 R
F' L2 F2 U' R L D
F' L2 F2 U' R L D'
F' L2 F2 U' R L D2
F' L2 F2 U' R D L
F' L2 F2 U' R D' L
F' L2 F2 U' R D2 L
F' L2 F2 U' D L R
F' L2 F2 U' D R L
F' L2 F2 U' D' L R
F' L2 F2 U' D' R L
F' L2 F2 U' D2 L R
F' L2 F2 U' D2 R L
F' L2 F2 D U' L R
F' L2 F2 D U' R L
F' L2 F2 D' U' L R
F' L2 F2 D' U' R L
F' L2 F2 D2 U' L R
F' L2 F2 D2 U' R L
L2 U R' L' U' B' U'
F L2 F2 U' L' R D
F L2 F2 U' L' R D'
F L2 F2 U' L' R D2
F L2 F2 U' L' D R
F L2 F2 U' L' D' R
F L2 F2 U' L' D2 R
F L2 F2 U' R L' D
F L2 F2 U' R L' D'
F L2 F2 U' R L' D2
F L2 F2 U' R D L'
F L2 F2 U' R D' L'
F L2 F2 U' R D2 L'
F L2 F2 U' D L' R
F L2 F2 U' D R L'
F L2 F2 U' D' L' R
F L2 F2 U' D' R L'
F L2 F2 U' D2 L' R
F L2 F2 U' D2 R L'
F L2 F2 D U' L' R
F L2 F2 D U' R L'
F L2 F2 D' U' L' R
F L2 F2 D' U' R L'
F L2 F2 D2 U' L' R
F L2 F2 D2 U' R L'
F L2 F2 B U' L' R
F L2 F2 B U' R L'
F L2 F2 B' U' L' R
F L2 F2 B' U' R L'
F L2 F2 B2 U' L' R
F L2 F2 B2 U' R L'
L2 U R2 L' U' B' U'
F L2 B U L' R U2
F L2 B U R L' U2
B L2 B F' U' L' R'
B L2 B F' U' R' L'
F L2 B F2 U' L' R
F L2 B F2 U' R L'
L2 U D L' U' B' U'
B' L2 B' F' U' L' R'
B' L2 B' F' U' R' L'
F L2 B' U L' R U2
F L2 B' U R L' U2
F' L2 B2 U L' R' U2
F' L2 B2 U R' L' U2
F L2 B' F2 U' L' R
F L2 B' F2 U' R L'
L2 U D' L' U' B' U'
F L2 B2 U L' R U2
F L2 B2 U R L' U2
F L2 B2 F2 U' L' R
F L2 B2 F2 U' R L'
L2 U D2 L' U' B' U'
F R L U' L R' U'
F R L U' R' L U'
L U' L R B U' B'
L U' L B' U' B L
L U' R L B U' B'
L U' B' U' B L F
L2 U2 F2 B U L R
L2 U2 F2 B U R L
L2 U2 B U L D2 R2
L2 U2 B U' L' U2 L2
L2 U2 B F2 U L R
L2 U2 B F2 U R L
L2 U2 B' U' L' R' U2
L2 U2 B' U' R' L' U2
F' R2 D B2 L' R' F2
F' R2 D B2 L' F2 R'
F' R2 D B2 R' L' F2
F R2 D F2 B2 L R'
F R2 D F2 B2 R' L
F R2 D B2 L R' F2
F R2 D B2 L F2 R'
F R2 D B2 R' L F2
F R2 D B2 R' F2 L
F R2 D B2 F2 L R'
F R2 D B2 F2 R' L
L2 D U L' U' B' U'
D2 U L U R2 F U
D2 U L U F R2 U
F' U L U' L U' L
D' U L B2 U F U
D U L U F U F
F U L R U' L U'
U D L U F U F
R2 D F' B2 L' F' R'
F U R L U' L U'
F U R D L U2 F2
F U R D' L B2 U2
F U R D' B2 U2 R'
F' U D L U2 L2 F2
F' U D L U2 F2 L2
F' U D' L B2 U2 L2
R2 D B2 R' F' L' F'
F U D L R U2 F2
F U D L U2 F2 L'
F U D R L U2 F2
F' U D' B2 U2 L' R'
F' U D' B2 U2 R' L'
R2 D B2 F' L' F' R'
F U D' L R B2 U2
F U D' L B2 R U2
F U D' R L B2 U2
F U D' R B2 U2 R'
F U D' B2 R U2 R2
L2 D' U L' U' B' U'
U D' L B2 U F U
F' U' D L' F2 D2 R2
F' U' D L2 F2 L R
F' U' D L2 F2 R L
F' U' D' L' D2 R2 F2
F' U' D' L' D2 F2 R2
F U' D L2 F2 L' R
F U' D L2 F2 R L'
F U' D F2 L' D2 R2
L' D2 L' F' U' L' R2
L' D2 L' F' U' R2 L'
U D2 L U R2 F U
U D2 L U F R2 U
L2 D2 U L' U' B' U'
L F L U L' R U2
L F L U R L' U2
L F L F2 U' L' R
L F L F2 U' R L'
L F R U' L R' U'
L F R U' R' L U'
D' F U L R B2 U2
D' F U L B2 R U2
D' F U R L B2 U2
D' F U R B2 U2 R'
D' F U B2 R U2 R2
F' D L2 U' F2 L R
F' D L2 U' F2 R L
R2 F D F2 B2 L' R'
R2 F D F2 B2 R' L'
R2 F D B2 F2 L' R'
R2 F D B2 F2 R' L'
F D L2 U' F2 L' R
F D L2 U' F2 R L'
F' D U L U2 L2 F2
F' D U L U2 F2 L2
F' D U' L' F2 D2 R2
F' D U' L2 F2 L R
F' D U' L2 F2 R L
F D U L R U2 F2
F D U L U2 F2 L'
F D U R L U2 F2
F D U' L2 F2 L' R
F D U' L2 F2 R L'
L F' L U L' U2 L'
F D U' F2 L' D2 R2
L F' L F2 U' L2 R
L F' L F2 U' R L2
B2 D F' U' L' F' R'
D' F' U L B2 U2 L2
D' F' U B2 U2 L' R'
D' F' U B2 U2 R' L'
D' F' U' L' D2 R2 F2
D' F' U' L' D2 F2 R2
F' D B2 U' L' R' F2
F' D B2 U' L' F2 R'
F' D B2 U' R' L' F2
D F' U L U2 L2 F'
D F' U L U2 F' L2
L2 F' U' L' F' R F
L2 F' U' F' R F L'
D F' U' L' D2 F' R2
D F' U' L' F' D2 R2
F D B2 U' F2 L' R'
F D B2 U' F2 R' L'
R2 F' D B2 L' R' F2
R2 F' D B2 L' F2 R'
R2 F' D B2 R' L' F2
L2 F' D2 B U' L' R'
L2 F' D2 B U' R' L'
F' D' U L B2 U2 L2
F' D' U B2 U2 L' R'
F' D' U B2 U2 R' L'
