B' L R' F2 B' U
B' L R' B' F2 U
B' L F2 R' B' U
F2 L B' L R' U
F2 L B' R' L U
B' R' L F2 B' U
B' R' L B' F2 U
B' R' F2 L B' U
L F2 B' L R' U
L F2 B' R' L U
L B' L R' F2 U
L B' L F2 R' U
L B' R' L F2 U
L B' R' F2 L U
F2 B' L R' B' U
F2 B' R' L B' U
L B' F2 L R' U
L B' F2 R' L U
B' F2 L R' B' U
B' F2 R' L B' U
B' L R F2 R2 B' U
B' L R F2 B' R2 U
B' L R B' R2 F2 U
B' L R B' F2 R2 U
F2 L R B' L R' U
F2 L R B' R' L U
B' L R' D' B' U L2
B L R' U2 F2 B' U
B L R' U2 B' F2 U
B' L R' F2 D B' U
B' L R' F2 D' B' U
B' L R' F2 D2 B' U
B' L R' F2 B' U D
B' L R' F2 B' U D'
B' L R' F2 B' U D2
B' L R' F2 B' D U
B' L R' F2 B' D' U
B' L R' F2 B' D2 U
B' L R' B' U D' L2
B' L R' B' D' U L2
B' L R' B' F2 U D
B' L R' B' F2 U D'
B' L R' B' F2 U D2
B' L R' B' F2 D U
B' L R' B' F2 D' U
B' L R' B' F2 D2 U
F2 L R' B' L R' U
F2 L R' B' R' L U
B' L R2 B' R F2 U
F2 L R2 B' L R' U
F2 L R2 B' R' L U
B' L D' R' B' U L2
F2 L D' B' R' U B
R' L F2 B' L R' U
R' L F2 B' R' L U
B' L F R' F B' U
B' L F R' B' F U
R2 L F2 B' L R' U
L R F2 B' L R' U
R2 L F2 B' R' L U
L R F2 B' R' L U
R L F2 B' L R' U
R L F2 B' R' L U
R' L B' L R' F2 U
R' L B' L F2 R' U
R2 L B' L R' F2 U
L R B' L R' F2 U
R2 L B' L F2 R' U
L R B' L F2 R' U
R L B' L R' F2 U
R' L B' R' L F2 U
R L B' L F2 R' U
R' L B' R' F2 L U
R2 L B' R' L F2 U
L R B' R' L F2 U
F' L F' B' L R' U
F' L F' B' R' L U
R2 L B' R' F2 L U
L R B' R' F2 L U
R L B' R' L F2 U
R L B' R' F2 L U
R' L B' F2 L R' U
R' L B' F2 R' L U
B' L F2 R B' R2 U
B' L F2 R' D B' U
B' L F2 R' D' B' U
B' L F2 R' D2 B' U
B' L F2 R' B' U D
B' L F2 R' B' U D'
B' L F2 R' B' U D2
B' L F2 R' B' D U
B' L F2 R' B' D' U
B' L F2 R' B' D2 U
B' L F2 R2 B' R U
R2 L B' F2 L R' U
L R B' F2 L R' U
R2 L B' F2 R' L U
L R B' F2 R' L U
R L B' F2 L R' U
R L B' F2 R' L U
B' L F2 D R' B' U
B' L F2 D' R' B' U
B' L F2 D2 R' B' U
U' L F2 B' L U F'
F' L B' L F' R' U
F2 L B' L R' U D
F2 L B' L R' U D'
F2 L B' L R' U D2
F2 L B' L R' D U
F2 L B' L R' D' U
F2 L B' L R' D2 U
F2 L B' L D R' U
F2 L B' L D' R' U
F2 L B' L D2 R' U
F2 L B' R' L U D
F2 L B' R' L U D'
F2 L B' R' L U D2
F2 L B' R' L D U
F2 L B' R' L D' U
F2 L B' R' L D2 U
F2 L B' R' D L U
F2 L B' R' D' L U
F2 L B' R' D2 L U
F2 L B' D L R' U
F2 L B' D R' L U
