U2 L F R U' L2
U' L' D F2 B' R'
U' L' D B' R' F2
U' L' D B' F2 R'
U' L' B' R' D F2
U' L' B' D R' F2
U' L' B' D F2 R'
L U' L' B' L' R'
L U' L' B' R' L'
L B' R' F' U' L2
U2 L R F R U' L2
B L R B R' U L2
U2 L R' F R U' L2
F L R' F' U' L' B'
U2 L R2 F R U' L2
D' L U' L' B' L' R'
D' L U' L' B' R' L'
D2 L U' L' B' L' R'
D2 L U' L' B' R' L'
D L U' L' B' L' R'
D L U' L' B' R' L'
U2 L D' F R B2 U'
U2 L D' F B2 R U'
R' L F' U' L' B' L'
U2 L D' B2 F R U'
R' L F' B' R' U' L2
U2 L F R U' L2 D
U2 L F R U' L2 D'
U2 L F R U' L2 D2
U2 L F R D' B2 U'
U2 L F R B U' L2
U2 L F R B' U' L2
U2 L F R B2 U' L2
F' L F U' L' B' R'
U2 L F D' R B2 U'
U2 L F D' B2 R U'
U2 L F B R U' L2
U2 L F B' R U' L2
U2 L F B2 R U' L2
F L F' U' L' B' R'
R' L B' F' R' U' L2
F2 L F2 U' L' B' R'
U2 L B F R U' L2
D2 L B' R' F' U' L2
D' L B' R' F' U' L2
D L B' R' F' U' L2
F L B' R' F' U' L'
U' L B' U' L2 R' B'
U' L B' U' R' L2 B'
U2 L B' F R U' L2
U2 L B2 F R U' L2
U' L' R D F2 B' R'
U' L' R D B' R' F2
U' L' R D B' F2 R'
U' L' R B' R' D F2
U' L' R B' D R' F2
U' L' R B' D F2 R'
U' L' R' D F2 B' R'
U' L' R' D B' R' F2
U' L' R' D B' F2 R'
U' L' R' B' R' D F2
U' L' R' B' D R' F2
U' L' R' B' D F2 R'
U' L' R2 D F2 B' R'
U' L' R2 D B' R' F2
U' L' R2 D B' F2 R'
U' L' R2 B' R' D F2
U' L' R2 B' D R' F2
U' L' R2 B' D F2 R'
L R' F' U' L' B' L'
L R' F' B' R' U' L2
U' L' D R F2 B' R'
U' L' D R B' R' F2
U' L' D R B' F2 R'
U' L' D R' F2 B' R'
U' L' D R' B' R' F2
U' L' D R' B' F2 R'
U' L' D R2 F2 B' R'
U' L' D R2 B' R' F2
U' L' D R2 B' F2 R'
U' L' D F B' R' F
U' L' D F2 R B' R'
U' L' D F2 R' B' R'
U' L' D F2 R2 B' R'
U' L' D F2 D B' R'
U' L' D F2 D' B' R'
U' L' D F2 D2 B' R'
U' L' D F2 B' R' D
U' L' D F2 B' R' D'
U' L' D F2 B' R' D2
U' L' D F2 B' D R'
U' L' D F2 B' D' R'
U' L' D F2 B' D2 R'
U' L' D B' R F2 R2
U' L' D B' R' F2 D
U' L' D B' R' F2 D'
U' L' D B' R' F2 D2
U' L' D B' F R' F
U' L' D B' F2 R' D
U' L' D B' F2 R' D'
U' L' D B' F2 R' D2
U' L' D B' F2 D R'
U' L' D B' F2 D' R'
U' L' D B' F2 D2 R'
U L' D F R F B
U L' D F R B F
U' L' D2 B' D' R' F2
U' L' D2 B' D' F2 R'
L R' B' F' R' U' L2
U L' F R D F2 B
U L' F R D B F2
U' L' F D F2 B' R'
U' L' F D B' R' F2
U' L' F D B' F2 R'
U L' F R B D F2
U' L' F B' R' D F2
U' L' F B' D R' F2
U' L' F B' D F2 R'
U L' F D R F2 B
U L' F D R B F2
U' L' F' D F2 B' R'
U' L' F' D B' R' F2
U' L' F' D B' F2 R'
U' L' F' B' R' D F2
U' L' F' B' D R' F2
U' L' F' B' D F2 R'
U L' F' D F2 R B
U' L' F2 D F2 B' R'
U' L' F2 D B' R' F2
U' L' F2 D B' F2 R'
U' L' F2 B' R' D F2
U' L' F2 B' D R' F2
U' L' F2 B' D F2 R'
U' L' B' R' U L2 U'
U' L' B' R' D F2 D
U' L' B' R' D F2 D'
U' L' B' R' D F2 D2
U' L' B' R' F D F2
U' L' B' R' F' D F2
U' L' B' R' F2 D F2
U' L' B' R2 D R F2
U' L' B' U L2 U' R'
U' L' B' D R F2 R2
U' L' B' D R' F2 D
U' L' B' D R' F2 D'
U' L' B' D R' F2 D2
U' L' B' D F R' F
U' L' B' D F2 R' D
U' L' B' D F2 R' D'
U' L' B' D F2 R' D2
U' L' B' D F2 D R'
U' L' B' D F2 D' R'
U' L' B' D F2 D2 R'
U' L' B' D' R' D2 F2
U' L' B' F R' D F2
U' L' B' F D R' F2
U' L' B' F D F2 R'
U' L' B' F' R' D F2
U' L' B' F' D R' F2
U' L' B' F' D F2 R'
U' L' B' F2 R' D F2
U' L' B' F2 D R' F2
U' L' B' F2 D F2 R'
B' L2 R' F' U' L F
L U L' U2 L' B' R'
L U R B L2 F R
L U R' F' L' U2 L'
U2 R L F R U' L2
B R L B R' U L2
U' R L' D F2 B' R'
U' R L' D B' R' F2
U' R L' D B' F2 R'
U' R L' B' R' D F2
U' R L' B' D R' F2
U' R L' B' D F2 R'
L U F R B L2 F
L U F' L' U2 L' B'
L U B L2 F R B
L U' L' R B' L' R'
L U' L' R B' R' L'
L U' L' R' B' L' R'
L U' L' R' B' R' L'
L U' L' R2 B' L' R'
L U' L' R2 B' R' L'
L U' L' D B' L' R'
L U' L' D B' R' L'
L U' L' D' B' L' R'
L U' L' D' B' R' L'
L U' L' D2 B' L' R'
L U' L' D2 B' R' L'
L U' L' B' L' R' D
L U' L' B' L' R' D'
L U' L' B' L' R' D2
L U' L' B' L' D R'
L U' L' B' L' D' R'
L U' L' B' L' D2 R'
L U' L' B' R' L' D
L U' L' B' R' L' D'
L U' L' B' R' L' D2
L U' L' B' R' D L'
L U' L' B' R' D' L'
L U' L' B' R' D2 L'
L U' L' B' D L' R'
L U' L' B' D R' L'
L U' L' B' D' L' R'
L U' L' B' D' R' L'
L U' L' B' D2 L' R'
L U' L' B' D2 R' L'
L U' L' B2 L' B R'
L U' L2 D2 B' R' B
L U' L2 B' D2 R' B
L U' R L' B' L' R'
L U' R L' B' R' L'
L U' R' L' B' L' R'
L U' R' L' B' R' L'
L U' R2 L' B' L' R'
L U' R2 L' B' R' L'
U R B D L' F R
U2 R' L F R U' L2
U' R' L' D F2 B' R'
U' R' L' D B' R' F2
U' R' L' D B' F2 R'
F R' L F' U' L' B'
U' R' L' B' R' D F2
U' R' L' B' D R' F2
U' R' L' B' D F2 R'
B' R' L2 F' U' L F
L U' B' L' R' B' L'
L U' B' L2 D2 R' B
L U' B' R' L' B' L'
L U2 L' B' U L' B'
B' R' F' U' L F L'
B' R' B L F' U' L2
U2 R2 L F R U' L2
U' R2 L' D F2 B' R'
U' R2 L' D B' R' F2
U' R2 L' D B' F2 R'
U' R2 L' B' R' D F2
U' R2 L' B' D R' F2
U' R2 L' B' D F2 R'
L U2 F' L' B' U L'
U2 D L F R U' L2
U' D L' D F2 B' R'
U' D L' D B' R' F2
U' D L' D B' F2 R'
U' D L' B' R' D F2
U' D L' B' D R' F2
U' D L' B' D F2 R'
U2 D' L F R U' L2
U' D' L' D F2 B' R'
D' U' L' D F2 B' R'
D' U' L' D B' R' F2
U' D' L' D B' R' F2
D' U' L' D B' F2 R'
U' D' L' D B' F2 R'
D2 U' L' D F2 B' R'
D2 U' L' D B' R' F2
D2 U' L' D B' F2 R'
U' D' L' B' R' D F2
D' U' L' B' R' D F2
U' D' L' B' D R' F2
D' U' L' B' D R' F2
U' D' L' B' D F2 R'
D' U' L' B' D F2 R'
D2 U' L' B' R' D F2
D2 U' L' B' D R' F2
D2 U' L' B' D F2 R'
D U' L' D F2 B' R'
D U' L' D B' R' F2
D U' L' D B' F2 R'
D U' L' B' R' D F2
D U' L' B' D R' F2
D U' L' B' D F2 R'
L D' B' R' F' B' U'
L D' B' R' B' F' U'
D' U2 L F R U' L2
D2 U2 L F R U' L2
U' D2 L' D F2 B' R'
U' D2 L' D B' R' F2
U' D2 L' D B' F2 R'
U2 D2 L F R U' L2
U' D2 L' B' R' D F2
U' D2 L' B' D R' F2
U' D2 L' B' D F2 R'
D U2 L F R U' L2
F' U2 L F R U' L'
L2 F U L F R B
B D L U L2 F R
L F U' L' B' L' R'
L F U' L' B' R' L'
L F B' R' F' U' L2
F' D' L B' R' F' U'
L F' U' L' B' L' R'
L F' U' L' B' R' L'
R' F' D' L B' R' U'
L F' B' R' F' U' L2
L F2 U' L' B' L' R'
L F2 U' L' B' R' L'
L F2 B' R' F' U' L2
U B D L' F R B
R B D L U L2 F
L B D' B2 R' F' U'
L' B' L2 R' F' U' L2
L' B' R' L2 F' U' L2
L' B' R' F' L2 U' L2
L B' R' D' F' B2 U'
L B' R' D' B2 F' U'
L B' R' F' U' L2 D
L B' R' F' U' L2 D'
L B' R' F' U' L2 D2
L B' R' F' D' B2 U'
L B' R' F' B U' L2
L B' R' F' B' U' L2
L B' R' F' B2 U' L2
U2 B' U L' B' R' F'
L B' R' B F' U' L2
L B' R' B' F' U' L2
L B' R' B2 F' U' L2
L B' D' R' F' B2 U'
L B' D' R' B2 F' U'
L B' F R' F' U' L2
L B' F' R' F' U' L2
L B' F2 R' F' U' L2
U2 B2 R' U L' B' R'
R B2 R' B' L U L2
