F' L' B R U L U
F R2 U' L' F' R' B'
B U L U2 F U' L'
F' U L' B R U2 B
F U L' R2 F' R' B
F U R D2 L' F B
F U R D2 L' B F
F U R D2 B L' F
F U R B D2 L' F
F U R2 L' F' R' B
F' U B L' R U2 B
F' U B R L' U2 B
F U B U2 L' R B'
F U B U2 L' B' R
F U B U2 R L' B'
F' U' L' B R U2 B2
F U' L' R2 F' R' B'
F U' L' B' R D2 F2
F U' L' B' D2 R F2
F U' R D2 L' F B'
F U' R D2 L' B' F
F U' R2 L' F' R' B'
F' U' B L' R U2 B'
F' U' B R L' U2 B'
F U' B U2 L' R B
F U' B U2 R L' B
F U' B U2 R B L'
R2 F U L' R F2 B
R2 F U L' R B F2
R2 F U R L' F2 B
R2 F U R L' B F2
R2 F U R B L' F2
R F U L' R F' B
R F U L' R B F'
R2 F U' L' R F2 B'
R2 F U' L' R B' F2
R2 F U' L' B' R F2
R F U R L' F' B
R F U R L' B F'
R F U R B L' F'
R2 F U' R L' F2 B'
R2 F U' R L' B' F2
R F U' L' R F' B'
R F U' L' R B' F'
R F U' L' B' R F'
R F U' R L' F' B'
R F U' R L' B' F'
F' B L' R U L2 U
F' B L' R U2 D' B2
F' B L' R D F2 U2
F' B L' R D' U2 B2
F' B L' D R F2 U2
F' B L' D F2 U2 L'
F' B L' D' R U2 B2
F' B R L' U L2 U
F' B R L' U2 D' B2
F' B R L' D F2 U2
F' B R L' D' U2 B2
B F U L U L2 R
B F U L U R L2
F B U L U L2 R
F B U L U R L2
B F U2 L' R D' B2
B F U2 L' D' R B2
B F U2 L' D' B2 R
B F U2 R L' D' B2
F B U2 L' R D' B2
F B U2 L' D' R B2
F B U2 L' D' B2 R
F B U2 R L' D' B2
B F' L' R U L2 U
B F' L' R U2 D' B2
B F' L' R D F2 U2
B F' L' R D' U2 B2
B F' L' D R F2 U2
B F' L' D F2 U2 L'
B F' L' D' R U2 B2
B F' R L' U L2 U
B F' R L' U2 D' B2
B F' R L' D F2 U2
B F' R L' D' U2 B2
