U R' U B' R' U
U L' R' D' B' L U2
U L' D' R' B' L U2
L U L R' U2 F R
L U L' R' B' U2 R'
F' L2 F L U R' U2
F' L2 F L B2 U' L
F2 L2 F L' U R' U2
F2 L2 F L' B2 U' L
F2 L2 F B2 L' U' L2
L U R' L U2 F R
L U R' L' B' U2 R'
L U R' B L U2 F
L U R' B' U2 R' F'
F2 L2 B2 F L' U' L2
U2 R D' F2 B' R' U
U2 R D' B' R' F2 U
U2 R D' B' F2 R' U
U2 R D2 B' R' U L2
U2 R B' R' U' R' U2
U2 R B' D' R' F2 U
U2 R B' D' F2 R' U
U2 R B' D2 R' U L2
U R' L' D' B' L U2
U R' U R B' R' U
U R' U R' B' R' U
U R' U R2 B' R' U
U R' U D B' R' U
U R' U D' B' R' U
U R' U D2 B' R' U
U R' U B' R' U D
U R' U B' R' U D'
U R' U B' R' U D2
U R' U B' R' D U
U R' U B' R' D' U
U R' U B' R' D2 U
U R' U B' D R' U
U R' U B' D' R' U
U R' U B' D2 R' U
U R' D U B' R' U
U R' D' U B' R' U
U R' D2 U B' R' U
U2 R' B' R' U' R U2
U2 R' B' R' F2 U L'
B2 R2 F' L' R2 U' L2
B2 R2 F' R2 L' U' L2
U2 R2 F2 B' R' U L'
U2 R2 B' R' U D2 L2
U2 R2 B' R' U' R2 U2
U2 R2 B' R' D' F2 U
U2 R2 B' R' D2 U L2
U2 R2 B' F2 R' U L'
D' U R' U B' R' U
D2 U R' U B' R' U
D U R' U B' R' U
F U R' U R2 B' U
F U R' U B' R2 U
U D R' U B' R' U
U D' R' U B' R' U
B' U' R B R' U2 B'
B' U' B R' U2 F' B'
B' U' B R' U2 B' F'
B' U' B' U2 L F B
B' U' B' U2 L B F
U D2 R' U B' R' U
F U2 R D' F2 B' U
F U2 R D' B' F2 U
F U2 R D2 B' U L2
F U2 R B' U D2 L2
F U2 R B' U' R2 U2
F U2 R B' D' F2 U
F U2 R B' D2 U L2
L2 F U R' U R2 U
L2 F U R' U2 D' F2
L2 F U R' D B2 U2
L2 F U R' D' U2 F2
F U2 B' D' R F' U
L2 F U2 R U D2 L2
L2 F U2 R U' R2 U2
L2 F U2 R D' F2 U
L2 F U2 R D2 U L2
L2 F B2 U2 R U L
L' F' L' F U R' U2
L' F' L' F B2 U' L
L' F' L' B2 F U' L
L2 F' L' F2 U R' U2
L2 F' L' F2 B2 U' L
L2 F' L' B2 F2 U' L
L' F' B2 L' F U' L2
L2 F' B2 L' F2 U' L2
U2 B' R' U B' L B
U2 B' R' U2 B' U' L
U2 B' R' D2 F U L'
U2 B' R2 D' R F' U
B2 F' L' U2 B U L2
U2 B' D' R F' R2 U
U2 B' D' R' U2 B U'
U2 B' D2 R' F U L'
U2 B' D2 F R' U L'
F' B2 L' U2 B U L2
L' B2 F' L' F U' L2
L2 B2 F U2 R U L
L2 B2 F' L' F2 U' L2
