F L2 U L F' R2
F L2 U F' L R2
F L2 U F' R2 L
U' L2 F U L' R2
U' L2 F U R2 L'
R2 U' L2 F U L'
R2 U' F L2 U L
F' R2 D' F B2 L
F' R2 D' B2 F L
F' R2 F D' B2 L
R2 D' B' D' B' L
R2 D2 B D B2 L
R2 D2 B' L D B2
R2 D2 B' D L B2
U' F L2 U L R2
U' F L2 U R2 L
L2 F U L' F' R2
R2 F D' L' F' B2
R2 F D' L' B2 F'
R2 F D' B2 L' F'
D2 B' L D B2 R'
R2 L U' L F U L'
R2 L U' F L U L2
D' L U F2 B' U' B'
D' L U B' F2 U' B'
R2 L F L' D' F' B2
R2 L F L' D' B2 F'
R2 L F L' F' D' B2
L2 R F U L' F' R
U' L F L U L2 R2
U' L F L U R2 L2
D' L F2 B' U' F2 B'
D' L F2 B' U' B' F2
D' L B D L2 B R2
D' L B D B L2 R2
D' L B D B R2 L2
R2 L' U' L' F U L'
D' L B' F2 U' F2 B'
D' L B' F2 U' B' F2
R2 L' U' D' L' F U
R2 L' U' F U L' B'
D' L B2 U F2 B U'
D' L B2 U B F2 U'
R2 L' D' U' L' F U
R2 L' D2 B' L D' B2
F L' U' L' U F' R2
L2 R' F U L' F' R'
U' L' F U L' R2 B'
U' L' F U L' B' R2
U' L' F U R2 L' B'
F L' F' R' D R' B
L' R2 U' L' F U L'
L R2 U' L F U L'
L' R2 U' D' L' F U
L' R2 U' F U L' B'
L R2 U' F L U L2
L' R2 D' U' L' F U
L' R2 D2 B' L D' B2
R' L2 F U L' F' R'
L R2 F L' D' F' B2
L R2 F L' D' B2 F'
L R2 F L' F' D' B2
R L2 F U L' F' R
U' L2 U R2 F L' F'
F L2 U L F R2 F2
F L2 U L F' R2 D
F L2 U L F' R2 D'
F L2 U L F' R2 D2
F L2 U L F2 R2 F
F L2 U L' F' L2 R2
F L2 U L' F' R2 L2
U' L2 U F L' F' R2
F L2 U F L R2 F2
F L2 U F L F2 R2
F L2 U F R2 L F2
F L2 U F R2 F2 L
F L2 U F' L R2 D
F L2 U F' L R2 D'
F L2 U F' L R2 D2
F L2 U F' R2 L D
F L2 U F' R2 L D'
F L2 U F' R2 L D2
F L2 U F' R2 D L
F L2 U F' R2 D' L
F L2 U F' R2 D2 L
F L2 U F2 R2 F L
F' L2 U' R B' U2 R
F' L2 U' B' R U2 R
U' L2 U2 F U' L' R2
U' L2 U2 F U' R2 L'
B' L2 F U L' F' R2
U' L2 F U L' R2 D
U' L2 F U L' R2 D'
U' L2 F U L' R2 D2
U' L2 F U R2 L' D
U' L2 F U R2 L' D'
U' L2 F U R2 L' D2
U' L2 F U R2 D L'
U' L2 F U R2 D' L'
U' L2 F U R2 D2 L'
B2 L2 F U L' F' R2
U' L2 F D B2 U L'
B L2 F U L' F' R2
U' L2 F B U L' R2
U' L2 F B U R2 L'
F L2 F U L R2 F2
F L2 F U L F2 R2
U' L2 F B' U L' R2
U' L2 F B' U R2 L'
F L2 F U R2 L F2
F L2 F U R2 F2 L
F L2 F U F2 L R2
F L2 F U F2 R2 L
U' L2 F B2 U L' R2
U' L2 F B2 U R2 L'
U' L2 F' U' R U2 R
F2 L2 F' U L' F' R2
F L2 F2 U R2 F L
F L2 F2 U F L R2
F L2 F2 U F R2 L
U' L2 B F U L' R2
U' L2 B F U R2 L'
U' L2 B' F U L' R2
U' L2 B' F U R2 L'
U' L2 B2 F U L' R2
U' L2 B2 F U R2 L'
R2 U D2 R2 B' U' L
R2 U D2 B' R2 U' L
F' R U2 R D' F B2
F' R U2 R D' B2 F
