B2 L2 R' F B U'
B2 L2 R' B F U'
B2 L2 F R' B U'
B2 R' L2 F B U'
B2 R' L2 B F U'
D2 L R2 U2 F' B' U'
D2 L R2 U2 B' F' U'
R' L U2 L F B U'
R' L U2 L B F U'
L R F' B2 R' B U
R L F' B2 R' B U
D2 L B R2 U D L2
D2 L B R2 U2 B2 U'
D2 L B R2 D U L2
D2 L B R2 D2 F2 U
D L B R2 U F2 L'
L R B2 F' R' B U
R L B2 F' R' B U
D L B U' R' U2 F2
D2 L B2 R2 F' B' U
D2 L B2 R2 B' F' U
L R' U2 L F B U'
L R' U2 L B F U'
B2 L' R' B L' F U'
L2 R' B U2 L' B' U
D2 L' F L2 B R2 U
D2 L' F B L2 R2 U
D2 L' F B R2 L2 U
D2 L' B R2 F L2 U
D2 L' B F L2 R2 U
D2 L' B F R2 L2 U
B2 L2 R' D F B U'
B2 L2 R' D B F U'
B2 L2 R' D' F B U'
B2 L2 R' D' B F U'
B2 L2 R' D2 F B U'
B2 L2 R' D2 B F U'
B2 L2 R' F D B U'
B2 L2 R' F D' B U'
B2 L2 R' F D2 B U'
B2 L2 R' F B U' D
B2 L2 R' F B U' D'
B2 L2 R' F B U' D2
B2 L2 R' F B D U'
B2 L2 R' F B D' U'
B2 L2 R' F B D2 U'
B2 L2 R' B D F U'
B2 L2 R' B D' F U'
B2 L2 R' B D2 F U'
B2 L2 R' B F U' D
B2 L2 R' B F U' D'
B2 L2 R' B F U' D2
B2 L2 R' B F D U'
B2 L2 R' B F D' U'
B2 L2 R' B F D2 U'
L2 R2 F2 R F B U'
L2 R2 F2 R B F U'
R2 L2 F2 R F B U'
R2 L2 F2 R B F U'
R' L2 B U2 L' B' U
B2 L2 D' R' F U' L'
B2 L2 D' F R' U' L'
B2 L2 F R' D B U'
B2 L2 F R' D' B U'
B2 L2 F R' D2 B U'
B2 L2 F R' B U' D
B2 L2 F R' B U' D'
B2 L2 F R' B U' D2
B2 L2 F R' B D U'
B2 L2 F R' B D' U'
B2 L2 F R' B D2 U'
B2 L2 F' R' F2 B U'
B2 L2 F' R' B F2 U'
B2 R' L' B L' F U'
B2 R' L2 D F B U'
B2 R' L2 D B F U'
B2 R' L2 D' F B U'
B2 R' L2 D' B F U'
B2 R' L2 D2 F B U'
B2 R' L2 D2 B F U'
B2 R' L2 F D B U'
B2 R' L2 F D' B U'
B2 R' L2 F D2 B U'
B2 R' L2 F B U' D
B2 R' L2 F B U' D'
B2 R' L2 F B U' D2
B2 R' L2 F B D U'
B2 R' L2 F B D' U'
B2 R' L2 F B D2 U'
B2 R' L2 B D F U'
B2 R' L2 B D' F U'
B2 R' L2 B D2 F U'
B2 R' L2 B F U' D
B2 R' L2 B F U' D'
B2 R' L2 B F U' D2
B2 R' L2 B F D U'
B2 R' L2 B F D' U'
B2 R' L2 B F D2 U'
B R' U2 L2 B R' U'
B R' U2 B L2 R' U'
B R' U2 B R' L2 U'
B2 R' F L2 F B U'
B2 R' F L2 B F U'
B2 R' F' L2 F B U'
B2 R' F' L2 B F U'
B2 R' F2 L2 F B U'
B2 R' F2 L2 B F U'
B2 R' B L2 U' D' R2
B2 R' B L2 U2 B2 U
B2 R' B L2 D' U' R2
B2 R' B L2 D2 F2 U'
B R' B L2 R' F U'
B R' B L2 F R' U'
B R' B R' L2 F U'
D2 R2 L U2 F' B' U'
D2 R2 L U2 B' F' U'
L2 U2 D2 L' F B U
L2 U2 D2 L' B F U
L2 U2 D2 B L' F U
L2 U2 B D2 L' F U
B2 U L2 R' F B U'
B2 U L2 R' B F U'
B2 U L2 F R' B U'
B2 U R' L2 F B U'
B2 U R' L2 B F U'
B U D L F2 B' L
B U D L B' L F2
B U D L B' F2 L
B U D F2 L B' L
B U D F2 B' L B'
B U D B' L F2 B'
B U D B' L B' F2
B U D B' F2 L B'
B2 U' L2 R' F B U'
