F' L2 B' U R' F2
F' L2 B' U F2 R'
B' R' D' F L' B2
B' R' D' F B2 L'
B' R' D' B2 F L'
U2 F R D' L2 B2
U2 F R D' B2 L2
U2 F D' L2 R B2
U2 F D' L2 B2 R
U2 F D' R L2 B2
U2 F D' R B2 L2
U2 F D' B2 L2 R
U2 F D' B2 R L2
D F D' L2 B' R'
F D' L2 B' R' B'
F D' B' R' B' L2
F' B L2 U F2 R
B' F R' D' L2 B2
B' F R' D' B2 L2
B' F D' L2 R' B2
B' F D' R' L2 B2
B' F D' R' B2 L2
B F D' B2 L2 R'
B F D' B2 R' L2
F B D' B2 L2 R'
F B D' B2 R' L2
F' B' L2 U R' F2
F' B' L2 U F2 R'
B' F' L2 U R' F2
B' F' L2 U F2 R'
B F' L2 U F2 R
F B' R' D' L2 B2
F B' R' D' B2 L2
F B' D' L2 R' B2
F B' D' R' L2 B2
F B' D' R' B2 L2
F L' U' L' F2 B' U
F L' U' L' B' F2 U
F' L' B' L' U R' F2
F' L' B' L' U F2 R'
F' L2 R B' U R' F2
F' L2 R B' U F2 R'
F' L2 R' B' U R' F2
F' L2 R' B' U F2 R'
F' L2 R2 B' U R' F2
F' L2 R2 B' U F2 R'
F' L2 U2 F U' R F
F' L2 D R2 B' U R'
F' L2 D B' R2 U R
B2 L2 F' U' B' L U2
U2 L2 F' U' B' L' U2
U L2 F' U' B' U2 R'
F L2 F2 B' U R' F2
F L2 F2 B' U F2 R'
F' L2 B U' L U2 F2
F' L2 B' R U R2 F2
F' L2 B' R U F2 R2
F' L2 B' R2 U R F2
F' L2 B' U R F2 R2
F' L2 B' U R' F2 D
F' L2 B' U R' F2 D'
F' L2 B' U R' F2 D2
F' L2 B' U F R' F
F' L2 B' U F2 R' D
F' L2 B' U F2 R' D'
F' L2 B' U F2 R' D2
F' L2 B' U F2 D R'
F' L2 B' U F2 D' R'
F' L2 B' U F2 D2 R'
F' L2 B' D R2 U R
F L2 B' F2 U R' F2
F L2 B' F2 U F2 R'
F' R L2 B' U R' F2
F' R L2 B' U F2 R'
F R D' L2 B' R' B'
F R D' B' R' B' L2
F' R B L2 U F2 R
F' R B' L2 U R' F2
F' R B' L2 U F2 R'
F R B D' B2 L2 R'
F R B D' B2 R' L2
F R B' R' D' L2 B2
F R B' R' D' B2 L2
F R B' D' L2 R' B2
F R B' D' R' L2 B2
F R B' D' R' B2 L2
F' R' L2 B' U R' F2
F' R' L2 B' U F2 R'
B' R' D F L2 B' L
B' R' D' F L B2 L2
B' R' D' F L' B2 D
B' R' D' F L' B2 D'
B' R' D' F L' B2 D2
B' R' D' F B L' B
B' R' D' F B2 L' D
B' R' D' F B2 L' D'
B' R' D' F B2 L' D2
B' R' D' F B2 D L'
B' R' D' F B2 D' L'
B' R' D' F B2 D2 L'
B' R' D' B F L' B
U2 R' D' F L' R B2
U2 R' D' F L' B2 R
U2 R' D' F R L' B2
U2 R' D' F R B2 L'
U2 R' D' F B2 L' R
B' R' D' B2 F L' D
B' R' D' B2 F L' D'
B' R' D' B2 F L' D2
U2 R' D' F B2 R L'
B' R' D' B2 F D L'
B' R' D' B2 F D' L'
B' R' D' B2 F D2 L'
F R' D' L2 B' R' B'
B R' D' F B2 L' R'
B R' D' F B2 R' L'
U2 R' D' B2 F L' R
U2 R' D' B2 F R L'
B R' D' B2 R' F L'
B R' D' B2 F L' R'
B R' D' B2 F R' L'
F R' D' B' R' B' L2
F' R' B L2 U F2 R
B' R' B D' F L' B2
B' R' B D' F B2 L'
B' R' B D' B2 F L'
F' R' B' L2 U R' F2
F' R' B' L2 U F2 R'
F R' B D' B2 L2 R'
F R' B D' B2 R' L2
B' R' B' D' F L' B2
B' R' B' D' F B2 L'
B' R' B' D' B2 F L'
F R' B' R' D' L2 B2
F R' B' R' D' B2 L2
R' U2 D' F L' R B2
R' U2 D' F L' B2 R
R' U2 D' F R L' B2
R' U2 D' F R B2 L'
R' U2 D' F B2 L' R
R' U2 D' F B2 R L'
F R' B' D' L2 R' B2
F R' B' D' R' L2 B2
F R' B' D' R' B2 L2
B' R' B2 D' F L' B2
B' R' B2 D' F B2 L'
B' R' B2 D' B2 F L'
R' U2 D' B2 F L' R
R' U2 D' B2 F R L'
F' R2 L2 B' U R' F2
F' R2 L2 B' U F2 R'
F R2 D' L2 B' R' B'
F R2 D' B' R' B' L2
F' R2 B L2 U F2 R
F' R2 B' L2 U R' F2
F' R2 B' L2 U F2 R'
F R2 B D' B2 L2 R'
F R2 B D' B2 R' L2
F R2 B' R' D' L2 B2
F R2 B' R' D' B2 L2
F R2 B' D' L2 R' B2
F R2 B' D' R' L2 B2
F R2 B' D' R' B2 L2
R' D F L2 B' L R'
R' D F L2 B' R' L
B' U R' D' F L' B2
B' U R' D' F B2 L'
B' U R' D' B2 F L'
U2 D F R D' L2 B'
U2 D F D' L2 R B'
U2 D F D' L2 B' R
U2 D F D' R L2 B'
B' U F R' D' L2 B2
B' U F R' D' B2 L2
B' U F D' L2 R' B2
B' U F D' R' L2 B2
B' U F D' R' B2 L2
B' U F' L2 U R' F2
B' U F' L2 U F2 R'
B U F D' B2 L2 R'
B U F D' B2 R' L2
B U F' L2 U F2 R
R' D' U2 F L' R B2
R' D' U2 F L' B2 R
R' D' U2 F R L' B2
R' D' U2 F R B2 L'
R' D' U2 F B2 L' R
R' D' U2 F B2 R L'
R' D' U2 B2 F L' R
R' D' U2 B2 F R L'
R' D' F L' B' R' B'
R' D' F B' R' B' L'
D2 U' R2 B U' F R
F U' L' B' L' F2 U
U2 D' F R B2 D' L2
B' U' R' D' F L' B2
B' U' R' D' F B2 L'
B' U' R' D' B2 F L'
U2 D' F B2 R D' L2
U2 D' F B2 D' L2 R
U2 D' F B2 D' R L2
R' D' B' R' F B' L'
R' D' B' R' B' F L'
U2 D' F' U F2 R B2
U2 D' F' U F2 B2 R
U2 D' F' U B2 F2 R
R' D' B' F R' B' L'
B' U' F R' D' L2 B2
B' U' F R' D' B2 L2
B' U' F D' L2 R' B2
B' U' F D' R' L2 B2
B' U' F D' R' B2 L2
B' U' F' L2 U R' F2
B' U' F' L2 U F2 R'
U2 D' B2 F R D' L2
U2 D' B2 F D' L2 R
U2 D' B2 F D' R L2
B U' F D' B2 L2 R'
B U' F D' B2 R' L2
B U' F' L2 U F2 R
F U' F2 L' B' L' U
U' D2 R2 B U' F R
D' U2 F R B2 D' L2
D' U2 F B2 R D' L2
D' U2 F B2 D' L2 R
D' U2 F B2 D' R L2
D' U2 F' U F2 R B2
D' U2 F' U F2 B2 R
D' U2 F' U B2 F2 R
D U2 F R D' L2 B'
D U2 F D' L2 R B'
D U2 F D' L2 B' R
D U2 F D' R L2 B'
B' U2 R' D' F L' B2
B' U2 R' D' F B2 L'
B' U2 R' D' B2 F L'
D' U2 B2 F R D' L2
D' U2 B2 F D' L2 R
D' U2 B2 F D' R L2
B' U2 F R' D' L2 B2
B' U2 F R' D' B2 L2
F2 U2 F L2 U R F2
B' U2 F D' L2 R' B2
B' U2 F D' R' L2 B2
B' U2 F D' R' B2 L2
B' U2 F' L2 U R' F2
B' U2 F' L2 U F2 R'
U2 F L2 F2 U F2 R
B U2 F D' B2 L2 R'
B U2 F D' B2 R' L2
F2 U2 F' D' L2 B2 R'
D F L2 D' B' L2 R'
D F L2 D' B' R' L2
B U2 F' L2 U F2 R
U2 F R U' L2 F2 U
U2 F R U' F2 L2 U
U2 F R D' L' B2 L'
U2 F R D' L2 B2 D
U2 F R D' L2 B2 D'
U2 F R D' L2 B2 D2
D F L2 B' R' D' L2
D F L2 B' D' L2 R'
D F L2 B' D' R' L2
U2 F R D' B L2 B
U2 F R D' B2 L2 D
U2 F R D' B2 L2 D'
U2 F R D' B2 L2 D2
U2 F R B D' L2 B2
U2 F R B D' B2 L2
U2 F R B' D' L2 B2
U2 F R B' D' B2 L2
U2 F R B2 D' L2 B2
U2 F R B2 D' B2 L2
D F R D' L2 B' R'
D F R' D' L2 B' R'
U2 F R2 D' L2 R' B2
U2 F R2 D' R' L2 B2
U2 F R2 D' R' B2 L2
D F R2 D' L2 B' R'
U2 F D' L' R B2 L'
U2 F D' L' B2 L' R
U2 F D' L' B2 R L'
U2 F D' L2 R B2 D
U2 F D' L2 R B2 D'
U2 F D' L2 R B2 D2
U2 F D' L2 R' B2 R2
U2 F D' L2 B' R B'
U2 F D' L2 B2 R D
U2 F D' L2 B2 R D'
U2 F D' L2 B2 R D2
U2 F D' L2 B2 D R
U2 F D' L2 B2 D' R
U2 F D' L2 B2 D2 R
U2 F D' R L' B2 L'
U2 F D' R L2 B2 D
U2 F D' R L2 B2 D'
U2 F D' R L2 B2 D2
U2 F D' R B L2 B
U2 F D' R B2 L2 D
U2 F D' R B2 L2 D'
U2 F D' R B2 L2 D2
U2 F D' R' L2 B2 R2
U2 F D' R' B2 L2 R2
U2 F D' R' B2 R2 L2
D F D' L2 R B' R'
D F D' L2 R' B' R'
D F D' L2 R2 B' R'
D F D' L2 D B' R'
D F D' L2 D' B' R'
D F D' L2 D2 B' R'
U2 F D' B L2 B R
D F D' L2 B' R' D
D F D' L2 B' R' D'
D F D' L2 B' R' D2
D F D' L2 B' D R'
D F D' L2 B' D' R'
D F D' L2 B' D2 R'
D F D' R L2 B' R'
U2 F D' B' R B' L2
D F D' R' L2 B' R'
U2 F D' B2 L2 R D
U2 F D' B2 L2 R D'
U2 F D' B2 L2 R D2
U2 F D' B2 L2 D R
U2 F D' B2 L2 D' R
U2 F D' B2 L2 D2 R
U2 F D' B2 R L2 D
U2 F D' B2 R L2 D'
U2 F D' B2 R L2 D2
D F D' R2 L2 B' R'
D F D' B' L2 R' B'
D F D' B' R' L2 B'
U2 F B R D' L2 B2
U2 F B R D' B2 L2
D' F B' R' D' B' L2
D' F B' R' B' D' L2
U2 F B D' L2 R B2
U2 F B D' L2 B2 R
U2 F B D' R L2 B2
U2 F B D' R B2 L2
D2 F B' D R' B2 L
U2 F B D' B2 L2 R
U2 F B D' B2 R L2
D' F B' D' R' B' L2
U2 F B' R D' L2 B2
U2 F B' R D' B2 L2
U2 F B' D' L2 R B2
U2 F B' D' L2 B2 R
U2 F B' D' R L2 B2
U2 F B' D' R B2 L2
U2 F B' D' B2 L2 R
U2 F B' D' B2 R L2
D F B' R' D' L2 B'
R2 F B' D' R' B2 L
U2 F B2 R D' L2 B2
U2 F B2 R D' B2 L2
D F B' D' L2 R' B'
D F B' D' R' L2 B'
U2 F B2 D' L2 R B2
U2 F B2 D' L2 B2 R
U2 F B2 D' R L2 B2
U2 F B2 D' R B2 L2
U2 F B2 D' B2 L2 R
U2 F B2 D' B2 R L2
U' F' L' B' L' U F2
B' D F R' D' L2 B'
B' D F D' L2 R' B'
B' D F D' R' L2 B'
U2 F' L2 U' L U2 F2
U2 F' L2 B2 U R' F2
U2 F' L2 B2 U F2 R'
U F' L2 R B U F2
U F' L2 U F R F
U F' R L2 B U F2
U F' R B L2 U F2
F D B D2 B2 L2 R'
F D B D2 B2 R' L2
U2 F' U F2 R D' B2
U2 F' U F2 D' R B2
U2 F' U F2 D' B2 R
F D B' R' D2 B2 L
F D B' D2 L2 R' B2
F D B' D2 R' L2 B2
F D B' D2 R' B2 L2
F D' L' B' R' B' L'
F D' L2 R B' R' B'
F D' L2 R' B' R' B'
F D' L2 R2 B' R' B'
F D' L2 B' R B' R2
F D' L2 B' R' D B'
F D' L2 B' R' D' B'
F D' L2 B' R' D2 B'
F D' L2 B' R' B' D
F D' L2 B' R' B' D'
F D' L2 B' R' B' D2
F D' L2 B' R2 B' R
F D' L2 B' D R' B'
F D' L2 B' D' R' B'
F D' L2 B' D2 R' B'
B' D' R' B2 D' F L'
F D' R L2 B' R' B'
F D' R B' R' B' L2
L2 F' B U' L B2 U2
D' F' B' U R' F2 B'
D' F' B' U R' B' F2
D' F' B' U F2 R' B'
L2 F' B U' B2 U2 R'
F D' R' L2 B' R' B'
F D' R' B' R' B' L2
F D' R2 L2 B' R' B'
L2 F' B2 U' B U2 R'
F D' R2 B' R' B' L2
B' D' F R' B2 D' L2
B' D' F' U R' F2 B2
B' D' F' U R' B2 F2
B' D' F' U F2 R' B2
B D' F B2 R' D' L2
B D' F B2 D' L2 R'
B D' F B2 D' R' L2
B D' F' U F2 B2 R'
B D' F' U B2 R' F2
B D' F' U B2 F2 R'
F D' B' R B' L2 R2
F D' B' R B' R2 L2
F D' B' R' B L2 B2
F D' B' R' B' L2 D
F D' B' R' B' L2 D'
F D' B' R' B' L2 D2
F D' B' R' B2 L2 B
F D' B' R2 B' L2 R
F D' B' R2 B' R L2
B D' B2 R' D' F L'
F D' B2 L2 B R' B'
B D' B2 F R' D' L2
B D' B2 F D' L2 R'
B D' B2 F D' R' L2
B' D2 R2 B U' R F
B' D2 F D R' B2 L
R2 B U' D' F B2 R'
R2 B U' D' B2 R' F
R2 B U' D' B2 F R'
R2 B U' F D' B2 R'
F' B L2 R U F2 R
F' B L2 R' U F2 R
F' B L2 R2 U F2 R
F' B L2 U R F2 R
F' B L2 U R' F2 R
F' B L2 U R2 F2 R
F' B L2 U F2 R D
F' B L2 U F2 R D'
F' B L2 U F2 R D2
F' B L2 U F2 D R
F' B L2 U F2 D' R
F' B L2 U F2 D2 R
F' B L2 U' L' U2 F2
B' F L2 F2 U R' F2
B' F L2 F2 U F2 R'
F' B L2 B U F2 R
R' B D' F B2 L' R'
R' B D' F B2 R' L'
F' B L2 B' U F2 R
F' B L2 B2 U F2 R
F' B R L2 U F2 R
R' B D' B2 R' F L'
R' B D' B2 F L' R'
R' B D' B2 F R' L'
B' F R' U' L2 F2 U
B F L2 F2 U R F2
B' F R' U' F2 L2 U
B' F R' D' L' B2 L'
B' F R' D' L2 B2 D
B' F R' D' L2 B2 D'
B' F R' D' L2 B2 D2
R2 B D' U' F B2 R'
R2 B D' U' B2 R' F
R2 B D' U' B2 F R'
F' B R' L2 U F2 R
B' F R' D' B L2 B
B' F R' D' B2 L2 D
B' F R' D' B2 L2 D'
B' F R' D' B2 L2 D2
F B L2 F2 U R F2
B' F R' B D' L2 B2
B' F R' B D' B2 L2
B' F R' B' D' L2 B2
B' F R' B' D' B2 L2
B' F R' B2 D' L2 B2
B' F R' B2 D' B2 L2
B F R D' B2 L2 R'
B F R D' B2 R' L2
B' F R2 D' L2 R B2
B' F R2 D' L2 B2 R
B' F R2 D' R L2 B2
B' F R2 D' R B2 L2
F' B R2 L2 U F2 R
B' F R2 D' B2 L2 R
B' F R2 D' B2 R L2
F B R D' B2 L2 R'
F B R D' B2 R' L2
U2 B F R D' L2 B2
U2 B F R D' B2 L2
B F R' D' B2 L2 R'
B F R' D' B2 R' L2
U2 B F D' L2 R B2
U2 B F D' L2 B2 R
U2 B F D' R L2 B2
U2 B F D' R B2 L2
U2 B F D' B2 L2 R
U2 B F D' B2 R L2
F B R' D' B2 L2 R'
F B R' D' B2 R' L2
L2 B F' U' L B2 U2
L2 B F' U' B2 U2 R'
B F R2 D' B2 L2 R'
B F R2 D' B2 R' L2
F' B U F2 D' B2 R'
B' F U' L2 F2 U R'
F B R2 D' B2 L2 R'
F B R2 D' B2 R' L2
B' F U' F2 L2 U R'
B F U' L2 F2 U R
F B U' L2 F2 U R
B' F D R' D2 B2 L
B' F D' L' R' B2 L'
B' F D' L2 R B2 R2
B' F D' L2 R' B2 D
B' F D' L2 R' B2 D'
B' F D' L2 R' B2 D2
B' F D' L2 R2 B2 R
B' F D' R L2 B2 R2
B' F D' R B2 L2 R2
B' F D' R B2 R2 L2
B' F D' R' L' B2 L'
B' F D' R' L2 B2 D
B' F D' R' L2 B2 D'
B' F D' R' L2 B2 D2
B' F D' R' B L2 B
B' F D' R' B2 L2 D
B' F D' R' B2 L2 D'
B' F D' R' B2 L2 D2
B' F D' R2 L2 B2 R
B' F D' R2 B2 L2 R
B' F D' R2 B2 R L2
D' B' R' D F B' L
D' B' R' D B' F L
D' B' R' D' F B' L'
D' B' R' D' B' F L'
D' B' R' F D B' L
B F D' R B2 L2 R'
B F D' R B2 R' L2
B F D' R' B2 L2 R'
B F D' R' B2 R' L2
B F D' R2 B2 L2 R'
B F D' R2 B2 R' L2
D' B' R' B' D' F L'
F B D' R B2 L2 R'
F B D' R B2 R' L2
B F D' B L2 B R'
F B D' R' B2 L2 R'
F B D' R' B2 R' L2
B F D' B2 L2 R' D
B F D' B2 L2 R' D'
B F D' B2 L2 R' D2
B F D' B2 L2 D R'
B F D' B2 L2 D' R'
B F D' B2 L2 D2 R'
F B D' R2 B2 L2 R'
F B D' R2 B2 R' L2
B F D' B2 R' L2 D
B F D' B2 R' L2 D'
B F D' B2 R' L2 D2
D2 B' R2 B U' R F
R2 B' R' D F L2 B'
F B D' B L2 B R'
F B D' B2 L2 R' D
F B D' B2 L2 R' D'
F B D' B2 L2 R' D2
F B D' B2 L2 D R'
F B D' B2 L2 D' R'
F B D' B2 L2 D2 R'
F B D' B2 R' L2 D
F B D' B2 R' L2 D'
F B D' B2 R' L2 D2
B' F' L2 R U R2 F2
B' F' L2 R U F2 R2
B' F' L2 R2 U R F2
B' F' L2 U R F2 R2
B' F' L2 U R' F2 D
B' F' L2 U R' F2 D'
B' F' L2 U R' F2 D2
B' F' L2 U F R' F
B' F' L2 U F2 R' D
B' F' L2 U F2 R' D'
B' F' L2 U F2 R' D2
B' F' L2 U F2 D R'
B' F' L2 U F2 D' R'
B' F' L2 U F2 D2 R'
B' F' L2 D R2 U R
F' B' L2 R U R2 F2
F' B' L2 R U F2 R2
R B' R' F D' L2 B2
R B' R' F D' B2 L2
F' B' L2 R2 U R F2
F' B' L2 U R F2 R2
F' B' L2 U R' F2 D
F' B' L2 U R' F2 D'
F' B' L2 U R' F2 D2
