L U R' B L
U R' B D L2
L2 F U R' B
F L U R' B L
F2 L U R' B L
F' L U R' B L
L U L R' B L
L U L' R' B L
D' L2 F L' U R'
F' L2 F U R' B
F2 L2 F U R' B
L U L2 R' B L
F L2 F U R' B
L U R' L B L
L U R' L' B L
L U R' L2 B L
L U R' D B L
L U R' D' B L
L U R' D2 B L
L U R' B L D
L U R' B L D'
L U R' B L D2
L U R' B D L
L U R' B D' L
L U R' B D2 L
U2 R B' U' R2 B
U R' U B' U' B2
U R' D B D L2
U R' D' B D L2
U R' D2 B D L2
U' R' B D L2 F
U R' B L D L2
U R' B L' D L2
U R' B L2 D L2
U R' B U B2 U'
U R' B D L2 D
U R' B D L2 D'
U R' B D L2 D2
F' U R' B D L2
F2 U R' B D L2
F U R' B D L2
L2 D' F L' U R'
L2 F L U R' B
L2 F L' U R' B
L2 F L2 U R' B
L2 F U R' D B
L2 F U R' D' B
L2 F U R' D2 B
L2 F U R' B D
L2 F U R' B D'
L2 F U R' B D2
L F U R' B L
L F' U R' B L
L F2 U R' B L
U2 B' R' U' B R'
U2 B' U' R' B R'
U2 B' U' B R' B
F' L U L R' B L
F' L U L' R' B L
F2 L U L R' B L
F' L U L2 R' B L
F2 L U L' R' B L
F L U L R' B L
F2 L U L2 R' B L
F L U L' R' B L
F' L U R' L B L
F' L U R' L' B L
F' L U R' L2 B L
F' L U R' D B L
F' L U R' D' B L
F' L U R' D2 B L
F' L U R' B L D
F' L U R' B L D'
F' L U R' B L D2
F' L U R' B D L
F' L U R' B D' L
F' L U R' B D2 L
F L U L2 R' B L
F2 L U R' L B L
F2 L U R' L' B L
D2 L U R' B L B2
F2 L U R' L2 B L
F2 L U R' D B L
F2 L U R' D' B L
F2 L U R' D2 B L
F2 L U R' B L D
F2 L U R' B L D'
F2 L U R' B L D2
F2 L U R' B D L
F2 L U R' B D' L
F2 L U R' B D2 L
F L U R' L B L
D' L U D R' B L
F L U R' L' B L
F L U R' L2 B L
F L U R' D B L
F L U R' D' B L
F L U R' D2 B L
F L U R' B L D
F L U R' B L D'
F L U R' B L D2
F L U R' B D L
F L U R' B D' L
F L U R' B D2 L
D L U D' R' B L
D' L D U R' B L
D L D' U R' B L
F' L F U R' B L
F2 L F U R' B L
F L F U R' B L
F' L F' U R' B L
F2 L F' U R' B L
F L F' U R' B L
F' L F2 U R' B L
F2 L F2 U R' B L
F L F2 U R' B L
U L' R' D' B' L B2
U L' R' B2 D' B' L
L2 R' B U' R F U
D' L' F L' F U R'
U L2 R' U' F U B
U L2 R' B U' F U
U' L2 U F U R' B
R' L2 B U' R F U
U L2 U' F U R' B
D' L2 D F U R' B
L' U L R' B D L2
F' L2 D' F L' U R'
F2 L2 D' F L' U R'
D L2 D' F U R' B
L U L R' D B L
L U L R' D' B L
L U L R' D2 B L
L U L R' B L D
L U L R' B L D'
L U L R' B L D2
L U L R' B D L
L U L R' B D' L
L U L R' B D2 L
F L2 D' F L' U R'
D L2 D2 F L' U R'
D2 L2 F L' U R' B'
L U L' R' D B L
D' L2 F L' U R' D
D' L2 F L' U R' D'
D' L2 F L' U R' D2
D' L2 F L' U D R'
D' L2 F L' U D' R'
D' L2 F L' U D2 R'
L U L' R' D' B L
L U L' R' D2 B L
D' L2 F L' D U R'
D' L2 F L' D' U R'
L U L' R' B L D
L U L' R' B L D'
L U L' R' B L D2
L U L' R' B D L
L U L' R' B D' L
L U L' R' B D2 L
D' L2 F L' D2 U R'
F' L2 F L U R' B
F' L2 F L' U R' B
F' L2 F L2 U R' B
F2 L2 F L U R' B
F2 L2 F L' U R' B
F2 L2 F L2 U R' B
F' L2 F U R' D B
F' L2 F U R' D' B
F' L2 F U R' D2 B
F' L2 F U R' B D
F' L2 F U R' B D'
F' L2 F U R' B D2
F L2 F L U R' B
D' L2 F D L' U R'
F L2 F L' U R' B
F2 L2 F U R' D B
F2 L2 F U R' D' B
F2 L2 F U R' D2 B
F2 L2 F U R' B D
F2 L2 F U R' B D'
F2 L2 F U R' B D2
D' L2 F D' L' U R'
F L2 F L2 U R' B
D' L2 F D2 L' U R'
D L2 F U D' R' B
L2 U L2 R' B D L2
F L2 F U R' D B
F L2 F U R' D' B
F L2 F U R' D2 B
F L2 F U R' B D
F L2 F U R' B D'
F L2 F U R' B D2
L U L2 R' D B L
L U L2 R' D' B L
L U L2 R' D2 B L
L U L2 R' B L D
L U L2 R' B L D'
L U L2 R' B L D2
L U L2 R' B D L
L U L2 R' B D' L
L U L2 R' B D2 L
D L2 F D' U R' B
U L2 F U F' R' B
L' U R' L B D L2
L U R B L R2 B
L U R B R2 L B
L' U R' D' B' L B2
L2 U R' L2 B D L2
L U R' L D B L
L U R' L D' B L
L U R' L D2 B L
L2 U R' U' F U B
L U R' L B L D
L U R' L B L D'
L U R' L B L D2
L U R' L B D L
L U R' L B D' L
L U R' L B D2 L
L U R' L' D B L
L U R' L' D' B L
L U R' L' D2 B L
L U R' L' B L D
L U R' L' B L D'
L U R' L' B L D2
L U R' L' B D L
L U R' L' B D' L
L U R' L' B D2 L
L U R' L2 D B L
L U R' L2 D' B L
L U R' L2 D2 B L
L U R' L2 B L D
L U R' L2 B L D'
L U R' L2 B L D2
L U R' L2 B D L
L U R' L2 B D' L
L U R' L2 B D2 L
L' U R' B2 D' B' L
L U R' D L B L
L U R' D L' B L
L U R' D L2 B L
L U R' D B L D
L U R' D B L D'
L U R' D B L D2
L U R' D B D L
L U R' D B D' L
L U R' D B D2 L
L U R' D' L B L
L U R' D' L' B L
L U R' D' L2 B L
L U R' D' B L D
L U R' D' B L D'
L U R' D' B L D2
L U R' D' B D L
L U R' D' B D' L
L U R' D' B D2 L
L U R' D2 L B L
L U R' D2 L' B L
L U R' D2 L2 B L
L U R' D2 B L D
L U R' D2 B L D'
L U R' D2 B L D2
L U R' D2 B D L
L2 U R' B U' F U
L U R' D2 B D' L
L U R' D2 B D2 L
L U R' F B L F'
L U R' F2 B L F2
L U R' B L2 D L'
L U R' B L2 D' L'
L U R' B L2 D2 L'
L U R' B D L D
L U R' B D L D'
L U R' B D L D2
L U R' B D' L D
L U R' B D' L D'
L U R' B D' L D2
L U R' B D2 L D
L U R' B D2 L D'
L U R' B D2 L D2
L U R' B F L F'
L U R' B F2 L F2
L U R' B' L B2 L
L U R' B' L' B2 L
L U R' B' L2 B2 L
L U R2 D R B L
L U R2 D' R B L
L U R2 D2 R B L
L U R2 B L R B
L U R2 B R L B
L U D2 R' B L B'
L U D2 B L B' R'
L2 U F U F' R' B
L U F' R' F B L
L U F' R' B F L
L U F2 R' F2 B L
L U F2 R' B L F2
L U F2 R' B F2 L
U R U B' U' R2 B
U2 R U' R2 B D L2
U' R U' B' U' R2 B
L U B L B' R' B
U' R U2 R2 B D L2
L U B D2 L B' R'
R' U B' U2 R U B2
L U' L U2 R' B L
L U' L' U2 R' B L
L U' L2 U2 R' B L
U' R F' U' B' U' R2
L U' R U2 R2 B L
L U' R F' U2 L' R2
L U' R F' U2 R2 L'
U R B R2 D L2 B
U R B R2 D B L2
U' R B' U' R2 F' B
U' R B' U' R2 B F'
U2 R B' R' U' R' B
U2 R B' U F' U2 R2
U2 R B' U' R2 D B
U2 R B' U' R2 D' B
U2 R B' U' R2 D2 B
U2 R B' U' R2 B D
U2 R B' U' R2 B D'
U2 R B' U' R2 B D2
U2 R B' U' B R2 B
U2 R B' U' B' R2 B
U2 R B' U' B2 R2 B
L U' F R U2 R2 B
L U' F R F' U2 R2
U R' L' D' B' L B2
U R' L' B2 D' B' L
U R' L2 U' F U B
U R' L2 B U' F U
L U' F' U2 L' R' B
L U' F' U2 R' L' B
L U' F' U2 R' B L'
U R' U D B' U' B2
U R' U D' B' U' B2
U R' U D2 B' U' B2
U R' U B' R U' B2
U R' U B' R' U' B2
U R' U B' R2 U' B2
B' R' U' B R' D' F2
U R' U B' U' B2 D
U R' U B' U' B2 D'
U R' U B' U' B2 D2
U R' U B' D' R2 U'
U R' U' L U B L
U R' U' L2 F U B
U' R' D B D L2 F
U R' D U B' U' B2
U R' D B L D L2
U R' D B L' D L2
U R' D B L2 D L2
U R' D B U B2 U'
U R' D B D L2 D
U R' D B D L2 D'
U R' D B D L2 D2
U' R' D' B D L2 F
U R' D' U B' U' B2
U R' D' B L D L2
U R' D' B L' D L2
U R' D' B L2 D L2
U R' D' B U B2 U'
U R' D' B D L2 D
U R' D' B D L2 D'
U R' D' B D L2 D2
U' R' D2 B D L2 F
U R' D2 U B' U' B2
U R' D2 B L D L2
U R' D2 B L' D L2
U R' D2 B L2 D L2
U R' D2 B U B2 U'
U R' D2 B D L2 D
U R' D2 B D L2 D'
U R' D2 B D L2 D2
U' R' F B D L2 F
B' R' F' U' B R' F'
U R' F B D L2 F'
U R' F B D F' L2
U' R' F' B D L2 F
B' R' F2 L' U' B R'
U R' F' B D F L2
U' R' F2 B D L2 F
U' R' B L2 D F L2
U' R' B L2 F D L2
L U2 R B U' R2 B
U2 R' B L2 D L2 F2
U2 R' B L2 D F2 L2
U' R' B D L2 D F
U' R' B D L2 D' F
U' R' B D L2 D2 F
U' R' B D L2 F D
U' R' B D L2 F D'
U' R' B D L2 F D2
U' R' B D F L2 F
U' R' B D F' L2 F
U' R' B D F2 L2 F
U' R' B F D L2 F
U' R' B F' D L2 F
U R' B L U B2 U'
U R' B L D L2 D
U R' B L D L2 D'
U R' B L D L2 D2
U' R' B F2 D L2 F
U2 R' B D L2 D F2
U R' B L' U B2 U'
U R' B L' D L2 D
U R' B L' D L2 D'
U R' B L' D L2 D2
U R' B L2 U B2 U'
U R' B L2 D L2 D
U R' B L2 D L2 D'
U R' B L2 D L2 D2
U R' B R D L2 R'
U R' B R D R' L2
U R' B R' D L2 R
U R' B R' D R L2
U R' B U B2 U' D
U R' B U B2 U' D'
U R' B U B2 U' D2
U R' B U B2 D U'
U R' B U B2 D' U'
U R' B U B2 D2 U'
U R' B U' D2 F2 U
U R' B U2 D' R2 U2
U2 R' B' R U' R' B2
U R' B D L D L
U R' B D L D' L
U R' B D L D2 L
U R' B D L' D L'
U R' B D L' D' L'
U R' B D L' D2 L'
U R' B D F L2 F'
U R' B D F2 L2 F2
U2 R' B' R' U' R B2
U2 R' B' R' U' B2 R
U R' B D B' L2 B
U R' B D B2 L2 B2
U R' B D' L D2 L2
U R' B D' L' D2 L2
U R' B D' L2 D2 L2
U R' B D' U2 R2 U2
U2 R' B' R2 U' R2 B2
U2 R' B' R2 U' B2 R2
U R' B D2 L D' L2
U R' B D2 L' D' L2
U R' B D2 L2 D' L2
U R' B D2 U' F2 U
U R' B F D L2 F'
U R' B F D F' L2
U2 R' B' U' B2 D' R2
U R' B F' D F L2
U R' B' L B2 D L2
U2 R' B' D' R2 U' R2
U R' B' L' B2 D L2
U R' B' L2 B2 D L2
U R' B2 U B U' B2
U R' B2 D B' D L2
U R' B2 D' B' D L2
U R' B2 D2 B' D L2
L U2 F U' R' B L
L U2 F' U' R' B L
U' R2 U' B' R' U' R2
U R2 U B' U' R B
L U2 F2 U' R' B L
U R2 D R B D L2
U R2 D' R B D L2
U R2 D2 R B D L2
U R2 B R D L2 B
U R2 B R D B L2
U2 R2 B' R' U' R2 B
U2 R2 B' R2 U' R' B
U R2 B D L2 R B
U R2 B D R L2 B
U R2 B D R B L2
L2 D F U D' R' B
L2 D F D' U R' B
F' U R' U B' U' B2
F' U R' D B D L2
F' U R' D' B D L2
F2 U R' U B' U' B2
F' U R' D2 B D L2
F2 U R' D B D L2
F' U R' B L D L2
F' U R' B L' D L2
F' U R' B L2 D L2
B' U R' B R' D2 L2
F2 U R' D' B D L2
F' U R' B U B2 U'
F' U R' B D L2 D
F' U R' B D L2 D'
F' U R' B D L2 D2
F2 U R' D2 B D L2
F2 U R' B L D L2
F2 U R' B L' D L2
F2 U R' B L2 D L2
F2 U R' B U B2 U'
F2 U R' B D L2 D
F2 U R' B D L2 D'
F2 U R' B D L2 D2
F U R' U B' U' B2
F U R' D B D L2
F U R' D' B D L2
F U R' D2 B D L2
F U R' B L D L2
F U R' B L' D L2
F U R' B L2 D L2
F U R' B U B2 U'
F U R' B D L2 D
F U R' B D L2 D'
F U R' B D L2 D2
L D' L F L' U R'
R2 D' R F2 B D L2
R2 D' R B F2 D L2
B2 U B2 R' B D L2
L2 D' F L' U R' D
L2 D' F L' U R' D'
L2 D' F L' U R' D2
L2 D' F L' U D R'
L2 D' F L' U D' R'
L2 D' F L' U D2 R'
L2 D' F L' D U R'
L2 D' F L' D' U R'
L2 D' F L' D2 U R'
L2 D' F D L' U R'
L2 D' F D' L' U R'
L2 D' F D2 L' U R'
F' U' R' B D L2 F
F2 U' R' B D L2 F
