B L U2 L B U L
B2 L2 D F' U L' F
B2 L2 D2 F' R U L'
B2 L2 F' U D L' F
B2 L2 F' D U L' F
U' L2 B2 U F' L' F
D' R B2 D' R F' L'
B' R' F' B' L2 U L
B' R' B' L2 F' U L'
B' R' B' F' L2 U L
D' R2 F' B2 D L' F
D2 R2 F2 U' L F L'
D' R2 B2 D F' L' F
D' R2 B2 F' D L' F
B' U' R' F' B' L2 U
B' U' R' B' L2 F' U
B' U' R' B' F' L2 U
F' U' D' L' B2 R2 F'
F U' D' R2 B2 L F
F' U2 B2 L2 U L F
D' F U' R2 B2 L F
D' F' R2 B2 D L' F
D' F' U' L' B2 R2 F'
F' D' R2 B2 D L' F
L2 F' B' R' B' U L'
D' F' B2 R2 D L' F
F' D' U' L' B2 R2 F'
L2 F' B2 U D L' F
L2 F' B2 D U L' F
F D' U' R2 B2 L F
D2 F2 R2 U' L F L'
F' D' B2 R2 D L' F
B D2 L R2 F' U' L'
B D2 R2 L F' U' L'
B D2 R2 F' L U' L2
L2 B' R' F' B' U L'
L2 B' R' B' F' U L'
B' F' R' B' L2 U L
F' B' R' B' L2 U L
L2 B' F' R' B' U L'
U' B2 L2 U F' L' F
D' B2 R D' R F' L'
D' B2 R2 D F' L' F
D' B2 R2 F' D L' F
L2 B2 D F' U L' F
L2 B2 D2 F' R U L'
D' B2 F' R2 D L' F
L2 B2 F' U D L' F
L2 B2 F' D U L' F
