B2 U F' U R' B'
F' U' L B2 U2 B'
F' U' B2 U2 R' B'
B2 U2 R' D B' L
L B2 U F' U B'
D2 L U F' U F' B
D2 L U F' U B F'
R2 L F' B2 U' B' U'
R2 L B2 F' U' B' U'
U' L B2 U F' U B'
U2 L B2 U F' U B'
F2 L B2 U2 D' B' L
F L B2 U F2 U B'
U L B2 U F' U B'
F L B2 U2 D' B' L2
F2 L B2 D' U2 B' L
F L B2 U2 B' D' L2
F L B2 D R2 U2 B'
F L B2 D' U2 B' L2
F' L' U D2 F2 B R2
F' L' U D2 B R2 F2
F' L' U D2 B F2 R2
F' L' U B D2 R2 F'
F' L' U' L2 B2 U2 B'
F' L' U' B2 L2 F U2
F' L' D' B2 R2 U B'
F' L' D2 U F2 B R2
F' L' D2 U B R2 F2
F' L' D2 U B F2 R2
F' L2 U D2 F2 B R
F' L2 U D2 B F2 R
L R2 F' B2 U' B' U'
F' L2 U' L' B2 U2 B'
L R2 B2 F' U' B' U'
F' L2 D2 U F2 B R
F' L2 D2 U B F2 R
B2 L2 F U F2 U R'
B2 L2 F U2 R' D' L2
B2 L2 F U2 D' L2 R'
B2 L2 F U2 D' R' L2
B2 L2 F D R2 U2 R
B2 L2 F D' U2 L2 R'
B2 L2 F D' U2 R' L2
D2 L2 F' U F' B R
D2 L2 F' U B F' R
L U D2 F' U F' B
L U D2 F' U B F'
L U F' U D2 F2 B
L U F' U D2 B F2
L U F' U' B2 U2 B'
L U F' D2 U F2 B
L U F' D2 U B F2
F' R U' B2 U2 R' B
R U B2 U2 R' B L
F' R2 U' L F' B2 U2
F' R2 U' L B2 F' U2
B R2 U B U' F' R'
F' R2 U' F' L B2 U2
F' R2 U' F' B2 U2 R'
F' R2 U' B2 F' U2 R'
B2 R2 U' B U' R B2
B2 R2 U' B U' B2 R
B2 R2 U2 R D B' L
B2 R2 U2 B' R D L2
B2 R2 U2 B' D L2 R
B2 R2 U2 B' D R L2
B R2 F' U B U' R'
B R2 B U' F' R' B'
F' U L B2 U2 B' L'
L' D F2 L2 B' U' B2
B2 U D F' U R' B'
B2 U D' F' U R' B'
F' U D2 F2 B2 R' B'
B2 U D2 F' U R' B'
F' U D2 B2 R' F2 B'
F' U D2 B2 R' B' F2
F' U D2 B2 F2 R' B'
B2 U F' U R B' R2
B2 U F' U R' D B'
B2 U F' U R' D' B'
B2 U F' U R' D2 B'
B2 U F' U R' B' D
B2 U F' U R' B' D'
B2 U F' U R' B' D2
B2 U F' U R2 B' R
B2 U F' U D R' B'
B2 U F' U D' R' B'
B2 U F' U D2 R' B'
B2 U F' D U R' B'
B2 U F' D' U R' B'
B2 U F' D2 U R' B'
F' U B R2 D2 F' R
F' U B U2 B U2 R'
F' U B D2 R2 F' R
F' U B2 R B' R2 F'
F' U' L U2 D2 F2 B
F' U' L U2 D2 B F2
F' U' L D2 U2 F2 B
F' U' L D2 U2 B F2
F' U' L F B2 U2 B'
F' U' L F' B2 U2 B'
F' U' L F2 B2 U2 B'
F' U' L B2 U2 D B'
F' U' L B2 U2 D' B'
F' U' L B2 U2 D2 B'
F' U' L B2 U2 B' D
F' U' L B2 U2 B' D'
F' U' L B2 U2 B' D2
F' U' L B2 D U2 B'
F' U' L B2 D' U2 B'
F' U' L B2 D2 U2 B'
F' U' L B2 F U2 B'
F' U' L B2 F' U2 B'
F' U' L B2 F2 U2 B'
F' U' L' B2 L2 F U2
L' D' F' B2 R2 U B'
B2 U' R2 B U' R B2
B2 U' R2 B U' B2 R
L' D' B2 F' R2 U B'
F' U' D2 L U2 F2 B
F' U' D2 L U2 B F2
F' U' F L B2 U2 B'
F' U' F B2 U2 R' B'
F' U' F' L B2 U2 B'
F' U' F' B2 U2 R' B'
F' U' F2 L B2 U2 B'
B U' F' U' B U2 R'
F' U' F2 B2 U2 R' B'
F' U' B2 L2 F U2 R'
F' U' B2 U2 R B' R2
F' U' B2 U2 R' D B'
F' U' B2 U2 R' D' B'
F' U' B2 U2 R' D2 B'
F' U' B2 U2 R' B' D
F' U' B2 U2 R' B' D'
F' U' B2 U2 R' B' D2
F' U' B2 U2 R2 B' R
F' U' B2 U2 D R' B'
F' U' B2 U2 D' R' B'
F' U' B2 U2 D2 R' B'
F' U' B2 D U2 R' B'
F' U' B2 D' U2 R' B'
F' U' B2 D2 U2 R' B'
F' U' B2 F U2 R' B'
F' U' B2 F' U2 R' B'
F' U' B2 F2 U2 R' B'
L D2 U F' U F' B
L D2 U F' U B F'
L' D2 F' U F' B R2
L' D2 F' U B F' R2
L2 D2 F' U F' B R
L2 D2 F' U B F' R
B2 U2 R' D B' L D
B2 U2 R' D B' L D'
B2 U2 R' D B' L D2
B2 U2 R' D B' D L
B2 U2 R' D B' D' L
B2 U2 R' D B' D2 L
