F2 U F U R F2
U F R D' L2 B'
U' F D' L2 B' R'
U F D' L2 R B'
U F D' L2 B' R
U F D' R L2 B'
F L2 R B' D' L2 R2
F L2 R B' D' R2 L2
F2 L2 U' B' U' F' R'
D' L2 F' U' B' U2 R'
F R L2 B' D' L2 R2
F R L2 B' D' R2 L2
F2 R U F B R U
F2 R U B F R U
F R D' L2 B' D' R2
F' R B R U F2 B
F' R B R U B F2
F R B' D' L2 R2 B'
F R B' D' L2 B' R2
F R B' D' R2 L2 B'
D R' F' R' B U' F2
F' R2 U F2 D B R'
D R2 D B U' R' F
D R2 D B U' F R'
F' U R F R F B
F' U R F R B F
F2 U R' F U R F'
R2 D B R2 U' R F
F' U R2 F B R F
F' U R2 F2 D2 B R'
F' U R2 B F R F
D' U F R D' L2 B2
D' U F R D' B2 L2
D2 U F R B2 D' L2
U2 D R2 B U' F R
D' U F D' L2 R B2
D' U F D' L2 B2 R
D' U F D' R L2 B2
D' U F D' R B2 L2
D' U F D' B2 L2 R
D' U F D' B2 R L2
F2 U D F U R F2
D2 U F B2 R D' L2
D2 U F B2 D' L2 R
D2 U F B2 D' R L2
D2 U F' U F2 R B2
D2 U F' U F2 B2 R
D2 U F' U B2 F2 R
F2 U D' F U R F2
F2 U D2 F U R F2
B' U F R D' L2 B'
F' U F R D2 F B2
F' U F R D2 B2 F
B2 U F R D' L2 B'
F2 U F R' U R2 F2
F2 U F R' U F2 R2
B' U F D' L2 R B'
B' U F D' L2 B' R
B' U F D' R L2 B'
F2 U F R2 U R' F2
F2 U F R2 U F2 R'
F2 U F U R F2 D
F2 U F U R F2 D'
F2 U F U R F2 D2
F2 U F U R' F2 R2
F2 U F U R2 F2 R'
F' U F D2 R F B2
F' U F D2 R B2 F
F' U F D2 B2 R F
B2 U F D' L2 R B'
B2 U F D' L2 B' R
B2 U F D' R L2 B'
F2 U F D R2 U R'
F' U F' L' U2 L F'
F' U F' L' U2 F' L
B U F R D' L2 B'
F2 U F B U R F2
F2 U F B' U R F2
F2 U F B2 U R F2
B U F D' L2 R B'
B U F D' L2 B' R
B U F D' R L2 B'
F' U F2 U2 F L' U2
D2 U B2 F R D' L2
D2 U B2 F D' L2 R
D2 U B2 F D' R L2
F2 U B F U R F2
F2 U B' F U R F2
F2 U B2 F U R F2
L2 D' F' L2 U F R
F2 U' L2 B' U' F' R'
U D' F R D' L2 B2
U D' F R D' B2 L2
U D' F D' L2 R B2
U D' F D' L2 B2 R
U D' F D' R L2 B2
U D' F D' R B2 L2
U D' F D' B2 L2 R
U D' F D' B2 R L2
B' U' F D' L2 B' R'
B2 U' F D' L2 B' R'
F' U' F' U2 F R F2
B U' F D' L2 B' R'
F' U' F' B L U2 F'
F' U' F' B' U2 F' R'
F' U' B L F' U2 F'
F' U' B F' L U2 F'
F' U' B' F' U2 F' R'
D U2 R2 B U' F R
U D2 F R B2 D' L2
U D2 F B2 R D' L2
U D2 F B2 D' L2 R
U D2 F B2 D' R L2
U D2 F' U F2 R B2
U D2 F' U F2 B2 R
U D2 F' U B2 F2 R
U D2 B2 F R D' L2
U D2 B2 F D' L2 R
U D2 B2 F D' R L2
R' F L2 D R2 B' L
U' F L2 D' B' L2 R'
U' F L2 D' B' R' L2
R' F L2 D B' L R2
R' F L2 D B' R2 L
U' F L2 B' R' D' L2
U' F L2 B' D' L2 R'
U' F L2 B' D' R' L2
U' F R D' L2 B' R'
U F L2 R D' B' L2
U F L2 R B' D' L2
U F L2 D' R B' L2
U F L2 D' B' L2 R
U F L2 D' B' R L2
U' F R' D' L2 B' R'
U F L2 B' R D' L2
U F L2 B' D' L2 R
U F L2 B' D' R L2
U F R L2 D' B' L2
U F R L2 B' D' L2
U F R D' L2 D B'
U F R D' L2 D' B'
U F R D' L2 D2 B'
U F R D' L2 B' D
U F R D' L2 B' D'
U F R D' L2 B' D2
U F R D' B L2 B'
U F R D' B' L2 B'
U F R D' B2 L2 B'
U' F R2 D' L2 B' R'
U F R B D' L2 B'
U F R B' D' L2 B'
U F R B2 D' L2 B'
U F R2 D' L2 R' B'
U F R2 D' R' L2 B'
R' F D L2 R2 B' L
R' F D L2 B' L R2
R' F D L2 B' R2 L
R' F D R2 L2 B' L
U' F D' L2 R B' R'
U' F D' L2 R' B' R'
U' F D' L2 R2 B' R'
U' F D' L2 D B' R'
U' F D' L2 D' B' R'
U' F D' L2 D2 B' R'
U' F D' L2 B' R' D
U' F D' L2 B' R' D'
U' F D' L2 B' R' D2
U' F D' L2 B' D R'
U' F D' L2 B' D' R'
U' F D' L2 B' D2 R'
U' F D' R L2 B' R'
U' F D' R' L2 B' R'
U' F D' R2 L2 B' R'
U' F D' B' L2 R' B'
U' F D' B' R' L2 B'
F' D R B R U B
U F D' L2 R D B'
U F D' L2 R D' B'
U F D' L2 R D2 B'
U F D' L2 R B' D
U F D' L2 R B' D'
U F D' L2 R B' D2
U F D' L2 R' B' R2
U F D' L2 D R B'
U F D' L2 D B' R
U F D' L2 D' R B'
U F D' L2 D' B' R
U F D' L2 D2 R B'
U F D' L2 D2 B' R
U F D' L2 B R B2
U F D' L2 B' R D
U F D' L2 B' R D'
U F D' L2 B' R D2
U F D' L2 B' D R
U F D' L2 B' D' R
U F D' L2 B' D2 R
U F D' R L2 D B'
U F D' R L2 D' B'
U F D' R L2 D2 B'
U F D' R L2 B' D
U F D' R L2 B' D'
U F D' R L2 B' D2
U F D' R B L2 B'
U F D' R B' L2 B'
U F D' R B2 L2 B'
U F D' R' L2 B' R2
U F D' B L2 R B'
U F D' B L2 B' R
U F D' B R L2 B'
U F D' B' L2 R B'
U F D' B' L2 B' R
U F D' B' R L2 B'
U F D' B2 L2 R B'
U F D' B2 L2 B' R
U F D' B2 R L2 B'
F' D R2 U D B R'
U' F B' R' D' L2 B'
U F D2 R D L2 B'
F' D R2 D U B R'
U' F B' D' L2 R' B'
U' F B' D' R' L2 B'
U F B R D' L2 B'
F2 D U F U R F2
U F B D' L2 R B'
U F B D' L2 B' R
U F B D' R L2 B'
U F B' R D' L2 B'
U F B' D' L2 R B'
U F B' D' L2 B' R
U F B' D' R L2 B'
U F B2 R D' L2 B'
U F B2 D' L2 R B'
U F B2 D' L2 B' R
U F B2 D' R L2 B'
D' F' L2 R B U F2
D' F' L2 U F R F
D' F' R L2 B U F2
D' F' R B L2 U F2
D2 F' R B U F2 B
D2 F' R B U B F2
R' F' R2 U' F2 B L
R' F' R2 U' B L F2
R' F' R2 U' B F2 L
D2 F' U F R F B2
D2 F' U F R B2 F
D2 F' U F B2 R F
D2 F' U B2 F R F
U F' R2 U F2 B R
U F' R2 U B F2 R
U F' U R F2 R B
U F' U R2 F2 B R
U F' U R2 B F2 R
U2 F' U' F' L' U2 F'
L2 F' U' F' B' U2 R'
L2 F' U' B' F' U2 R'
U F' U' L' F' U2 F'
U F' U' F' U2 F' R
F D' L2 R B' D' R2
F D' R L2 B' D' R2
F2 D' U F U R F2
U F2 U F U F2 R
U F2 U2 F' R D' L2
U F2 U2 F' D' L2 R
U F2 U2 F' D' R L2
L2 F2 B' U F U R
F2 D2 U F U R F2
R B U' F2 U2 F' L'
U B F R D' L2 B'
F2 B U F U R F2
U B F D' L2 R B'
U B F D' L2 B' R
U B F D' R L2 B'
U' B' F R' D' L2 B'
F2 B' U F U R F2
U' B' F D' L2 R' B'
U' B' F D' R' L2 B'
U B' F R D' L2 B'
L2 B' F2 U F U R
U B' F D' L2 R B'
U B' F D' L2 B' R
U B' F D' R L2 B'
B' F2 U F U R F2
B2 F2 U F U R F2
F2 B2 U F U R F2
B F2 U F U R F2
U B2 F R D' L2 B'
U B2 F D' L2 R B'
U B2 F D' L2 B' R
U B2 F D' R L2 B'
