B' L' F' U L' F'
B' L F' L2 U L F'
B' L F' L2 U F' L
B' L' R F' U L' F'
B' L' R' F' U L' F'
B' L' R2 F' U L' F'
B' L' U2 B U' L F2
B' L' U2 B U' F2 L
B' L' D R2 F' U L'
F' L' D F' R' B R2
B' L' D F' R2 U L'
B' L' F U F2 L' F'
B' L' F U' R U2 F
B' L' F' U L F' L2
B' L' F' U L' D F'
B' L' F' U L' D' F'
B' L' F' U L' D2 F'
B' L' F' U L' F' D
B' L' F' U L' F' D'
B' L' F' U L' F' D2
B' L' F' U L2 F' L
B' L' F' U D L' F'
B' L' F' U D' L' F'
B' L' F' U D2 L' F'
B' L' F' D U L' F'
B' L' F' D' U L' F'
B' L' F' D2 U L' F'
B2 L' F' B U L' F'
B L' F' B2 U L' F'
B2 L' B F' U L' F'
B L' B2 F' U L' F'
F2 L2 R F U' L' F'
F2 L2 U R F U' L'
B' L2 F' L U L2 F'
B' L2 F' L U F' L2
B' R L' F' U L' F'
F2 R L2 F U' L' F'
B' R' L' F' U L' F'
U' R' B' L' F' U F'
B' R2 L' F' U L' F'
L' D R2 F' U L' R
L' D R2 F' U R L'
D R2 B' L' F' U L'
L' D F' R2 U L' R'
L' D F' R2 U R' L'
B2 U2 L' B U L F2
B2 U2 L' B U F2 L
B2 U2 B L' U L2 F2
B2 U2 B L' U F2 L2
B' D L' R2 F' U L'
B' D L' F' R2 U L'
B' D R2 L' F' U L'
L2 F' L' D F' R2 B
L' F' U L' F' D R2
L' F' U D L' F' R
L' F' D U L' F' R
D' F2 L2 R F U' L'
D' F2 R L2 F U' L'
U2 B L F2 D' R2 B2
U2 B L F2 D' B2 R2
U2 B L' B2 U L2 F2
U2 B L' B2 U F2 L2
F' D2 B' L U L2 F'
F' D2 B' L U F' L2
B' F U F2 L' F' B'
B' F U F2 L' B' F'
B' F U' R U2 F B
B' F U' R U2 B F
U' B' L' R' F' U F'
U' B' L' U F' L' F'
U' B' L' F' U F' L'
R' B' L' F' U L' F'
D2 B' L' F' U L' F
U2 B' L' R2 U F2 L'
U2 B' L' U' R' U2 F2
D B' L' R2 F' U L'
R2 B' L' F' U L' F'
D B' L' F' R2 U L'
U B' L' U2 B' U' F2
U' B' R' L' F' U F'
R B' L' F' U L' F'
U2 B' R2 L' U F2 L'
D B' R2 L' F' U L'
F B' U F2 L' F' B'
F B' U F2 L' B' F'
F B' U' R U2 F B
F B' U' R U2 B F
