F2 R U' F' U'
F2 L R U' F' U'
F2 L' R U' F' U'
F2 L2 R U' F' U'
F2 R L U' F' U'
F2 R L' U' F' U'
F2 R L2 U' F' U'
F2 R U' D F' U'
F2 R U' D' F' U'
F2 R U' D' F' U'
F2 R U' D2 F' U'
F2 R U' F' U' D
F2 R U' F' U' D'
F2 R U' F' U' D2
F2 R U' F' D U'
F2 R U' F' D' U'
F2 R U' F' D2 U'
F2 R D U' F' U'
F2 R D' U' F' U'
F2 R D2 U' F' U'
R2 F2 R U B U
F D' F L' R U2
F D' F R L' U2
R F2 R U' F U'
F2 L R U' D F' U'
F2 L R U' D' F' U'
F2 L R U' D2 F' U'
F2 L R U' F' U' D
F2 L R U' F' U' D'
F2 L R U' F' U' D2
F2 L R U' F' D U'
F2 L R U' F' D' U'
F2 L R U' F' D2 U'
F2 L R D U' F' U'
F2 L R D' U' F' U'
F2 L R D2 U' F' U'
D2 L U B' U B' L2
R' L F2 U B U L2
L R F2 U' F U' L2
L2 R F2 U' F U' L
R L F2 U' F U' L2
F' L F' R U' F' U'
F2 L' R U' D F' U'
F2 L' R U' D' F' U'
F2 L' R U' D2 F' U'
F2 L' R U' F' U' D
F2 L' R U' F' U' D'
F2 L' R U' F' U' D2
F2 L' R U' F' D U'
F2 L' R U' F' D' U'
F2 L' R U' F' D2 U'
F2 L' R D U' F' U'
F2 L' R D' U' F' U'
F2 L' R D2 U' F' U'
L R' F2 U B U L2
U2 L' D B D R' B2
U2 L' D B' D B2 R'
U2 L' D2 B D' B R'
F' L' F' R U' F' U'
F2 L2 R U' D F' U'
F2 L2 R U' D' F' U'
F2 L2 R U' D2 F' U'
F2 L2 R U' F' U' D
F2 L2 R U' F' U' D'
F2 L2 R U' F' U' D2
F2 L2 R U' F' D U'
F2 L2 R U' F' D' U'
F2 L2 R U' F' D2 U'
F2 L2 R D U' F' U'
F2 L2 R D' U' F' U'
F2 L2 R D2 U' F' U'
R L2 F2 U' F U' L
F' L2 F' R U' F' U'
R' U D' B L2 U L
F2 R L U' D F' U'
F2 R L U' D' F' U'
F2 R L U' D2 F' U'
F2 R L U' F' U' D
F2 R L U' F' U' D'
F2 R L U' F' U' D2
F2 R L U' F' D U'
F2 R L U' F' D' U'
F2 R L U' F' D2 U'
F2 R L D U' F' U'
F2 R L D' U' F' U'
F2 R L D2 U' F' U'
R' U D2 B U L' B
R' U D2 B U B L'
F2 R L' U' D F' U'
F2 R L' U' D' F' U'
F2 R L' U' D2 F' U'
F2 R L' U' F' U' D
F2 R L' U' F' U' D'
F2 R L' U' F' U' D2
F2 R L' U' F' D U'
F2 R L' U' F' D' U'
F2 R L' U' F' D2 U'
F2 R L' D U' F' U'
F2 R L' D' U' F' U'
F2 R L' D2 U' F' U'
F2 R L2 U' D F' U'
F2 R L2 U' D' F' U'
F2 R L2 U' D2 F' U'
F2 R L2 U' F' U' D
F2 R L2 U' F' U' D'
F2 R L2 U' F' U' D2
F2 R L2 U' F' D U'
F2 R L2 U' F' D' U'
F2 R L2 U' F' D2 U'
F2 R L2 D U' F' U'
F2 R L2 D' U' F' U'
F2 R L2 D2 U' F' U'
F2 R U R2 B R2 U
F2 R U B U2 F' U'
F2 R U B' U2 F' U'
F2 R U B2 U2 F' U'
F2 R U' L' F' L U'
F2 R U' L2 F' L2 U'
F2 R U' D F' U' D
F2 R U' D F' U' D'
F2 R U' D F' U' D2
F2 R U' D F' D U'
F2 R U' D F' D' U'
F2 R U' D F' D2 U'
F2 R U' D' F' U' D
F2 R U' D' F' U' D'
F2 R U' D' F' U' D2
F2 R U' D' F' D U'
F2 R U' D' F' D' U'
F2 R U' D' F' D2 U'
F2 R U' D2 F' U' D
F2 R U' D2 F' U' D'
F2 R U' D2 F' U' D2
F2 R U' D2 F' D U'
F2 R U' D2 F' D' U'
F2 R U' D2 F' D2 U'
R' U B U L' D2 B2
R' U B U D2 L' B2
R' U B U D2 B2 L'
F2 R U' F U' D R2
F2 R U' F D U' R2
R' U B U' F2 R U2
F2 R U' F2 D F U'
F2 R U' F2 D' F U'
F2 R U' F2 D2 F U'
R' U B D' L2 U L
R' U B D2 U L' B2
R' U B D2 U B2 L'
F2 R U2 R2 U' B U
F2 R U2 F D F' R2
F2 R D L U' F' U'
F2 R D L' U' F' U'
F2 R D L2 U' F' U'
F2 R D U' F' U' D
F2 R D U' F' U' D'
F2 R D U' F' U' D2
F2 R D U' F' D U'
F2 R D U' F' D' U'
F2 R D U' F' D2 U'
F2 R D' L U' F' U'
F2 R D' L' U' F' U'
F2 R D' L2 U' F' U'
F2 R D' U' F' U' D
F2 R D' U' F' U' D'
F2 R D' U' F' U' D2
F2 R D' U' F' D U'
F2 R D' U' F' D' U'
F2 R D' U' F' D2 U'
F2 R D2 L U' F' U'
F2 R D2 L' U' F' U'
F2 R D2 L2 U' F' U'
F2 R D2 U' F' U' D
F2 R D2 U' F' U' D'
F2 R D2 U' F' U' D2
F2 R D2 U' F' D U'
F2 R D2 U' F' D' U'
F2 R D2 U' F' D2 U'
F2 R F U2 D R2 B
F R F R U' F2 U'
F R F R U2 D R2
F R F R D U2 R2
F R F R D' L2 U2
F2 R F D U2 R2 B
F2 R F D F' U2 R2
F2 R F D' L2 F' U2
F2 R F D' F' L2 U2
F R F U' F2 U' L'
F R F D R U2 R
F R F D' L2 R U2
F R F D' R L2 U2
U' R F' U F' R U2
F2 R' U D' F2 B U
F2 R' U D' B F2 U
R U' F' U F' R U2
F2 R' U D2 B U L2
F2 R' U B U D2 L2
F2 R' U B U' R2 U2
F2 R' U B D' F2 U
F2 R' U B D2 U L2
F2 R' D' U F2 B U
F2 R' D' U B F2 U
F2 R' D2 U B U L2
F2 R2 D R' U' F' U'
F2 R2 D' R' U' F' U'
F2 R2 D2 R' U' F' U'
F R2 F R U B U
D2 U L B' U B' L2
U2 D L' B D R' B2
U2 D L' B' D B2 R'
D' U L2 F' U L R
D' U L2 F' U R L
U' D R2 B U' L' R'
U' D R2 B U' R' L'
U' D B R2 U' L' R
U' D B R2 U' R L'
U2 D B L' D R' B2
U2 D B D L' R' B2
U2 D B D R' L' B2
U2 D B D R' B2 L'
U2 D B' D B2 L' R'
U2 D B' D B2 R' L'
R' D' U B L2 U L
U D' L2 F' U L R
U D' L2 F' U R L
R' D' B L2 U F L
D U' R2 B U' L' R'
D U' R2 B U' R' L'
D U' B R2 U' L' R
D U' B R2 U' R L'
D2 U2 L' U F U' B2
U2 D2 L' U F U' B2
D2 U2 L' B2 U F U'
U D2 L B' U B' L2
U2 D2 L' B2 U F U'
D U2 L' B D R' B2
D U2 L' B' D B2 R'
R' D2 U B U L' B
R' D2 U B U B L'
D2 U2 B D' L' B R'
D2 U2 B D' B L' R'
D2 U2 B D' B R' L'
D U2 B L' D R' B2
U2 D2 B D' L' B R'
U2 D2 B D' B L' R'
U2 D2 B D' B R' L'
D U2 B D L' R' B2
D U2 B D R' L' B2
D U2 B D R' B2 L'
D2 U2 B2 L' U F U'
U2 D2 B2 L' U F U'
D U2 B' D B2 L' R'
D U2 B' D B2 R' L'
L' F D' F L' U2 L
F2 D R U B U R'
L2 F D' F L' U2 L2
F2 D R U2 B R' B'
R F D F R U2 R
F2 D R B' L B U2
R F D' F L2 R U2
R F D' F R L2 U2
F2 D B R B' U2 R2
F2 D B' L B R U2
F2 D' R U' F' U' R
F2 D' R U2 F' R F
L2 F' D' F' U2 L R
L2 F' D' F' U2 R L
F2 D' R F L' F' U2
F D' R F L' R U2
F D' R F R L' U2
F D' R' F L' R U2
F D' R' F R L' U2
F D' R2 F L' R U2
F D' R2 F R L' U2
R2 F2 L R U B U
F2 D' F L' F' R U2
R2 F2 L' R U B U
U' F2 R U' F' U' F
R2 F2 L2 R U B U
F D' F L' R U2 D
F D' F L' R U2 D'
F D' F L' R U2 D2
F D' F L' R D U2
F D' F L' R D' U2
F D' F L' R D2 U2
F D' F L' D R U2
F D' F L' D' R U2
F D' F L' D2 R U2
F D' F R L' U2 D
F D' F R L' U2 D'
F D' F R L' U2 D2
F D' F R L' D U2
F D' F R L' D' U2
F D' F R L' D2 U2
F D' F R D L' U2
F D' F R D' L' U2
F D' F R D2 L' U2
F D' F D L' R U2
F D' F D R L' U2
F D' F D' L' R U2
F D' F D' R L' U2
U2 F2 R U' F' U' F'
L2 F2 R U' F' U' L
F D' F D2 L' R U2
F D' F D2 R L' U2
R2 F2 R L U B U
R2 F2 R L' U B U
R2 F2 R L2 U B U
R F2 L2 R U B' U
R2 F2 R U D B U
R2 F2 R U D' B U
R2 F2 R U D2 B U
R2 F2 R U B U D
R2 F2 R U B U D'
R2 F2 R U B U D2
R2 F2 R U B D U
R2 F2 R U B D' U
R2 F2 R U B D2 U
R2 F2 R D U B U
R2 F2 R D' U B U
R2 F2 R D2 U B U
L F2 R U' F' U' L2
R F2 R L2 U B' U
R F2 R U' D F U'
R F2 R U' D' F U'
R F2 R U' D2 F U'
R F2 R U' F U' D
R F2 R U' F U' D'
R F2 R U' F U' D2
R F2 R U' F D U'
R F2 R U' F D' U'
R F2 R U' F D' U'
R F2 R U' F D2 U'
R F2 R D U' F U'
R F2 R D' U' F U'
R F2 R D2 U' F U'
L F2 R' U B U L2
R' F2 U F2 B U L'
R' F2 U B U' R U2
R' F2 U B F2 U L'
F2 D2 L R U B' U
F2 D2 L' R U' F U'
R2 F2 D R U B U
F2 D2 R L U B' U
F2 D2 R L' U' F U'
R2 F2 D' R U B U
R F2 D R U' F U'
R2 F2 D2 R U B U
R F2 D' R U' F U'
R F2 D2 R U' F U'
R' B U' F2 R B' U2
R' B U' F2 B' R U2
R' B U' B' F2 R U2
R' B D' L2 U F L
F2 B R B' U' F' U'
F2 B D R B' L U2
F2 B D B' L R U2
F2 B D B' R L U2
F2 B' D B R U2 R2
B2 F2 R B2 U' F' U'
F2 B2 R B2 U' F' U'
B F2 R B' U' F' U'
B' F2 D B R U2 R2
B F2 D R B' L U2
B F2 D B' L R U2
B F2 D B' R L U2
