F' L' F' U' B'
F' L' R U' B' R'
F' L' D F' U' B'
F' L' D' F' U' B'
F' L' D2 F' U' B'
F' L' F' R U' B'
F' L' F' R' U' B'
F' L' F' R2 U' B'
F' L' F' U' D B'
F' L' F' U' D' B'
F' L' F' U' D2 B'
F' L' F' U' B' D
F' L' F' U' B' D'
F' L' F' U' B' D2
F' L' F' D U' B'
F' L' F' D' U' B'
F' L' F' D2 U' B'
F' L2 F' L U' B'
F' R L' U' B' R'
F' D L' F' U' B'
R' F' L' F' U' B'
R2 F' L' F' U' B'
D F' L' U' R2 B'
D F' L' U' B' R2
R F' L' F' U' B'
F' D' L' F' U' B'
F2 D' L' U' F B'
F2 D' L' U' B' F
F' D2 L' F' U' B'
D' L U F L U2 F
F2 L U F U' L' U'
F' L F' L2 U F2 U2
F' L F' L2 U' D2 B2
F' L F' L2 D R2 U'
F' L F' L2 D2 U' B2
F' L F' D R2 U' F2
F' L' R U' R B' R'
F' L' R U' R' B' R'
F' L' R U' R2 B' R'
F' L' R U' D B' R'
F' L' R U' D' B' R'
F' L' R U' D2 B' R'
F' L' R U' B' R' D
F' L' R U' B' R' D'
F' L' R U' B' R' D2
F' L' R U' B' D R'
F' L' R U' B' D' R'
F' L' R U' B' D2 R'
F' L' R D U' B' R'
F' L' R D' U' B' R'
F' L' R D2 U' B' R'
F' L' R F U' B' R'
F' L' R F' U' B' R'
F' L' R F2 U' B' R'
D L' R' U' R' F' B'
D L' R' U' R' B' F'
F' L' R2 U' B' D' R2
F' L' R2 U2 B U B2
F' L' U' R2 B' D' R2
D L' U' R' F' R' B'
F' L' U' B' U F' U'
D L' U' B' R' F' R'
F L' U2 R B U B2
F' L' D R U' B' R'
F2 L' D R U' F' B'
F2 L' D R U' B' F'
F' L' D F' R U' B'
F' L' D F' R' U' B'
F' L' D F' R2 U' B'
F' L' D F' U' D B'
F' L' D F' U' D' B'
F' L' D F' U' D2 B'
F' L' D F' U' B' D
F' L' D F' U' B' D'
F' L' D F' U' B' D2
F' L' D F' D U' B'
F' L' D F' D' U' B'
F' L' D F' D2 U' B'
F' L' D' R U' B' R'
F' L' D' F' R U' B'
F' L' D' F' R' U' B'
F' L' D' F' R2 U' B'
F' L' D' F' U' D B'
F' L' D' F' U' D' B'
F' L' D' F' U' D2 B'
F' L' D' F' U' B' D
F' L' D' F' U' B' D'
F' L' D' F' U' B' D2
F' L' D' F' D U' B'
F' L' D' F' D' U' B'
F' L' D' F' D2 U' B'
F' L' D2 R U' B' R'
F' L' D2 F' R U' B'
F' L' D2 F' R' U' B'
F' L' D2 F' R2 U' B'
F' L' D2 F' U' D B'
F' L' D2 F' U' D' B'
F' L' D2 F' U' D2 B'
F' L' D2 F' U' B' D
F' L' D2 F' U' B' D'
F' L' D2 F' U' B' D2
F' L' D2 F' D U' B'
F' L' D2 F' D' U' B'
F' L' D2 F' D2 U' B'
F' L' F R F2 U' B'
F' L' F R' F2 U' B'
F' L' F R2 F2 U' B'
F' L' F U' D R2 B'
F' L' F U' D B' R2
F' L' F U' B' D R2
F' L' F D U' R2 B'
F' L' F D U' B' R2
F' L' F' R U' D B'
F' L' F' R U' D' B'
F' L' F' R U' D2 B'
F' L' F' R U' B' D
F' L' F' R U' B' D'
F' L' F' R U' B' D2
F' L' F' R D U' B'
F' L' F' R D' U' B'
F' L' F' R D2 U' B'
F' L' F' R' U' D B'
F' L' F' R' U' D' B'
F' L' F' R' U' D2 B'
F' L' F' R' U' B' D
F' L' F' R' U' B' D'
F' L' F' R' U' B' D2
F' L' F' R' D U' B'
F' L' F' R' D' U' B'
F' L' F' R' D2 U' B'
F' L' F' R2 U' D B'
F' L' F' R2 U' D' B'
F' L' F' R2 U' D2 B'
F' L' F' R2 U' B' D
F' L' F' R2 U' B' D'
F' L' F' R2 U' B' D2
F' L' F' R2 D U' B'
F' L' F' R2 D' U' B'
F' L' F' R2 D2 U' B'
F' L' F' U F U2 B'
F' L' F' U F' U2 B'
F' L' F' U F2 U2 B'
F' L' F' U' R' B' R
F' L' F' U' R2 B' R2
F' L' F' U' D B' D
F' L' F' U' D B' D'
F' L' F' U' D B' D2
F' L' F' U' D' B' D
F' L' F' U' D' B' D'
F' L' F' U' D' B' D2
F' L' F' U' D2 B' D
F' L' F' U' D2 B' D'
F' L' F' U' D2 B' D2
F' L' F' U' B2 D B
F' L' F' U' B2 D' B
F' L' F' U' B2 D2 B
F' L' F' D R U' B'
F' L' F' D R' U' B'
F' L' F' D R2 U' B'
F' L' F' D U' B' D
F' L' F' D U' B' D'
F' L' F' D U' B' D2
F' L' F' D' R U' B'
F' L' F' D' R' U' B'
F' L' F' D' R2 U' B'
F' L' F' D' U' B' D
