F2 L' F U' L' U
F2 L2 D' L F B'
F2 L2 D' L B' F
U L U R F B' U2
U L U R B' F U2
U L U B' R F U2
F L' R U' R' F L'
F2 L' R D R' F B
F2 L' R D R' B F
F L' R U' F L' R'
F L' R U' F R' L'
F2 L' R D F R' B
F L' U R U' F L'
U L' U R U2 F B'
U L' U R U2 B' F
U L' U' F D2 B' L
U L' U' F2 B' L' F'
U L' U' B' F2 L' F'
F2 L' D R' B R F
F2 L' D F R' B R
F2 L' D' L B' L' F
F2 L' D' F L B' L'
F2 L' F L D' L' B2
F2 L' F L D' B2 L'
F L' F L2 D' L B'
F2 L' F U' L' U D
F2 L' F U' L' U D'
F2 L' F U' L' U D2
F2 L' F U' L' D U
F2 L' F U' L' D' U
F2 L' F U' L' D2 U
F2 L' F U' D L' U
F2 L' F U' D' L' U
F2 L' F U' D2 L' U
F2 L' F D U' L' U
F2 L' F D' U' L' U
F2 L' F D2 U' L' U
F2 L' F B U' L' U
F2 L' F B' U' L' U
F L' F D' L B' L2
F2 L' F B2 U' L' U
F2 L' F' U R U' F2
F2 L' B F U' L' U
F2 L' B' F U' L' U
F2 L' B2 F U' L' U
F2 L2 D' L D F B'
F2 L2 D' L D B' F
F2 L2 D' L D' F B'
F2 L2 D' L D' B' F
F2 L2 D' L D2 F B'
F2 L2 D' L D2 B' F
F2 L2 D' L F D B'
F2 L2 D' L F D' B'
F2 L2 D' L F D2 B'
F2 L2 D' L F B' D
F2 L2 D' L F B' D'
F2 L2 D' L F B' D2
F2 L2 D' L B' D F
F2 L2 D' L B' D' F
F2 L2 D' L B' D2 F
F2 L2 D' L B' F D
F2 L2 D' L B' F D'
F2 L2 D' L B' F D2
F2 L2 D' F L F B'
F2 L2 D' F L B' F
F2 L2 D' F' L F B'
F2 L2 D' F' L B' F
F2 L2 D' F2 L F B'
F2 L2 D' F2 L B' F
F2 L2 F L D' F B2
F2 L2 F L D' B2 F
F2 L2 F L F D' B2
R U L' U R' F B'
R U L' U R' B' F
R U L' U F R' B'
R' U R F2 L' F B'
R' U R F2 L' B' F
R2 U R2 F2 L' F B'
R2 U R2 F2 L' B' F
F2 R L' D R' F B
F2 R L' D R' B F
F2 R L' D F R' B
F R L' U' R' F L'
F R L' U' F L' R'
F R L' U' F R' L'
U2 R U' L' U' F B'
U2 R U' L' U' B' F
F R U' L' R' F L'
F R U' L' F L' R'
F R U' L' F R' L'
F R U' R' L' F L'
F R U' R' F L' F
F R U' F L' R' F
F R U' F L' F R'
F R U' F R' L' F
F R F U' L' R' F
F R F U' L' F R'
F R F U' R' L' F
R' U' R F2 L' F B
R' U' R F2 L' B F
R' U' R F2 B L' F
R' U' R B F2 L' F
R' U' D2 L2 R F' B
R' U' D2 L2 R B F'
R' U' D2 R L2 F' B
R' U' D2 R L2 B F'
R' U' D2 R F' L2 B
R' U' D2 R F' B L2
R' U' D2 R B L2 F'
R' U' D2 R B F' L2
L2 U2 R B U L U
L U2 R B' U' R' U'
L U2 B' R U' R2 U'
L U2 B' R U2 D B2
L U2 B' R D U2 B2
L U2 B' R D' F2 U2
F U L' R U' F L'
F U R L' U' F L'
F U R U' L' F L'
F U R U' F L' F
F' U' L' R' F' U F2
F' U' L' U F' L' F2
F' U' L' F2 U F' L'
F' U' R' L' F' U F2
R' D2 U' L2 R F' B
R' D2 U' L2 R B F'
R' D2 U' R L2 F' B
R' D2 U' R L2 B F'
R' D2 U' R F' L2 B
R' D2 U' R F' B L2
R' D2 U' R B L2 F'
R' D2 U' R B F' L2
R F' U L' U R' F
R F' U L' U F R'
L' F2 L' F' U R U'
L' F2 L2 D' L F' B'
L' F2 L2 D' L B' F'
L' F2 L2 D' F' L B'
U' F2 R U L' F B
U' F2 R U L' B F
U' F2 R U B L' F
U F2 L' D R2 F B'
U F2 L' D R2 B' F
U F2 L' D F R2 B'
U F2 L' D F B' R2
U F2 L' D B' R2 F
U F2 L' D B' F R2
U F2 L' B' D R2 F
U F2 L' B' D F R2
L F2 L2 D' F L B'
L F2 L2 F L D' B2
L' F2 D' L F' B' L2
L' F2 D' L B' L2 F'
L' F2 D' L B' F' L2
L' F2 D' L' F' D2 B2
L2 F2 D' L F B' L2
L2 F2 D' L B' F L2
F2 B L' F U' L' U
F2 B L2 D' L F B'
F2 B L2 D' L B' F
F2 B' L' F U' L' U
F2 B' L2 D' L F B'
F2 B' L2 D' L B' F
B' F2 L' F U' L' U
B2 F2 L' F U' L' U
B' F2 L2 D' L F B'
B' F2 L2 D' L B' F
F2 B2 L' F U' L' U
B2 F2 L2 D' L F B'
B2 F2 L2 D' L B' F
F2 B2 L2 D' L F B'
F2 B2 L2 D' L B' F
B F2 L' F U' L' U
B F2 L2 D' L F B'
B F2 L2 D' L B' F
