D2 R F' B2 L' U' B
D2 R B2 F' L' U' B
F' R2 B L' F U' B2
F2 U D R F' R B'
F2 U D R F' B' R
F2 U D R B' F' R
F2 U D F' R F' B'
F2 U D F' R B' F'
F2 U D F' B' R F'
F2 U D B' R F' R
F2 U D B' F' R F'
F2 U B' D R F' R
F2 U B' D F' R F'
U' D' B L2 R' F' B2
U' D' B L2 R' B2 F'
D' U' B L2 R' F' B2
D' U' B L2 R' B2 F'
D' U' B R' L2 F' B2
D' U' B R' L2 B2 F'
U' D' B R' L2 F' B2
U' D' B R' L2 B2 F'
D' U' B R' F' L2 B2
U' D' B R' F' L2 B2
D' U' B R' F' B2 L2
U' D' B R' F' B2 L2
D' U' B R' B2 L2 F'
U' D' B R' B2 L2 F'
D' U' B R' B2 F' L2
U' D' B R' B2 F' L2
B2 U' D' L2 B R' F'
B2 U' D' B L2 R' F'
B2 U' D' B R' L2 F'
B2 U' D' B R' F' L2
F2 D R U F' R B'
F2 D R U F' B' R
F2 D R U B' F' R
F2 D U R F' R B'
F2 D U R F' B' R
F2 D U R B' F' R
F2 D U F' R F' B'
F2 D U F' R B' F'
F2 D U F' B' R F'
F2 D U B' R F' R
F2 D U B' F' R F'
B2 D' U' L2 B R' F'
B2 D' U' B L2 R' F'
B2 D' U' B R' L2 F'
B2 D' U' B R' F' L2
F2 D2 R' B R' U B2
F2 D2 B R' B U B
D' B U' L2 R' F' B2
D' B U' L2 R' B2 F'
D' B U' R' L2 F' B2
D' B U' R' L2 B2 F'
D' B U' R' F' L2 B2
D' B U' R' F' B2 L2
D' B U' R' B2 L2 F'
D' B U' R' B2 F' L2
D' B' L2 F2 D R F'
D2 B2 U' D B R' F'
D2 B2 D U' B R' F'
U' B2 D' L2 B R' F'
U' B2 D' B L2 R' F'
U' B2 D' B R' L2 F'
U' B2 D' B R' F' L2
