L' R' F U' L2 F2
L' R' F U' F2 L2
R' L' F U' L2 F2
R' L' F U' F2 L2
R' U' D L F' R
R' U' D F' L R
R' U' D F' R L
D R' U' L F' R
D R' U' F' L R
D R' U' F' R L
R' D U' L F' R
R' D U' F' L R
R' D U' F' R L
L' F R' U' L2 F'
L' F R' U' F' L2
R' L U' B' U F' B
R' L U' B' U B F'
L' R F R2 U' L2 F'
L' R F R2 U' F' L2
R' L F' U' B' U B
L2 R' U' L' F R F2
R' L' U' F' L2 D R2
L' R' U' F' L2 D R2
L R' U' B' U F' B
L R' U' B' U B F'
D L' R' U' L2 F' R
D L' R' U' F' L2 R
D L' R' U' F' R L2
F' L' R' F U' L2 F2
F' L' R' F U' F2 L2
F2 L' R' F U' L2 F2
F2 L' R' F U' F2 L2
U2 L' R' F U' L2 F
F L' R' F U' L2 F2
F L' R' F U' F2 L2
R' L' D' F B2 U' F2
L' R' D' F B2 U' F2
R' L' D' B2 F U' F2
L' R' D' B2 F U' F2
R' L' F L U' L F2
R' L' F L U' F2 L
L' R' F L U' L F2
L' R' F L U' F2 L
R' L' F L' U' L' F2
L' R' F L' U' L' F2
R' L' F U' L F2 L
R' L' F U' L2 F2 D
R' L' F U' L2 F2 D'
R' L' F U' L2 F2 D2
R' L' F U' F' L2 F'
R' L' F U' F2 L2 D
R' L' F U' F2 L2 D'
R' L' F U' F2 L2 D2
L' R' F U' L F2 L
L' R' F U' L2 F2 D
L' R' F U' L2 F2 D'
L' R' F U' L2 F2 D2
L' R' F U' F' L2 F'
L' R' F U' F2 L2 D
L' R' F U' F2 L2 D'
L' R' F U' F2 L2 D2
R' L' F D' L2 B2 U'
R' L' F D' B2 L2 U'
L' R' F D' L2 B2 U'
R L' F R2 U' L2 F'
R L' F R2 U' F' L2
L' R' F D' B2 L2 U'
R' L' F B U' L2 F2
R' L' F B U' F2 L2
L' R' F B U' L2 F2
R' L' F B' U' L2 F2
R' L' F B' U' F2 L2
L' R' F B U' F2 L2
R' L' F B2 U' L2 F2
L' R' F B' U' L2 F2
R' L' F B2 U' F2 L2
L' R' F B' U' F2 L2
L' R' F B2 U' L2 F2
L' R' F B2 U' F2 L2
L R' F' U' B' U B
R' L' B F U' L2 F2
R' L' B F U' F2 L2
L' R' B F U' L2 F2
L' R' B F U' F2 L2
R' L' B' F U' L2 F2
R' L' B' F U' F2 L2
L' R' B' F U' L2 F2
L' R' B' F U' F2 L2
F' L' F R' U' L2 F'
F' L' F R' U' F' L2
F2 L' F R' U' L2 F'
F2 L' F R' U' F' L2
U2 L' F R' U' L2 F
F L' F R' U' L2 F'
F L' F R' U' F' L2
R' L' B2 F U' L2 F2
R' L' B2 F U' F2 L2
L' R' B2 F U' L2 F2
L' R' B2 F U' F2 L2
R' L2 U' L' F R F2
U2 L2 R' U' L' F R
D L2 R' U' L' F' R
L U R' U2 B' R' U
R' U' L U' B' U F'
R' U' L F' U' B' U
R' U' L' F' L2 D R2
D2 R F' R2 U' L F'
D2 R F' R2 U' F' L
R' U' D L F' R D
R' U' D L F' R D'
R' U' D L F' R D2
R' U' D L F' D R
R' U' D L F' D' R
R' U' D L F' D2 R
R' U' D L' F' L2 R
R' U' D L' F' R L2
R' U' D F' L R D
R' U' D F' L R D'
R' U' D F' L R D2
R' U' D F' L D R
R' U' D F' L D' R
R' U' D F' L D2 R
R' U' D F' R L D
R' U' D F' R L D'
R' U' D F' R L D2
R' U' D F' R D L
R' U' D F' R D' L
R' U' D F' R D2 L
R' U' D F' D L R
R' U' D F' D R L
R' U' D F' D' L R
R' U' D F' D' R L
R' U' D F' D2 L R
R' U' D F' D2 R L
R' U' D' L D2 F' R
R' U' D2 L D' F' R
F' R' L' F U' L2 F2
