F2 L U F B U2
F2 L U B F U2
F2 L' R2 U' F' B'
F2 L' R2 U' B' F'
F2 L' U B U2 B2
D L' U' R2 F' B'
D L' U' R2 B' F'
F2 L' U' B' D2 F2
R2 L' F2 U' F B'
R2 L' F2 U' B' F
L' R2 F2 U' F B'
L' R2 F2 U' B' F
L' U' D R2 F' B'
L' U' D R2 B' F'
F2 R2 L' U' F' B'
F2 R2 L' U' B' F'
L' D U' R2 F' B'
L' D U' R2 B' F'
F2 U B U L U
L' F2 R2 U' F' B'
L' F2 R2 U' B' F'
L' F2 U B U2 B2
L' F2 U' B' D2 F2
L F2 R2 U' F' B
L F2 R2 U' B F'
L F2 U F' B U2
L F2 U B F' U2
F2 L R2 U F U2 F2
F2 L R2 U' F' D2 B2
F2 L U D F B U2
F2 L U D B F U2
F2 L U D' F B U2
D' L U F L B U2
F2 L U D' B F U2
F2 L U D2 F B U2
F2 L U D2 B F U2
F2 L U F D B U2
F2 L U F D' B U2
F2 L U F D2 B U2
F2 L U F B U2 D
F2 L U F B U2 D'
F2 L U F B U2 D2
F2 L U F B D U2
F2 L U F B D' U2
F2 L U F B D2 U2
D L U F U2 R2 F'
D L U F B U2 R2
F2 L U B D F U2
F2 L U B D' F U2
F2 L U B D2 F U2
F2 L U B F U2 D
F2 L U B F U2 D'
F2 L U B F U2 D2
F2 L U B F D U2
F2 L U B F D' U2
F2 L U B F D2 U2
D L U B F U2 R2
D L U' R2 F' D2 B2
D L U' F2 R2 F' B
D L U' F2 R2 B F'
F2 L D U F B U2
F2 L D U B F U2
F2 L D' U F B U2
F2 L D' U B F U2
F2 L D2 U F B U2
F2 L D2 U B F U2
L' R F2 R U' F' B'
L' R F2 R U' B' F'
R2 L F2 R2 U' F B
R2 L F2 R2 U' B F
R2 L F2 U F' U2 F2
R2 L F2 U' F D2 B2
F' L F' U F2 B U2
F' L F' U B F2 U2
F' L F' D R2 U' F'
D L F2 U' R2 F' B
D L F2 U' R2 B F'
R2 L' U' D F' R2 B'
R2 L' U' D F' B' R2
R2 L' U' D B' F' R2
R2 L' U' B' D F' R2
D L' R U' R F' B'
D L' R U' R B' F'
D L' R U' B' R F'
R2 L' D U' F' R2 B'
R2 L' D U' F' B' R2
R2 L' D U' B' F' R2
F2 L' R2 U' D F' B'
F2 L' R2 U' D B' F'
F2 L' R2 U' D' F' B'
F2 L' R2 U' D' B' F'
F2 L' R2 U' D2 F' B'
F2 L' R2 U' D2 B' F'
F2 L' R2 U' F' D B'
F2 L' R2 U' F' D' B'
F2 L' R2 U' F' D2 B'
F2 L' R2 U' F' B' D
F2 L' R2 U' F' B' D'
F2 L' R2 U' F' B' D2
F2 L' R2 U' B' D F'
F2 L' R2 U' B' D' F'
F2 L' R2 U' B' D2 F'
F2 L' R2 U' B' F' D
F2 L' R2 U' B' F' D'
F2 L' R2 U' B' F' D2
F2 L' R2 D U' F' B'
F2 L' R2 D U' B' F'
F2 L' R2 D' U' F' B'
F2 L' R2 D' U' B' F'
F2 L' R2 D2 U' F' B'
F2 L' R2 D2 U' B' F'
F2 L' U D B U2 B2
F2 L' U D' B U2 B2
F2 L' U D2 B U2 B2
F2 L' U F B U2 B2
D' L' U B L' U2 B2
F2 L' U F' B U2 B2
F2 L' U F2 B U2 B2
F2 L' U B U2 B2 D
F2 L' U B U2 B2 D'
F2 L' U B U2 B2 D2
F2 L' U B D2 F2 U2
F2 L' U B F U2 B2
F2 L' U B F' U2 B2
F2 L' U B F2 U2 B2
D L' U B U2 R2 B2
D L' U B U2 B2 R2
F L' U B L U2 B2
F L' U B U2 B2 R'
D2 L' U' D' R2 F' B'
D2 L' U' D' R2 B' F'
D L' U' R B' R F'
F2 L' U' R2 F' R2 B'
F2 L' U' R2 F' B' R2
F2 L' U' R2 B' F' R2
D L' U' R2 D F' B'
D L' U' R2 D B' F'
D L' U' R2 D' F' B'
D L' U' R2 D' B' F'
F2 L' U' D B' D2 F2
D L' U' R2 D2 F' B'
D L' U' R2 D2 B' F'
D L' U' R2 F' D B'
D L' U' R2 F' D' B'
D L' U' R2 F' D2 B'
D L' U' R2 F' B' D
D L' U' R2 F' B' D'
D L' U' R2 F' B' D2
D L' U' R2 B' D F'
D L' U' R2 B' D' F'
D L' U' R2 B' D2 F'
D L' U' R2 B' F' D
D L' U' R2 B' F' D'
D L' U' R2 B' F' D2
F2 L' U' D' B' D2 F2
F2 L' U' D2 B' D2 F2
F2 L' U' F B' D2 F2
D L' U' F R2 F' B'
D L' U' F R2 B' F'
F2 L' U' F' B' D2 F2
D L' U' F' R2 F' B'
D L' U' F' R2 B' F'
D' L' U' B' D2 F2 R
F2 L' U' F2 B' D2 F2
D L' U' F2 R2 F' B'
D L' U' F2 R2 B' F'
F2 L' U' B' U2 B2 U2
F2 L' U' B' D2 F2 D
F2 L' U' B' D2 F2 D'
F2 L' U' B' D2 F2 D2
F2 L' U' B' F D2 F2
F2 L' U' B' F' D2 F2
F2 L' U' B' F2 D2 F2
D L' U' B' R2 D2 F2
F2 L' U2 R2 U F' B'
F2 L' U2 R2 U B' F'
R' L' F2 R' U' F' B'
R' L' F2 R' U' B' F'
L' R' F2 R' U' F' B'
L' R' F2 R' U' B' F'
R2 L' F2 R U' F B'
R2 L' F2 R U' B' F
R2 L' F2 R' U' F B'
R2 L' F2 R' U' B' F
F2 L' D R2 U' F' B'
F2 L' D R2 U' B' F'
R L' F2 R U' F' B'
R L' F2 R U' B' F'
R2 L' F2 R2 U' F B'
R2 L' F2 R2 U' B' F
F2 L' D U B U2 B2
F2 L' D U' B' D2 F2
R2 L' F2 U' D F B'
R2 L' F2 U' D B' F
R2 L' F2 U' D' F B'
R2 L' F2 U' D' B' F
R2 L' F2 U' D2 F B'
R2 L' F2 U' D2 B' F
R2 L' F2 U' F D B'
R2 L' F2 U' F D' B'
R2 L' F2 U' F D2 B'
R2 L' F2 U' F B' D
R2 L' F2 U' F B' D'
R2 L' F2 U' F B' D2
R2 L' F2 U' B' D F
R2 L' F2 U' B' D' F
R2 L' F2 U' B' D2 F
R2 L' F2 U' B' F D
R2 L' F2 U' B' F D'
R2 L' F2 U' B' F D2
R2 L' F2 D U' F B'
R2 L' F2 D U' B' F
R2 L' F2 D' U' F B'
R2 L' F2 D' U' B' F
R2 L' F2 D2 U' F B'
R2 L' F2 D2 U' B' F
D2 L' D' U' R2 F' B'
D2 L' D' U' R2 B' F'
F2 L' D' R2 U' F' B'
F2 L' D' R2 U' B' F'
F2 L' D' U B U2 B2
F2 L' D' U' B' D2 F2
F2 L' D2 R2 U' F' B'
F2 L' D2 R2 U' B' F'
F2 L' D2 U B U2 B2
F2 L' D2 U' B' D2 F2
D L' F U' R2 F' B'
D L' F U' R2 B' F'
F' L' F' R2 U' F' B'
F' L' F' R2 U' B' F'
F' L' F' U B U2 B2
F' L' F' U' B' D2 F2
D L' F' U' R2 F' B'
D L' F' U' R2 B' F'
L' R2 U' D F' R2 B'
L' R2 U' D F' B' R2
L' R2 U' D B' F' R2
L' R2 U' B' D F' R2
D L' F2 U' R2 F' B'
D L' F2 U' R2 B' F'
L' R2 D U' F' R2 B'
L' R2 D U' F' B' R2
L' R2 D U' B' F' R2
B' L' B' D L2 R2 F
B' L' B' D L2 F R2
B' L' B' D R2 L2 F
L' R2 F2 R U' F B'
L' R2 F2 R U' B' F
L' R2 F2 R' U' F B'
L' R2 F2 R' U' B' F
L' R2 F2 R2 U' F B'
L' R2 F2 R2 U' B' F
L' R2 F2 U' D F B'
L' R2 F2 U' D B' F
L' R2 F2 U' D' F B'
L' R2 F2 U' D' B' F
L' R2 F2 U' D2 F B'
L' R2 F2 U' D2 B' F
L' R2 F2 U' F D B'
L' R2 F2 U' F D' B'
L' R2 F2 U' F D2 B'
L' R2 F2 U' F B' D
L' R2 F2 U' F B' D'
L' R2 F2 U' F B' D2
L' R2 F2 U' B' D F
L' R2 F2 U' B' D' F
L' R2 F2 U' B' D2 F
L' R2 F2 U' B' F D
L' R2 F2 U' B' F D'
L' R2 F2 U' B' F D2
L' R2 F2 D U' F B'
L' R2 F2 D U' B' F
L' R2 F2 D' U' F B'
L' R2 F2 D' U' B' F
L' R2 F2 D2 U' F B'
L' R2 F2 D2 U' B' F
L R2 F2 R2 U' F B
L R2 F2 R2 U' B F
L R2 F2 U F' U2 F2
L R2 F2 U' F D2 B2
L' U D B U2 R2 B2
L' U D B U2 B2 R2
L' U D' L2 F B U2
L' U D' L2 B F U2
L U D F U2 R2 F'
L U D F B U2 R2
L U D B F U2 R2
L' U D' B L2 U2 B2
L U D' L2 B U2 B2
L U D' F L2 B U2
L U D' F B L2 U2
L U D' B L2 U2 B'
L U D' B F L2 U2
D R L' U' R F' B'
D R L' U' R B' F'
D R L' U' B' R F'
L U F B U' F U'
L' U B U' F2 U' B2
L' U B U2 B2 D R2
F2 R U2 R U F' B
F2 R U2 R U B F'
L U B D F U2 R2
L U B D' L2 U2 B'
L U B D' F L2 U2
L U B F U' F U'
F R D' F L' U' B'
F2 R D2 L' U' F B'
F2 R D2 L' U' B' F
L' U' R2 D F' R2 B'
L' U' R2 D F' B' R2
L' U' R2 D B' F' R2
L' U' R2 B' D F' R2
L' U' D R B' R F'
L' U' D R2 D F' B'
L' U' D R2 D B' F'
L' U' D R2 D' F' B'
L' U' D R2 D' B' F'
L' U' D R2 D2 F' B'
L' U' D R2 D2 B' F'
L' U' D R2 F' D B'
L' U' D R2 F' D' B'
L' U' D R2 F' D2 B'
L' U' D R2 F' B' D
L' U' D R2 F' B' D'
L' U' D R2 F' B' D2
L' U' D R2 B' D F'
L' U' D R2 B' D' F'
L' U' D R2 B' D2 F'
L' U' D R2 B' F' D
L' U' D R2 B' F' D'
L' U' D R2 B' F' D2
L' U' D F R2 F' B'
L' U' D F R2 B' F'
L' U' D F' R2 F' B'
L' U' D F' R2 B' F'
L' U' D F2 R2 F' B'
L' U' D F2 R2 B' F'
L' U' D B' R2 D2 F2
L U' D R2 F' D2 B2
L U' D F2 R2 F' B
L U' D F2 R2 B F'
L' U' D' B' D2 R2 F2
L' U' D' B' D2 F2 R2
L' U' B' D R2 D F2
L' U' B' D2 F2 D' R2
F2 R2 L U F U2 F2
F2 R2 L U' F' D2 B2
F2 R2 L' U' D F' B'
F2 R2 L' U' D B' F'
F2 R2 L' U' D' F' B'
F2 R2 L' U' D' B' F'
F2 R2 L' U' D2 F' B'
F2 R2 L' U' D2 B' F'
F2 R2 L' U' F' D B'
F2 R2 L' U' F' D' B'
F2 R2 L' U' F' D2 B'
F2 R2 L' U' F' B' D
F2 R2 L' U' F' B' D'
F2 R2 L' U' F' B' D2
F2 R2 L' U' B' D F'
F2 R2 L' U' B' D' F'
F2 R2 L' U' B' D2 F'
F2 R2 L' U' B' F' D
