F R F U' F2 L'
D2 B2 U L' F B'
D2 B2 U L' B' F
U' L' R D F' B R2
U' L' R D B F' R2
U L' R D F' R2 B'
U L' R D F' B' R2
U L' R D B' F' R2
U' L' R B D F' R2
U L' R B' D F' R2
U' L' R' D R2 F' B
U' L' R' D R2 B F'
U L' R' D R2 F' B'
U L' R' D R2 B' F'
U L' B' R D F' R2
U L' B' R' D R2 F'
R' U L' D R2 F' B'
R' U L' D R2 B' F'
R U L' D F' R2 B'
R U L' D F' B' R2
R U L' D B' F' R2
R U L' B' D F' R2
R' U D L' R2 F' B'
R' U D L' R2 B' F'
R' U D R2 L' F' B'
R' U D R2 L' B' F'
R U D L' F' R2 B'
R U D L' F' B' R2
R U D L' B' F' R2
U' R L' D F' B R2
U' R L' D B F' R2
U' R L' B D F' R2
U R L' D F' R2 B'
U R L' D F' B' R2
U R L' D B' F' R2
U R L' B' D F' R2
U' R D L' F' B R2
U' R D L' B F' R2
U' R D B L' F' R2
U R D L' F' R2 B'
U R D L' F' B' R2
U R D L' B' F' R2
F R D F U' F2 L'
F R D' F U' F2 L'
F R D2 F U' F2 L'
F R F L U' F2 L'
F R F L' U' F2 L'
F R F L2 U' F2 L'
F R F U R U2 F2
F R F U' L F2 L'
F R F U' L' F2 L'
F R F U' L2 F2 L'
F R F U' F2 L' D
F R F U' F2 L' D'
F R F U' F2 L' D2
F R F U' F2 D L'
F R F U' F2 D' L'
F R F U' F2 D2 L'
F R F B U' F2 L'
F R F B' U' F2 L'
F R F B2 U' F2 L'
U' R B L' D F' R2
U' R B D L' F' R2
F R B F U' F2 L'
D2 R B2 U L' F B'
D2 R B2 U L' B' F
F R B' F U' F2 L'
F R B2 F U' F2 L'
U' R' L' D R2 F' B
U' R' L' D R2 B F'
U R' L' D R2 F' B'
U R' L' D R2 B' F'
U' R' D L' R2 F' B
U' R' D L' R2 B F'
U' R' D R2 L' F' B
U' R' D R2 L' B F'
U' R' D R2 B L' F'
U R' D L' R2 F' B'
U R' D L' R2 B' F'
U R' D R2 L' F' B'
U R' D R2 L' B' F'
D2 R' B2 U L' F B'
D2 R' B2 U L' B' F
R' D U L' R2 F' B'
R' D U L' R2 B' F'
R' D U R2 L' F' B'
R' D U R2 L' B' F'
D2 R2 B2 U L' F B'
D2 R2 B2 U L' B' F
R D U L' F' R2 B'
R D U L' F' B' R2
R D U L' B' F' R2
D2 U L' D' R2 F B'
D2 U L' D' R2 B' F
D2 U L' D' F R2 B'
D2 U L' D' F B' R2
D2 U L' D' B' R2 F
D2 U L' D' B' F R2
D2 U L' F D' R2 B'
D2 U L' F D' B' R2
D U R2 D L' F B'
D U R2 D L' B' F
U D R2 D L' F B'
U D R2 D L' B' F
F U' R F B U' F2
F U' R B F U' F2
U D2 L' D' R2 F B'
U D2 L' D' R2 B' F
U D2 L' D' F R2 B'
U D2 L' D' F B' R2
U D2 L' D' B' R2 F
U D2 L' D' B' F R2
U D2 L' F D' R2 B'
U D2 L' F D' B' R2
R D2 B2 U L' F' B'
R D2 B2 U L' B' F'
L2 F R F U' L F2
L2 F R F U' F2 L
L F R F U' L2 F2
L F R F U' F2 L2
L' F U R F U' F2
D2 F' L' B2 U F L'
D2 F' B2 L' U F L'
U2 F2 U R U2 F' B
U2 F2 U R U2 B F'
D B R' U L' R' B'
D B R' U R' L' B'
B' D2 B2 U L' F B'
B' D2 B2 U L' B' F
B2 D2 B2 U L' F B'
B2 D2 B2 U L' B' F
B D2 B2 U L' F B'
B D2 B2 U L' B' F
B' F R F U' F2 L'
B2 F R F U' F2 L'
B F R F U' F2 L'
F B R F U' F2 L'
F B' R F U' F2 L'
D2 B2 R U L' F B'
D2 B2 R U L' B' F
D2 B2 R' U L' F B'
D2 B2 R' U L' B' F
D2 B2 R2 U L' F B'
D2 B2 R2 U L' B' F
D2 B2 U L' D F B'
D2 B2 U L' D B' F
D2 B2 U L' D' F B'
D2 B2 U L' D' B' F
D2 B2 U L' D2 F B'
D2 B2 U L' D2 B' F
D2 B2 U L' F D B'
D2 B2 U L' F D' B'
D2 B2 U L' F D2 B'
D2 B2 U L' F B' D
D2 B2 U L' F B' D'
D2 B2 U L' F B' D2
D2 B2 U L' B' D F
D2 B2 U L' B' D' F
D2 B2 U L' B' D2 F
D2 B2 U L' B' F D
D2 B2 U L' B' F D'
D2 B2 U L' B' F D2
D2 B2 U B L' F B'
D2 B2 U B L' B' F
D2 B2 U B' L' F B'
D2 B2 U B' L' B' F
D2 B2 U B2 L' F B'
D2 B2 U B2 L' B' F
F B2 R F U' F2 L'
D2 B2 F' L' U F L'
