F' U' B L F
F' L U' B L F
F' L' U' B L F
F' L2 U' B L F
B U L F' U' L'
B U F' L U' L2
F' U' L F B L
F' U' L B F L
F' U' D B L F
F' U' D' B L F
F' U' D2 B L F
F' U' F B L F
F' U' F' B L F
F' U' F2 B L F
F' U' B L D F
F' U' B L D' F
F' U' B L D2 F
F' U' B L F D
F' U' B L F D'
F' U' B L F D2
F' U' B D L F
F' U' B D' L F
F' U' B D2 L F
F' U' B F L F
F' U' B F' L F
F' U' B F2 L F
F' D U' B L F
U2 F' L' B' U' B2
L' F' U' B L F
D2 F' U' B L F
D' F' U' B L F
L2 F' U' B L F
L F' U' B L F
D F' U' B L F
F' D' U' B L F
F' D2 U' B L F
U' B L F D R2
B L R B U' B' R'
F' L U' L F B L
F' L U' L B F L
F' L U' D B L F
F' L U' D' B L F
F' L U' D2 B L F
F' L U' F B L F
F' L U' F' B L F
F' L U' F2 B L F
F' L U' B L D F
F' L U' B L D' F
F' L U' B L D2 F
F' L U' B L F D
F' L U' B L F D'
F' L U' B L F D2
F' L U' B D L F
F' L U' B D' L F
F' L U' B D2 L F
F' L U' B F L F
F' L U' B F' L F
F' L U' B F2 L F
F' L D U' B L F
F' L D' U' B L F
F' L D2 U' B L F
U' L F D B L R2
U' L F D B R2 L
U' L F B L D R2
U' L F B D L R2
U' L F B D R2 L
B L F' R B U' B'
D2 L F' U' B L F
D' L F' U' B L F
D L F' U' B L F
B L F' B' U' B L
F L F2 U' B L F
U' L B F L D R2
U' L B F D L R2
U' L B F D R2 L
B L B' F' U' B L
B L' U L2 F' U' L'
B L' U F' L2 U' L
F' L' U' L F B L
F' L' U' L B F L
F' L' U' D B L F
F' L' U' D' B L F
F' L' U' D2 B L F
F' L' U' F B L F
F' L' U' F' B L F
F' L' U' F2 B L F
F' L' U' B L D F
F' L' U' B L D' F
F' L' U' B L D2 F
F' L' U' B L F D
F' L' U' B L F D'
F' L' U' B L F D2
F' L' U' B D L F
F' L' U' B D' L F
F' L' U' B D2 L F
F' L' U' B F L F
F' L' U' B F' L F
F' L' U' B F2 L F
F2 L' U' B L F R
F' L' D U' B L F
F' L' D' U' B L F
F' L' D2 U' B L F
