B L' D L2 F2 B
B L' D L2 B F2
B L' D F2 L2 B
B L' D F2 B L2
B L' D B L2 F2
B L' D B F2 L2
U R' B' U' F' B'
U R' B' U' B' F'
B U L B2 U' B'
B2 U B U2 R' U
B2 U B' L B2 U'
U B' R' U' F' B'
U B' R' U' B' F'
L' B2 D L' F L'
L' B2 D F L' F
U L R' U' F' L' B2
U L R' U' F' B2 L'
U L R' U' B2 F' L'
B L R2 B2 U' R2 B
U' L U F B L B
U' L U B F L B
B2 L U B U2 R' U
B2 L U B' L B2 U'
U' L U B2 D2 F L'
B L D L2 D F2 B
B L D L2 D B F2
B L D L2 B D F2
B L D B L2 D F2
L2 R F U R' F' B2
L2 R F U R' B2 F'
B L B2 R U' R' B'
B L B2 R' U' R B'
B L B2 R' U' B' R
B L B2 R2 U' R2 B'
B L B2 R2 U' B' R2
B L' U L2 B2 U' B'
B2 L' U B U2 R' U
B2 L' U B' L B2 U'
U' L' D L2 U F L'
B L' D L F2 L B
B L' D L' B L' F2
B L' D L2 F2 D B
B L' D L2 F2 D' B
B L' D L2 F2 D2 B
B L' D L2 F2 B D
B L' D L2 F2 B D'
B L' D L2 F2 B D2
B L' D L2 B F2 D
B L' D L2 B F2 D'
B L' D L2 B F2 D2
B L' D F' L2 F' B
B L' D F' L2 B F'
B L' D F' B L2 F'
B L' D F2 L' B L'
B L' D F2 L2 D B
B L' D F2 L2 D' B
B L' D F2 L2 D2 B
B L' D F2 L2 B D
B L' D F2 L2 B D'
B L' D F2 L2 B D2
B L' D F2 B L2 D
B L' D F2 B L2 D'
B L' D F2 B L2 D2
B L' D F2 B' L2 B2
B L' D B L F2 L
B L' D B L2 F2 D
B L' D B L2 F2 D'
B L' D B L2 F2 D2
B L' D B F' L2 F'
B L' D B F2 L2 D
B L' D B F2 L2 D'
B L' D B F2 L2 D2
B L' D B' L2 F2 B2
B L' D B' L2 B2 F2
B L' D B' F2 L2 B2
B L' D2 B D' L2 F2
B L' D2 B D' F2 L2
B L' F D L2 F2 B
B L' F D L2 B F2
B L' F D F2 L2 B
B L' F D F2 B L2
B L' F D B L2 F2
B L' F D B F2 L2
B L' F' D L2 F2 B
B L' F' D L2 B F2
B L' F' D F2 L2 B
B L' F' D F2 B L2
B L' F' D B L2 F2
B L' F' D B F2 L2
B L' F2 D L2 F2 B
B L' F2 D L2 B F2
B L' F2 D F2 L2 B
B L' F2 D F2 B L2
B L' F2 D B L2 F2
B L' F2 D B F2 L2
B L' B U L2 B U'
B L' B U B L2 U'
F' L' B2 D L' F L'
F' L' B2 D F L' F
F2 L' B2 D L' F L'
F2 L' B2 D F L' F
F L' B2 D L' F L'
F L' B2 D F L' F
D L2 R F U R' F'
R L2 F U R' F' B2
R L2 F U R' B2 F'
B L2 U L' B2 U' B'
B2 L2 U B U2 R' U
B2 L2 U B' L B2 U'
U' L2 F L' U F B2
U' L2 F L' U B2 F
D L2 F R U R' F'
D L2 F B' R' U R
B L2 B U L' B U'
B L2 B U B L' U'
D L2 B' F R' U R
D R L2 F U R' F'
B' R U' D' R' F2 B'
B' R U' D' R' B' F2
B' R U' D' F2 R' B'
B' R U2 R2 U R B'
B' R U2 R2 U B' R
B' R D' U' R' F2 B'
B' R D' U' R' B' F2
B' R D' U' F2 R' B'
U R D' R2 B' U' F'
U R B' U B2 U2 B
U R B' U' D2 F2 B'
U R B' U' D2 B' F2
U R B' D2 U' F2 B'
U R B' D2 U' B' F2
U R' L U' F' L' B2
U R' L U' F' B2 L'
U R' L U' B2 F' L'
L2 U' F L U F B2
L2 U' F L U B2 F
B' R' U R B2 L B
B' R' U B R B2 L
B' R' U' R' B' R2 F'
B' R' U' B' R2 F' R'
U R' B' U' D F' B'
U R' B' U' D B' F'
U R' B' U' D' F' B'
U R' B' U' D' B' F'
U R' B' U' D2 F' B'
U R' B' U' D2 B' F'
U R' B' U' F' D B'
U R' B' U' F' D' B'
U R' B' U' F' D2 B'
U R' B' U' F' B' D
U R' B' U' F' B' D'
U R' B' U' F' B' D2
U R' B' U' B' D F'
U R' B' U' B' D' F'
U R' B' U' B' D2 F'
U R' B' U' B' F' D
U R' B' U' B' F' D'
U R' B' U' B' F' D2
U R' B' D U' F' B'
U R' B' D U' B' F'
U R' B' D' U' F' B'
U R' B' D' U' B' F'
U R' B' D2 U' F' B'
U R' B' D2 U' B' F'
B R2 L B2 U' R2 B
B' R2 U2 R U R B'
B' R2 U2 R U B' R
R D L2 F U R' F'
D' R2 B L B2 U' R2
D' R2 B' U2 R' U R'
U R2 B' R U' F' B'
U R2 B' R U' B' F'
B U L U' D L2 B
B U L U' D B L2
B2 U L B U2 R' U
B2 U L B' L B2 U'
B U L D U' L2 B
B U L D U' B L2
B U L B2 R U' B'
B U L B2 R' U' B'
B U L B2 R2 U' B'
B U L B2 U' D B'
B U L B2 U' D' B'
B U L B2 U' D2 B'
B U L B2 U' B' D
B U L B2 U' B' D'
B U L B2 U' B' D2
B U L B2 D U' B'
B U L B2 D' U' B'
B U L B2 D2 U' B'
B2 U L' B U2 R' U
B2 U L' B' L B2 U'
B2 U L2 B U2 R' U
B2 U L2 B' L B2 U'
F' U R' B' U' F' B'
F' U R' B' U' B' F'
F2 U R' B' U' F' B'
F2 U R' B' U' B' F'
D' U R2 D B' L U'
F U R' B' U' F' B'
F U R' B' U' B' F'
B2 U D L' B U' F
B2 U D B L' U' F
B U D L U' L B
B2 U B L U2 R' U
B2 U B L' U2 R' U
B2 U B L2 U2 R' U
B2 U B U2 R' U D
B2 U B U2 R' U D'
B2 U B U2 R' U D2
B2 U B U2 R' D U
B2 U B U2 R' D' U
B2 U B U2 R' D2 U
B2 U B U2 D R' U
B2 U B U2 D' R' U
B2 U B U2 D2 R' U
B2 U B D U2 R' U
B2 U B D' U2 R' U
B2 U B D2 U2 R' U
B2 U B' L U' D L2
B2 U B' L D U' L2
B2 U B' L B2 U' D
B2 U B' L B2 U' D'
B2 U B' L B2 U' D2
B2 U B' L B2 D U'
B2 U B' L B2 D' U'
B2 U B' L B2 D2 U'
F' U B' R' U' F' B'
F' U B' R' U' B' F'
B2 U B' L' B2 L2 U'
B2 U B' L2 B2 L' U'
F2 U B' R' U' F' B'
F2 U B' R' U' B' F'
B2 U B' D L U' L
F U B' R' U' F' B'
F U B' R' U' B' F'
B U B2 U2 R' U B'
B' U' L' R' U L B'
B' U' L2 R' U L2 B'
B' U' R' L' U L B'
B' U' R' L2 U L2 B'
U D' R2 D B' L U'
B2 U' R2 D2 F' R U
R2 D' B' R2 F2 L' U'
B2 U' D2 R2 F' R U
B' U' B' U' B R' U
L2 F R U R' F' B2
L2 F R U R' B2 F'
B2 U2 B' U' L B2 U'
B2 D L' U B U' F
B2 D L' F U B U'
B2 D L2 U B L U'
B D L' D L' F2 B
B D L' D L' B F2
B D L' D B L' F2
B D L' B D L' F2
B D L2 U L' U' B
