B2 R' B' L' F' U
F2 L R D B U' R'
F2 L R2 F' R' B U'
U L U2 L2 B U L
U2 L U2 F L2 B U
U2 L U2 F B L2 U
U2 L U2 B F L2 U
F L U2 B L F U
U L U2 B L2 U L'
U L D2 R2 F' U' L'
B2 L' R' D F' U R
B L' R' D2 F' R U
B L' U D F' L' F
B L' U F' D L' F
B L' U2 L' B' L U'
B2 L' D R' F' U R
B L' D U F' L' F
U' L' D B U L F2
U' L' D B U F2 L
B2 L' D2 R' F' B U
B2 L' D2 R' B F' U
B L' D2 R' F' R U
U' L' D2 B R2 U L
U' L' B U D L F2
U' L' B U D F2 L
U2 L' B U D L2 F2
U2 L' B U D F2 L2
B L' B R' F' B' U
B L' B R' B' F' U
U' L' B U2 L2 U' L'
U' L' B D U L F2
U' L' B D U F2 L
U2 L' B U2 L2 B2 U'
U2 L' B U2 B2 L2 U'
U2 L' B D U L2 F2
U2 L' B D U F2 L2
U' L' B D2 R2 U L
U2 L' B D2 R2 F2 U
U2 L' B D2 F2 R2 U
B' L' B' R' F' B' U
B' L' B' R' B' F' U
F2 R L D B U' R'
F2 R D L B U' R'
B2 R' L' D F' U R
B R' L' D2 F' R U
B R' D L' F' U F2
L U' B' D' B2 L R2
L U' B' D' B2 R2 L
B2 R' D B' L' F' U
B2 R' D' B' L' F' U
B R' D2 L' F' R U
L U2 L F L B U
B2 R' D2 B' L' F' U
B2 R' F' D2 B' L U
B2 R' B L' F' B2 U
B2 R' B L' B2 F' U
B2 R' B' L F' L2 U
B2 R' B' L' D F' U
B2 R' B' L' D' F' U
B2 R' B' L' D2 F' U
B2 R' B' L' F' U D
B2 R' B' L' F' U D'
B2 R' B' L' F' U D2
B2 R' B' L' F' D U
B2 R' B' L' F' D' U
B2 R' B' L' F' D2 U
B2 R' B' L2 F' L U
B2 R' B' D L' F' U
B2 R' B' D' L' F' U
B2 R' B' D2 L' F' U
B2 R' B2 L' F' B U
B2 R' B2 L' B F' U
F2 R2 L F' R' B U'
L U2 D' B U B L
L U2 B L F L U
F2 R2 F' L R' B U'
F2 R2 F' R' L B U'
B2 R2 B' L' R F' U
B2 R2 B' R L' F' U
L' D F' B U F' L'
L' D B R' F' U F'
L' D B U F' L' F'
L' D B F' U F' L'
L D' U2 B U B L
L' D' B U' B U2 L
L D2 R B R F' U'
L' D2 B R' F' R' U
B D L' R' F' U F2
B D L' U F' L' F2
B D L' F2 U F' L'
B2 D R' B' L' F' U
B D R' L' F' U F2
B2 D' R' B' L' F' U
R F2 L B R F' U'
B D2 L' R' F' R U
B2 D2 R' B' L' F' U
B D2 R' L' F' R U
U2 B L' U2 B' L U'
L' B R U2 L2 B U'
L' B R U2 B L2 U'
B' D2 F2 R B L U'
L' B R D2 R2 F' U
L' B R' D F' U F'
L' B R' D2 F' R2 U
L' B R' F' U D F2
L' B R' F' U2 L2 U'
L' B R' F' D U F2
L' B R' F' D2 R2 U
L' B U D F' L' F'
L' B U F D F2 L'
L' B U F' D L' F2
L' B U2 L' B' L' U'
U' B D L' U F L2
L' B D R' F' U F'
L' B D U F' L' F'
L' B D F' U F' L'
L' B D2 R' F' R' U
B2 F R' F' B' L' U
B2 F R' B' F' L' U
U' B2 R' B' L' U L2
D2 B2 R' B' L' F' U
D' B2 R' B' L' F' U
D B2 R' B' L' F' U
F B2 R' F' B' L' U
F B2 R' B' F' L' U
