R U L B R' U2
L' R U L2 B R' U2
L2 R U L' B R' U2
L' R U B L2 R' U2
L' R U B R' L2 U2
L2 R U B L' R' U2
L2 R U B R' L' U2
L R B R' U' R U'
R L B R' U' R U'
R L' U L2 B R' U2
B' L B' R' D F' B2
B' L B' R' D B2 F'
B' L B' R' F' D B2
R L' U B L2 R' U2
R L' U B R' L2 U2
R L2 U L' B R' U2
R L2 U B L' R' U2
R L2 U B R' L' U2
R U L B R' U2 D
R U L B R' U2 D'
R U L B R' U2 D2
R U L B R' D U2
R U L B R' D' U2
R U L B R' D2 U2
R U L B D R' U2
R U L B D' R' U2
R U L B D2 R' U2
R U L' B L2 R' U2
R U L' B R' L2 U2
R U L2 B L' R' U2
R U L2 B R' L' U2
B R U B R2 U2 R
R U' L B R' U2 B'
B2 R' D F' B L B
B2 R' D B L F' B
B2 R' D B L B F'
B2 R' D B F' L B
B2 R' F' D B L B
B2 R' F' B L D B2
B2 R' F' B D L B2
B2 R' F' B' D B2 L
B2 R' B L D F' B2
B2 R' B L D B2 F'
B2 R' B L F' D B2
B2 R' B D L F' B2
B2 R' B D L B2 F'
B2 R' B D F' L B2
B2 R' B F' L D B2
B2 R' B F' D L B2
B2 R' B' D F' B2 L
B2 R' B' D B2 L F'
B2 R' B' D B2 F' L
B2 R' B' F' D B2 L
B' U' R U' L F R
R F U L B R' U2
R F' U L B R' U2
R F2 U L B R' U2
L B R' U2 D F' B2
L B R' U2 D B2 F'
L B R' U2 F' D B2
L B R' D U2 F' B2
L B R' D U2 B2 F'
L B R' D' F2 U2 F
B2 F D R' F' B L
B2 F D R' B L F'
B2 F D R' B F' L
B' F D' L B' R' F'
L B' U' R U' L F
F B' D' L B' R' F'
F B2 D R' F' B L
F B2 D R' B L F'
F B2 D R' B F' L
