B U F L B U
B L' U L2 B U L
B L' U B L2 U L'
D' L' U' R2 F' L' B'
D L2 B U' B2 R' U'
R' U F R B2 U B'
R' U F B2 R U B
R' U B2 F R U B
L' U' D' R2 F' L' B'
B R' U F L U R
B' R' D L2 F B' U'
B' R' D L2 B' F U'
F R2 B L B U F'
B U D F L B U
B U D' F L B U
F U D' R B R F'
B U D2 F L B U
B U F L D B U
B U F L D' B U
B U F L D2 B U
B U F L B U D
B U F L B U D'
B U F L B U D2
B U F L B D U
B U F L B D' U
B U F L B D2 U
B U F L' B L2 U
B U F L2 B L' U
B U F D L B U
B U F D' L B U
B U F D2 L B U
B U F' L F2 B U
B U F' L B F2 U
B U F2 L F' B U
B U F2 L B F' U
B U B D2 F L' U
L' D' U' R2 F' L' B'
B2 U' B' U F L U
F U' B U B L U
B U2 F L B U F'
D' F R U R F' B
D' F R U R B F'
D' F U R B R F'
U2 F R2 B2 L U F'
B' D L2 R' F B' U'
B' D L2 R' B' F U'
B' D L2 F R' B' U'
B' D R' L2 F B' U'
B' D R' L2 B' F U'
R2 F B L B U F2
B D U F L B U
F D' R U R F' B
F D' R U R B F'
B D' U F L B U
F D' U R B R F'
B D2 U F L B U
L' B U L B U L
U' B U F B L U
U' B U B F L U
D' B U F L U R2
B F L B U' B' U2
F B L B U' B' U2
B F L' B L2 U F
F B L' B L2 U F
R2 B F L B U F2
F' B U L F2 B U
F' B U L B F2 U
F2 B U L F' B U
F2 B U L B F' U
F' B U F2 L B U
F2 B U F' L B U
B F U L B U L'
F B U L B U L'
B2 F U' B' U L U
L2 B' R' D L2 F U'
L2 B' D L2 R' F U'
L2 B' D L2 F R' U'
L2 B' D R' L2 F U'
B F' U L F2 B U
B F' U L B F2 U
B F' U F2 L B U
B F2 U L F' B U
B F2 U L B F' U
B F2 U F' L B U
F B2 U' B' U L U
R2 B2 D2 F L' U F2
R B2 D2 F L' U F
