U' R' U2 R B' U'
U' R' U2 B' R U'
R' U2 B' U' B R
U' B' U2 B R' U
L2 R U F R2 U R
U' L R' U2 R B U'
U L U2 L' R' F' U
U L U2 R' L' F' U
L2 R F R2 U B R
L2 R' U F U F' R
U' L' R' F2 L' F U
L2 R' F U' F' U2 R
B2 L' U' B L2 F U'
R' L2 U F U F' R
R L2 U F R2 U R
U L' B2 L R' B' U'
U L' B2 R' L B' U'
R' L2 F U' F' U2 R
U' L2 R' F2 L' F' U
R L2 F R2 U B R
F' L2 U' R' F U B'
F' L2 U' F R' U B'
U L2 U2 R' F L2 U
U L2 U2 F L2 R' U
U L2 U2 F R' L2 U
F' L2 F R' U R B'
U' L2 F R' U2 R U'
F' L2 F R' U B' R
U' L2 F' R' F2 L' U
R' U R U B' U' B
R2 U R U2 B' U' R
L2 U R F R2 B U
L2 U R' F U2 F' U'
R U R2 U2 B' U' R
L2 U F R2 B R U
L' U' R' F2 L' F U
L2 U' R' F2 L' F' U
L U' R' F' U L' B'
U' R' L U2 R B U'
R2 U' D' F2 B' L' U'
R2 U' D' B' F2 L' U'
U' R' L' F2 L' F U
L2 U' F R' U2 R U'
U' R' L2 F2 L' F' U
L2 U' F' R' F2 L' U
R2 U' F2 B' L' U' R2
U' R' U2 R D B' U'
U' R' U2 R D' B' U'
U' R' U2 R D2 B' U'
U' R' U2 R B' U' D
U' R' U2 R B' U' D'
U' R' U2 R B' U' D2
U' R' U2 R B' D U'
U' R' U2 R B' D' U'
U' R' U2 R B' D2 U'
U' R' U2 R' B' R2 U'
U' R' U2 D R B' U'
U' R' U2 D B' R U'
U' R' U2 D' R B' U'
U' R' U2 D' B' R U'
U' R' U2 D2 R B' U'
U' R' U2 D2 B' R U'
R' U' B' U B U2 R
R' U' B' U' R2 F' R'
D2 R' U2 B' U' B R
D' R' U2 B' U' B R
U' R' U2 B R B2 U'
U' R' U2 B' R U' D
U' R' U2 B' R U' D'
U' R' U2 B' R U' D2
U' R' U2 B' R D U'
U' R' U2 B' R D' U'
U' R' U2 B' R D2 U'
U' R' U2 B' D R U'
U' R' U2 B' D' R U'
U' R' U2 B' D2 R U'
D R' U2 B' U' B R
U' R' D U2 R B' U'
U' R' D U2 B' R U'
R2 U' B' U2 R U R
R2 U' B' D' F2 L' U'
U R' U2 B' U2 B U
R2 U' B' F2 L' U' R2
U' R' D' U2 R B' U'
U' R' D' U2 B' R U'
U' R' D2 U2 R B' U'
U' R' D2 U2 B' R U'
U' R' F L2 F L' U
U R' F U2 F' B' U'
U R' F U2 B' F' U'
U' R' F' U2 B' R' U'
U' R' F2 L2 F L U
U R' F' U2 F B' U'
U R' F' U2 B' F U'
R' U2 R' B' U' B R2
U R' F2 U2 F2 B' U'
U R' F2 U2 B' F2 U'
R' U2 R2 B' U' B R'
R' U2 D B' U' B R
R' U2 D' B' U' B R
R' U2 D2 B' U' B R
R' U2 B' U' D B R
R' U2 B' U' D' B R
R' U2 B' U' D2 B R
R' U2 B' U' B R D
R' U2 B' U' B R D'
R' U2 B' U' B R D2
R' U2 B' U' B D R
R' U2 B' U' B D' R
R' U2 B' U' B D2 R
R' U2 B' U' B' R B2
R' U2 B' U' B2 R B'
R' U2 B' D U' B R
R' U2 B' D' U' B R
R' U2 B' D2 U' B R
U' R2 D2 L2 R F U
U' R2 D2 R L2 F U
R' D U2 B' U' B R
B2 U L B U2 L' U
B U L' B2 R' U' F'
U' D R' U2 R B' U'
U' D R' U2 B' R U'
R D B2 L U' B U'
U' D B' U2 B R' U
R' D' U2 B' U' B R
R2 D' U' F2 B' L' U'
R2 D' U' B' F2 L' U'
B2 U' L B U2 B' U
U' D' R' U2 R B' U'
D' U' R' U2 R B' U'
U' D' R' U2 B' R U'
D' U' R' U2 B' R U'
D2 U' R' U2 R B' U'
D2 U' R' U2 B' R U'
B2 U' L' B L2 F U'
F' U' L2 R' F U B'
F' U' L2 F R' U B'
D U' R' U2 R B' U'
D U' R' U2 B' R U'
F' U' R' L2 F U B'
F2 U' R' D' L2 F U
F2 U' D' L2 R' F U
F2 U' D' L2 F R' U
F2 U' D' R' L2 F U
U' D' B' U2 B R' U
D' U' B' U2 B R' U
D2 U' B' U2 B R' U
D U' B' U2 B R' U
R2 D2 L2 U R F U
U' D2 R' U2 R B' U'
U' D2 R' U2 B' R U'
R' D2 U2 B' U' B R
U' D2 B' U2 B R' U
U' F R' U2 R B' U'
U' F R' U2 B' R U'
L2 F R' U R' B R2
U' F B' U2 B R' U
R' F' L2 F U R B'
R' F' L2 F U B' R
U' F' R' U2 R B' U'
U' F' R' U2 B' R U'
U F' R' U2 F B' U'
U F' R' U2 B' F U'
F2 D' L2 F R' U R
U' F' B' U2 B R' U
F2 D' U' L2 R' F U
F2 D' U' L2 F R' U
F2 D' U' R' L2 F U
U' F2 R' U2 R B' U'
U' F2 R' U2 B' R U'
U F2 R' U2 F2 B' U'
U F2 R' U2 B' F2 U'
U' F2 B' U2 B R' U
F2 D2 B2 U L B U'
R' B U2 B2 U' R B2
R' B U2 B2 U' B2 R
U' B' L U2 B R' U
U' B' L' U2 B R' U
U' B' L2 U2 B R' U
U' B' U2 B R' U D
U' B' U2 B R' U D'
U' B' U2 B R' U D2
U' B' U2 B R' D U
U' B' U2 B R' D' U
U' B' U2 B R' D2 U
U' B' U2 B D R' U
U' B' U2 B D' R' U
U' B' U2 B D2 R' U
U' B' F U2 B R' U
U' B' F' U2 B R' U
U' B' F2 U2 B R' U
