R' U2 B' U L'
L2 R' F L2 U' L'
R' L2 F L2 U' L'
D2 R' U2 B' U L'
D' R' U2 B' U L'
D R' U2 B' U L'
R' U2 D B' U L'
R' U2 D' B' U L'
R' U2 D2 B' U L'
R' U2 B' U L' D
R' U2 B' U L' D'
R' U2 B' U L' D2
R' U2 B' U D L'
R' U2 B' U D' L'
R' U2 B' U D2 L'
R' U2 B' D U L'
R' U2 B' D' U L'
R' U2 B' D' U L'
R' U2 B' D2 U L'
R' D U2 B' U L'
R' D' U2 B' U L'
R' D' U2 B' U L'
B U' L' D' R2 B'
B U' L' D' B' R2
B U' D' L' R2 B'
B U' D' L' B' R2
B U' D' R2 L' B'
R' D2 U2 B' U L'
B2 U2 L B U L2
L2 F L2 R' U' L'
L2 F R' L2 U' L'
B U2 B2 U L' B'
B D' U' L' R2 B'
B D' U' L' B' R2
B D' U' R2 L' B'
R' B U' L' D' R2
R' B U' D' L' R2
R' B U' D' R2 L'
R' B U2 B2 U L'
R' B D' U' L' R2
R' B D' U' R2 L'
U2 B2 L B U L2
R' B2 U2 B U L'
U2 L U2 R' F' U' L2
L2 R F L2 R2 U' L'
B2 L D F2 B R U
L2 R F R2 L2 U' L'
B2 L D B F2 R U
B2 L F2 B R U L2
B2 L B U2 L' U' L'
B2 L B D F2 R U
B2 L B F2 R U L2
L2 R' D F U' F L
L2 R' F L2 U' L' D
L2 R' F L2 U' L' D'
L2 R' F L2 U' L' D2
L2 R' F L2 U' D L'
L2 R' F L2 U' D' L'
L2 R' F L2 U' D2 L'
L2 R' F L2 D U' L'
L2 R' F L2 D' U' L'
L2 R' F L2 D2 U' L'
L2 R' F L2 B U' L'
L2 R' F L2 B' U' L'
L2 R' F L2 B2 U' L'
L2 R' F U' D L F2
L2 R' F U' D F2 L
L2 R' F D U' L F2
L2 R' F D U' F2 L
U' L' U' B2 L B' U
R' L2 D F U' F L
U' L' B' D' R' B R'
U' L' B' D' B R' B
U2 L' B2 L B' U L'
U' L' B2 U' L B' U
R' L2 F L2 U' L' D
R' L2 F L2 U' L' D'
R' L2 F L2 U' L' D2
R' L2 F L2 U' D L'
R' L2 F L2 U' D' L'
R' L2 F L2 U' D2 L'
R' L2 F L2 D U' L'
R' L2 F L2 D' U' L'
R' L2 F L2 D2 U' L'
R' L2 F L2 B U' L'
R' L2 F L2 B' U' L'
R' L2 F L2 B2 U' L'
D2 L2 R' F L2 U' L'
D' L2 R' F L2 U' L'
F' L2 R' F L2 U' L
R' L2 F U' D L F2
R' L2 F U' D F2 L
U' L2 R' F U' L F'
U' L2 R' F U' F' L
R' L2 F D U' L F2
R' L2 F D U' F2 L
D L2 R' F L2 U' L'
R L2 F L2 R2 U' L'
R L2 F R2 L2 U' L'
U' L2 U R' F U' L
B' L2 U D L F2 B'
B' L2 U D L B' F2
B' L2 U D F2 L B'
U' L2 U F R' U' L
U L2 U' R' F U' L
U L2 U' F R' U' L
U2 L2 U2 R' F U' L
U2 L2 U2 F R' U' L
B' L2 D U L F2 B'
B' L2 D U L B' F2
B' L2 D U F2 L B'
L' U L R' U2 B' U
L' U L' R' F L2 U'
L' U L' F L2 R' U'
L' U L' F R' L2 U'
D2 L2 F L2 R' U' L'
D' L2 F L2 R' U' L'
F' L2 F L2 R' U' L
D2 L2 F R' L2 U' L'
D' L2 F R' L2 U' L'
F' L2 F R' L2 U' L
D L2 F L2 R' U' L'
R' U L2 U' F U' L
D L2 F R' L2 U' L'
R' U R U B' U L'
L' U R' L U2 B' U
L' U R' L' F L2 U'
R' U R' U B' U L'
L2 U R' F L2 U' L'
R' U R2 U B' U L'
L2 U F L2 R' U' L'
L2 U F R' L2 U' L'
B R U' L' D' R2 B'
B R U' L' D' B' R2
B R U' D' L' R2 B'
B R U' D' L' B' R2
B R U' D' R2 L' B'
B R U2 B2 U L' B'
B R D' U' L' R2 B'
B R D' U' L' B' R2
B R D' U' R2 L' B'
R' U' L' D F' R F
R' U' L' D' B R' B'
R' U' L' F D F' R
R' U' L' B' D' B R'
R' U' L2 U F U' L
R' U' R U' B' U L'
R' U' R' U' B' U L'
L2 U' R' F L2 U' L'
R' U' R2 U' B' U L'
F R B2 R2 F' U' L'
L2 U' F L2 R' U' L'
L2 U' F R' L2 U' L'
D2 R' L2 F L2 U' L'
D' R' L2 F L2 U' L'
U' R' L2 F U' L F'
U' R' L2 F U' F' L
F' R' L2 F L2 U' L
D R' L2 F L2 U' L'
F2 R' U R2 U B' U
B R' U' L' D' R2 B'
B R' U' L' D' B' R2
U' R' U' B' U L' B
U' R' U' B' U B L'
R' U' B D' R2 B' L'
R' U' B D' B' L' R2
R' U' B D' B' R2 L'
B R' U' D' L' R2 B'
B R' U' D' L' B' R2
B R' U' D' R2 L' B'
D2 R' U2 D B' U L'
D' R' U2 D B' U L'
D2 R' U2 D' B' U L'
D' R' U2 D' B' U L'
D' R' U2 D2 B' U L'
D2 R' U2 D2 B' U L'
U2 R' U2 R B' U L'
F' R' U2 D2 B' U L
F' R' U2 F B' U L'
D2 R' U2 B' U L' D
D2 R' U2 B' U L' D'
D2 R' U2 B' U L' D2
D2 R' U2 B' U D L'
D2 R' U2 B' U D' L'
D2 R' U2 B' U D2 L'
D' R' U2 B' U L' D
D' R' U2 B' U L' D'
D' R' U2 B' U L' D2
D' R' U2 B' U D L'
D' R' U2 B' U D' L'
D' R' U2 B' U D2 L'
D2 R' U2 B' D U L'
D2 R' U2 B' D' U L'
F2 R' U2 D' F2 B' U
D2 R' U2 B' D2 U L'
D' R' U2 B' D U L'
F2 R' U2 D' B' F2 U
D' R' U2 B' D' U L'
D' R' U2 B' D2 U L'
F2 R' U2 D2 B' U L2
F' R' U2 B' F U L'
D R' U2 D B' U L'
D R' U2 D' B' U L'
D R' U2 D2 B' U L'
F2 R' U2 B' U D2 L2
