R2 U' F' U' F2
R2 U2 F D R2
R2 L' U' F' L' U'
L' R2 U' F' L' U'
L2 R2 B' U' F' U'
R2 L2 B' U' F' U'
R2 U R U F R
R2 U R2 B U F
R2 U' D F' U' F2
R2 U' D' F' U' F2
R2 U' D2 F' U' F2
R2 U' F' L U' F2
R2 U' F' L' U' F2
R2 U' F' L2 U' F2
R2 U' F' U' F2 D
R2 U' F' U' F2 D'
R2 U' F' U' F2 D2
R2 U' F' D' L2 U'
R2 U2 D F D R2
R2 U2 D' F D R2
R2 U2 D2 F D R2
R2 U2 F R D R2
R2 U2 F R' D R2
R2 U2 F R2 D R2
R2 U2 F U F2 U'
R2 U2 F D R2 D
R2 U2 F D R2 D'
R2 U2 F D R2 D2
B' R2 U B2 U F
B2 R2 U B' U F
B' R2 U2 D' R2 F
B' R2 U2 D' F R2
B' R2 U2 F D' R2
B' R2 D L2 B' U2
B' R2 D' U2 R2 F
B' R2 D' U2 F R2
R2 D U' F' U' F2
R2 D U2 F D R2
D' U F2 B U F'
D2 U B U F L2
D' U B F2 U F'
R2 D' U' F' U' F2
R2 D' U2 F D R2
U D' F2 B U F'
U D' B F2 U F'
R2 D2 U' F' U' F2
R2 D2 U2 F D R2
U D2 B U F L2
R2 B U' F' U' F2
U B U D2 F L2
R2 B U2 F D R2
U B U F D2 L2
U B U' R2 U2 F
U B D' F2 U F'
U B D2 U F L2
L2 B' R2 U B2 U
L2 B' R2 U2 D' R2
L2 B' R2 D L2 U2
L2 B' R2 D' U2 R2
R2 B' U' F' U' F2
R2 B' U2 F D R2
R2 B2 U' F' U' F2
R2 B2 U2 F D R2
R2 L U' L' F' U' F2
R2 L U' F' L' U' F
L2 R D R B' L U2
L2 R D B' L R U2
L2 R D B' R L U2
L2 R B' R U' F' U'
R2 L' U' L F' L' U'
R2 L' U' L' F' L' U'
R2 L' U' L2 F' L' U'
R2 L' U' D F' L' U'
R2 L' U' D' F' L' U'
R2 L' U' D2 F' L' U'
R2 L' U' F' L' U' D
R2 L' U' F' L' U' D'
R2 L' U' F' L' U' D2
R2 L' U' F' L' D U'
R2 L' U' F' L' D' U'
R2 L' U' F' L' D2 U'
R2 L' U' F' D L' U'
R2 L' U' F' D' L' U'
R2 L' U' F' D2 L' U'
R2 L' U2 R' D' F' R
R2 L' D U' F' L' U'
R2 L' D' U' F' L' U'
R2 L' D2 U' F' L' U'
R2 L' B U' F' L' U'
R2 L' B' U' F' L' U'
R2 L' B2 U' F' L' U'
L' R2 U' L F' L' U'
L' R2 U' L' F' L' U'
L' R2 U' L2 F' L' U'
L' R2 U' D F' L' U'
L R2 U' L' F' U' F2
L2 R2 U' L2 F' U' F2
L' R2 U' D' F' L' U'
R2 L2 U' L2 F' U' F2
L' R2 U' D2 F' L' U'
L' R2 U' F' L' U' D
L' R2 U' F' L' U' D'
L' R2 U' F' L' U' D2
L' R2 U' F' L' D U'
L' R2 U' F' L' D' U'
L' R2 U' F' L' D2 U'
L' R2 U' F' D L' U'
L' R2 U' F' D' L' U'
L' R2 U' F' D2 L' U'
L2 R2 U' F' L2 U' F
L2 R2 U' F' U B' U2
R2 L2 U' F' L2 U' F
R2 L2 U' F' U B' U2
L R2 U' F' L' U' F
L' R2 U2 R' D' F' R
