L2 B' L U' R
D' L' U' R F' L'
B' L2 B' L' U' R
D' L2 B' U' R F'
L' U' D' R F' L'
L' D' U' R F' L'
U' D' R F' D' L2
D' U' R F' D' L2
L2 D' B' U' R F'
B U2 R' F U R2
U2 B R' F U R2
L2 B' L U' R D
L2 B' L U' R D'
L2 B' L U' R D2
L2 B' L U' D R
L2 B' L U' D' R
L2 B' L U' D2 R
L2 B' L D U' R
L2 B' L D' U' R
L2 B' L D2 U' R
L B' L B' U' R
L2 B' D L U' R
L2 B' D' L U' R
L2 B' D2 L U' R
U' L R D L' F L'
U' L R D F L' F
L2 R U R' B' L U'
U' L D L' R F L'
U' L D R L' F L'
U' L D R F L' F
B' L D' B' U' L R
B' L D' B' U' R L
B2 L B L B' U' R
B L B2 L B' U' R
D' L' U' L R F' L'
D' L' U' L' R F' L'
D' L' U' L2 R F' L'
D' L' U' R L F' L'
D' L' U' R L' F' L'
D' L' U' R L2 F' L'
D' L' U' R D F' L'
D' L' U' R D' F' L'
D' L' U' R D2 F' L'
D' L' U' R F' L' D
D' L' U' R F' L' D'
D' L' U' R F' L' D2
D' L' U' R F' D L'
D' L' U' R F' D' L'
D' L' U' R F' D2 L'
D2 L' U' D R F' L'
D L' U' R F' L' F2
B L' U2 R' F' U R2
D2 L' D U' R F' L'
L2 R' B' L R U' R
L2 R' B' R L U' R
R L2 U R' B' L U'
D' L' B U' R F' L'
D' L' B' U' R F' L'
D' L' B2 U' R F' L'
U' L2 R U B' L U'
U' L2 U B' L U' R
R' L2 B' L R U' R
U L2 U' B' L U' R
R' L2 B' R L U' R
D2 L2 D B' U' R F'
D' L2 D B' L U' R
B' L2 D B' L' U' R
B' L2 D' B' L' U' R
D2 L2 D2 B' L U' R
B' L2 D2 B' L' U' R
R U L2 R' B' L U'
B' L2 B L' B2 U' R
B2 L2 B L B2 U' R
R U R' L2 B' L U'
D' L2 B' L U' R F'
U' L2 B' L U' B R
D' L2 B' L' U' R F'
B' L2 B' L' U' R D
B' L2 B' L' U' R D'
B' L2 B' L' U' R D2
B' L2 B' L' U' D R
B' L2 B' L' U' D' R
B' L2 B' L' U' D2 R
B' L2 B' L' D U' R
B' L2 B' L' D' U' R
B' L2 B' L' D2 U' R
D' L2 B' L2 U' R F'
D L2 B' L U' R F
D2 L2 B' U' D R F'
D' L2 B' U' R D F'
D' L2 B' U' R D' F'
D' L2 B' U' R D2 F'
D' L2 B' U' R F' D
D' L2 B' U' R F' D'
D' L2 B' U' R F' D2
D2 L2 B' D U' R F'
B' L2 B' D L' U' R
B2 L2 B' U' R D' F2
B' L2 B' D' L' U' R
B2 L2 B' U2 R' U R2
B' L2 B' D2 L' U' R
B L2 B' U' D' R F'
B' L2 B2 L' B U' R
B L2 B' D' U' R F'
B L2 B2 L B U' R
U' R L D L' F L'
U' R L D F L' F
U' R L2 U B' L U'
U' R U L2 B' L U'
L' U' L D' R F' L'
L' U' L' D' R F' L'
L' U' L2 D' R F' L'
U2 R F B R' U R
L' U' R D F' L' F
L2 U' R U B' L U'
L' U' R F' D L' F
L U' R D L' F L'
L U' R D F L' F
U2 R B F R' U R
L' U' D R F' L' F
L' U' D F' L' F R
L U' D L' R F L'
L' U' D' L R F' L'
L' U' D' L' R F' L'
L' U' D' L2 R F' L'
L U' D R L' F L'
L U' D R F L' F
L' U' D' R L F' L'
L' U' D' R L' F' L'
L' U' D' R L2 F' L'
L' U' D' R D F' L'
L' U' D' R D' F' L'
L' U' D' R D2 F' L'
L' U' D' R F' L' D
L' U' D' R F' L' D'
L' U' D' R F' L' D2
L' U' D' R F' D L'
L' U' D' R F' D' L'
L' U' D' R F' D2 L'
L' U' F' D L' F R
L2 U' B' L U' B R
U2 R' F B R' U R'
B R' F2 L' F' U R2
U2 R' B R' F U R'
U2 R' B F R' U R'
L' U2 B R' F' U R2
L' D L' B' U' R F
L D L' U' R F L'
L' D U' R F' L' F
L' D U' F' L' F R
L D U' L' R F L'
L D U' R L' F L'
L D U' R F L' F
D' U R F' D' L2 B'
B U R' F U R2 B
L2 D B' L' U' R F
L2 D B' U' D2 R F'
L2 D B' D2 U' R F'
L2 D' L U' R F' L'
L' D' L' B' U' R F'
L' D' U' L R F' L'
L' D' U' L' R F' L'
L' D' U' L2 R F' L'
L' D' U' R L F' L'
L' D' U' R L' F' L'
L' D' U' R L2 F' L'
L' D' U' R D F' L'
L' D' U' R D' F' L'
L' D' U' R D2 F' L'
L' D' U' R F' L' D
L' D' U' R F' L' D'
L' D' U' R F' L' D2
L' D' U' R F' D L'
L' D' U' R F' D' L'
L' D' U' R F' D2 L'
B2 U' L R D F L'
U' D' R U' F U F2
D' U' R U' F U F2
B2 U' L D R F L'
U' D' R D F' D' L2
D' U' R D F' D' L2
D' U' R D' F' D' L2
U' D' R D' F' D' L2
D' U' R D2 F' D' L2
U' D' R D2 F' D' L2
D' U' R F' L D' L2
U' D' R F' L D' L2
D' U' R F' L' D' L2
U' D' R F' L' D' L2
D' U' R F' L2 D' L2
U' D' R F' L2 D' L2
D' U' R F' U' F2 U
U' D' R F' U' F2 U
D' U' R F' D' L2 D
D' U' R F' D' L2 D'
D' U' R F' D' L2 D2
U' D' R F' D' L2 D
U' D' R F' D' L2 D'
U' D' R F' D' L2 D2
U D' R F' D' L2 B'
U2 D' R' F U R2 F'
B2 U' R L D F L'
B2 U' R U' F R U
U2 D' F R U F' R
B U' R U' R2 F U
B U' R U' F R2 U
U2 D' F U R F' R
U2 D' F U F' R F'
U2 D' F U F' R F'
L' D' B U' R F' L'
B U' R F' D' L2 F2
B U' R F' D' F2 L2
L' D' B' U' R F' L'
L2 D' B' L U' R F'
L2 D' B' L' U' R F'
L2 D' B' L2 U' R F'
L2 D' B' U' R D F'
L2 D' B' U' R D' F'
L2 D' B' U' R D2 F'
L2 D' B' U' R F' D
L2 D' B' U' R F' D'
L2 D' B' U' R F' D2
L' D' B2 U' R F' L'
L D' B' U' L R F'
L D' B' U' R L F'
L D' B' U' R F' L
D' U2 R' F U R2 F'
D' U2 F R U F' R
D' U2 F U R F' R
D' U2 F U F' R F'
B2 U2 R F R U R'
B U2 R F R2 U R2
B2 U2 R' F R U R
B U2 R' D F B2 U
B U2 R' D B2 F U
B U2 R' F U R2 D
B U2 R' F U R2 D'
B U2 R' F U R2 D2
B U2 R' F D B2 U
B U2 R' F B U R2
B U2 R' F B' U R2
B U2 R' F B2 U R2
B2 U2 R2 F R U R2
B U2 R' B F U R2
B U2 R' B' F U R2
L2 D2 B' U' D R F'
B U2 R' B2 F U R2
L2 D2 B' D U' R F'
B U2 D R' F U R2
B U2 D' R' F U R2
B U2 D2 R' F U R2
B U2 F D R' B U
B' U2 B2 R' F U R2
U2 F U F' D' R F'
B' D L2 B' L' U' R
U2 F B D R' B U
L2 F B' L F' U' R
R F B R' U R B
U2 F B2 U R' F' R
B D U2 R' F U R2
U' F' D' L2 F R F'
U' F' D' F L2 R F'
U' F' D' F R L2 F'
U' F' D' F R F' L2
B' D' L2 B' L' U' R
L2 F' B' L F U' R
F' D' F U' L2 R F'
F' D' F U' R L2 F'
F' D' F U' R F' L2
B D' U2 R' F U R2
B' D2 L2 B' L' U' R
L2 F2 B' L U L2 U2
L2 F2 B' L U' D2 R2
L2 F2 B' L D F2 U'
L2 F2 B' L D2 U' R2
D' B L' U' R F' L'
L2 B L B2 L U' R
F' D2 F L' B2 U' R
B D2 U2 R' F U R2
F' D2 F B2 L' U' R
L2 B L' B2 L U' R
D' B L2 B' U' R F'
L2 B L2 B2 L U' R
U' B R' F U R2 B'
U' B R' F U B' R2
U2 B R F R2 U R2
U2 B R' D F B2 U
U2 B R' D B2 F U
U2 B R' F U R2 D
U2 B R' F U R2 D'
U2 B R' F U R2 D2
U2 B R' F D B2 U
U2 B R' F B U R2
U2 B R' F B' U R2
U2 B R' F B2 U R2
U2 B R' B F U R2
U2 B R' B' F U R2
U2 B R' B2 F U R2
U B R' F U R2 B
D' B U' R F' D' L2
F' D2 B2 F L' U' R
U B U R' F U R2
L' B U2 R' F' U R2
U2 B D R' F U R2
U2 B D' R' F U R2
U2 B D2 R' F U R2
U2 B F D R' B U
R B F R' U R B
L2 B' L U L U2 R
L2 B' L U L' U2 R
L2 B' L U L2 U2 R
L2 B' L U' R2 D R'
L2 B' L U' R2 D' R'
L2 B' L U' R2 D2 R'
L2 B' L U' D R D
L2 B' L U' D R D'
L2 B' L U' D R D2
L2 B' L U' D' R D
L2 B' L U' D' R D'
L2 B' L U' D' R D2
L2 B' L U' D2 R D
L2 B' L U' D2 R D'
L2 B' L U' D2 R D2
L2 B' L U' B R B'
L2 B' L U' B2 R B2
L2 B' L U2 B U R
L2 B' L U2 B' U R
L2 B' L U2 B2 U R
L2 B' L D U' R D
L2 B' L D U' R D'
L2 B' L D U' R D2
D' B' L' U' R F' L'
L2 B' L D' U' R D
L2 B' L D' U' R D'
L2 B' L D' U' R D2
L2 B' L D2 U' R D
L2 B' L D2 U' R D'
L2 B' L D2 U' R D2
L2 B' L F2 U L' U2
L' B' L' B' L2 U' R
L2 B' L' U' R D F2
L2 B' L' U' D R F2
L2 B' L' D U' R F2
L B' L D B' U' R
L B' L D' B' U' R
L B' L D2 B' U' R
D' B' L2 B' U' R F'
L B' L B' U' R D
L B' L B' U' R D'
L B' L B' U' R D2
L B' L B' U' D R
L B' L B' U' D' R
L B' L B' U' D2 R
L B' L B' D U' R
L B' L B' D' U' R
L B' L B' D2 U' R
L2 B' L2 D L' U' R
L2 B' L2 D' L' U' R
L2 B' L2 D2 L' U' R
D' B' U' R F' D' L2
L2 B' U' R U L U'
L2 B' U2 B2 R' U R2
L2 B' D L U' R D
L2 B' D L U' R D'
L2 B' D L U' R D2
L2 B' D L U' D R
L2 B' D L U' D' R
L2 B' D L U' D2 R
L2 B' D L D U' R
L2 B' D L D' U' R
L2 B' D L D2 U' R
L2 B' D' L U' R D
L2 B' D' L U' R D'
L2 B' D' L U' R D2
L2 B' D' L U' D R
L2 B' D' L U' D' R
L2 B' D' L U' D2 R
L2 B' D' L D U' R
L2 B' D' L D' U' R
L2 B' D' L D2 U' R
L2 B' D2 L U' R D
L2 B' D2 L U' R D'
L2 B' D2 L U' R D2
L2 B' D2 L U' D R
L2 B' D2 L U' D' R
L2 B' D2 L U' D2 R
L2 B' D2 L D U' R
L2 B' D2 L D' U' R
L2 B' D2 L D2 U' R
L2 B' F L F' U' R
L2 B' F' L F U' R
L2 B' F2 L U L2 U2
L2 B' F2 L U' D2 R2
L2 B' F2 L D F2 U'
L2 B' F2 L D2 U' R2
D' B2 L' U' R F' L'
L2 B2 L B L U' R
L2 B2 L' B L U' R
