R' F2 L' U L
R' L U2 R U' L'
B2 L U' L' D' R2
B2 L U' D' L' R2
B2 L U' D' R2 L'
B2 L U2 B2 U L'
B2 L D' U' L' R2
B2 L D' U' R2 L'
R' L' U2 R U' L
L' R' U2 R U' L
L R' U2 R U' L'
L2 R' U2 R U' L2
L2 R' D F2 L' U
L' R' F2 L' U L2
R' L' F2 L' U L2
L2 R' F2 L' U L'
R' L2 U2 R U' L2
R' L2 D F2 L' U
R' L2 F2 L' U L'
U2 R' U' R U2 R'
R' U2 R U R' U2
R' U2 R B2 U' L
F' R' F2 L' U L
F2 R' F2 L' U L
D2 R' F2 L' U L
D' R' F2 L' U L
D R' F2 L' U L
F R' F2 L' U L
L2 D R' F2 L' U
R' D F2 L' U L
R' D' F2 L' U L
R2 D2 L2 R U L2
R2 D2 R L2 U L2
B' U' B R' U B'
B2 U' B2 R' U B2
R' D2 F2 L' U L
R' F' L U L' B'
B2 D' L U' L' R2
B2 D' L U' R2 L'
R' F2 L' U L D
R' F2 L' U L D'
R' F2 L' U L D2
R' F2 L' U D L
R' F2 L' U D' L
R' F2 L' U D2 L
R' F2 L' D U L
R' F2 L' D' U L
R' F2 L' D2 U L
R' F2 L' F U L
R' F2 L' F' U L
R' F2 L' F2 U L
R' F2 D L' U L
R' F2 D' L' U L
R' F2 D2 L' U L
B2 D2 F2 L U' L'
R' L U L' U R U'
F' L R' U2 R U' L'
D2 L R' U2 R U' L'
D' L R' U2 R U' L'
F2 L R' U2 R U' L'
D L R' U2 R U' L'
F L R' U2 R U' L'
R' L U2 R U' L' D
R' L U2 R U' L' D'
R' L U2 R U' L' D2
R' L U2 R U' D L'
R' L U2 R U' D' L'
R' L U2 R U' D2 L'
R' L U2 R D U' L'
R' L U2 R D' U' L'
R' L U2 R D2 U' L'
R' L U2 R B U' L'
R' L U2 R B' U' L'
R' L U2 R B2 U' L'
R' L U2 D R U' L'
R' L U2 D' R U' L'
R' L U2 D2 R U' L'
R' L U2 B R U' L'
R' L U2 B' R U' L'
R' L U2 B2 R U' L'
B2 L U D L2 U2 L
R2 L D R U L' B2
R2 L D R U B2 L'
R' L D U2 R U' L'
B2 L U' L' R D' R2
B2 L U' L' R' D' R2
B2 L U' L' R2 D' R2
B2 L U' L' U' B2 U
B2 L U' L' D' R2 D
B2 L U' L' D' R2 D'
B2 L U' L' D' R2 D2
B L U' L F L2 R
B L U' L F R L2
B2 L U' L2 D' L R2
B2 L U' L2 D' R2 L
B2 L U' R L' D' R2
B2 L U' R D' L' R2
B2 L U' R D' R2 L'
B2 L U' R' L' D' R2
B2 L U' R' D' L' R2
B2 L U' R' D' R2 L'
B2 L U' R2 L' D' R2
B2 L U' R2 D' L' R2
B2 L U' R2 D' R2 L'
B2 L U' D' L' R2 D
B2 L U' D' L' R2 D'
B2 L U' D' L' R2 D2
B2 L U' D' R2 L' D
B2 L U' D' R2 L' D'
B2 L U' D' R2 L' D2
B2 L U' D' R2 D L'
B2 L U' D' R2 D' L'
B2 L U' D' R2 D2 L'
B2 L U' D2 L' D R2
R' L D' U2 R U' L'
U2 L U2 L' R' U L
U2 L U2 R' L' U L
R2 L D2 L2 R U L
B' L U2 B R' U L'
R2 L D2 R L2 U L
R' L D2 U2 R U' L'
B2 L U2 B2 U L' D
B2 L U2 B2 U L' D'
B2 L U2 B2 U L' D2
B2 L U2 B2 U D L'
B2 L U2 B2 U D' L'
B2 L U2 B2 U D2 L'
B2 L U2 B2 D U L'
B2 L U2 B2 D' U L'
B2 L U2 B2 D2 U L'
B2 L D U L2 U2 L
B2 L D' U' L' R2 D
B2 L D' U' L' R2 D'
B2 L D' U' L' R2 D2
B2 L D' U' R2 L' D
B2 L D' U' R2 L' D'
B2 L D' U' R2 L' D2
B2 L D' U' R2 D L'
B2 L D' U' R2 D' L'
B2 L D' U' R2 D2 L'
B2 L D' B U' L' R2
B2 L D' B U' R2 L'
B2 L D' B' U' L' R2
B2 L D' B' U' R2 L'
B2 L D' B2 U' L' R2
B2 L D' B2 U' R2 L'
R' L F2 L' U' R U2
R' L F2 L' F2 U L'
B2 L D2 U' L' D R2
B2 L D2 F2 U R U2
U' L F2 R D' L2 F2
U' L F2 R D' F2 L2
B2 L F2 D2 F2 U' L'
B L B L F U' L2
R' L' U L U R U'
L' R' U L U R U'
L R' U L' U R U'
L2 R' U L2 U R U'
B2 L B U2 B U L'
B2 L B' U2 B' U L'
R' L' U2 R U' L D
R' L' U2 R U' L D'
R' L' U2 R U' L D2
R' L' U2 R U' D L
R' L' U2 R U' D' L
R' L' U2 R U' D2 L
L' R' U2 R U' L D
L' R' U2 R U' L D'
L' R' U2 R U' L D2
L' R' U2 R U' D L
L' R' U2 R U' D' L
L' R' U2 R U' D2 L
R' L' U2 R D U' L
R' L' U2 R D' U' L
L' R' U2 R D U' L
R' L' U2 R D2 U' L
L' R' U2 R D' U' L
L' R' U2 R D2 U' L
L R' U2 R U' L' D
L R' U2 R U' L' D'
L R' U2 R U' L' D2
L R' U2 R U' D L'
L R' U2 R U' D' L'
L R' U2 R U' D2 L'
R' L' U2 D R U' L
L' R' U2 D R U' L
L R' U2 R D U' L'
L R' U2 R D' U' L'
L R' U2 R D2 U' L'
L2 R' U2 R U' L2 D
L2 R' U2 R U' L2 D'
L2 R' U2 R U' L2 D2
L R' U2 R B U' L'
L R' U2 R B' U' L'
L2 R' U2 R D' B2 U'
L R' U2 R B2 U' L'
R' L' U2 D' R U' L
L' R' U2 D' R U' L
L2 R' U2 R B U' L2
L2 R' U2 R B' U' L2
L2 R' U2 R B2 U' L2
R' L' U2 D2 R U' L
L' R' U2 D2 R U' L
L R' U2 D R U' L'
L R' U2 D' R U' L'
L2 R' U2 D' R B2 U'
L R' U2 D2 R U' L'
L2 R' U2 D' B2 R U'
L R' U2 B R U' L'
L2 R' U2 B R U' L2
L R' U2 B' R U' L'
L2 R' U2 B' R U' L2
L R' U2 B2 R U' L'
L2 R' U2 B2 R U' L2
L2 R' D L F2 L' U
L2 R' D L' F2 L' U
L2 R' D L2 F2 L' U
R2 L' D R U L B2
R' L' D U2 R U' L
L' R' D U2 R U' L
D2 L' R' U2 R U' L
D' L' R' U2 R U' L
F' L' R' U2 R U' L
R' L' D F2 L' U L2
F2 L' R' U2 R U' L
L' R' D F2 L' U L2
L R' D U2 R U' L'
D L' R' U2 R U' L
F L' R' U2 R U' L
D2 L' R' F2 L' U L2
L2 R' D F2 L' U D
L2 R' D F2 L' U D'
L2 R' D F2 L' U D2
L2 R' D F2 L' D U
L2 R' D F2 L' D' U
L2 R' D F2 L' D2 U
D' L' R' F2 L' U L2
L2 R' D F2 D L' U
L2 R' D F2 D' L' U
L2 R' D F2 D2 L' U
F' L' R' F2 L' U L2
F2 L' R' F2 L' U L2
D L' R' F2 L' U L2
F L' R' F2 L' U L2
U' L' R' B2 U R' B2
R' L' D' U2 R U' L
L' R' D' U2 R U' L
R' L' D' F2 L' U L2
L' R' D' F2 L' U L2
L R' D' U2 R U' L'
L2 R' D' U2 R B2 U'
L2 R' D' U2 B2 R U'
R2 L' D2 L2 R U L'
R2 L' D2 R L2 U L'
R' L' D2 U2 R U' L
L' R' D2 U2 R U' L
R' L' D2 F2 L' U L2
L' R' D2 F2 L' U L2
L R' D2 U2 R U' L'
R' L' F U D' L B'
L' R' F U D' L B'
R' L' F D' U L B'
L' R' F D' U L B'
R' L' F' L2 U L' B'
L' R' F' L2 U L' B'
U2 L' U2 L R' U L'
L2 R' F' L' U L' B'
R' L' F' U L' B' L2
L' R' F' U L' B' L2
U2 L' U2 R' L U L'
L2 R' F' U L' B' L'
R' L' F2 L' U L2 D
R' L' F2 L' U L2 D'
R' L' F2 L' U L2 D2
R' L' F2 L' D F2 U
R' L' F2 L' F U L2
R' L' F2 L' F' U L2
R' L' F2 L' F2 U L2
L' R' F2 L' U L2 D
L' R' F2 L' U L2 D'
L' R' F2 L' U L2 D2
L' R' F2 L' D F2 U
L' R' F2 L' F U L2
L' R' F2 L' F' U L2
L' R' F2 L' F2 U L2
L2 R' F2 L' U L' D
L2 R' F2 L' U L' D'
L2 R' F2 L' U L' D2
L2 R' F2 L' U D L'
L2 R' F2 L' U D' L'
L2 R' F2 L' U D2 L'
L2 R' F2 L' D U L'
L2 R' F2 L' D' U L'
L R' F2 L' U' R U2
R' L' F2 U L D' B2
L2 R' F2 L' D2 U L'
L R' F2 L' F2 U L'
L' R' F2 U L D' B2
R' L' F2 D L' U L2
L' R' F2 D L' U L2
R' L' F2 D' L' U L2
L' R' F2 D' L' U L2
R' L' F2 D2 L' U L2
L' R' F2 D2 L' U L2
L2 R' F2 D L' F2 U
R' L2 U L2 U R U'
R' L2 U2 R U' L2 D
R' L2 U2 R U' L2 D'
R' L2 U2 R U' L2 D2
R' L2 U2 R D' B2 U'
R' L2 U2 R B U' L2
R' L2 U2 R B' U' L2
R' L2 U2 R B2 U' L2
R' L2 U2 D' R B2 U'
R' L2 U2 D' B2 R U'
R' L2 U2 B R U' L2
R' L2 U2 B' R U' L2
R' L2 U2 B2 R U' L2
R' L2 D L F2 L' U
R' L2 D L' F2 L' U
R' L2 D L2 F2 L' U
L' R2 D R U L B2
L2 R2 D R F2 U B2
R2 L2 D R F2 U B2
L R2 D R U L' B2
L R2 D R U B2 L'
R' L2 D F2 L' U D
R' L2 D F2 L' U D'
R' L2 D F2 L' U D2
R' L2 D F2 L' D U
R' L2 D F2 L' D' U
