L U F' U F2 R B
B' R U' B U L F
F' R B L U F B2
F' R B L U B2 F
R U' B U L F B2
R U' B U L B2 F
U' R2 B U' B2 R' F'
R' D B' L F D R2
F' U F B' R D' F2
F' U B' F R D' F2
R' F D R2 B' L F
R' F D B' L R2 F
R' F D B' L F R2
R' F D B' R2 L F
U' F B' R' D' L2 F2
U' F B' R' D' F2 L2
U F B' R D' L2 F2
U F B' R D' F2 L2
U2 F' R' U F' B' R'
U2 F' R' U B' F' R'
F' B L U F R B2
F' B L U F B2 R
F' B L U B2 F R
B2 F' L U F B R
B2 F' L U B F R
B F' L U F R B2
B F' L U F B2 R
B F' L U B2 F R
U' B' F R' D' L2 F2
U' B' F R' D' F2 L2
U B' F R D' L2 F2
U B' F R D' F2 L2
F' B2 L U F B R
F' B2 L U B F R
