U2 L2 D F' R B2
U2 L2 D F' B2 R
U2 L2 D B2 F' R
U F' L2 D B2 R'
D F2 U F R B2
D F2 U F B2 R
D F2 U B2 F R
U2 L F R2 U' L F2
U2 L F R2 U' F2 L
U2 L F' L D R2 B2
U2 L F' L D B2 R2
U2 L F' D L R2 B2
U2 L F' D L B2 R2
U2 L F' D R2 L B2
D L F2 U F R B2
D L F2 U F B2 R
D L F2 U B2 F R
D L' F2 U F R B2
D L' F2 U F B2 R
D L' F2 U B2 F R
F' L2 R' U F' R' U'
F' L2 U R2 F U' R
D2 L2 U F R F2 L'
F' L2 U F R2 U' R'
D2 L2 U' R2 B L U2
U' L2 D F' B' R' B'
U2 L2 D F' R B2 D
U2 L2 D F' R B2 D'
U2 L2 D F' R B2 D2
U2 L2 D F' R' B2 R2
U2 L2 D F' B' R B'
U2 L2 D F' B2 R D
U2 L2 D F' B2 R D'
U2 L2 D F' B2 R D2
U2 L2 D F' B2 D R
U2 L2 D F' B2 D' R
U2 L2 D F' B2 D2 R
U' L2 D B' F' R' B'
U' L2 D B2 D2 F' R
U2 L2 D B' F' R B'
U2 L2 D B2 F' R D
U2 L2 D B2 F' R D'
U2 L2 D B2 F' R D2
U2 L2 D B2 F' D R
U2 L2 D B2 F' D' R
U2 L2 D B2 F' D2 R
U L2 D F R F2 B2
U L2 D F R B2 F2
U L2 D F B2 R F2
U L2 D B2 F R F2
D2 L2 D' F2 U F R
U2 L2 D' F' R2 B R'
U' L2 F' D B' R' B'
U' L2 F' B D B2 R'
U' L2 F' B' D R' B2
D L2 F2 U F R B2
D L2 F2 U F B2 R
D L2 F2 U B2 F R
U' L2 B D F' B2 R'
U' L2 B D B2 F' R'
U2 L2 B D F' R B2
U2 L2 B D F' B2 R
U2 L2 B D B2 F' R
U' L2 B F' D B2 R'
U' L2 B' D F' R' B2
U2 L2 B' D F' R B2
U2 L2 B' D F' B2 R
U2 L2 B' D B2 F' R
U' L2 B' F' D R' B2
U2 L2 B2 D F' R B2
U2 L2 B2 D F' B2 R
U2 L2 B2 D B2 F' R
L2 U F R2 U' R' F2
L2 U F R2 U' F2 R'
R2 U' L2 D' R2 F' R
F' R' L2 U F' R' U'
F' R' U F' R' U' L2
L U2 L F' D R2 B2
L U2 L F' D B2 R2
F' R' F' R' U' F L2
F2 R' F' R' U' L2 F2
F2 R' F' R' U' F2 L2
U2 R2 U B L U2 L
D2 R2 D F2 B U2 R'
D2 R2 D B F2 U2 R'
U2 R2 B2 U' L2 F R
F' U R2 F U' L2 R
F' U R2 F U' R L2
F' U F R2 U' L2 R'
F' U F R2 U' R' L2
F2 U F L2 D R B2
F2 U F L2 D B2 R
B' U F' L2 D B2 R'
B2 U F' L2 D B2 R'
B U F' L2 D B2 R'
L2 D' F' R2 D B R'
B' U2 L2 D F' R B2
B' U2 L2 D F' B2 R
B' U2 L2 D B2 F' R
B2 U2 L2 D F' R B2
B2 U2 L2 D F' B2 R
B2 U2 L2 D B2 F' R
B U2 L2 D F' R B2
B U2 L2 D F' B2 R
B U2 L2 D B2 F' R
F2 U2 R2 U' F L2 R
F2 U2 R2 U' F R L2
U F R2 U' L2 R' F2
U F R2 U' L2 F2 R'
U F R2 U' R' L2 F2
U F R2 U' R' F2 L2
U F R2 U' F2 L2 R'
U F R2 U' F2 R' L2
U' F' L2 D B' R' B'
U' F' L2 B D B2 R'
U' F' L2 B' D R' B2
U F' L' D L' B2 R'
B' D F2 U F R B2
B' D F2 U F B2 R
B' D F2 U B2 F R
R' F' R' U B U2 L2
U F' L2 D R B2 R'
U F' L2 D R' B2 R'
U F' L2 D R2 B2 R'
U F' L2 D B2 R' D
U F' L2 D B2 R' D'
U F' L2 D B2 R' D2
U F' L2 D B2 D R'
U F' L2 D B2 D' R'
U F' L2 D B2 D2 R'
B2 D F2 U F R B2
B2 D F2 U F B2 R
B2 D F2 U B2 F R
U F' L2 B2 D R' B2
R' F' R' B2 U' L2 F
L2 F' R' U F' R' U'
B D F2 U F R B2
B D F2 U F B2 R
B D F2 U B2 F R
D' F' R2 D L2 B R'
D' F' R2 D B L2 R'
D' F' R2 D B R' L2
L2 F' U R2 F U' R
L2 F' U F R2 U' R'
U' F' B' L2 D R' B2
U F' B L2 D B2 R'
U F' B' L2 D B2 R'
U F' B2 L2 D B2 R'
D F2 R B U F B
D F2 R B U B F
U2 F2 R2 U' F L2 R
U2 F2 R2 U' F R L2
D F2 U R F R B2
D F2 U R F B2 R
D F2 U R B2 F R
D F2 U R' F R B2
D F2 U R' F B2 R
D F2 U R' B2 F R
D F2 U R2 F R B2
D F2 U R2 F B2 R
D F2 U R2 B2 F R
D F2 U F R B2 D
D F2 U F R B2 D'
D F2 U F R B2 D2
D F2 U F R' B2 R2
D F2 U F B' R B'
D F2 U F B2 R D
D F2 U F B2 R D'
D F2 U F B2 R D2
D F2 U F B2 D R
D F2 U F B2 D' R
D F2 U F B2 D2 R
D F2 U B' F R B'
D F2 U B2 R F R
D F2 U B2 R' F R
D F2 U B2 R2 F R
D F2 U B2 D F R
D F2 U B2 D' F R
D F2 U B2 D2 F R
D F2 U B2 F R D
D F2 U B2 F R D'
D F2 U B2 F R D2
D F2 U B2 F D R
D F2 U B2 F D' R
D F2 U B2 F D2 R
D F2 B U F B R
D F2 B U B F R
D F2 B' U F R B'
D F2 B' U F B' R
D F2 B' U B' F R
U2 B L2 D F' R B2
U2 B L2 D F' B2 R
U2 B L2 D B2 F' R
U B F' L2 D B2 R'
D B F2 U F B R
D B F2 U B F R
U' B' L2 D F' R' B2
U' B' L2 F' D R' B2
U2 B' L2 D F' R B2
U2 B' L2 D F' B2 R
U2 B' L2 D B2 F' R
U' B' F' L2 D R' B2
U B' F' L2 D B2 R'
D B' F2 U F R B'
D B' F2 U F B' R
D B' F2 U B' F R
U2 B2 L2 D F' R B2
U2 B2 L2 D F' B2 R
U2 B2 L2 D B2 F' R
U B2 F' L2 D B2 R'
