L B D R' U2 B
B2 L D R' B L F
D' L D B R' U2 B2
D' L D B U2 B2 L
F' L B R' U' R2 U'
F' L B R' U2 D B2
F' L B R' D U2 B2
F' L B R' D' F2 U2
F L B R' U L2 U
F L B R' U2 D' B2
F L B R' D F2 U2
F L B R' D' U2 B2
U' L B D R' U2 B
U2 L B D R' U2 B
F L B U2 D' B2 L
F L B D R' F2 U2
F L B D F2 R' U2
F L B D' R' U2 B2
F L B D' U2 B2 L
U L B D R' U2 B
F L' U' L2 B R' U2
F L' U' B L2 R' U2
F L' U' B R' L2 U2
B2 L2 D R' F B L
B2 L2 D R' B F L
B2 L2 D F R' B L
B R' U2 B D R' B
F2 U L F B R' U2
F2 U L B R' F U2
F2 U L B F R' U2
F2 U' L B R' F' U2
B U2 B D R' B L
B2 D L R' B L F
B U2 B2 D' L B' R'
B2 D L2 R' F B L
B2 D L2 R' B F L
B2 D L2 F R' B L
B2 D R' L B L F
B2 D R' L2 F B L
B2 D R' L2 B F L
B2 D R' B L D2 F2
B2 D R' B D2 L F2
B2 D R' B D2 F2 L
B D R' U2 D' B R'
B D R' D' U2 B R'
L F B R' U L' U
B2 D B' R' U2 B R'
B' D' L D' F2 B' R'
B' D' L D' B' R' F2
B' D' L D' B' F2 R'
B' D' L B' D' R' F2
B' D' L B' D' F2 R'
L F' B R' U' R2 U'
L F' B R' U2 D B2
L F' B R' D U2 B2
L F' B R' D' F2 U2
L2 B L' D R' U2 B
L' B L2 D R' U2 B
B' D2 F2 D L B' R'
L2 B R' D' L' F U2
L B R' F U L' U
L B R' F' U' R U'
L B R2 D R F' U2
L2 B D L' R' U2 B
L2 B D R' L' U2 B
L B U2 D' B2 L B'
L2 B D' L' R' F U2
L2 B D' L' F R' U2
L B U2 B2 D' L B'
L2 B D' R' L' F U2
L B D R F' R2 U2
L B D R' U2 D B
L B D R' U2 D' B
L B D R' U2 D2 B
L B D R' U2 B D
L B D R' U2 B D'
L B D R' U2 B D2
L B D R' D U2 B
L B D R' D' U2 B
L B D R' D2 U2 B
L B D R' F U2 B
L B D R' F' U2 B
L B D R' F2 U2 B
L B D F R' U2 B
L B D F' R' U2 B
L B D F2 R' U2 B
L B D' U2 B2 L B'
L B F R' U L' U
L B F' R' U' R2 U'
L B F' R' U2 D B2
L B F' R' D U2 B2
L B F' R' D' F2 U2
R' B' D' L B' R' F'
R2 B' D' L F' B' R'
R2 B' D' L B' F' R'
R2 B' D' F' L B' R'
R' B2 D R' F' B L
R' B2 D R' B L F'
R' B2 D R' B F' L
R2 B2 D F' R' B L
L B2 D B' R' U2 B
