L' R' F U' F2 B'
L' R' F U' B' F2
R' L' F U' F2 B'
R' L' F U' B' F2
L' F R' U' F' B'
L' F R' U' B' F'
U2 L R B' U F B2
U2 L R B' U B2 F
L2 R U B L U2 B'
L' R F R2 U' F' B'
L' R F R2 U' B' F'
L' R F U B U2 B2
L' R F U' B' D2 F2
U2 L B' R U F B
U2 L B' R U B F
U' L B' R' U L' B'
R' L' U' F' D R2 B'
R' L' U' F' D B' R2
L' R' U' F' D R2 B'
L' R' U' F' D B' R2
R' L' U' F' B' D R2
L' R' U' F' B' D R2
R' L' U' B' F' D R2
L' R' U' B' F' D R2
R' L' D F U' F2 B'
R' L' D F U' B' F2
L' R' D F U' F2 B'
L' R' D F U' B' F2
D L' R' U' F' R B'
D L' R' U' F' B' R
D L' R' U' B' F' R
F' L' R' F U' F2 B'
F' L' R' F U' B' F2
F2 L' R' F U' F2 B'
F2 L' R' F U' B' F2
F L' R' F U' F2 B'
F L' R' F U' B' F2
R' L' D' F U' F2 B'
R' L' D' F U' B' F2
L' R' D' F U' F2 B'
L' R' D' F U' B' F2
R' L' D2 F U' F2 B'
R' L' D2 F U' B' F2
L' R' D2 F U' F2 B'
L' R' D2 F U' B' F2
R' L' F R U' F2 B'
R' L' F R U' B' F2
L' R' F R U' F2 B'
L' R' F R U' B' F2
R' L' F R' U' F2 B'
R' L' F R' U' B' F2
L' R' F R' U' F2 B'
L' R' F R' U' B' F2
R' L' F R2 U' F2 B'
R' L' F R2 U' B' F2
L' R' F R2 U' F2 B'
L' R' F R2 U' B' F2
R2 L' F R U' F' B'
R2 L' F R U' B' F'
R' L' F U' F2 D B'
R' L' F U' F2 D' B'
R' L' F U' F2 D2 B'
R' L' F U' F2 B' D
R' L' F U' F2 B' D'
R' L' F U' F2 B' D2
R' L' F U' B' F2 D
R' L' F U' B' F2 D'
R' L' F U' B' F2 D2
L' R' F U' F2 D B'
L' R' F U' F2 D' B'
L' R' F U' F2 D2 B'
L' R' F U' F2 B' D
L' R' F U' F2 B' D'
L' R' F U' F2 B' D2
L' R' F U' B' F2 D
L' R' F U' B' F2 D'
L' R' F U' B' F2 D2
R L' F R2 U' F' B'
R L' F R2 U' B' F'
R L' F U B U2 B2
R L' F U' B' D2 F2
U' L' F R U' L F
F' L' F R' U' F' B'
F' L' F R' U' B' F'
F2 L' F R' U' F' B'
F2 L' F R' U' B' F'
F L' F R' U' F' B'
F L' F R' U' B' F'
R L2 U B L U2 B'
L' R2 F R U' F' B'
L' R2 F R U' B' F'
U2 R L B' U F B2
U2 R L B' U B2 F
L U F U R B' U
L U F U B' R U
R U B U L B' U
F' R' L' F U' F2 B'
F' R' L' F U' B' F2
D R' L' U' F' R B'
D R' L' U' F' B' R
D R' L' U' B' F' R
F2 R' L' F U' F2 B'
F2 R' L' F U' B' F2
F R' L' F U' F2 B'
F R' L' F U' B' F2
L2 U2 L U F R B'
L2 U2 L U F B' R
L2 U2 L U B' F R
R' D L' U' F' R B'
R' D L' U' F' B' R
R' D L' U' B' F' R
L' D R' F U' F2 B'
L' D R' F U' B' F2
L' D F R' U' F' B'
L' D F R' U' B' F'
L' D' R' F U' F2 B'
L' D' R' F U' B' F2
L' D' F R' U' F' B'
L' D' F R' U' B' F'
L' D2 R' F U' F2 B'
L' D2 R' F U' B' F2
L' D2 F R' U' F' B'
L' D2 F R' U' B' F'
R' F L' F U' F B'
R' F L' F U' B' F
L' F R U B U2 B2
L' F R U' B' D2 F2
L' F R' U' D F' B'
L' F R' U' D B' F'
L' F R' U' D' F' B'
L' F R' U' D' B' F'
L' F R' U' D2 F' B'
L' F R' U' D2 B' F'
L' F R' U' F' D B'
L' F R' U' F' D' B'
L' F R' U' F' D2 B'
L' F R' U' F' B' D
L' F R' U' F' B' D'
L' F R' U' F' B' D2
L' F R' U' B' D F'
L' F R' U' B' D' F'
L' F R' U' B' D2 F'
L' F R' U' B' F' D
L' F R' U' B' F' D'
L' F R' U' B' F' D2
L' F R' D U' F' B'
L' F R' D U' B' F'
L' F R' D' U' F' B'
L' F R' D' U' B' F'
L' F R' D2 U' F' B'
L' F R' D2 U' B' F'
L' F U' B' U' R' U
L' F D R' U' F' B'
L' F D R' U' B' F'
L' F D' R' U' F' B'
L' F D' R' U' B' F'
L' F D2 R' U' F' B'
L' F D2 R' U' B' F'
R' F' L' F U' F' B'
R' F' L' F U' B' F'
L' F' R' F2 U' F B'
L' F' R' F2 U' B' F
U F' U' L' F U' B'
U B U L B' U F
