U B' R' F' U2 R
U' L F L' R B' U2
U' L F L' B' R U2
U' L F R L' B' U2
B L F U D2 F2 R
B L F U' L' B2 U2
B L F U' B2 L' U2
B L F D2 U F2 R
U L F' R B L F
U' L' F' R B' L' F
U' L' F' B' L' R F
U' L' F' B' R L' F
U' L' B' F' L' R F
U' L' B' F' R L' F
U L2 F' R F2 B L
U L2 F' R B L F2
U L2 F' R B F2 L
R' U B' R' F' U2 R
R2 U B' R' F' U2 R
R U B' R' F' U2 R
U R' F' B' R' U2 R2
U R' B' F' R' U2 R2
F' U L R B L F
F' U L2 R F B L
F' U L2 R B F L
F' U R L B L F
F' U R L2 F B L
F' U R L2 B F L
F' U R B L D2 F2
F' U R B D2 L F2
F' U R B D2 F2 L
D2 U B' L R' F' U2
D2 U B' R' L F' U2
D2 U B' R' F' L U2
F' U B' R' U2 R2 B
F' U B' R' F' U2 R2
F U B' L' R' F' U2
F U B' R' L' F' U2
B' U' R' F' U' L' R
B' U' R' F' U' R L'
D2 U' B' L F R U2
B' U' F' R' U' L' R2
B' U' F' R' U' R2 L'
F' U' B' U2 R B L
U' D2 B' L F R U2
U D2 B' L R' F' U2
U D2 B' R' L F' U2
U D2 B' R' F' L U2
U' F R B' L' U2 B'
U' F B' L' R U2 B'
U' F B' R L' U2 B'
U F B' L' R' F' U2
U F B' R' L' F' U2
U' F' L' D2 R F' B'
U' F' L' D2 R B' F'
U' F' L' D2 B' R F'
U' F' L' B' D2 R F'
U' F' L2 R F L B'
U F' L R B L F
U' F' R L2 F L B'
U F' L2 R F B L
U F' L2 R B F L
U F' R L B L F
U F' R L2 F B L
U F' R L2 B F L
U F' R B L D2 F2
U F' R B D2 L F2
U F' R B D2 F2 L
B D' L R2 F B' U
B D' L R2 B' F U
B D' L F R2 B' U
B D' L F B' R2 U
B D' L B' R2 F U
B D' L B' F R2 U
U' F' B' U2 L' R B
U' F' B' U2 R L' B
U' F' B' U2 R B L'
B D' R2 L F B' U
B D' R2 L B' F U
U F' B' R' U2 R2 B
U F' B' R' F' U2 R2
U F2 L2 F R B L
U F2 B' R' F' L' U2
B' F L' U' R' B' U'
U' B' L F L' R U2
U' B' L F R L' U2
U B' L R' F' U2 R
U B' L' R' F' U2 R
U B' L2 R' F' U2 R
U B' R' L F' U2 R
U B' R' L' F' U2 R
U B' R' L2 F' U2 R
U B' R' F L' F2 U2
U B' R' F' L U2 R
U B' R' F' L' U2 R
U B' R' F' L2 U2 R
U B' R' F' U2 R D
U B' R' F' U2 R D'
U B' R' F' U2 R D2
U B' R' F' U2 D R
U B' R' F' U2 D' R
U B' R' F' U2 D2 R
U B' R' F' D U2 R
U B' R' F' D' U2 R
U B' R' F' D2 U2 R
F B' L' U' R' B' U'
U' B' F L' R U2 B'
U' B' F R L' U2 B'
F2 B' U' R' F' U' L'
U' B' F' U2 L' R B
U' B' F' U2 R L' B
U' B' F' U2 R B L'
U B' F L' R' F' U2
U B' F R' L' F' U2
U B' F' R' U2 R2 B
U B' F' R' F' U2 R2
U B' F2 R' F' L' U2
U' B2 R2 F' L' R B'
U' B2 R2 F' L' B' R
U' B2 R2 F' R L' B'
B' F2 U' R' F' U' L'
