R' B R2 U' R F'
R' L B R2 U' R F'
R' L' B R2 U' R F'
L' R' B R2 U' R F'
L2 R' B R2 U' R F'
L R' B R2 U' R F'
R' L2 B R2 U' R F'
B R U2 F' U R2 F
B R U2 F' U F R2
D' R F' U R U2 F'
R' U' B L R2 U' R
R' U' B R2 L U' R
U' R' B R2 U' R F'
U2 R' B R2 U' R F'
U R' B R2 U' R F'
B R' B' D B2 L2 F
B U' R U2 F' U R2
B U' R' B R2 U' R2
B U2 R' U B R2 U'
B U2 R' B' D L2 B2
B U2 R' B' D B2 L2
R' F B R2 U' R F'
R' F' B R2 U' R F'
R' F2 B R2 U' R F'
R' B L R2 U' R F'
R' B L' R2 U' R F'
R' B L2 R2 U' R F'
R' B R2 L U' R F'
R' B R2 L' U' R F'
R' B R2 L2 U' R F'
R' B R2 U' R D F'
R' B R2 U' R D' F'
R' B R2 U' R D2 F'
R' B R2 U' R F' D
R' B R2 U' R F' D'
R' B R2 U' R F' D2
R' B F R2 U' R F'
R' B F' R2 U' R F'
R' B F2 R2 U' R F'
R' B' D B2 L2 R' F'
R' B' D B2 R' L2 F'
R' B' D B2 R' F' L2
