U2 L2 D' R2 F
U2 L2 D' F R2
U2 L2 F D' R2
B' U B' U L2
L2 D' F R2 B
L2 F D' R2 B
L2 R D' F R2 B
U2 L D' L R2 F
U2 L D' L F R2
L2 R F D' R2 B
U2 L D' R2 L F
L2 R' D' F R2 B
L2 R' F D' R2 B
R' L2 D' F R2 B
R' L2 D' F R2 B
L2 R2 D' F R2 B
R2 L2 D' F R2 B
R L2 D' F R2 B
U2 L2 R D' R2 F
U2 L2 R D' F R2
U2 L2 R F D' R2
R' L2 F D' R2 B
U2 L2 R' D' R2 F
U2 L2 R' D' F R2
L2 R2 F D' R2 B
U2 L2 R' F D' R2
R2 L2 F D' R2 B
R L2 F D' R2 B
U2 L2 R2 D' R2 F
U2 L2 R2 D' F R2
U2 L2 R2 F D' R2
D L2 U F2 U F'
U2 L2 U' B2 U F
D L2 U2 D' F L2
D L2 D R2 U2 F
U2 L2 D F D2 R2
F' L2 D' R2 F B'
F' L2 D' R2 B' F
F' L2 D' F R2 B'
F' L2 D' F B' R2
F' L2 D' B' R2 F
F' L2 D' B' F R2
U2 L2 D' R' F R'
U2 L2 D' R2 D F
U2 L2 D' R2 D' F
U2 L2 D' R2 D2 F
U2 L2 D' R2 F D
U2 L2 D' R2 F D'
U2 L2 D' R2 F D2
D L2 D' U2 F L2
U L2 D' R2 F B2
U L2 D' R2 B2 F
U2 L2 D' F R2 D
U2 L2 D' F R2 D'
U2 L2 D' F R2 D2
U2 L2 D' F' R2 F2
U L2 D' F R2 B2
U L2 D' F B2 R2
F L2 D' R2 F B
F L2 D' R2 B F
U L2 D' B2 R2 F
U L2 D' B2 F R2
F' L2 F D' R2 B'
F' L2 F D' B' R2
U2 L2 F R D' R2
U2 L2 F R' D' R2
U2 L2 F R2 D' R2
U2 L2 F U' B2 U
U2 L2 F D' R2 D
U2 L2 F D' R2 D'
U2 L2 F D' R2 D2
U L2 F D' R2 B2
U L2 F D' B2 R2
U2 L2 F2 D' F' R2
U2 R L2 D' R2 F
U2 R L2 D' F R2
U2 R L2 F D' R2
B' R U B' U L2
L' U B2 U L' F
U2 R' L2 D' R2 F
U2 R' L2 D' F R2
U2 R' L2 F D' R2
B' R' U B' U L2
L' U2 L' D' R2 F
L' U2 L' D' F R2
L' U2 L' F D' R2
R' U2 L2 D' R2 F
R' U2 L2 D' F R2
R' U2 L2 F D' R2
R2 U2 L2 D' R2 F
R2 U2 L2 D' F R2
R2 U2 L2 F D' R2
R U2 L2 D' R2 F
R U2 L2 D' F R2
R U2 L2 F D' R2
U2 R2 L2 D' R2 F
U2 R2 L2 D' F R2
U2 R2 L2 F D' R2
B' R2 U B' U L2
D2 R2 D B' U2 R2
D2 R2 D' L2 U2 F
D2 R2 D' B' L2 U2
L D L2 U2 L' F
L2 D L2 U2 L2 F
L2 D L2 B' U2 L2
D2 R2 B' U' F2 U'
D2 R2 B' U2 D R2
D2 R2 B' D U2 R2
D2 R2 B' D' L2 U2
L2 D F D2 R2 B
B' U D F2 B' U
B' U D B' F2 U
L D' L F R2 B
B' U F B' U L2
B' U F' B' U L2
B' U F2 B' U L2
B' U B' U L2 D
B' U B' U L2 D'
B' U B' U L2 D2
B' U B' D F2 U
B' U B' F U L2
B' U B' F' U L2
B' U B' F2 U L2
L2 D' F R2 D B
L2 D' F R2 D' B
L2 D' F R2 D2 B
L2 D' F R2 B D
L2 D' F R2 B D'
L2 D' F R2 B D2
L2 D' F B R2 B
L2 D' F B' R2 B
L2 D' F B2 R2 B
U2 D' R2 D L2 F
L2 D' B F R2 B
L2 D' B' F R2 B
L2 D' B2 F R2 B
U' D' B2 U' R2 F'
D' U' B2 U' R2 F'
D' U2 R2 D L2 F
B' U2 L2 U F U'
U2 F L2 D' R2 F
U2 F L2 D' F R2
U2 F L2 F D' R2
L2 F R2 D' B R2
L2 F D' R2 D B
L2 F D' R2 D' B
L2 F D' R2 D2 B
L2 F D' R2 B D
L2 F D' R2 B D'
L2 F D' R2 B D2
L2 F D' B R2 B
L2 F D' B' R2 B
L2 F D' B2 R2 B
B' D U F2 B' U
B' D U B' F2 U
U2 F' L2 D' R2 F
U2 F' L2 D' F R2
U2 F' L2 F D' R2
U2 F2 L2 D' R2 F
U2 F2 L2 D' F R2
U2 F2 L2 F D' R2
B' D2 R2 U B' U
D B' L2 U F2 U
D B' L2 U2 D' L2
D B' L2 D R2 U2
D B' L2 D' U2 L2
D2 B' R2 U' F2 U'
D2 B' R2 U2 D R2
D2 B' R2 D U2 R2
D2 B' R2 D' L2 U2
R' B' U B' U L2
R2 B' U B' U L2
D' B' U' B' U' R2
R B' U B' U L2
U2 B2 U B2 L2 F
U B2 R2 U L2 F'
U B2 R2 U F' L2
U B2 U' B U2 L2
U2 L R D' L R2 F
U2 L R D' L F R2
U2 L R D' R2 L F
L' R U B2 U L' F
U2 L R' D' L R2 F
U2 L R' D' L F R2
U2 L R' D' R2 L F
L' R U2 L' D' R2 F
L' R U2 L' D' F R2
L' R U2 L' F D' R2
U2 L R2 D' L R2 F
U2 L R2 D' L F R2
U2 L R2 D' R2 L F
R' L D L2 U2 L' F
L2 R D L2 U2 L2 F
R2 L D L2 U2 L' F
L R D L2 U2 L' F
L2 R D L2 B' U2 L2
R L D L2 U2 L' F
L2 R D F D2 R2 B
R' L D' L F R2 B
B' L U' F U' L R
B' L U' F U' R L
R2 L D' L F R2 B
L R D' L F R2 B
R L D' L F R2 B
L2 R D' F R2 D B
L2 R D' F R2 D' B
L2 R D' F R2 D2 B
L2 R D' F R2 B D
L2 R D' F R2 B D'
L2 R D' F R2 B D2
L2 R D' F B R2 B
L2 R D' F B' R2 B
L2 R D' F B2 R2 B
L2 R D' B F R2 B
L2 R D' B' F R2 B
L2 R D' B2 F R2 B
D L D L R2 U2 F
D L D R2 L U2 F
L2 R F R2 D' B R2
U2 L D' L R' F R'
U2 L D' L R2 D F
U2 L D' L R2 D' F
U2 L D' L R2 D2 F
U2 L D' L R2 F D
U2 L D' L R2 F D'
U2 L D' L R2 F D2
U2 L D' L F R2 D
U2 L D' L F R2 D'
U2 L D' L F R2 D2
U2 L D' L F' R2 F2
D L D' L U2 F L
F L D' L R2 F B
F L D' L R2 B F
L2 R F D' R2 D B
L2 R F D' R2 D' B
L2 R F D' R2 D2 B
L2 R F D' R2 B D
L2 R F D' R2 B D'
L2 R F D' R2 B D2
U2 L D' R' L F R'
L2 R F D' B R2 B
L2 R F D' B' R2 B
L2 R F D' B2 R2 B
U2 L D' R2 L D F
U2 L D' R2 L D' F
U2 L D' R2 L D2 F
U2 L D' R2 L F D
U2 L D' R2 L F D'
U2 L D' R2 L F D2
U2 L D' R2 D L F
U2 L D' R2 D' L F
U2 L D' R2 D2 L F
U2 L D' R2 F L F
U2 L D' R2 F' L F
U2 L D' R2 F2 L F
F L D' R2 L F B
F L D' R2 L B F
U2 L D' F L R2 F
U2 L D' F L F R2
U2 L D' F R2 L F
U2 L D' F' L R2 F
U2 L D' F' L F R2
U2 L D' F' R2 L F
U2 L D' F2 L R2 F
U2 L D' F2 L F R2
U2 L D' F2 R2 L F
U2 L D2 L D R2 F
U2 L D2 L D F R2
U2 L F L D' R2 F
U2 L F L D' F R2
U2 L F L F D' R2
U2 L F D' L R2 F
U2 L F D' L F R2
U2 L F D' R2 L F
U2 L F' L D' R2 F
U2 L F' L D' F R2
U2 L F' L F D' R2
U2 L F' D' L R2 F
U2 L F' D' L F R2
U2 L F' D' R2 L F
U2 L F2 L D' R2 F
U2 L F2 L D' F R2
U2 L F2 L F D' R2
U2 L F2 D' L R2 F
U2 L F2 D' L F R2
U2 L F2 D' R2 L F
B2 L B U B' U L
L' R' U B2 U L' F
R' L' U B2 U L' F
R2 L' U B2 U L' F
R L' U B2 U L' F
R' L' U2 L' D' R2 F
R' L' U2 L' D' F R2
L' R' U2 L' D' R2 F
L' R' U2 L' D' F R2
R' L' U2 L' F D' R2
L' R' U2 L' F D' R2
B L B2 R' U B' U
R2 L' U2 L' D' R2 F
R2 L' U2 L' D' F R2
R2 L' U2 L' F D' R2
R L' U2 L' D' R2 F
R L' U2 L' D' F R2
R L' U2 L' F D' R2
L R' D L2 U2 L' F
L2 R' D L2 U2 L2 F
L2 R' D L2 B' U2 L2
L2 R' D F D2 R2 B
L R' D' L F R2 B
L2 R' D' F R2 D B
L2 R' D' F R2 D' B
L2 R' D' F R2 D2 B
L2 R' D' F R2 B D
L2 R' D' F R2 B D'
L2 R' D' F R2 B D2
L2 R' D' F B R2 B
L2 R' D' F B' R2 B
L2 R' D' F B2 R2 B
L2 R' D' B F R2 B
L2 R' D' B' F R2 B
L2 R' D' B2 F R2 B
U' L' U' L' D' R2 F
U' L' U' L' D' F R2
U' L' U' L' F D' R2
L2 R' F R2 D' B R2
L2 R' F D' R2 D B
L2 R' F D' R2 D' B
L2 R' F D' R2 D2 B
L2 R' F D' R2 B D
L2 R' F D' R2 B D'
L2 R' F D' R2 B D2
L2 R' F D' B R2 B
L2 R' F D' B' R2 B
L2 R' F D' B2 R2 B
U2 L' U' B2 U L' F
B' L' U2 L' U F U'
U' L' U2 B2 U L' F
U2 L' D' R2 D L' F
L' R2 U B2 U L' F
L' R2 U2 L' D' R2 F
L' R2 U2 L' D' F R2
L' R2 U2 L' F D' R2
B2 L' B U B' U L'
R' L2 D L2 U2 L2 F
R' L2 D L2 B' U2 L2
L2 R2 D L2 U2 L2 F
R2 L2 D L2 U2 L2 F
L2 R2 D L2 B' U2 L2
R2 L2 D L2 B' U2 L2
L R2 D L2 U2 L' F
R' L2 D F D2 R2 B
R L2 D L2 U2 L2 F
R L2 D L2 B' U2 L2
L2 R2 D F D2 R2 B
R2 L2 D F D2 R2 B
R L2 D F D2 R2 B
L R2 D' L F R2 B
R' L2 D' F R2 D B
R' L2 D' F R2 D' B
R' L2 D' F R2 D2 B
R' L2 D' F R2 B D
R' L2 D' F R2 B D'
R' L2 D' F R2 B D2
R' L2 D' F B R2 B
R' L2 D' F B' R2 B
R' L2 D' F B2 R2 B
U2 L' B2 U L' F B2
U2 L' B2 U L' B2 F
R' L2 D' B F R2 B
U2 L' B2 U B2 L' F
R' L2 D' B' F R2 B
R' L2 D' B2 F R2 B
L2 R2 D' F R2 D B
L2 R2 D' F R2 D' B
L2 R2 D' F R2 D2 B
L2 R2 D' F R2 B D
L2 R2 D' F R2 B D'
L2 R2 D' F R2 B D2
B L' B2 U B' U L'
L2 R2 D' F B R2 B
L2 R2 D' F B' R2 B
L2 R2 D' F B2 R2 B
R2 L2 D' F R2 D B
R2 L2 D' F R2 D' B
R2 L2 D' F R2 D2 B
R2 L2 D' F R2 B D
R2 L2 D' F R2 B D'
R2 L2 D' F R2 B D2
R2 L2 D' F B R2 B
R2 L2 D' F B' R2 B
R2 L2 D' F B2 R2 B
L2 R2 D' B F R2 B
R L2 D' F R2 D B
R L2 D' F R2 D' B
R L2 D' F R2 D2 B
R L2 D' F R2 B D
R L2 D' F R2 B D'
R L2 D' F R2 B D2
R2 L2 D' B F R2 B
L2 R2 D' B' F R2 B
R L2 D' F B R2 B
R L2 D' F B' R2 B
R L2 D' F B2 R2 B
R2 L2 D' B' F R2 B
L2 R2 D' B2 F R2 B
R2 L2 D' B2 F R2 B
F' L2 R D' R2 F B'
F' L2 R D' R2 B' F
F' L2 R D' F R2 B'
F' L2 R D' F B' R2
R L2 D' B F R2 B
F' L2 R D' B' R2 F
F' L2 R D' B' F R2
U2 L2 R U' B2 U F
D L2 R U F2 U F'
R L2 D' B' F R2 B
F' L2 R F D' R2 B'
F' L2 R F D' B' R2
U2 L2 R D F D2 R2
R L2 D' B2 F R2 B
D L2 R U2 D' F L2
U2 L2 R D' R' F R'
U2 L2 R D' R2 D F
U2 L2 R D' R2 D' F
U2 L2 R D' R2 D2 F
U2 L2 R D' R2 F D
U2 L2 R D' R2 F D'
U2 L2 R D' R2 F D2
U2 L2 R D' F R2 D
U2 L2 R D' F R2 D'
U2 L2 R D' F R2 D2
U2 L2 R D' F' R2 F2
D L2 R D R2 U2 F
D L2 R D' U2 F L2
U2 L2 R F R D' R2
U2 L2 R F R' D' R2
U2 L2 R F R2 D' R2
U2 L2 R F U' B2 U
U2 L2 R F D' R2 D
U2 L2 R F D' R2 D'
U2 L2 R F D' R2 D2
U2 L2 R F2 D' F' R2
U L2 R D' R2 F B2
U L2 R D' R2 B2 F
U L2 R D' F R2 B2
U L2 R D' F B2 R2
U L2 R D' B2 R2 F
U L2 R D' B2 F R2
U L2 R F D' R2 B2
U L2 R F D' B2 R2
F' L2 R' D' R2 F B'
F' L2 R' D' R2 B' F
F' L2 R' D' F R2 B'
F' L2 R' D' F B' R2
F' L2 R' D' B' R2 F
F' L2 R' D' B' F R2
R' L2 F R2 D' B R2
U2 L2 R' U' B2 U F
D L2 R' U F2 U F'
F' L2 R' F D' R2 B'
F' L2 R' F D' B' R2
U2 L2 R' D F D2 R2
D L2 R' U2 D' F L2
U2 L2 R' D' R' F R'
U2 L2 R' D' R2 D F
U2 L2 R' D' R2 D' F
U2 L2 R' D' R2 D2 F
U2 L2 R' D' R2 F D
U2 L2 R' D' R2 F D'
U2 L2 R' D' R2 F D2
U2 L2 R' D' F R2 D
U2 L2 R' D' F R2 D'
U2 L2 R' D' F R2 D2
U2 L2 R' D' F' R2 F2
D L2 R' D R2 U2 F
D L2 R' D' U2 F L2
U2 L2 R' F R D' R2
U2 L2 R' F R' D' R2
U2 L2 R' F R2 D' R2
U2 L2 R' F U' B2 U
U2 L2 R' F D' R2 D
U2 L2 R' F D' R2 D'
U2 L2 R' F D' R2 D2
R' L2 F D' R2 D B
R' L2 F D' R2 D' B
R' L2 F D' R2 D2 B
R' L2 F D' R2 B D
R' L2 F D' R2 B D'
R' L2 F D' R2 B D2
R' L2 F D' B R2 B
R' L2 F D' B' R2 B
R' L2 F D' B2 R2 B
L2 R2 F R2 D' B R2
R2 L2 F R2 D' B R2
U2 L2 R' F2 D' F' R2
U L2 R' D' R2 F B2
U L2 R' D' R2 B2 F
U L2 R' D' F R2 B2
U L2 R' D' F B2 R2
D2 L2 R2 U' F2 U' F'
U L2 R' D' B2 R2 F
U L2 R' D' B2 F R2
D2 L2 R2 U2 D R2 F
D2 L2 R2 U2 D F R2
D2 L2 R2 D U2 R2 F
D2 L2 R2 D U2 F R2
U L2 R' F D' R2 B2
U L2 R' F D' B2 R2
R L2 F R2 D' B R2
D2 L2 R2 D' L2 B' U2
L2 R2 F D' R2 D B
L2 R2 F D' R2 D' B
L2 R2 F D' R2 D2 B
L2 R2 F D' R2 B D
L2 R2 F D' R2 B D'
L2 R2 F D' R2 B D2
L2 R2 F D' B R2 B
L2 R2 F D' B' R2 B
F' L2 R2 D' R2 F B'
L2 R2 F D' B2 R2 B
F' L2 R2 D' R2 B' F
R2 L2 F D' R2 D B
R2 L2 F D' R2 D' B
R2 L2 F D' R2 D2 B
R2 L2 F D' R2 B D
R2 L2 F D' R2 B D'
R2 L2 F D' R2 B D2
F' L2 R2 D' F R2 B'
F' L2 R2 D' F B' R2
F' L2 R2 D' B' R2 F
F' L2 R2 D' B' F R2
R2 L2 F D' B R2 B
U2 L2 R2 U' B2 U F
R2 L2 F D' B' R2 B
R2 L2 F D' B2 R2 B
D L2 R2 U F2 U F'
F' L2 R2 F D' R2 B'
F' L2 R2 F D' B' R2
U2 L2 R2 D F D2 R2
D L2 R2 U2 D' F L2
U2 L2 R2 D' R' F R'
U2 L2 R2 D' R2 D F
U2 L2 R2 D' R2 D' F
