U' R F2 U2 F U
R' U' F2 B R2 U'
R' U' B R2 F2 U'
R' U' B R2 F2 U'
R' U' B F2 R2 U'
U' R' F2 B R2 U'
U' R' B R2 F2 U'
U' R' B F2 R2 U'
R F2 U2 F U F'
R' L U' F2 B R2 U'
R' L U' B R2 F2 U'
R' L U' B F2 R2 U'
L' R F2 U2 F U F'
L R F2 U2 F U F'
L2 R F2 U2 F U F'
R L F2 U2 F U F'
R' L' U' F2 B R2 U'
L' R' U' F2 B R2 U'
R' L' U' B R2 F2 U'
L' R' U' B R2 F2 U'
R' L' U' B F2 R2 U'
L' R' U' B F2 R2 U'
L R' U' F2 B R2 U'
L2 R' U' F2 B R2 U'
L R' U' B R2 F2 U'
L2 R' U' B R2 F2 U'
L R' U' B F2 R2 U'
L2 R' U' B F2 R2 U'
R L' F2 U2 F U F'
R' L2 U' F2 B R2 U'
R' L2 U' B R2 F2 U'
R' L2 U' B F2 R2 U'
U' L2 R F2 L2 B' U'
R L2 F2 U2 F U F'
R' U D2 B2 L2 F U
U' R L2 F2 L2 B' U'
F2 R U2 L' F' U F
U' R U2 D F' U R2
U' R U2 D2 F' B2 U
U' R U2 D2 B2 F' U
U' R U2 F' U2 F' U'
U' R D U2 F' U R2
U' R D2 U2 F' B2 U
U' R D2 U2 B2 F' U
U' R F D' F U' L2
U' R F D2 F B2 U'
U' R F D2 B2 F U'
U' R F2 L2 B' L2 U'
L' U' R F2 U2 F U
U2 R F2 L2 B' U' F2
L2 U' R F2 U2 F U
U' R F2 U2 D F U
U' R F2 U2 D' F U
U' R F2 U2 D2 F U
U' R F2 U2 F U D
U' R F2 U2 F U D'
U' R F2 U2 F U D2
U' R F2 U2 F D U
U' R F2 U2 F D' U
U' R F2 U2 F D2 U
U' R F2 D U2 F U
B R F2 L2 B' U' F
U' R F2 D' U2 F U
U' R F2 D2 U2 F U
B2 R F2 D L2 B' U'
U' R F2 B U2 F U
U2 R F2 U2 F U F
L U' R F2 U2 F U
U' R F2 B' U2 F U
U' R F2 B2 U2 F U
U2 R F2 D' L2 B' U'
L' U' R' F2 B R2 U'
L' U' R' B R2 F2 U'
L' U' R' B F2 R2 U'
U R F2 U2 R' F U
U R F2 U2 F R' U
L2 U' R' F2 B R2 U'
L2 U' R' B R2 F2 U'
L2 U' R' B F2 R2 U'
R2 U' R' F2 B U' L
R2 U' R' B F2 U' L
L U' R' F2 B R2 U'
L U' R' B R2 F2 U'
U' R B F2 U2 F U
L U' R' B F2 R2 U'
R' U' R2 F2 U2 F U
R' U' D B U' B R2
U' R B' F2 U2 F U
R U' R2 F2 B U' B'
R U' R2 B F2 U' B'
U' R B2 F2 U2 F U
R' U' F B R2 F U'
R' U' F2 R2 U2 F' U
R' U' F2 D B U' B
R' U' F2 B R2 U' D
R' U' F2 B R2 U' D'
R' U' F2 B R2 U' D2
R' U' F2 B R2 D U'
R' U' F2 B R2 D' U'
R' U' F2 B R2 D2 U'
U2 R' U F2 B R2 U'
R' U' F2 B U' D B2
R' U' F2 B D U' B2
U2 R' U B R2 F2 U'
R' U' F2 B' R2 B2 U'
U2 R' U B F2 R2 U'
R' U' F2 B2 R2 B' U'
R2 U' F2 R' B U' L
R' U' B R' F2 R' U'
R' U' B R2 U' D R2
R' U' B R2 D U' R2
R' U' B R2 F2 U' D
R' U' B R2 F2 U' D'
R' U' B R2 F2 U' D2
R' U' B R2 F2 D U'
R' U' B R2 F2 D' U'
R' U' B R2 F2 D2 U'
R' U' B U' D R2 B2
R' U' B U' D B2 R2
R' U' B D U' R2 B2
R' U' B D U' B2 R2
R' U' B F R2 F U'
R' U' B F2 R2 U' D
R' U' B F2 R2 U' D'
R' U' B F2 R2 U' D2
R' U' B F2 R2 D U'
R' U' B F2 R2 D' U'
R' U' B F2 R2 D2 U'
R' U' B F2 U' D B2
R' U' B F2 D U' B2
R' U' B' R2 F2 B2 U'
R' U' B' R2 B2 F2 U'
R' U' B' F2 R2 B2 U'
R' U' B2 R2 F2 B' U'
R' U' B2 R2 B' F2 U'
U' R' D B U' B R2
R' U' B2 F2 R2 B' U'
U' R' F B R2 F U'
U' R' F2 R2 U2 F' U
U' R' F2 D B U' B
U' R' F2 B R2 U' D
U' R' F2 B R2 U' D'
U' R' F2 B R2 U' D2
U' R' F2 B R2 D U'
U' R' F2 B R2 D' U'
U' R' F2 B R2 D2 U'
U' R' F2 B U' D B2
U' R' F2 B D U' B2
U' R' F2 B' R2 B2 U'
U' R' F2 B2 R2 B' U'
B2 R' F2 B R2 U' F'
U R' F2 L' B R2 U'
U2 R' F2 B R2 U' F2
U' R' B R' F2 R' U'
U' R' B R2 U' D R2
U' R' B R2 D U' R2
U' R' B R2 F2 U' D
U' R' B R2 F2 U' D'
U' R' B R2 F2 U' D2
U' R' B R2 F2 D U'
U' R' B R2 F2 D' U'
U' R' B R2 F2 D2 U'
U' R' B U' D R2 B2
U' R' B U' D B2 R2
B2 R' B R2 F2 U' F
U' R' B D U' R2 B2
U' R' B D U' B2 R2
U2 R' B R2 F2 U' F2
U R' F2 B L' R2 U'
U R' F2 B R2 L' U'
U' R' B F R2 F U'
U' R' B F2 R2 U' D
U' R' B F2 R2 U' D'
U' R' B F2 R2 U' D2
U' R' B F2 R2 D U'
U' R' B F2 R2 D' U'
U' R' B F2 R2 D2 U'
U' R' B F2 U' D B2
U' R' B F2 D U' B2
B2 R' B F2 R2 U' F'
U2 R' B F2 R2 U' F2
U' R' B' R2 F2 B2 U'
U' R' B' R2 B2 F2 U'
U R' B F2 L' R2 U'
U' R' B' F2 R2 B2 U'
U R' B F2 R2 L' U'
U2 R' B' D L2 R2 B2
U2 R' B' D L2 B2 R2
U2 R' B' D R2 L2 B2
U2 R' B' D R2 B2 L2
U2 R' B' D B2 L2 R2
U2 R' B' D B2 R2 L2
U' R' B2 R2 F2 B' U'
U' R' B2 R2 B' F2 U'
U' R' B2 F2 R2 B' U'
R U2 D F' U R2 F
R U2 D F' U F R2
R U2 D2 F' B2 U F
R U2 D2 B2 F' U F
R U2 F' R U F R
R U2 F' R2 B U F
R U2 F' U F D R2
R' U2 F2 B R2 U' F2
R U2 F' U2 F' U' F2
R' U2 B R2 F2 U' F2
R' U2 B F2 R2 U' F2
R' U2 B' D L2 R2 B2
R' U2 B' D L2 B2 R2
R' U2 B' D R2 L2 B2
R' U2 B' D R2 B2 L2
R' U2 B' D B2 L2 R2
R' U2 B' D B2 R2 L2
U' R2 F2 R B R2 U'
U' R2 F2 R' U2 F' U
R' D U' B U' B R2
R D U2 F' U R2 F
R D U2 F' U F R2
U' D R B' U' L R
U' D R B' U' R L
U2 D R2 B' D L B'
D2 U F2 L' F B2 U
D2 U F2 L' B2 F U
D2 U F2 B2 L' F U
R' D' L2 F2 U' B U'
U' D B' R U' L R
U' D B' R U' R L
D2 U B2 F2 L' F U
D U' R B' U' L R
D U' R B' U' R L
R' D' F2 L2 U' B U'
D U' B' R U' L R
D U' B' R U' R L
R' D2 U B2 L2 F U
F2 U2 L' R F' U F
D U2 R2 B' D L B'
R D2 U2 F' B2 U F
R D2 U2 B2 F' U F
F2 U2 R L' F' U F
U D2 F2 L' F B2 U
U D2 F2 L' B2 F U
U D2 F2 B2 L' F U
F2 U2 D2 L' F U F'
U D2 B2 F2 L' F U
D' F L2 U2 D' L B'
D' F L2 D' U2 L B'
R' F U' F B R2 U'
R' F U' B R2 F U'
R' F U' B F R2 U'
R' F' U' F' B R2 U'
R' F' U' B F' R2 U'
D' F2 L2 U L F U
U' F2 R U2 L' F' U
U' F2 R' B U2 L' U
R F2 L2 B' U B U2
R' F2 R2 U2 F' U F
R2 F2 R' U2 F' U F
D2 F2 U L' F B2 U
D2 F2 U L' B2 F U
D2 F2 U B2 L' F U
R' F2 U' B R2 U' R2
