L2 R' U' D' L2 B
L2 R' U' D' B L2
L2 R' U' B D' L2
L2 R' U2 F2 U B
L2 R' D' U' L2 B
L2 R' D' U' B L2
L2 R' D2 B2 U' B'
R' L2 U' D' L2 B
R' L2 U' D' B L2
R' L2 U' B D' L2
R' L2 U2 F2 U B
R' L2 D' U' L2 B
R' L2 D' U' B L2
R' L2 D2 B2 U' B'
D2 R' B2 L U' B'
L D2 L B2 U' B
L2 R U D R2 U2 B
L2 R U D F' R2 U2
L2 R U D' F' U2 L2
L2 R U F' U F' U
D2 L R' B2 L U' B
L2 R U2 F2 L2 U B'
L2 R U2 F2 U' F U2
L2 R D U R2 U2 B
L2 R D U F' R2 U2
R' L D' L U' L B
D2 L U' D B' L2 F
L2 R D' R2 U' L2 B
L2 R D' R2 U' B L2
L2 R D' U F' U2 L2
R' L D2 L B2 U' B'
L2 R D2 R2 B2 U' B'
D2 L D U' B' L2 F
L2 R D2 B2 R2 U' B
L2 R D2 B2 U F' U2
B' L D2 L B2 U' B
B2 L D2 L B2 U' B
B L D2 L B2 U' B
L2 R' U D R2 F' U2
L2 R' U' L D' L2 B
L2 R' U' L D' B L2
L2 R' U' L B D' L2
L2 R' U' L' D' L2 B
L2 R' U' L' D' B L2
L2 R' U' L' B D' L2
L2 R' U' L2 D' L2 B
L2 R' U' L2 D' B L2
L2 R' U' L2 B D' L2
L2 R' U' D B D2 L2
L2 R' U' D' L' B L'
L2 R' U' D' L2 D B
L2 R' U' D' L2 D' B
L2 R' U' D' L2 D2 B
L2 R' U' D' L2 B D
L2 R' U' D' L2 B D'
L2 R' U' D' L2 B D2
L2 R' U' D' B L2 D
L2 R' U' D' B L2 D'
L2 R' U' D' B L2 D2
L2 R' U' D' B' L2 B2
L2 R' U' B L D' L2
L2 R' U' B L' D' L2
L2 R' U' B L2 D' L2
L2 R' U' B U' F2 U
L2 R' U' B D' L2 D
L2 R' U' B D' L2 D'
L2 R' U' B D' L2 D2
D2 L B2 U' D' F2 B
D2 L B2 U' D' B F2
D2 L B2 U' B D' F2
L2 R' U' B2 D' B' L2
L2 R' U2 L F2 U B
D2 L B2 D' U' F2 B
D2 L B2 D' U' B F2
D2 L B2 D2 L2 U' B
L2 R' U2 L' F2 U B
L2 R' U2 L2 F2 U B
L2 R' U2 F2 L U B
L2 R' U2 F2 L' U B
L2 R' U2 F2 L2 U B
L2 R' U2 F2 U D B
L2 R' U2 F2 U D' B
L2 R' U2 F2 U D2 B
L2 R' U2 F2 U B D
L2 R' U2 F2 U B D'
L2 R' U2 F2 U B D2
L2 R' U2 F2 D U B
L2 R' U2 F2 D' U B
L2 R' U2 F2 D2 U B
L2 R' D U R2 F' U2
L2 R' D U' B D2 L2
R' L' D' L' U' L' B
R' L' D' L' U' B L'
L' R' D' L' U' L' B
L' R' D' L' U' B L'
L R' D' L U' L B
L2 R' D' U' L' B L'
L2 R' D' U' L2 D B
L2 R' D' U' L2 D' B
L2 R' D' U' L2 D2 B
L2 R' D' U' L2 B D
L2 R' D' U' L2 B D'
L2 R' D' U' L2 B D2
L2 R' D' U' B L2 D
L2 R' D' U' B L2 D'
L2 R' D' U' B L2 D2
L2 R' D' U' B' L2 B2
U2 L' R2 F2 R U B
R' L' D2 L' B2 U' B'
L' R' D2 L' B2 U' B'
L2 R' D' B' U' L2 B2
L2 R' D' B' U' B2 L2
L2 R' D' B2 U' B' L2
L R' D2 L B2 U' B'
L2 R' D2 B2 R U' B'
L2 R' D2 B2 R' U' B'
L2 R' D2 B2 R2 U' B'
L2 R' D2 B2 U' D B'
L2 R' D2 B2 U' D' B'
L2 R' D2 B2 U' D2 B'
L2 R' D2 B2 U' B' D
L2 R' D2 B2 U' B' D'
L2 R' D2 B2 U' B' D2
L2 R' D2 B2 D U' B'
L2 R' D2 B2 D' U' B'
L2 R' D2 B2 D2 U' B'
L2 R' B D2 B2 U' B2
L2 R' B' U' B2 D' L2
L2 R' B' U2 F2 U B2
L2 R' B' D' R2 U' L2
L2 R' B2 U' D' B' L2
L2 R' B2 U' B' D' L2
L2 R' B2 U2 F2 U B'
L2 R' B2 D' U' B' L2
L2 R' B2 D2 B2 U' B
R' L2 U D R2 F' U2
R L2 U D R2 U2 B
R L2 U D F' R2 U2
R' L2 U' L D' L2 B
R L2 U D' F' U2 L2
R' L2 U' L D' B L2
R' L2 U' L B D' L2
R' L2 U' L' D' L2 B
R' L2 U' L' D' B L2
R' L2 U' L' B D' L2
R' L2 U' L2 D' L2 B
R' L2 U' L2 D' B L2
R' L2 U' L2 B D' L2
R L2 U F' U F' U
R' L2 U' D B D2 L2
R' L2 U' D' L' B L'
R' L2 U' D' L2 D B
R' L2 U' D' L2 D' B
R' L2 U' D' L2 D2 B
R' L2 U' D' L2 B D
R' L2 U' D' L2 B D'
R' L2 U' D' L2 B D2
R' L2 U' D' B L2 D
R' L2 U' D' B L2 D'
R' L2 U' D' B L2 D2
R' L2 U' D' B' L2 B2
U2 L' F2 R U' F' U2
R' L2 U' B L D' L2
R' L2 U' B L' D' L2
R' L2 U' B L2 D' L2
R' L2 U' B U' F2 U
R' L2 U' B D' L2 D
R' L2 U' B D' L2 D'
R' L2 U' B D' L2 D2
R' L2 U' B2 D' B' L2
R' L2 U2 L F2 U B
R' L2 U2 L' F2 U B
R' L2 U2 L2 F2 U B
L2 R2 U2 L' F2 U B'
R2 L2 U2 L' F2 U B'
R' L2 U2 F2 L U B
R' L2 U2 F2 L' U B
R' L2 U2 F2 L2 U B
R' L2 U2 F2 U D B
R' L2 U2 F2 U D' B
R' L2 U2 F2 U D2 B
R' L2 U2 F2 U B D
R' L2 U2 F2 U B D'
R' L2 U2 F2 U B D2
R' L2 U2 F2 D U B
R' L2 U2 F2 D' U B
R' L2 U2 F2 D2 U B
L2 R2 U2 F2 L' U B'
R2 L2 U2 F2 L' U B'
R L2 U2 F2 L2 U B'
R L2 U2 F2 U' F U2
R' L2 D U R2 F' U2
R' L2 D U' B D2 L2
R L2 D U R2 U2 B
R L2 D U F' R2 U2
R' L2 D' U' L' B L'
R' L2 D' U' L2 D B
R' L2 D' U' L2 D' B
R' L2 D' U' L2 D2 B
R' L2 D' U' L2 B D
R' L2 D' U' L2 B D'
R' L2 D' U' L2 B D2
R' L2 D' U' B L2 D
R' L2 D' U' B L2 D'
R' L2 D' U' B L2 D2
R' L2 D' U' B' L2 B2
L2 R2 D' R U' L2 B
L2 R2 D' R U' B L2
R2 L2 D' R U' L2 B
R2 L2 D' R U' B L2
R' L2 D' B' U' L2 B2
R' L2 D' B' U' B2 L2
D2 L' B2 D2 L2 U' B'
R' L2 D' B2 U' B' L2
R L2 D' R2 U' L2 B
R L2 D' R2 U' B L2
R L2 D' U F' U2 L2
L2 R2 D2 R B2 U' B'
R2 L2 D2 R B2 U' B'
R' L2 D2 B2 R U' B'
R' L2 D2 B2 R' U' B'
R' L2 D2 B2 R2 U' B'
R' L2 D2 B2 U' D B'
R' L2 D2 B2 U' D' B'
R' L2 D2 B2 U' D2 B'
R' L2 D2 B2 U' B' D
R' L2 D2 B2 U' B' D'
R' L2 D2 B2 U' B' D2
R' L2 D2 B2 D U' B'
R' L2 D2 B2 D' U' B'
R' L2 D2 B2 D2 U' B'
R L2 D2 R2 B2 U' B'
B' L2 R' U' D' L2 B
B' L2 R' U' D' B L2
B' L2 R' U' B D' L2
B' L2 R' U2 F2 U B
B2 L2 R' U' D' L2 B
B2 L2 R' U' D' B L2
B' L2 R' D' U' L2 B
B' L2 R' D' U' B L2
L2 R2 D2 B2 R U' B
B2 L2 R' U' B D' L2
R2 L2 D2 B2 R U' B
B2 L2 R' U2 F2 U B
B' L2 R' D2 B2 U' B'
B L2 R' U' D' L2 B
B L2 R' U' D' B L2
B L2 R' U' B D' L2
B2 L2 R' D' U' L2 B
B2 L2 R' D' U' B L2
B L2 R' U2 F2 U B
B2 L2 R' D2 B2 U' B'
R L2 D2 B2 R2 U' B
R L2 D2 B2 U F' U2
B L2 R' D' U' L2 B
B L2 R' D' U' B L2
B L2 R' D2 B2 U' B'
R' L2 B D2 B2 U' B2
R' L2 B' U' B2 D' L2
R' L2 B' U2 F2 U B2
R' L2 B' D' R2 U' L2
R' L2 B2 U' D' B' L2
R' L2 B2 U' B' D' L2
R' L2 B2 U2 F2 U B'
R' L2 B2 D' U' B' L2
R' L2 B2 D2 B2 U' B
F L2 D' F' R B' U'
F L2 D' F' B' R U'
F L2 D' B' F' R U'
F L2 F' R' B' U' B2
L2 U R D R2 U2 B
L2 U R D F' R2 U2
L2 U R D' F' U2 L2
F L2 F' B' R' U' B
L2 U R F' U F' U
L2 U R' U F2 U B
L2 U R' U2 D' L2 B
L2 U R' U2 D' B L2
L2 U R' U2 B D' L2
L2 U R' D R2 F' U2
L2 U R' D' U2 L2 B
L2 U R' D' U2 B L2
R' U D R2 F' U2 F'
F L2 B' D' F' R U'
F L2 B' F' R' U' B
R U D R2 U2 F2 B
R U D R2 U2 B F2
R U D F' R2 B U2
R' U D' B2 U2 B' L2
R U D' F' B2 U2 L2
R U D' B2 F' U2 L2
F2 R U D R2 F2 B
F2 R U D R2 B F2
F2 R U2 F2 L2 U' B'
F2 R D U R2 F2 B
F2 R D U R2 B F2
U R D R2 U2 F2 B
U R D R2 U2 B F2
U R D F' R2 B U2
U R D' F' B2 U2 L2
F2 R D2 R2 B2 U B'
U R D' B2 F' U2 L2
F2 R D2 B2 R2 U B
U2 R F2 U2 L2 U' B'
L2 U' R' D' L2 B R
L2 U' R' D' B L2 R
L2 U' R' D' B R L2
L2 U' R' B R D' L2
L2 U' R' B D' L2 R
L2 U' R' B D' R L2
R' U' D F2 D2 L2 B
R' U' D F2 D2 B L2
R' U' D F2 B D2 L2
R' U' D B F2 D2 L2
R' U' D' L2 D2 F2 B
R' U' D' L2 D2 B F2
L2 U' D' L D' L B'
R' U' D' B' L2 F B2
R' U' D' B' L2 B2 F
R U' D F2 D2 L2 B'
D R B2 U' F2 L' B'
L2 U' D2 L D B' L2
L2 U' D2 L' D L2 B'
D2 R' L B2 L U' B
B' R' L2 U' D' L2 B
B' R' L2 U' D' B L2
B' R' L2 U' B D' L2
B' R' L2 U2 F2 U B
B2 R' L2 U' D' L2 B
B2 R' L2 U' D' B L2
B' R' L2 D' U' L2 B
B' R' L2 D' U' B L2
B2 R' L2 U' B D' L2
B2 R' L2 U2 F2 U B
B' R' L2 D2 B2 U' B'
B2 R' L2 D' U' L2 B
B2 R' L2 D' U' B L2
B2 R' L2 D2 B2 U' B'
B R' L2 U' D' L2 B
B R' L2 U' D' B L2
B R' L2 U' B D' L2
B R' L2 U2 F2 U B
B R' L2 D' U' L2 B
B R' L2 D' U' B L2
B R' L2 D2 B2 U' B'
F2 R' U D F2 B R2
F2 R' U D B R2 F2
F2 R' U D B F2 R2
F2 R' U B D R2 F2
F2 R' U B D F2 R2
R' U' B D F2 D2 L2
R' U' B D' L2 D2 F2
F2 R' U2 L2 F2 U' B
F2 R' U2 F2 L2 U' B
F2 R' D U F2 B R2
F2 R' D U B R2 F2
F2 R' D U B F2 R2
U' R' D B R F2 L'
R' U' B2 D' B' L2 F
U R' D R2 F' U2 F'
U R' D' B2 U2 B' L2
F2 R' D2 B2 R2 U B'
R2 U2 L' F2 R U B'
U2 R' F2 U D F2 B
U2 R' F2 U D B F2
U2 R' F2 U B D F2
U2 R' F2 U2 L2 U' B
U2 R' F2 D U F2 B
U2 R' F2 D U B F2
U' R' B D R F2 L'
L' U2 R2 F2 R U B
D2 R' B2 L R U' B'
D2 R' B2 L R' U' B'
D2 R' B2 L R2 U' B'
D2 R' B2 L U' D B'
D2 R' B2 L U' D' B'
D2 R' B2 L U' D2 B'
D2 R' B2 L U' B' D
D2 R' B2 L U' B' D'
D2 R' B2 L U' B' D2
D2 R' B2 L D U' B'
D2 R' B2 L D' U' B'
D2 R' B2 L D2 U' B'
D2 R' B2 R L U' B'
D2 R' B2 R' L U' B'
D2 R' B2 R2 L U' B'
L2 U2 D' F L' U L'
U2 R2 L' F2 R U B
L2 U2 F D' F L' U
R' U2 F2 U D F2 B
R' U2 F2 U D B F2
R' U2 F2 U B D F2
L' U2 F2 R U' F' U2
R' U2 F2 U2 L2 U' B
R' U2 F2 D U F2 B
R' U2 F2 D U B F2
L2 U2 F2 U R' B R
L2 U2 F2 U2 R' U' B
L2 U2 F2 D2 L U B'
R U2 F2 U2 L2 U' B'
R2 D R U' F2 L' B
R2 D R U' F2 B L'
R2 D R U' B F2 L'
D R2 B R' U' F2 L'
R' D U R2 F' U2 F'
R' D U' F2 D2 L2 B
R' D U' F2 D2 B L2
R' D U' F2 B D2 L2
R' D U' B F2 D2 L2
R D U R2 U2 F2 B
R D U R2 U2 B F2
R D U F' R2 B U2
R D U' F2 D2 L2 B'
F2 U R D R2 F2 B
F2 U R D R2 B F2
F2 U R' D F2 B R2
F2 U R' D B R2 F2
F2 U R' D B F2 R2
L2 D B R' U R' U2
L2 D B R' B2 U' L
F2 U R' B D R2 F2
F2 U R' B D F2 R2
L2 D B D R' B2 U'
L2 D B D2 R' U' L2
L2 D B' D B2 R' U'
L D' L U' D' L B'
L D' L D' U' L B'
D2 U' L D B' L2 F
R' D' U B2 U2 B' L2
R' D' U' L2 D2 F2 B
R' D' U' L2 D2 B F2
R' D' U' B' L2 F B2
R' D' U' B' L2 B2 F
L2 D' U' L D' L B'
R D' U F' B2 U2 L2
R D' U B2 F' U2 L2
L2 D' U2 F L' U L'
L2 D' F' R F U' L2
R' D' B' U' L2 F B2
R' D' B' U' L2 B2 F
L' D2 L B2 L2 U' B
L' D2 L' U' D L2 B'
L' D2 L' D U' L2 B'
L2 D2 L B2 L' U' B
L D2 L R B2 U' B
L D2 L R' B2 U' B
L D2 L R2 B2 U' B
L D2 L U' D B' L2
L D2 L D U' B' L2
L' D2 L' B2 U F U2
L D2 L B2 U' D B
L D2 L B2 U' D' B
L D2 L B2 U' D2 B
L D2 L B2 U' B D
L D2 L B2 U' B D'
L D2 L B2 U' B D2
L D2 L B2 D U' B
L D2 L B2 D' U' B
L D2 L B2 D2 U' B
U' D2 L D B' L2 F
L D2 L' B2 L2 U' B'
L D2 L2 B2 L' U' B'
L D2 R L B2 U' B
L D2 R' L B2 U' B
L D2 R2 L B2 U' B
L2 D2 U' L D B' L2
L2 D2 U' L' D L2 B'
F2 U2 L2 R' F2 U' B
F2 U2 L2 F2 R' U' B
F2 U2 R F2 L2 U' B'
F2 U2 R' L2 F2 U' B
F2 U2 R' F2 L2 U' B
L2 D2 B D' B R' U'
L' D2 B2 L' U F U2
R' D2 B2 U' D' F2 B'
R' D2 B2 U' D' B' F2
R' D2 B2 U' B' D' F2
R' D2 B2 U2 R2 U B'
R' D2 B2 D' U' F2 B'
R' D2 B2 D' U' B' F2
L2 D2 B2 U' L B' L'
L2 D2 B2 U2 L U B'
L2 D2 B2 D2 R' U' B
R D2 B2 U2 R2 U B
R' F L2 F' B' U' B2
R' F L2 B' F' U' B2
F2 U2 F2 L2 R' U' B
F2 U2 F2 R' L2 U' B
F2 D B' L U R2 F2
F2 D B' L U F2 R2
L' F2 R U D R2 B
L' F2 R D U R2 B
U2 F2 R D2 R2 U B
U2 F2 R' U D F2 B
U2 F2 R' U D B F2
U2 F2 R' U B D F2
U2 F2 R' U2 L2 U' B
U2 F2 R' D U F2 B
U2 F2 R' D U B F2
R' F2 U D F2 B R2
R' F2 U D B R2 F2
R' F2 U D B F2 R2
R' F2 U B D R2 F2
R' F2 U B D F2 R2
R' F2 U2 L2 F2 U' B
F2 D2 L R2 B2 U B
R' F2 U2 F2 L2 U' B
R F2 U D F2 R2 B
U2 F2 U2 L2 R' U' B
U2 F2 U2 R' L2 U' B
R' F2 D U F2 B R2
R' F2 D U B R2 F2
R' F2 D U B F2 R2
R F2 U2 L2 F2 U' B'
U2 F2 D2 L R2 U B'
R' F2 D2 B2 R2 U B'
R F2 D U F2 R2 B
U2 F2 D2 R2 L U B'
B' D2 R' B2 L U' B'
B2 D2 R' B2 L U' B'
F2 D2 R2 L B2 U B
B D2 R' B2 L U' B'
F2 D2 R2 B2 L U B'
R' B L2 D2 B2 U' B2
L2 B R' U' D' L2 B
L2 B R' U' D' B L2
L2 B R' U' B D' L2
L2 B R' U2 F2 U B
L2 B R' D' U' L2 B
L2 B R' D' U' B L2
L2 B R' D2 B2 U' B'
D B R' U R' U2 F2
D B R' B2 U' L F2
D B R' B2 U' F2 L
F2 D2 B2 L R2 U B'
F2 D2 B2 R2 L U B'
D2 B D' B R' U' F2
D B D R' B2 L U'
R' B' L2 U' B2 D' L2
R' B' L2 U2 F2 U B2
R' B' L2 D' R2 U' L2
L2 B' R' U' D' L2 B
L2 B' R' U' D' B L2
L2 B' R' U' B D' L2
L2 B' R' U2 F2 U B
L2 B' R' D' U' L2 B
L2 B' R' D' U' B L2
L2 B' R' D2 B2 U' B'
D2 B2 L U' D' F2 B'
D2 B2 L U' D' B' F2
D2 B2 L U' B' D' F2
D2 B2 L U2 R2 U B'
D2 B2 L D' U' F2 B'
D2 B2 L D' U' B' F2
D2 B2 L' D2 L2 U' B'
R' B2 L2 U' D' L2 B'
R' B2 L2 D' U' L2 B'
D B2 R U' F2 L' B'
L2 B2 R' U' D' L2 B
L2 B2 R' U' D' B L2
L2 B2 R' U' B D' L2
L2 B2 R' U2 F2 U B
L2 B2 R' D' U' L2 B
L2 B2 R' D' U' B L2
L2 B2 R' D2 B2 U' B'
R' B2 U' D' B' L2 F
D2 B2 U2 L R2 U B'
D2 B2 U2 R2 L U B'
R' B2 D' U' B' L2 F
L B2 U2 R' F2 U B
D2 B2 D2 L2 R' U' B
L B2 U2 F2 R' U B
D2 B2 D2 R' L2 U' B
L B2 D2 B2 L U' B'
