R' L D' F2 B R2
R' L D' B R2 F2
R' L D' B F2 R2
L R' D' F2 B R2
L R' D' B R2 F2
L R' D' B F2 R2
R U L D' R2 B
R U D' L R2 B
R U D' R2 L B
B2 R U' R2 U2 B
B2 R U' F' R2 U2
R' D' L F2 B R2
R' D' L B R2 F2
R' D' L B F2 R2
R D' U L R2 B
R D' U R2 L B
R' D' F2 L B R2
D2 F2 L' U' L2 B'
R B2 U' F' R' U2
L' R U L2 D' R2 B
B2 L R U' R2 U2 B
L2 R U L' D' R2 B
B2 L R U' F' R2 U2
L2 R U D' L' R2 B
L2 R U D' R2 L' B
L2 R U D' R2 B L'
U' L R' D' F2 B R2
U' L R' D' B R2 F2
U' L R' D' B F2 R2
U2 L R' D' F2 B R2
U2 L R' D' B R2 F2
U2 L R' D' B F2 R2
F2 L R' D' B R2 F'
U L R' D' F2 B R2
U L R' D' B R2 F2
U L R' D' B F2 R2
R' L U' B2 R2 U B'
R' L D B D2 R2 F'
L R D' R2 D' F2 B
L R D' R2 D' B F2
L R D' R2 B D' F2
L2 R D' U L' R2 B
L2 R D' U R2 L' B
L2 R D' U R2 B L'
R' L D' F B R2 F
R L D' R2 D' F2 B
R L D' R2 D' B F2
R L D' R2 B D' F2
R' L D' F2 B R2 D
R' L D' F2 B R2 D'
R' L D' F2 B R2 D2
R' L D' F2 B' R2 B2
R' L D' F2 B2 R2 B'
R' L D' B R' F2 R'
R' L D' B R2 F2 D
R' L D' B R2 F2 D'
R' L D' B R2 F2 D2
R' L D' B F R2 F
R' L D' B F2 R2 D
R' L D' B F2 R2 D'
R' L D' B F2 R2 D2
R' L D' B' R2 F2 B2
R' L D' B' R2 B2 F2
R' L D' B' F2 R2 B2
R' L D' B2 R2 F2 B'
R' L D' B2 R2 B' F2
R' L D' B2 F2 R2 B'
R' L D2 B D R2 F2
R' L D2 B D F2 R2
R' L F D' F2 B R2
R' L F D' B R2 F2
R' L F D' B F2 R2
R' L F' D' F2 B R2
R' L F' D' B R2 F2
R' L F' D' B F2 R2
R' L F2 D' F2 B R2
R' L F2 D' B R2 F2
R' L F2 D' B F2 R2
L' R F2 B2 U L2 B'
R' L B U' B R2 U
D2 L F2 L' U' L B'
L' R B2 U' F' U2 L2
L' R B2 F2 U L2 B'
R L' U L2 D' R2 B
D2 L B' U F2 L' U'
L R' U' B2 R2 U B'
B2 L' R U' R2 U2 B
B2 L' R U' F' R2 U2
L R' D B D2 R2 F'
L2 R' D' L' F2 B R2
L2 R' D' L' B R2 F2
L2 R' D' L' B F2 R2
L R' D' F B R2 F
L R' D' F2 B R2 D
L R' D' F2 B R2 D'
L R' D' F2 B R2 D2
L R' D' F2 B' R2 B2
L R' D' F2 B2 R2 B'
L2 R' D' B L' R2 F2
L2 R' D' B L' F2 R2
L R' D' B R' F2 R'
L R' D' B R2 F2 D
L R' D' B R2 F2 D'
L R' D' B R2 F2 D2
L2 R' D' B R2 L' F2
L R' D' B F R2 F
L R' D' B F2 R2 D
L R' D' B F2 R2 D'
L R' D' B F2 R2 D2
L R' D' B' R2 F2 B2
L R' D' B' R2 B2 F2
L R' D' B' F2 R2 B2
L R' D' B2 R2 F2 B'
L R' D' B2 R2 B' F2
L R' D' B2 F2 R2 B'
L R' D2 B D R2 F2
L R' D2 B D F2 R2
L R' F D' F2 B R2
L R' F D' B R2 F2
L R' F D' B F2 R2
L R' F' D' F2 B R2
L R' F' D' B R2 F2
L R' F' D' B F2 R2
L R' F2 D' F2 B R2
L R' F2 D' B R2 F2
L R' F2 D' B F2 R2
R L' F2 B2 U L2 B'
L R' B U' B R2 U
R' L' B2 R2 U B' L2
L' R' B2 R2 U B' L2
L2 R' B2 R2 U B' L'
R L' B2 U' F' U2 L2
R L' B2 F2 U L2 B'
R L2 U L' D' R2 B
R L2 U D' L' R2 B
R L2 U D' R2 L' B
R L2 U D' R2 B L'
R' L2 D' L' F2 B R2
R' L2 D' L' B R2 F2
R' L2 D' L' B F2 R2
R' L2 D' B L' R2 F2
R' L2 D' B L' F2 R2
R' L2 D' B R2 L' F2
R L2 D' U L' R2 B
R L2 D' U R2 L' B
R L2 D' U R2 B L'
B2 L2 R U' R2 U2 B
B2 L2 R U' F' R2 U2
R' L2 B2 R2 U B' L'
R' U L D' F2 B R2
R' U L D' B R2 F2
R' U L D' B F2 R2
R U L R2 D' B R2
R U L D' R2 D B
R U L D' R2 D' B
R U L D' R2 D2 B
R U L D' R2 B D
R U L D' R2 B D'
R U L D' R2 B D2
R U L D' B R2 B
R U L D' B' R2 B
R U L D' B2 R2 B
R U L2 D' L' R2 B
R U L2 D' R2 L' B
R U L2 D' R2 B L'
R U R2 L D' B R2
R U R2 D' L B R2
R' U D' L F2 B R2
R' U D' L B R2 F2
R' U D' L B F2 R2
F2 L2 B2 R' U L' B
F2 L2 B2 R' U B L'
R' U D' F2 L B R2
R U D' L R2 D B
R U D' L R2 D' B
