D L' B' L' F R U'
B' L2 U D F L' B'
B' L2 D U F L' B'
D L2 D F R U' L'
B' L2 F' L' F U F
U' R B D' R2 F' L'
L2 D F L2 R U' L
L2 D F R L2 U' L
B2 U L' B U L B2
B' U L2 F B L B'
B' U L2 B F L B'
B2 U L2 B U L B'
B' U B L' B' L2 F
B2 U B L' U B' L2
B' U B' R' U2 R B
B' U' R' F' B' U2 L'
B' U' R' B' F' U2 L'
B' U' F R B' U2 B2
B' U' F B' R U2 B
B' U' F' B' U2 L' B'
B' U' B' R U2 B L
B' U' B' R' F' U2 L'
B' U' B' F R U2 B
B' U' B' F' U2 L' B'
F2 D2 B' L F U F
L' B' L2 U' F R B
B2 F' U L' B U L
B2 F' U B L' U L2
F' B2 U L' B U L
F' B2 U B L' U L2
