D' L2 R' B2 U L2
F2 L2 U R' U L2
U2 L2 F2 U R' U
D' R D' R2 F2 B2
D' R D' R2 B2 F2
D' R D' F2 R2 B2
D' R D' F2 B2 R2
D' R D' B2 R2 F2
D' R D' B2 F2 R2
D2 R B2 D' R F2
D' R' L2 B2 U L2
U' R' U D2 R2 B2
U' R' U D2 B2 R2
U' R' U' L2 F2 U2
U' R' U' F2 L2 U2
U' R' D' L2 B2 U
U' R' D' B2 L2 U
U' R' D2 U R2 B2
U' R' D2 U B2 R2
D' R' B2 L2 U L2
D2 R2 U' R U B2
D R2 F2 L' U' L
D2 R2 B2 U' R U
U D R2 F2 L' U'
D U R2 F2 L' U'
R' D' L2 B2 U L2
U' D' L2 R' B2 U
D' U' L2 R' B2 U
U' D' R' L2 B2 U
D2 U' R' U R' B2
D' U' R' L2 B2 U
U' D' R' B2 L2 U
D' U' R' B2 L2 U
R' D' B2 L2 U L2
R D' F2 D' R2 B2
R D' F2 D' B2 R2
R' D2 R2 B2 D' F2
U' D2 R' U R' B2
R D2 R2 B2 D F2
R' D2 B2 R2 D' F2
R D2 B2 R2 D F2
U2 F2 L2 U R' U
L2 F2 U R' U L2
D2 B2 R2 U L U'
D2 B2 U L U' R2
R' L U L' D2 R2 B2
R' L U L' D2 B2 R2
R' L U D2 B2 L' R'
R' L U D2 B2 R' L'
D2 L R' U L' R' B2
U' L R' U D2 B2 R'
D2 L R' U R' L' B2
D2 L R' U R' B2 L'
U' L R' U' L F2 U2
U' L R' U' F2 L U2
R' L U' L F2 U2 L2
U' L R' D2 U B2 R'
R' L U' F2 L R U2
R' L U' F2 R L U2
B2 L U L F2 U2 L2
B2 L U F2 L R U2
B2 L U F2 R L U2
B2 L U' L' D2 R2 B2
B2 L U' L' D2 B2 R2
B2 L U' D2 B2 L' R'
B2 L U' D2 B2 R' L'
R' L D2 U B2 L' R'
R' L D2 U B2 R' L'
U' L D2 R' U B2 R'
B2 L D2 U' B2 L' R'
B2 L D2 U' B2 R' L'
L2 R F2 U R2 U L2
L2 R F2 U2 L2 D' F2
U2 L F2 L U R' U
L' R' U L D2 R2 B2
L' R' U L D2 B2 R2
R' L' U L D2 R2 B2
R' L' U L D2 B2 R2
L R' U L' D2 R2 B2
L R' U L' D2 B2 R2
L R' U D2 B2 L' R'
L R' U D2 B2 R' L'
L' R' U' L' F2 U2 L2
R' L' U' L' F2 U2 L2
L R' U' L F2 U2 L2
D2 L B2 L' R2 D F2
R' L' U' F2 U2 L R
R' L' U' F2 U2 R L
L' R' U' F2 U2 L R
L' R' U' F2 U2 R L
D2 L B2 R2 L' D F2
L R' U' F2 L R U2
L R' U' F2 R L U2
D2 L' R' U L R' B2
D2 L' R' U R' L B2
U' L' R' U' L' F2 U2
U' L' R' U' F2 U2 R
D L' R2 F2 L' U' L2
L R' D2 U B2 L' R'
L R' D2 U B2 R' L'
L2 R' F2 U2 L2 D F2
U2 L' F2 U R' U R2
U2 L' F2 U2 R D' F2
F2 L2 R U R2 U L2
F2 L2 R U2 L2 D' F2
D' L2 R B2 R2 U L2
D2 L2 R' U L2 R' B2
D2 L2 R' U R' L2 B2
D2 L2 R' U R' B2 L2
D' L2 R' U L2 D' R2
F2 L2 R' U2 L2 D F2
D' L2 R' F B2 U L2
D' L2 R' F' B2 U L2
D' L2 R' F2 B2 U L2
D' L2 R' B2 U L2 D
D' L2 R' B2 U L2 D'
D' L2 R' B2 U L2 D2
D' L2 R' B2 D F2 U
D' L2 R' B2 F U L2
D' L2 R' B2 F' U L2
D' L2 R' B2 F2 U L2
F2 L2 R2 U R U L2
D' L2 R2 B2 R U L2
D L2 R2 F2 L' U' L'
F2 L2 U R' U L2 D
F2 L2 U R' U L2 D'
F2 L2 U R' U L2 D2
F2 L2 U R' D F2 U
F2 L2 U R' F U L2
F2 L2 U R' F' U L2
F2 L2 U R' F2 U L2
U2 L2 U R' U D2 B2
U2 L2 U R' U' F2 U2
U2 L2 U R' D' L2 U
U2 L2 U R' D2 U B2
F2 L2 U D R' F2 U
F2 L2 U D F2 R' U
U2 L2 U D' L2 R' U
U2 L2 U D' R' L2 U
F L2 U R' U B' L2
F2 L2 U F R' U L2
U2 L2 U D2 R' U B2
F2 L2 U F' R' U L2
R' L2 F2 U2 L2 D F2
F2 L2 U F2 R' U L2
L2 R2 F2 U' L' U' L'
R2 L2 F2 U' L' U' L'
R L2 F2 U R2 U L2
R L2 F2 U2 L2 D' F2
F2 L2 U' D' B2 L U'
F2 L2 U' B2 L U' L
F2 L2 U2 L2 U' R' U
F2 L2 D U R' F2 U
F2 L2 D U F2 R' U
U2 L2 D' U L2 R' U
U2 L2 D' U R' L2 U
F2 L2 D' U' B2 L U'
F2 L2 D2 R2 U R U
U2 L2 D2 U R' U B2
D' L2 F R' B2 U L2
D' L2 F' R' B2 U L2
F' L2 F' U R' U L2
D' L2 F2 R' B2 U L2
U' L2 F2 U R' F2 U
U' L2 F2 U F2 R' U
B2 L2 F2 U R U L2
U2 L2 F2 U R' U D
U2 L2 F2 U R' U D'
U2 L2 F2 U R' U D2
U2 L2 F2 U R' D U
U2 L2 F2 U R' D' U
U2 L2 F2 U R' D2 U
U2 L2 F2 U D R' U
U2 L2 F2 U D' R' U
U2 L2 F2 U D2 R' U
U2 L2 F2 D U R' U
U2 L2 F2 D' U R' U
L2 U R' U L2 D2 B2
U2 L2 F2 D2 U R' U
L2 U R' U' F2 U2 L2
U2 L2 F2 B2 U' L U'
L2 U R' F U L2 B'
R' U D R2 F2 U' F2
R' U D F2 R2 U' F2
R2 U D F2 L' R2 U'
R2 U D F2 R2 L' U'
D' L2 B2 U2 L U' L
F2 L2 B2 U' L U' L
U2 L2 B2 F2 U' L U'
R' U D2 R2 B2 D L2
L2 U D2 R' U B2 L
R' U D2 B2 R2 D L2
R U D2 L2 U' R2 B2
R U D2 L2 U' B2 R2
L2 U F R' U L2 B'
F2 R L2 U R2 U L2
F2 R L2 U2 L2 D' F2
D' R L2 B2 R2 U L2
D R U R F2 L' U'
D' R U' L2 R2 B2 U
D' R U' L2 B2 R2 U
D2 R U' R2 U R' B2
D' R U' R2 L2 B2 U
D' R U' R2 B2 L2 U
D' R U' B2 L2 R2 U
D' R U' B2 R2 L2 U
D' R D' R B2 R F2
U' R D' L2 B2 U F2
D' R D' R' F2 R' B2
D' R D' R2 F2 B2 D
D' R D' R2 F2 B2 D'
D' R D' R2 F2 B2 D2
D' R D' R2 B2 F2 D
D' R D' R2 B2 F2 D'
D' R D' R2 B2 F2 D2
D' R D' F R2 F B2
D' R D' F R2 B2 F
D' R D' F B2 R2 F
D' R D' F2 R B2 R
D' R D' F2 R2 B2 D
D' R D' F2 R2 B2 D'
D' R D' F2 R2 B2 D2
D' R D' F2 B' R2 B'
D' R D' F2 B2 R2 D
D' R D' F2 B2 R2 D'
D' R D' F2 B2 R2 D2
D' R D' B' R2 F2 B'
D' R D' B' R2 B' F2
D' R D' B' F2 R2 B'
D' R D' B2 R' F2 R'
D' R D' B2 R2 F2 D
D' R D' B2 R2 F2 D'
D' R D' B2 R2 F2 D2
D' R D' B2 F R2 F
D' R D' B2 F2 R2 D
D' R D' B2 F2 R2 D'
D' R D' B2 F2 R2 D2
U' R D' B2 L2 U F2
F R D' F2 D' R2 B
U R D2 L2 U' R2 B2
U R D2 L2 U' B2 R2
D' R F D' R2 F2 B2
D' R F D' R2 B2 F2
D' R F D' F2 R2 B2
D' R F D' F2 B2 R2
D' R F D' B2 R2 F2
D' R F D' B2 F2 R2
R' U' L2 F2 U F2 U
R' U' L2 F2 U2 D' L2
R' U' L2 F2 D R2 U2
R' U' L2 F2 D' U2 L2
D' R F' D' R2 F2 B2
D' R F' D' R2 B2 F2
D' R F' D' F2 R2 B2
D' R F' D' F2 B2 R2
D' R F' D' B2 R2 F2
D' R F' D' B2 F2 R2
R2 U' R U D2 R2 B2
R2 U' R U D2 B2 R2
R2 U' R U' L2 F2 U2
R2 U' R U' F2 L2 U2
R2 U' R D' L2 B2 U
R2 U' R D' B2 L2 U
R2 U' R D2 U R2 B2
R2 U' R D2 U B2 R2
D' R F2 D' R2 F2 B2
D' R F2 D' R2 B2 F2
D' R F2 D' F2 R2 B2
D' R F2 D' F2 B2 R2
D' R F2 D' B2 R2 F2
D' R F2 D' B2 F2 R2
D2 R F2 B2 D' F2 R
D2 R B D' B R F2
R U' R2 U D2 R2 B2
R U' R2 U D2 B2 R2
R U' R2 U' L2 F2 U2
R U' R2 U' F2 L2 U2
D2 R B' D' R F2 B'
D2 R B' D' R B' F2
D2 R B' D' B' R F2
R U' R2 D' L2 B2 U
R U' R2 D' B2 L2 U
R U' R2 D2 U R2 B2
R U' R2 D2 U B2 R2
D' R B2 L2 R2 U L2
D2 R B2 R U' R U
D' R B2 R2 L2 U L2
D2 R B2 U' R2 U R'
D2 R B2 D R D2 F2
D2 R B2 D' R F2 D
D2 R B2 D' R F2 D'
D2 R B2 D' R F2 D2
D2 R B2 D' R' F2 R2
D2 R B2 D' R2 F2 R'
D2 R B2 D2 R D F2
D2 R B2 F2 D' F2 R
D2 R' L U L' R' B2
D2 R' L U R' L' B2
D2 R' L U R' B2 L'
R2 U' D' L2 R B2 U
R2 U' D' L2 B2 R U
R2 U' D' R L2 B2 U
U' R' L U D2 B2 R'
R2 U' D' R B2 L2 U
U' R' L U' L F2 U2
U' R' L U' F2 L U2
R U' D' L2 B2 U F2
U' R' L D2 U B2 R'
R2 U' D' B2 L2 R U
R2 U' D' B2 R L2 U
D2 R' L' U L R' B2
D2 R' L' U R' L B2
R2 U' D2 R U R B2
R2 U' D2 R U B2 R
R U' D' B2 L2 U F2
U' R' L' U' L' F2 U2
U' R' L' U' F2 U2 R
D2 R' L2 U L2 R' B2
D2 R' L2 U R' L2 B2
D2 R' L2 U R' B2 L2
D' R' L2 U L2 D' R2
D' R' L2 F B2 U L2
F2 R' L2 U2 L2 D F2
D' R' L2 F' B2 U L2
D' R' L2 F2 B2 U L2
D' R' L2 B2 U L2 D
D' R' L2 B2 U L2 D'
D' R' L2 B2 U L2 D2
D' R' L2 B2 D F2 U
D' R' L2 B2 F U L2
D' R' L2 B2 F' U L2
D' R' L2 B2 F2 U L2
D2 R' U R' B2 D L2
U' R' U R D2 R2 B2
U' R' U R D2 B2 R2
U' R' U R' D2 R2 B2
U' R' U R' D2 B2 R2
U' R' U R2 D2 R2 B2
U' R' U R2 D2 B2 R2
R' U' F2 L2 U F2 U
R' U' F2 L2 U2 D' L2
R' U' F2 L2 D R2 U2
R' U' F2 L2 D' U2 L2
U' R' U D2 R B2 R
U' R' U D2 R2 B2 D
U' R' U D2 R2 B2 D'
U' R' U D2 R2 B2 D2
U' R' U D2 B' R2 B'
U' R' U D2 B2 R2 D
U' R' U D2 B2 R2 D'
U' R' U D2 B2 R2 D2
D R' U R' F2 U' F2
U' R' U B D2 R2 B2
U' R' U B D2 B2 R2
U2 R' U D2 R2 B2 L
U' R' U B' D2 R2 B2
U' R' U B' D2 B2 R2
U' R' U B2 D2 R2 B2
U' R' U B2 D2 B2 R2
U' R' U' L F2 L U2
U R' U L2 F2 U2 F2
U' R' U' L' F2 U2 R
U' R' U' L2 U2 D2 B2
U' R' U' L2 D2 U2 B2
U' R' U' L2 F2 U2 D
U' R' U' L2 F2 U2 D'
U' R' U' L2 F2 U2 D2
U' R' U' L2 F2 D U2
U' R' U' L2 F2 D' U2
U' R' U' L2 F2 D2 U2
D R' U F2 R' U' F2
U2 R' U' L2 R F2 U2
U2 R' U' L2 F2 U2 L'
U2 R' U' R L2 F2 U2
U2 R' U' R F2 L2 U2
U' R' U' F L2 U2 B'
U R' U F2 L2 U2 F2
U' R' U' F' L2 F' U2
U' R' U' F2 L2 U2 D
U' R' U' F2 L2 U2 D'
U' R' U' F2 L2 U2 D2
U' R' U' F2 L2 D U2
U' R' U' F2 L2 D' U2
U' R' U' F2 L2 D2 U2
U' R' U' F2 U2 D2 R2
U' R' U' F2 D2 U2 R2
U2 R' U' F2 L2 U2 L
U R' U' L2 F2 U2 L2
U' R' U2 D R2 F2 U'
U' R' U2 D F2 R2 U'
U R' U' F2 L2 U2 L2
D R' U2 R' F2 U' L'
D2 R' D L2 U L2 R'
D2 R' D L2 U R' L2
U' R' D U2 R2 F2 U'
U' R' D U2 F2 R2 U'
U' R' D' L' B2 L' U
U' R' D' L2 U D' R2
U' R' D' L2 D' U R2
U' R' D' L2 B2 U D
U' R' D' L2 B2 U D'
U' R' D' L2 B2 U D2
U' R' D' L2 B2 D U
U' R' D' L2 B2 D' U
U' R' D' L2 B2 D2 U
D' R' D' R2 B2 D' F2
U' R' D' B L2 B U
D' R' D' B2 R2 D' F2
U' R' D' B2 L2 U D
U' R' D' B2 L2 U D'
U' R' D' B2 L2 U D2
U' R' D' B2 L2 D U
U' R' D' B2 L2 D' U
U' R' D' B2 L2 D2 U
U' R' D' B2 U D' B2
U' R' D' B2 D' U B2
U' R' D2 L U R2 B2
U' R' D2 L U B2 R2
U' R' D2 L' U R2 B2
U' R' D2 L' U B2 R2
U' R' D2 L2 U R2 B2
U' R' D2 L2 U B2 R2
U' R' D2 U R B2 R
U' R' D2 U R2 B2 D
U' R' D2 U R2 B2 D'
U' R' D2 U R2 B2 D2
U' R' D2 U B' R2 B'
U' R' D2 U B2 R2 D
U' R' D2 U B2 R2 D'
U' R' D2 U B2 R2 D2
U2 R' D2 U R2 B2 L
U' R' D2 B U B R2
U' R' D2 B' U R2 B'
U' R' D2 B' U B' R2
D' R' F L2 B2 U L2
D R' D2 B2 L U L'
D' R' F B2 L2 U L2
R' U2 L2 F2 U' L2 U'
R' U2 L2 F2 U2 D F2
R' U2 L2 F2 D U2 F2
R' U2 L2 F2 D' B2 U2
D' R' F' L2 B2 U L2
R2 U2 L2 F2 U' L' U'
D' R' F' B2 L2 U L2
D' R' F2 L2 B2 U L2
R U2 L2 F2 U R2 U
R U2 L2 F2 U2 D' F2
R U2 L2 F2 D B2 U2
R U2 L2 F2 D' U2 F2
D' R' F2 B2 L2 U L2
D' R' B L2 B U L2
U' R' B U D2 R2 B2
U' R' B U D2 B2 R2
U' R' B U' L2 F2 U2
U' R' B U' F2 L2 U2
U' R' B D' L2 B2 U
U' R' B D' B2 L2 U
U' R' B D2 U R2 B2
U' R' B D2 U B2 R2
U' R' B' U D2 R2 B2
U' R' B' U D2 B2 R2
U' R' B' U' L2 F2 U2
U' R' B' U' F2 L2 U2
U' R' B' D' L2 B2 U
U' R' B' D' B2 L2 U
U' R' B' D2 U R2 B2
U' R' B' D2 U B2 R2
D' R' B2 L2 U L2 D
D' R' B2 L2 U L2 D'
D' R' B2 L2 U L2 D2
D' R' B2 L2 D F2 U
D' R' B2 L2 F U L2
D' R' B2 L2 F' U L2
D' R' B2 L2 F2 U L2
U' R' B2 U D2 R2 B2
U' R' B2 U D2 B2 R2
U' R' B2 U' L2 F2 U2
U' R' B2 U' F2 L2 U2
U' R' B2 D' L2 B2 U
U' R' B2 D' B2 L2 U
D' R' B2 F L2 U L2
U' R' B2 D2 U R2 B2
U' R' B2 D2 U B2 R2
D' R' B2 F' L2 U L2
D' R' B2 F2 L2 U L2
F2 R2 L2 U R U L2
D R2 L' F2 L' U' L2
D' R2 L2 B2 R U L2
D R2 L2 F2 L' U' L'
R' U2 F2 L2 U' L2 U'
R' U2 F2 L2 U2 D F2
R' U2 F2 L2 D U2 F2
R' U2 F2 L2 D' B2 U2
D2 R2 U' L R U B2
D2 R2 U' L' R U B2
D2 R2 U' L2 R U B2
D' R2 U' L2 R B2 U
D2 R2 U' R L U B2
D2 R2 U' R L' U B2
D2 R2 U' R L2 U B2
D2 R2 U' R U B2 D
D2 R2 U' R U B2 D'
D2 R2 U' R U B2 D2
D' R2 U' L2 B2 R U
D2 R2 U' R D L2 U
D' R2 U' R L2 B2 U
D' R2 U' R B2 L2 U
R2 U2 F2 L2 U' L U'
D2 R2 U' D L2 R U
D2 R2 U' D R L2 U
R U2 F2 L2 U R2 U
R U2 F2 L2 U2 D' F2
R U2 F2 L2 D B2 U2
R U2 F2 L2 D' U2 F2
D' R2 U' B2 L2 R U
D' R2 U' B2 R L2 U
D2 R2 D U' L2 R U
D2 R2 D U' R L2 U
U' R2 D' L2 R B2 U
U' R2 D' L2 B2 R U
U' R2 D' R L2 B2 U
U' R2 D' R B2 L2 U
U R2 D F2 L' R2 U'
U R2 D F2 R2 L' U'
U' R2 D' B2 L2 R U
U' R2 D' B2 R L2 U
U' R2 D2 R U R B2
U' R2 D2 R U B2 R
D2 R2 F2 U L' U' B2
D R2 F2 L' U' L D
D R2 F2 L' U' L D'
D R2 F2 L' U' L D2
D R2 F2 L' U' D L
D R2 F2 L' U' D' L
D R2 F2 L' U' D2 L
D R2 F2 L' D U' L
D R2 F2 L' D' U' L
D R2 F2 L' D2 U' L
D2 R2 F2 B2 U L' U'
D R2 F2 D L' U' L
D R2 F2 D' L' U' L
D R2 F2 D2 L' U' L
D R2 F2 B L' U' L
D R2 F2 B' L' U' L
D R2 F2 B2 L' U' L
D2 R2 B' U' R U B'
R' D U R2 F2 U' F2
D R2 B F2 L' U' L
R' D U F2 R2 U' F2
D' R2 B2 L2 R U L2
D' R2 B2 R L2 U L2
D2 R2 B2 R' D' R F2
D2 R2 B2 U' R U D
D2 R2 B2 U' R U D'
D2 R2 B2 U' R U D2
D2 R2 B2 U' R D U
D2 R2 B2 U' R D' U
D2 R2 B2 U' R D2 U
D2 R2 B2 U' D R U
D2 R2 B2 U' D' R U
D2 R2 B2 U' D2 R U
D2 R2 B2 D U' R U
D2 R2 B2 D' U' R U
D2 R2 B2 D2 U' R U
R2 D U F2 L' R2 U'
D R2 B' F2 L' U' L
R2 D U F2 R2 L' U'
D2 R2 B2 F2 U L' U'
B2 U L U L F2 U2
B2 U L U F2 L U2
B2 U L U' D2 B2 R'
D R2 B2 F2 L' U' L
B2 U L D2 U' B2 R'
D U L R2 F2 L' U'
U D L R2 F2 L' U'
D U L' R2 F2 L' U'
U D L' R2 F2 L' U'
D U L2 R2 F2 L' U'
U D L2 R2 F2 L' U'
R2 D F2 L' R2 U' L
R2 D F2 R2 L' U' L
U' D R' U2 R' F2 U'
U' D R' U2 F2 R' U'
U' D R' D2 B2 L U
F2 U R' U' L2 U2 L2
D U R2 L F2 L' U'
D U R2 L' F2 L' U'
D U R2 L2 F2 L' U'
R D B D R2 F' B2
R D B D R2 B2 F'
B2 U D L R2 F2 U'
B2 U D L F2 R2 U'
U D R2 L F2 L' U'
U D R2 L' F2 L' U'
U D R2 L2 F2 L' U'
B2 U D R2 L F2 U'
D U R2 F2 L' U' D
D U R2 F2 L' U' D'
D U R2 F2 L' U' D2
D U R2 F2 L' D U'
D U R2 F2 L' D' U'
D U R2 F2 L' D2 U'
B2 U D R2 F2 L U'
D U R2 F2 D L' U'
D U R2 F2 D' L' U'
D U R2 F2 D2 L' U'
B2 U D F2 L R2 U'
B2 U D F2 R2 L U'
U D R2 F2 L' U' D
U D R2 F2 L' U' D'
U D R2 F2 L' U' D2
U D R2 F2 L' D U'
U D R2 F2 L' D' U'
U D R2 F2 L' D2 U'
U D R2 F2 D L' U'
U D R2 F2 D' L' U'
U D R2 F2 D2 L' U'
R D B' D B2 R2 F'
B2 U D2 L U' R2 B2
B2 U D2 L U' B2 R2
R' D' L2 U L2 D' R2
D U F2 R2 U2 R U
R' D' L2 F B2 U L2
R' D' L2 F' B2 U L2
R' D' L2 F2 B2 U L2
U D F2 R2 U2 R U
R' D' L2 B2 U L2 D
R' D' L2 B2 U L2 D'
R' D' L2 B2 U L2 D2
R' D' L2 B2 D F2 U
R' D' L2 B2 F U L2
R' D' L2 B2 F' U L2
R' D' L2 B2 F2 U L2
R2 D' L2 R B2 U L2
R2 D' L2 B2 R U L2
R2 D' R L2 B2 U L2
R D' L2 B2 U L2 F2
R D' L2 B2 U F2 L2
R2 D' R B2 L2 U L2
D2 U' L R' U R' B2
R' D' R2 D' R2 F2 B2
R' D' R2 D' R2 B2 F2
R2 D' R' D' R2 F2 B2
R2 D' R' D' R2 B2 F2
R' D' R2 D' F2 R2 B2
R' D' R2 D' F2 B2 R2
R2 D' R' D' F2 R2 B2
R2 D' R' D' F2 B2 R2
R' D' R2 D' B2 R2 F2
R' D' R2 D' B2 F2 R2
R2 D' R' D' B2 R2 F2
R2 D' R' D' B2 F2 R2
R D' R F2 D' R2 B2
R D' R F2 D' B2 R2
U' D' L' R' B2 L' U
D' U' L' R' B2 L' U
D2 U' L' R' U R' B2
R D' R' F2 D' R2 B2
R D' R' F2 D' B2 R2
U' D' L2 R B2 R2 U
D' U' L2 R B2 R2 U
U' D' L2 R' U D' R2
D' U' L2 R' U D' R2
U' D' L2 R' D' U R2
D' U' L2 R' D' U R2
U' D' L2 R' B2 U D
U' D' L2 R' B2 U D'
U' D' L2 R' B2 U D2
D' U' L2 R' B2 U D
D' U' L2 R' B2 U D'
D' U' L2 R' B2 U D2
U' D' L2 R' B2 D U
U' D' L2 R' B2 D' U
D' U' L2 R' B2 D U
U' D' L2 R' B2 D2 U
D' U' L2 R' B2 D' U
D' U' L2 R' B2 D2 U
D2 U' L2 R' U R' B2
D' U' L2 R2 B2 R U
U' D' L2 R2 B2 R U
R D' R2 F2 D' R2 B2
R D' R2 F2 D' B2 R2
U' D' L2 D' R' U R'
D' U' L2 D' R' U R'
R2 D' U' L2 R B2 U
R2 D' U' L2 B2 R U
R2 D' U' R L2 B2 U
U' D' L2 B2 U2 L U'
D' U' L2 B2 U2 L U'
R2 D' U' R B2 L2 U
U' D' R L2 B2 R2 U
D' U' R L2 B2 R2 U
R2 D' U' B2 L2 R U
R2 D' U' B2 R L2 U
R' D' F L2 B2 U L2
R D' U' L2 B2 U F2
D' U' R B2 L2 R2 U
U' D' R B2 L2 R2 U
D' U' R B2 R2 L2 U
U' D' R B2 R2 L2 U
U' D' R' L' B2 L' U
D' U' R' L' B2 L' U
U' D' R' L2 U D' R2
D' U' R' L2 U D' R2
D2 U' R' L U R' B2
D2 U' R' L U R' B2
U' D' R' L2 D' U R2
D' U' R' L2 D' U R2
U' D' R' L2 B2 U D
U' D' R' L2 B2 U D'
U' D' R' L2 B2 U D2
U' D' R' L2 B2 D U
U' D' R' L2 B2 D' U
U' D' R' L2 B2 D2 U
D' U' R' L2 B2 U D
D' U' R' L2 B2 U D'
D' U' R' L2 B2 U D2
D' U' R' L2 B2 D U
D' U' R' L2 B2 D' U
D' U' R' L2 B2 D2 U
