U F' L' B' U' B
U2 L F' B U' L F2
U2 L F' B U' F2 L
U2 L B F' U' L F2
U2 L B F' U' F2 L
L2 R' D' F' L' R B2
L2 R' D' F' L' B2 R
L2 R' D' F' R L' B2
L2 R' D' F' R B2 L'
L2 R' D' F' B2 L' R
L2 R' D' F' B2 R L'
L2 R' D' B2 F' L' R
L2 R' D' B2 F' R L'
U L' F' B' L' U' B
U L' B' F' L' U' B
R' L2 D' F' L' R B2
R' L2 D' F' L' B2 R
R' L2 D' F' R L' B2
R' L2 D' F' R B2 L'
R' L2 D' F' B2 L' R
R' L2 D' F' B2 R L'
R' L2 D' B2 F' L' R
R' L2 D' B2 F' R L'
F' L2 U2 L2 U L' F
F' R U B U2 B' L'
F' R' U' L F' L2 B'
F2 R' U2 F U' L' F2
F R' D2 B2 U L2 F'
F R' D2 B2 U F' L2
R2 D F' B R' U L'
R2 D B R' F' U L'
R2 D B F' R' U L'
D' U F' L' B' U' B
D2 U F' L' B' U' B
D U F' L' B' U' B
U D F' L' B' U' B
B' U F' L' B' U' B
B2 U F' L' B' U' B
B U F' L' B' U' B
R' D' F U F2 L' R
R' D' F U F2 R L'
R2 D' F' B R U L'
R2 D' B F' R U L'
U D' F' L' B' U' B
F U2 L F2 U' L' F'
U D2 F' L' B' U' B
R2 D2 F' B U L' F
F U2 L2 F2 U' L' F
R2 D2 B F' U L' F
F2 U2 F L U' F L2
F U2 F2 L U' F L2
R F U' B L R U2
R F U' B R L U2
R2 F B U' R U2 F'
U2 F' L B U' F L
U F' L' R B' U' B
U F' L' R' B' U' B
U F' L' R2 B' U' B
U F' L' D B' U' B
U F' L' D' B' U' B
U F' L' D2 B' U' B
U F' L' B' U' D B
U F' L' B' U' D' B
U F' L' B' U' D2 B
U F' L' B' U' B D
U F' L' B' U' B D'
U F' L' B' U' B D2
U F' L' B' D U' B
U F' L' B' D' U' B
U F' L' B' D2 U' B
U F' R L' B' U' B
U F' R' L' B' U' B
U' F' U F R B U2
U F' R2 L' B' U' B
L' F' U2 L U F L2
R F' U' B L U2 L2
R2 F' D B R' U L'
U F' D L' B' U' B
U F' D' L' B' U' B
U2 F' B L' U' L2 F
U2 F' B L2 U' L' F
R2 F' D2 B U L' F
U F' D2 L' B' U' B
R2 F' B R U L' F'
R2 F' B U D2 L' F
R2 F' B D2 U L' F
L' F' B2 R' U' L' F'
U F' B' L' B' U' B2
U F' B2 L' B' U' B'
R' F2 R' B U F L'
R' F2 R2 U F L' R
R' F2 R2 U F R L'
U2 B L' F' U' L2 F
R2 B R F U F2 L'
R2 B R F2 U F L'
R2 B D' F' R U L'
R2 B D2 F' U L' F
U2 B F' L' U' L2 F
R2 B F U' R U2 F'
U2 B F' L2 U' L' F
R2 B F' R U L' F'
R2 B F' U D2 L' F
R2 B F' D2 U L' F
U B' F' L' B' U' B2
L' B2 F' R' U' L' F'
U B2 F' L' B' U' B'
