R U F2 L' B'
L' R U F2 L' B'
L R U F2 L' B'
L2 R U F2 L' B'
R L U F2 L' B'
R L' U F2 L' B'
F' L' U D2 L2 F'
F' L' U D2 F' L2
F' L' U F' D2 L2
F' L' U' R2 B U2
F' L' D' F2 U F
F' L' D2 U L2 F'
F' L' D2 U F' L2
U L' D2 B' L2 F
R L2 U F2 L' B'
U L' F2 D2 B' L2
U L' F2 B' D2 L2
U L' B' F2 D2 L2
R U L' F2 B' L'
R U L' B' F2 L'
R U F2 L' D B'
R U F2 L' D' B'
R U F2 L' D2 B'
R U F2 L' B' D
R U F2 L' B' D'
R U F2 L' B' D2
R U F2 D L' B'
R U F2 D' L' B'
R U F2 D2 L' B'
U2 R U' F2 L' B'
R U F2 B L' B'
R U F2 B' L' B'
R U F2 B2 L' B'
U' R U2 F2 L' B
U' R U2 F2 B L'
U' R U2 B F2 L'
R U B F2 L' B'
R U B' F2 L' B'
R U B2 F2 L' B'
R' U' R' F' U2 F'
U R F2 L' R' B'
R U' R U2 F2 B
R U' R U2 B F2
U R F2 R' L' B'
F' D' L' F2 U F
U F2 L D2 L2 B'
U F2 L' D2 B' L2
U F2 L' B' D2 L2
F D' F2 L' U F'
F' D2 L' U L' F'
U F2 D2 L' B' L'
L' R U L' F2 B' L'
L' R U L' B' F2 L'
U2 L R U' F2 L' B'
L2 R U L' F2 B' L'
L2 R U L' B' F2 L'
L R U L' F2 B' L'
L R U L' B' F2 L'
R L U L' F2 B' L'
R L U L' B' F2 L'
U' L R F2 L' B R
L' R U F2 L' D B'
L' R U F2 L' D' B'
L' R U F2 L' D2 B'
L' R U F2 L' B' D
L' R U F2 L' B' D'
L' R U F2 L' B' D2
L' R U F2 D L' B'
U' L R F2 B L' R
U' L R F2 B R L'
L' R U F2 D' L' B'
L' R U F2 D2 L' B'
L' R U F2 B L' B'
L' R U F2 B' L' B'
L' R U F2 B2 L' B'
U' L R B F2 L' R
U' L R B F2 R L'
L' R U B F2 L' B'
L' R U B' F2 L' B'
L2 R U F2 L' D B'
L2 R U F2 L' D' B'
L2 R U F2 L' D2 B'
L2 R U F2 L' B' D
L2 R U F2 L' B' D'
L2 R U F2 L' B' D2
L R U F2 L' D B'
L R U F2 L' D' B'
L R U F2 L' D2 B'
L R U F2 L' B' D
L R U F2 L' B' D'
L R U F2 L' B' D2
L2 R U F2 D L' B'
L' R U B2 F2 L' B'
L2 R U F2 D' L' B'
L2 R U F2 D2 L' B'
L2 R U F2 B L' B'
L R U F2 D L' B'
L2 R U F2 B' L' B'
L R U F2 D' L' B'
L2 R U F2 B2 L' B'
L R U F2 D2 L' B'
L R U F2 B L' B'
L R U F2 B' L' B'
L R U F2 B2 L' B'
L2 R U B F2 L' B'
L R U B F2 L' B'
L2 R U B' F2 L' B'
R L U F2 L' D B'
R L U F2 L' D' B'
R L U F2 L' D2 B'
R L U F2 L' B' D
R L U F2 L' B' D'
R L U F2 L' B' D2
L R U B' F2 L' B'
R L U F2 D L' B'
R L U F2 D' L' B'
R L U F2 D2 L' B'
R L U F2 B L' B'
R L U F2 B' L' B'
R L U F2 B2 L' B'
L2 R U B2 F2 L' B'
L' R U' R U2 F2 B
L' R U' R U2 B F2
L R U B2 F2 L' B'
R L U B F2 L' B'
R L U B' F2 L' B'
R' L U' R' F' U2 F'
R L U B2 F2 L' B'
L2 R U' R U2 F2 B
L2 R U' R U2 B F2
L R U' R U2 F2 B
L R U' R U2 B F2
R L U' R U2 F2 B
R L U' R U2 B F2
U L R2 U2 F2 R2 B
U L R2 F U2 R2 F
U L R2 F U2 F R2
D2 L U L' B' L2 F
D2 L U' B2 R' F' U2
U L U2 R2 F U2 F
U L U2 F R2 U2 F
F' L D' F2 U F B2
F' L D' F2 U B2 F
U L D2 L2 D2 F2 B'
U L D2 L2 D2 B' F2
U L D2 B' L2 F B'
U L D2 B' L2 B' F
U L F R2 U2 R2 F
U L F R2 U2 F R2
U L F' D2 L2 F' B2
U L F' D2 L2 B2 F'
U L F' D2 F' L2 B2
U L F' D2 F' B2 L2
U L F' D2 B2 L2 F'
U L F' D2 B2 F' L2
U' L F2 D2 L2 R B
U' L F2 D2 R L2 B
U' L F2 D2 R B L2
U L F2 U2 R2 U2 B
U L F2 U2 F' R2 U2
R L' U L' F2 B' L'
R L' U L' B' F2 L'
R L' U F2 L' D B'
R L' U F2 L' D' B'
R L' U F2 L' D2 B'
R L' U F2 L' B' D
R L' U F2 L' B' D'
R L' U F2 L' B' D2
R L' U F2 D L' B'
R L' U F2 D' L' B'
R L' U F2 D2 L' B'
R L' U F2 B L' B'
R L' U F2 B' L' B'
R L' U F2 B2 L' B'
R L' U B F2 L' B'
R L' U B' F2 L' B'
R L' U B2 F2 L' B'
R' L' U' R' F' U2 F'
L' R' U' R' F' U2 F'
L R' U' R' F' U2 F'
R L' U' R U2 F2 B
R L' U' R U2 B F2
L2 R' U' R' F' U2 F'
U2 L' R U' F2 L' B'
F' L' R' U' R' B U2
U L' R F2 R' B' L'
U L' R2 U2 R2 F2 B'
U L' R2 U2 R2 B' F2
U L' R2 U2 F2 R2 B'
U L' R2 U2 F2 B' R2
U L' R2 U2 B' R2 F2
U L' R2 U2 B' F2 R2
F' L' U L D2 L2 F'
F' L' U L D2 F' L2
D2 L' U L' D2 F2 B'
D2 L' U L' D2 B' F2
F' L' U L F' D2 L2
F' L' U L' D2 L2 F'
F' L' U L' D2 F' L2
F' L' U L' F' D2 L2
F' L' U L2 D2 L2 F'
F' L' U L2 D2 F' L2
F' L' U L2 F' D2 L2
F' L' U D F' D L2
D2 L' U D2 L' F2 B'
D2 L' U D2 L' B' F2
F' L' U D2 L F' L
F' L' U D2 L2 D F'
F' L' U D2 L2 D' F'
F' L' U D2 L2 D2 F'
F' L' U D2 L2 F' D
F' L' U D2 L2 F' D'
F' L' U D2 L2 F' D2
F' L' U D2 F L2 F2
F' L' U D2 F' L2 D
F' L' U D2 F' L2 D'
F' L' U D2 F' L2 D2
F' L' U F' L D2 L2
F' L' U F' L' D2 L2
F' L' U F' L2 D2 L2
F' L' U F' U2 R2 U2
F' L' U F' D2 L2 D
F' L' U F' D2 L2 D'
F' L' U F' D2 L2 D2
F' L' U F2 D2 F L2
F' L' U' R2 D B U2
F' L' U' R2 D' B U2
F' L' U' R2 D2 B U2
F' L' U' R2 B U2 D
F' L' U' R2 B U2 D'
F' L' U' R2 B U2 D2
F' L' U' R2 B D U2
F' L' U' R2 B D' U2
F' L' U' R2 B D2 U2
F' L' U' B R2 B U2
F' L' U' B' R2 B U2
D2 L' U' B2 U2 L' B'
F' L' U' B2 R2 B U2
F' L' U2 D B2 U' F'
U L' U2 R2 U2 F2 B'
U L' U2 R2 U2 B' F2
F' L' D U F' D L2
F' L' D U2 B2 U' F'
D2 L' D' R2 U L' B'
F' L' D' F2 R U F
F' L' D' F2 R' U F
F' L' D' F2 R2 U F
F' L' D' F2 U D F
F' L' D' F2 U D' F
F' L' D' F2 U D2 F
F' L' D' F2 U F D
F' L' D' F2 U F D'
F' L' D' F2 U F D2
F' L' D' F2 D U F
F' L' D' F2 D' U F
F' L' D' F2 D2 U F
D2 L' D2 U L' F2 B'
D2 L' D2 U L' B' F2
F' L' D2 U L F' L
F' L' D2 U L2 D F'
F' L' D2 U L2 D' F'
F' L' D2 U L2 D2 F'
F' L' D2 U L2 F' D
F' L' D2 U L2 F' D'
F' L' D2 U L2 F' D2
F' L' D2 U F L2 F2
F' L' D2 U F' L2 D
F' L' D2 U F' L2 D'
F' L' D2 U F' L2 D2
F' L' D2 F U L2 F2
F' L' D2 F U F2 L2
F' L' D2 F2 U F L2
U L' D2 F B' L2 F
U L' D2 F' B' L2 F
F' L' F R U F2 L'
U L' D2 F2 B' L2 F
U L' D2 B' L2 D F
U L' D2 B' L2 D' F
U L' D2 B' L2 D2 F
U L' D2 B' L2 F D
U L' D2 B' L2 F D'
U L' D2 B' L2 F D2
U L' D2 B' F L2 F
U L' D2 B' F' L2 F
U L' D2 B' F2 L2 F
F' L' F U F2 D2 L2
F' L' F U' R2 U2 F2
D' L' F' L' F' R U
U L' F D2 F B' L2
U L' F D2 B' F L2
U L' F B' D2 F L2
R L2 U L' F2 B' L'
R L2 U L' B' F2 L'
F' L' F' D' F2 U F2
R L2 U F2 L' D B'
R L2 U F2 L' D' B'
R L2 U F2 L' D2 B'
R L2 U F2 L' B' D
R L2 U F2 L' B' D'
R L2 U F2 L' B' D2
R L2 U F2 D L' B'
R L2 U F2 D' L' B'
R L2 U F2 D2 L' B'
R L2 U F2 B L' B'
R L2 U F2 B' L' B'
R' L2 U' R' F' U2 F'
R L2 U F2 B2 L' B'
R L2 U B F2 L' B'
R L2 U B' F2 L' B'
U L' F' D2 F' B' L2
U L' F' D2 B' L2 F'
U L' F' D2 B' F' L2
R L2 U B2 F2 L' B'
U L' F' B' D2 L2 F'
U L' F' B' D2 F' L2
F' L' F2 U D2 F L2
F' L' F2 U F D2 L2
F' L' F2 U' R2 U2 F
R L2 U' R U2 F2 B
R L2 U' R U2 B F2
U L' F2 L2 D2 L2 B'
F' L' F2 D' F2 U F'
F' L' F2 D2 U F L2
U L' F2 U2 R2 U2 B'
U L' F2 D' B' D' L2
U L' F2 D2 B L2 B2
U L' F2 D2 B' L2 D
U L' F2 D2 B' L2 D'
U L' F2 D2 B' L2 D2
U L' F2 D2 B2 L2 B
U L' F2 B' L D2 L2
U L' F2 B' L' D2 L2
U L' F2 B' L2 D2 L2
U L' F2 B' U2 R2 U2
U L' F2 B' D2 L2 D
U L' F2 B' D2 L2 D'
U L' F2 B' D2 L2 D2
U L' F2 B2 D2 L2 B
U L' F2 B2 D2 B L2
U L' B' L F2 D2 L2
U L' B' L' F2 D2 L2
U L' B' L2 F2 D2 L2
U L' B' R F2 L' R'
U L' B' R F2 R' L'
U L' B' U2 R2 U2 F2
U L' B' D2 L2 D2 F2
U L' B' F D2 F L2
U L' B' F' D2 L2 F'
U L' B' F' D2 F' L2
U L' B' F2 L D2 L2
U L' B' F2 L' D2 L2
U L' B' F2 L2 D2 L2
U L' B' F2 U2 R2 U2
U L' B' F2 D2 L2 D
U L' B' F2 D2 L2 D'
U L' B' F2 D2 L2 D2
U2 L2 R U' F2 L' B'
U L' B2 F2 D2 L2 B
U L' B2 F2 D2 B L2
F' L2 D' L F2 U F
F' L2 D2 L U L F'
F' L2 D2 L U F' L
L' U L' D2 B' L2 F
R' U L' F2 B2 L B
L' U L' F2 D2 B' L2
L' U L' F2 B' D2 L2
R' U L' B2 L F2 B
R' U L' B2 L B F2
L' U L' B' F2 D2 L2
R' U L' B2 F2 L B
L2 U L' D2 B' L2 F
L U L' D2 B' L2 F
L2 U L' F2 D2 B' L2
L2 U L' F2 B' D2 L2
R2 U L' F2 D' B' L2
R2 U L' F2 B' D' L2
L2 U L' B' F2 D2 L2
L U L' F2 D2 B' L2
L U L' F2 B' D2 L2
R2 U L' B' F2 D' L2
R U L' F2 D B' L'
L U L' B' F2 D2 L2
R U L' F2 D' B' L'
R U L' F2 D2 B' L'
R U L' F2 B L' B2
R U L' F2 B' L' D
R U L' F2 B' L' D'
R U L' F2 B' L' D2
R U L' F2 B' D L'
R U L' F2 B' D' L'
R U L' F2 B' D2 L'
R U L' F2 B2 L' B
R U L' B F2 L' B2
R U L' B' L F2 L'
R U L' B' L' F2 L'
R U L' B' L2 F2 L'
R U L' B' F2 L' D
R U L' B' F2 L' D'
R U L' B' F2 L' D2
R U L' B' F2 D L'
R U L' B' F2 D' L'
R U L' B' F2 D2 L'
R' U L2 F2 B2 L B'
R U L' B2 F2 L' B
R' U L2 B2 L F2 B'
R' U L2 B2 L B' F2
R' U L2 B2 F2 L B'
R U L2 F2 L B' L2
L' U R F2 L' R' B'
L' U R F2 R' L' B'
L2 U R F2 L' R' B'
L2 U R F2 R' L' B'
R' U R' U2 R F2 B
R' U R' U2 R B F2
U L2 F2 L D2 B' L2
L U R F2 L' R' B'
L U R F2 R' L' B'
U L2 F2 L B' D2 L2
U L2 F2 L' D2 L2 B'
R' U R2 F2 L' R2 B'
R' U R2 F2 L' B' R2
R' U R2 F2 R2 L' B'
U2 R L U' F2 L' B'
U' R L F2 L' B R
U' R L F2 B L' R
U' R L F2 B R L'
U' R L B F2 L' R
U' R L B F2 R L'
U2 R L' U' F2 L' B'
U2 R L2 U' F2 L' B'
U R L' F2 R' B' L'
R U F' L' F' B' L'
R U F' L' B' F' L'
U2 R U R U2 F2 B
U2 R U R U2 B F2
L' U F2 L D2 L2 B'
R' U F2 L' B2 L B
L' U F2 L' D2 B' L2
R' U F2 L2 B2 L B'
L' U F2 L' B' D2 L2
F R U R U2 R' F
F R U R U2 F R'
L2 U F2 L D2 L2 B'
R U F' D F' L' B'
L2 U F2 L' D2 B' L2
R' U F2 U2 R' F' U2
L2 U F2 L' B' D2 L2
R2 U F2 L D' L2 B'
R U F' D' F' L' B'
R2 U F2 L' D' B' L2
R U F' D2 F' L' B'
R2 U F2 L' B' D' L2
L U F2 L D2 L2 B'
L' U F2 D2 L' B' L'
L U F2 L' D2 B' L2
R' U F2 B' L' B' L
L U F2 L' B' D2 L2
R U F2 L B L2 B'
R' U F2 B2 L' B' L2
R U F2 L B' L2 B'
R U F2 L B2 L2 B'
R U F2 L' R' B' R
R U F2 L' R2 B' R2
R U F2 L' D B' D
R U F2 L' D B' D'
R U F2 L' D B' D2
R U F2 L' D' B' D
R U F2 L' D' B' D'
R U F2 L' D' B' D2
R U F2 L' D2 B' D
R U F2 L' D2 B' D'
R U F2 L' D2 B' D2
U2 R U' L' F2 B' L'
R U F2 L' B2 D B
R U F2 L' B2 D' B
R U F2 L' B2 D2 B
U2 R U' L' B' F2 L'
R U F2 R' L' B' R
L2 U F2 D2 L' B' L'
R U F2 R2 L' B' R2
R2 U F2 D' L' B' L'
R U F2 D L' D B'
R U F2 D L' D' B'
R U F2 D L' D2 B'
R U F2 D L' B' D
R U F2 D L' B' D'
R U F2 D L' B' D2
L U F2 D2 L' B' L'
R U F2 D B L' B'
R U F2 D B' L' B'
R U F2 D B2 L' B'
R U F2 D' L' D B'
R U F2 D' L' D' B'
