L' R U' R' F U'
L' R U' F R' U'
R L' U' R' F U'
R L' U' F R' U'
D2 R U' F' R' U'
R U B2 L B' U
D2 L R U' F' R' U'
U L R U R' B' U
L R U B2 L B U
L' R U' R F R2 U'
L' R U' R' D F U'
L' R U' R' D' F U'
L' R U' R' D2 F U'
L' R U' R' F U' D
L' R U' R' F U' D'
L' R U' R' F U' D2
L' R U' R' F D U'
L' R U' R' F D' U'
L' R U' R' F D2 U'
R L U B2 L B U
L' R U' D R' F U'
L' R U' D F R' U'
L' R U' D' R' F U'
L' R U' D' F R' U'
L R U' R' U2 B' U
L2 R U' R' F U' R
L' R U' D2 R' F U'
L' R U' D2 F R' U'
L' R U' F R' U' D
L' R U' F R' U' D'
L' R U' F R' U' D2
L' R U' F R' D U'
L' R U' F R' D' U'
L' R U' F R' D2 U'
L' R U' F D R' U'
L' R U' F D' R' U'
L' R U' F D2 R' U'
L' R U' F' R' F2 U'
R L U' R' U2 B' U
L2 R U' F R' U' R2
L' R D U' R' F U'
L' R D U' F R' U'
L' R D' U' R' F U'
L' R D' U' F R' U'
L' R D2 U' R' F U'
L' R D2 U' F R' U'
L' R F U' R' U' R
L' R F' U' R' F2 U'
L' R F' U' F2 R' U'
L' R F2 U' F' R' U'
R L' U' R F R2 U'
R L' U' R' D F U'
R L' U' R' D' F U'
R L' U' R' D2 F U'
R L' U' R' F U' D
R L' U' R' F U' D'
R L' U' R' F U' D2
R L' U' R' F D U'
R L' U' R' F D' U'
R L' U' R' F D2 U'
R L' U' D R' F U'
R L' U' D F R' U'
R L' U' D' R' F U'
R L' U' D' F R' U'
R L' U' D2 R' F U'
R L' U' D2 F R' U'
R L' U' F R' U' D
R L' U' F R' U' D'
R L' U' F R' U' D2
R L' U' F R' D U'
R L' U' F R' D' U'
R L' U' F R' D2 U'
R L' U' F D R' U'
R L' U' F D' R' U'
R L' U' F D2 R' U'
R L' U' F' R' F2 U'
D2 L' R U' F' R' U'
R L' D U' R' F U'
R L' D U' F R' U'
R L' D' U' R' F U'
R L' D' U' F R' U'
R L' D2 U' R' F U'
R L' D2 U' F R' U'
R L' F U' R' U' R
R L' F' U' R' F2 U'
R L' F' U' F2 R' U'
R L' F2 U' F' R' U'
B2 L' D2 F U' F L'
B L' F L' U' F L'
B L' F U' L' F L'
B L' F U' F L' F
