D R F' U B2 R'
D L U R F' U B2
D' L F2 U' B' L' U'
L U D R F' U B2
D R F' U R B2 R'
D R F' U R' B2 R'
D R F' U R2 B2 R'
D R F' U B2 R' D
D R F' U B2 R' D'
D R F' U B2 R' D2
D R F' U B2 D R'
D R F' U B2 D' R'
D R F' U B2 D2 R'
D R F' U' L U2 B2
D R F' B U B R'
D R B F' U B R'
F' R2 U L R' U2 F
F' R2 U R' L U2 F
F' R2 B2 U' L R' F'
F' R2 B2 U' R' L F'
F' R2 B2 U' R' F' L
L D U R F' U B2
U' D R F' U B2 R'
U2 D R F' U B2 R'
D U R F' U B2 R'
U D R F' U B2 R'
D U' R F' U B2 R'
D U2 R F' U B2 R'
B2 D R F' U R2 B2
B2 D R F' U B2 R2
F D R B2 L' F' R'
R2 F B2 L U' L2 R'
R2 F B2 L U' R' L2
F D R2 B2 L' R' F'
F D R2 B2 R' L' F'
F D B2 L' R F' R2
F D B2 R L' F' R2
F D B2 D2 L' R' F
F D B2 D2 L' F R'
F D B2 D2 R' L' F
R F' U' L R U2 B
R F' U' R L U2 B
F D' L F2 U2 L2 F
F D' L F2 B' U2 L2
F D' L B' F2 U2 L2
F D' L' D2 R2 F B2
F D' L' D2 R2 B2 F
F D' L' D2 F R2 B2
F D' L' D2 F B2 R2
F D' L' D2 B2 R2 F
F D' L' D2 B2 F R2
D' F2 L U' B' L2 U'
F D' F2 L R B' U2
F D' F2 L B' R U2
F D' F2 R L B' U2
R2 B2 L F U' L' R'
R2 B2 L F U' R' L'
D B2 R' U' R2 F' U
D B2 U' R F' U R2
R2 B2 F L U' L2 R'
R2 B2 F L U' R' L2
