U L U2 B' L2
U L R U2 B' L2
U L R' U2 B' L2
U L R2 U2 B' L2
U L U2 B L2 B2
U L U2 B' L2 D
U L U2 B' L2 D
U L U2 B' L2 D'
U L U2 B' L2 D2
U L U2 B2 L2 B
U L D2 R2 U2 B'
U L F U2 B' L2
U L F' U2 B' L2
U L F2 U2 B' L2
U' L B' L2 D2 R2
U' L' U2 L2 U2 B'
U' L' U2 F L2 U2
U L' F L2 U2 L2
R' U L U2 B' L2
R2 U L U2 B' L2
R U L U2 B' L2
U R L U2 B' L2
U R' L U2 B' L2
U R2 L U2 B' L2
F2 U L R U2 B'
F2 U R L U2 B'
B2 U' L R' B' L2
B2 U' R' L B' L2
B2 U' D2 L' R' B
B2 U' D2 R' L' B
B2 U' D2 R' B L'
D2 U' B2 L' R' B
D2 U' B2 R' L' B
D2 U' B2 R' B L'
U' D2 B2 L' R' B
U' D2 B2 R' L' B
U' D2 B2 R' B L'
U F2 L R U2 B'
U F2 R L U2 B'
B2 D2 U' L' R' B
B2 D2 U' R' L' B
B2 D2 U' R' B L'
U' B' L B' L2 R'
U' B' L B' R' L2
U' B2 L R' B' L2
U' B2 R' L B' L2
D2 B2 U' L' R' B
D2 B2 U' R' L' B
D2 B2 U' R' B L'
D' B2 U' L' R' B'
D' B2 U' R' L' B'
U' B2 D2 L' R' B
U' B2 D2 R' L' B
U' B2 D2 R' B L'
U L R U2 B L2 B2
U L R U2 B' L2 D
U L R U2 B' L2 D'
U L R U2 B' L2 D2
U L R U2 B2 L2 B
U L R D2 R2 U2 B'
U L R F U2 B' L2
U' L R B' L2 D2 R2
U L R F' U2 B' L2
U L R F2 U2 B' L2
U L R' U2 B L2 B2
U L R' U2 B' L2 D
U L R' U2 B' L2 D'
U L R' U2 B' L2 D2
U L R' U2 B2 L2 B
U L R' D2 R2 U2 B'
U L R' F U2 B' L2
U' L R' B' L2 D2 R2
U L R' F' U2 B' L2
U L R' F2 U2 B' L2
U L R2 U2 B L2 B2
U L R2 U2 B' L2 D
U L R2 U2 B' L2 D'
U L R2 U2 B' L2 D2
U L R2 U2 B2 L2 B
U L R2 D2 R2 U2 B'
U L R2 F U2 B' L2
U' L R2 B' L2 D2 R2
U L R2 F' U2 B' L2
U L R2 F2 U2 B' L2
U L U D F2 U B'
U L U F U B' L2
U L U F' U B' L2
U L U F2 U B' L2
U L U' R U' B' L2
U L U' R' U' B' L2
U L U' R2 U' B' L2
U L U' D' B2 U' B
U L U' B U' L2 B2
U L U' B U' B2 L2
U L U' B2 U' L2 B
U L U' B2 U' B L2
U L U2 L2 U2 F U2
U L U2 R' B' L2 R
U L U2 R' B' R L2
U L U2 R2 B' L2 R2
U L U2 R2 B' R2 L2
U L U2 D B' D' L2
U' L U2 B L2 F B2
U' L U2 B L2 B2 F
U L U2 D2 B' D2 L2
U L U2 F B' L2 F'
U2 L U2 B' L2 D F2
U L U2 F2 B' L2 F2
U L U2 B L' B2 L'
U L U2 B L2 B2 D
U L U2 B L2 B2 D'
U L U2 B L2 B2 D2
U L U2 B' L D L
U L U2 B' L D' L
U L U2 B' L D2 L
U L U2 B' L' D L'
U L U2 B' L' D' L'
U L U2 B' L' D2 L'
U L U2 B' F L2 F'
U L U2 B' F2 L2 F2
U L U2 B2 L' B L'
U L U2 B2 L2 D B
U L U2 B2 L2 D' B
U L U2 B2 L2 D2 B
U L U2 B2 L2 B D
U L U2 B2 L2 B D'
U L U2 B2 L2 B D2
U L D U F2 U B'
U L D U2 B' D' L2
U L D' U' B2 U' B
U L D2 R2 U2 D B'
U L D2 R2 U2 D' B'
U L D2 R2 U2 D2 B'
U L D2 R2 U2 B' D
U L D2 R2 U2 B' D'
U L D2 R2 U2 B' D2
U L D2 R2 D U2 B'
U L D2 R2 D' U2 B'
U L D2 R2 D2 U2 B'
U L D2 R2 F U2 B'
U L D2 R2 F' U2 B'
U L D2 R2 F2 U2 B'
U L D2 U2 B' D2 L2
U L D2 F R2 U2 B'
U L D2 F' R2 U2 B'
U L D2 F2 R2 U2 B'
U L F R U2 B' L2
U L F R' U2 B' L2
U L F R2 U2 B' L2
U' L F U2 F' B' L2
U' L F U2 B' L2 F'
U' L F U2 B' F' L2
U L F U2 B L2 B2
U L F U2 B' L2 D
U L F U2 B' L2 D'
U L F U2 B' L2 D2
U L F U2 B2 L2 B
U L F D2 R2 U2 B'
U L F' R U2 B' L2
U L F' R' U2 B' L2
U' L F' U2 F B' L2
U L F' R2 U2 B' L2
U' L F' U2 B' F L2
U L F' U2 B L2 B2
U L F' U2 B' L2 D
U L F' U2 B' L2 D'
U L F' U2 B' L2 D2
U L F' U2 B2 L2 B
U L F' D2 R2 U2 B'
U L F2 R U2 B' L2
U L F2 R' U2 B' L2
U' L F2 U2 F2 B' L2
U L F2 R2 U2 B' L2
U' L F2 U2 B' L2 F2
U' L F2 U2 B' F2 L2
U L F2 U2 B L2 B2
U L F2 U2 B' L2 D
U L F2 U2 B' L2 D'
U L F2 U2 B' L2 D2
U L F2 U2 B2 L2 B
U L F2 D2 R2 U2 B'
U' L B L' B2 L' R'
U' L B L' B2 R' L'
U' L B L2 B2 D2 R2
U L B U2 L2 F B2
U L B U2 L2 B2 F
U' L B' L2 R D2 R2
U' L B' L2 R' D2 R2
U' L B' L2 R2 D2 R2
U' L B' L2 U2 L2 U2
U' L B' L2 D2 R2 D
U' L B' L2 D2 R2 D'
U' L B' L2 D2 R2 D2
U' L B' R L2 D2 R2
U' L B' R' L2 D2 R2
U' L B' R2 L2 D2 R2
U L B' L2 D2 R2 F'
U' L B2 L2 D2 B R2
U' L B2 L2 B D2 R2
U' L B2 U2 B L2 F
U' L' R U2 L2 U2 B'
U' L' R U2 F L2 U2
U L' R F L2 U2 L2
U' L' R' U2 L2 U2 B'
U' L' R' U2 F L2 U2
U L' R' F L2 U2 L2
U' L' R2 U2 L2 U2 B'
U' L' R2 U2 F L2 U2
U L' R2 F L2 U2 L2
U' L' U2 L2 U2 D B'
U' L' U2 L2 U2 D' B'
U' L' U2 L2 U2 D2 B'
U' L' U2 L2 U2 B' D
U' L' U2 L2 U2 B' D'
U' L' U2 L2 U2 B' D2
U' L' U2 L2 D U2 B'
U' L' U2 L2 D' U2 B'
U' L' U2 L2 D2 U2 B'
U' L' U2 L2 F U2 B'
U' L' U2 L2 F' U2 B'
U' L' U2 L2 F2 U2 B'
U' L' U2 D2 F U2 R2
U' L' U2 F L2 U2 D
U' L' U2 F L2 U2 D'
U' L' U2 F L2 U2 D2
U' L' U2 F L2 D U2
U' L' U2 F L2 D' U2
U' L' U2 F L2 D2 U2
U' L' U2 F U2 D2 R2
U' L' U2 F D2 U2 R2
U' L' U2 F' L2 F2 U2
U' L' U2 F2 L2 F' U2
U L' U2 F L2 U2 F'
U' L' D2 L2 R2 B' L2
U' L' D2 L2 B' L2 R2
U' L' D2 L2 B' R2 L2
U' L' D2 R2 L2 B' L2
U' L' D2 R2 U2 F U2
U' L' D2 U2 F U2 R2
U' L' D2 F2 R2 F2 B
U' L' D2 F2 R2 B F2
U' L' F L2 U2 L2 F'
U' L' F L2 U2 F' L2
U L' F L2 R U2 L2
U L' F L2 R' U2 L2
U L' F L2 R2 U2 L2
U L' F L2 U2 L2 D
U L' F L2 U2 L2 D'
U L' F L2 U2 L2 D2
U L' F L2 D2 R2 U2
U L' F R L2 U2 L2
U L' F R' L2 U2 L2
U L' F R2 L2 U2 L2
U L' F' L2 F2 U2 L2
U' L' F' D2 R2 F B2
U' L' F' D2 R2 B2 F
U' L' F' D2 F R2 B2
U' L' F' D2 F B2 R2
U' L' F' D2 B2 R2 F
U' L' F' D2 B2 F R2
U L' F2 L2 F' U2 L2
U' L' B U2 L2 U2 B'
U' L' B U2 F L2 U2
U' L' B' U2 L2 U2 B'
U' L' B' U2 F L2 U2
U' L' B2 U2 L2 U2 B'
U' L' B2 U2 F L2 U2
U L' B2 D2 F2 R2 B
D' L2 D F2 L R B'
D' L2 D F2 L B' R
D' L2 D F2 R L B'
U L2 D L' U2 B' L2
F2 L2 D F2 L' R B'
F2 L2 D F2 L' B' R
F2 L2 D F2 R L' B'
R' U L R U2 B' L2
R' U L R' U2 B' L2
R' U L R2 U2 B' L2
L' U L U L U2 B'
R' U L U2 B L2 B2
R' U L U2 B' L2 D
R' U L U2 B' L2 D'
R' U L U2 B' L2 D2
R' U L U2 B2 L2 B
U L2 D' L' U2 B' L2
R2 U L R U2 B' L2
R' U L D2 R2 U2 B'
R2 U L R' U2 B' L2
R' U L F U2 B' L2
R2 U L R2 U2 B' L2
R' U L F' U2 B' L2
R U L R U2 B' L2
R' U L F2 U2 B' L2
R U L R' U2 B' L2
R U L R2 U2 B' L2
R2 U L U2 B L2 B2
R2 U L U2 B' L2 D
R2 U L U2 B' L2 D'
R2 U L U2 B' L2 D2
R2 U L U2 B2 L2 B
R2 U L D2 R2 U2 B'
R U L U2 B L2 B2
R U L U2 B' L2 D
R U L U2 B' L2 D'
R U L U2 B' L2 D2
R U L U2 B2 L2 B
R2 U L F U2 B' L2
R2 U L F' U2 B' L2
R2 U L F2 U2 B' L2
R U L D2 R2 U2 B'
R U L F U2 B' L2
U L2 D2 L' U2 B' L2
R U L F' U2 B' L2
R U L F2 U2 B' L2
R' U L' F L2 U2 L2
R2 U L' F L2 U2 L2
R U L' F L2 U2 L2
R' U R L U2 B' L2
R2 U R L U2 B' L2
R U R L U2 B' L2
R' U R' L U2 B' L2
R2 U R' L U2 B' L2
R U R' L U2 B' L2
U L2 F2 U2 L R B
U L2 F2 U2 R L B
R' U R2 L U2 B' L2
R2 U R2 L U2 B' L2
R U R2 L U2 B' L2
L U D F2 R U B'
U' R L B' L2 D2 R2
U R L U2 B L2 B2
U R L U2 B' L2 D
U R L U2 B' L2 D'
U R L U2 B' L2 D2
U R L U2 B2 L2 B
U' R L' U2 L2 U2 B'
U' R L' U2 F L2 U2
U R L D2 R2 U2 B'
U R L F U2 B' L2
U R L F' U2 B' L2
U R L F2 U2 B' L2
U R L' F L2 U2 L2
D2 R U L F' U2 L2
R' U F2 L R U2 B'
R' U F2 R L U2 B'
R2 U F2 L R U2 B'
D2 R U' L' D2 R2 B
R2 U F2 R L U2 B'
B2 R U' L R2 B' L2
B2 R U' L B' L2 R2
B2 R U' L B' R2 L2
R U F2 L R U2 B'
L U F2 R U B' L2
R U F2 R L U2 B'
B2 R U' R2 L B' L2
U' R U2 L U2 B' L2
R' U' L B' L2 D2 R2
R' U' L' U2 L2 U2 B'
R' U' L' U2 F L2 U2
R2 U' L B' L2 D2 R2
U' R D2 B2 L' R' B
U' R D2 B2 R' L' B
U' R D2 B2 R' B L'
R U' L B' L2 D2 R2
