B L R' D' F' R2 B
B' R U R2 U2 F' R2
B' R U B R2 U2 R2
B R U' L D' R2 F'
B' R U' B R2 U2 B'
B R U' D' L R2 F'
B R U' D' R2 L F'
B R U' D' R2 F' L
B R D' U' L R2 F'
B R D' U' R2 L F'
B R D' U' R2 F' L
B R' L D' F' R2 B
B R' D L F' B2 R'
B R' D L B2 F' R'
B R' D F' L B2 R'
B R' D' L F' R2 B
B R' D' F' L R2 B
B R' D' F' R2 L B
B R' F' D L B2 R'
R' F' B D L B2 R'
R' B L D' F' R2 B
R' B D L F' B2 R'
R' B D L B2 F' R'
R' B D F' L B2 R'
R' B D' L F' R2 B
R' B D' F' L R2 B
R' B D' F' R2 L B
R' B F' D L B2 R'
R' B' U D F' B2 L
R' B' U D B2 L F'
R' B' U D B2 F' L
R' B' U F' D B2 L
R B' U R' B2 U2 R
R' B' D U F' B2 L
R' B' D U B2 L F'
R' B' D U B2 F' L
R B' U' R' B2 U2 B2
R B' U' B2 U2 L B2
