U B' U R' B L
F L R F' U' F2 U'
F L R F' U2 D R2
F L R F' D U2 R2
F L R F' D' L2 U2
R' L U' F U' B L
L2 R D F' U2 L' R
L2 R D F' U2 R L'
L' R F' U B' U L'
L R F' U2 L' D R2
L R F' U2 D L' R2
L R F' U2 D R2 L'
L R F' D U2 L' R2
L R F' D U2 R2 L'
R L F' U2 L' D R2
R L F' U2 D L' R2
R L F' U2 D R2 L'
L R F' D' L2 U2 L
R L F' D U2 L' R2
R L F' D U2 R2 L'
R L F' D' L2 U2 L
U L F B' U R' B
L R' U' F U' B L
U L B' F U R' B
L2 R' U2 D' B L R'
L2 R' U2 D' B R' L
R' L' U2 B L D' R2
L' R' U2 B L D' R2
R' L' U2 B D' L R2
R' L' U2 B D' R2 L
L' R' U2 B D' L R2
L' R' U2 B D' R2 L
F L' R F' U B' U
L2 R' D' U2 B L R'
L2 R' D' U2 B R' L
D L' U B' L F U
R L' F' U B' U L'
D2 L' F R U B' U
R' L2 U2 D' B L R'
R' L2 U2 D' B R' L
R L2 D F' U2 L' R
R L2 D F' U2 R L'
R' L2 D' U2 B L R'
R' L2 D' U2 B R' L
F L2 R D F' U2 R
L' U D B' L F U
F R L F' U' F2 U'
F R L F' U2 D R2
F R L F' D U2 R2
F R L F' D' L2 U2
F R L' F' U B' U
F R L2 D F' U2 R
F R U2 R2 D B R'
F R F' L U' F U'
F R F' L' U B' U
F R F' U B' U R'
F R F' U' F U' R
R' U' F U' B L R
R' U' F U' B R L
U2 R' U F' U' B L
L' U2 R' B L D' R2
L' U2 R' B D' L R2
L' U2 R' B D' R2 L
U2 R' B L U F' U'
L2 U2 R' D' B L R'
L2 U2 R' D' B R' L
U2 R' B U F' U' L
R U2 R2 D B L R'
R U2 R2 D B R' L
U2 R2 D R B L R'
U2 R2 D R B R' L
L' D U B' L F U
D U B' L F U R'
U D B' L F U R'
F' U B' U L' R' B
F' U B' U R' L' B
F' U B' U R' B L'
L' F R F' U B' U
L2 F R D F' U2 R
L F R F' U' F U'
U' F U' R' B L R2
U' F U' R' B R2 L
U F B' U R' B L
R F' L U' F U' L2
R F' U B' U L' R'
R F' U B' U R' L'
U F' B' U R' B L
U F2 B' U R' B L
U B' L F U R' B
U B' U L R' B L
U B' U L' R' B L
U B' U L2 R' B L
U B' U R' L B L
U B' U R' L' B L
U B' U R' L2 B L
U B' U R' D B L
U B' U R' D' B L
U B' U R' D2 B L
U B' U R' B L D
U B' U R' B L D'
U B' U R' B L D2
U B' U R' B D L
U B' U R' B D' L
U B' U R' B D2 L
U B' F U R' B L
U B' F' U R' B L
U B' F2 U R' B L
U B2 U R' B L R'
U B2 U R' B R' L
U B2 U B L R' B
U B2 U B R' L B
