B2 U2 R U R B
B2 L U2 R U R B
D L' R B2 U L' B'
B2 L' U2 R U R B
F2 L' F' R B2 U' R
F2 L' F' B2 R U' R
D L' B2 R U L' B'
F2 L' B2 F' R U' R
D L2 U' R B2 U B'
D L2 U' B2 R U B
B2 L2 U2 R U R B
R U L R D L2 B'
R U L D L2 R B'
R U L D L2 B' R
R U L D R L2 B'
R U L' R D B' L2
R U L' D R B' L2
R U L' D B' L2 R
R U L' D B' R L2
R2 U L' B2 L U' B
R2 U L2 B2 L U' B'
R U R L D L2 B'
R U R L' D B' L2
R U R D L' B' L'
R U D L' R B' L'
F' L2 B2 R' U' R' F'
R U D L' B' L' R
R U D L' B' R L'
R U D R L' B' L'
D R L' B2 U L' B'
U' R U D L2 B R
U2 R U R D L2 B
U' R U D B L2 R
U' R U D B R L2
U2 R U R D B L2
U2 R U D L2 R B
U2 R U D R L2 B
U2 R U D R B L2
F R U' D L2 R F'
F R U' D R L2 F'
F R U' D R F' L2
D' R U2 F2 U' L' B'
B' R U2 B' R' U' R2
U' R U2 B2 U' R B'
U' R U2 B2 U' B' R
U2 R U2 B2 U' R B
U' R D U L2 B R
U' R D U B L2 R
U' R D U B R L2
U2 R D U L2 R B
U2 R D U R L2 B
U2 R D U R B L2
R2 U B2 L U F U2
F R D U' L2 R F'
F R D U' R L2 F'
F R D U' R F' L2
D R F' L' B2 U L'
D R F' B2 L' U L'
R U' R D B L2 F
D R B2 L' U L' B'
R U' D R B L2 F
D R B2 U L' B' L'
F R B2 U' D R F'
D R B2 F' L' U L'
F R B2 D U' R F'
R U' D' R2 U2 R' B
B2 R' U2 R2 U R B
F R' D R' B2 L2 F
R U2 B' R' B' U' R2
R D L' U L' R B'
R D L' U L' B' R
R D L' U R L' B'
B R2 F' L' R' U R
B R2 F' R' L' U R
R D U L' R B' L'
R D U L' B' L' R
R D U L' B' R L'
R D U R L' B' L'
R D U' R B L2 F
U' D R B2 U B' L2
U' D B2 R U L2 B
U' D B2 R U B L2
R D' U' R2 U2 R' B
D U' R B2 U B' L2
B2 U' R2 U' R' U B
D U' B2 R U L2 B
D U' B2 R U B L2
B2 U2 L R U R B
B2 U2 L' R U R B
B2 U2 L2 R U R B
B2 U2 R L U R B
B2 U2 R L' U R B
B2 U2 R L2 U R B
B2 U2 R U R D B
B2 U2 R U R D' B
B2 U2 R U R D2 B
B2 U2 R U R B D
B2 U2 R U R B D'
B2 U2 R U R B D2
B2 U2 R U D R B
B2 U2 R U D' R B
B2 U2 R U D2 R B
B2 U2 R U B R B
B2 U2 R U B' R B
B2 U2 R U B2 R B
B2 U2 R D U R B
B2 U2 R D' U R B
B2 U2 R D2 U R B
B2 U2 R B L U R
B2 U2 B L R U R
B2 U2 B R L U R
R2 F U B2 L R U'
R2 F U B2 R L U'
R2 F B2 L R U' R'
R2 F B2 R L U' R'
F D' R F2 U' L' F
B2 D' F R F L' U'
U F2 L' B2 U' B R2
U F2 B2 L' U' R2 B'
U F2 B2 L' U' B' R2
B2 F R U' D R F'
B2 F R D U' R F'
R B' U2 B' R' U' R2
R2 B2 L R' U' R B
R2 B2 L F R U' R'
D B2 L' R U L' B'
D B2 R L' U L' B'
B2 F2 L' F' R U' R
D B2 R U L' B' L'
F2 B2 L' F' R U' R
D B2 R F' L' U L'
R2 B2 R' L U' R B
F B2 R U' D R F'
F B2 R D U' R F'
L' B2 U2 R U R B
L2 B2 U2 R U R B
L B2 U2 R U R B
U B2 U2 R U B R
U B2 D' F2 L' U' B'
R2 B2 F L R U' R'
R2 B2 F R L U' R'
U B2 F2 L' U' R2 B'
U B2 F2 L' U' B' R2
